# 字 5000-5499
 5000 | materialism                    | 唯物主義                           | 💰        | chunks=['ma', 'te', 'ri', 'al', 'ism'] | py=ㄇㄜ-ㄊㄧ-ㄌㄧ-ㄦ-ㄧㄗㄣ | theme=philosophy | stage=3
 5163 | autobiography                  | 自傳                             | ✍️       | chunks=['au', 'to', 'bi', 'og', 'ra', 'phy'] | py=ㄛ-ㄊㄛ-ㄅㄞ-ㄚ-ㄍㄖㄚ-ㄈㄧ | theme=literature | stage=3
 5164 | memoir                         | 回憶錄                            | 📔        | chunks=['mem', 'oir'] | py=ㄇㄝㄇ-ㄨㄚ | theme=literature | stage=3
 5165 | anthology                      | 選集                             | 📚        | chunks=['an', 'thol', 'o', 'gy'] | py=ㄢ-ㄒㄛ-ㄜ-ㄐㄧ | theme=literature | stage=3
 5166 | manuscript                     | 手稿                             | 📜        | chunks=['man', 'u', 'script'] | py=ㄇㄚ-ㄋㄩ-ㄙㄎㄖㄧㄆㄊ | theme=literature | stage=3
 5167 | revise                         | 修訂                             | ✏️       | chunks=['re', 'vise'] | py=ㄖㄧ-ㄨㄞㄗ | theme=literature | stage=2
 5168 | author                         | 作者                             | ✍️       | chunks=['au', 'thor'] | py=ㄛ-ㄒㄜ | theme=literature | stage=1
 5169 | poet                           | 詩人                             | 🖋️       | chunks=['po', 'et'] | py=ㄆㄡ-ㄝㄊ | theme=literature | stage=2
 5170 | novelist                       | 小說家                            | 📚        | chunks=['nov', 'el', 'ist'] | py=ㄋㄚ-ㄨㄛ-ㄧㄙㄊ | theme=literature | stage=2 base=novel
 5171 | playwright                     | 劇作家                            | 🎭        | chunks=['play', 'wright'] | py=ㄆㄌㄟ-ㄖㄞㄊ | theme=literature | stage=3
 5172 | reader                         | 讀者                             | 📖        | chunks=['read', 'er'] | py=ㄖㄧ-ㄉㄜ | theme=literature | stage=1 base=read
 5173 | paperback                      | 平裝書                            | 📕        | chunks=['pa', 'per', 'back'] | py=ㄆㄟ-ㄆㄜ-ㄅㄚㄎ | theme=literature | stage=2
 5174 | hardcover                      | 精裝本                            | 📘        | chunks=['hard', 'cov', 'er'] | py=ㄏㄚㄜㄉ-ㄎㄚ-ㄨㄜ | theme=literature | stage=2
 5175 | preface                        | 序言                             | 📄        | chunks=['pre', 'face'] | py=ㄆㄖㄝ-ㄈㄜㄙ | theme=literature | stage=3
 5176 | foreword                       | 前言                             | 📄        | chunks=['fore', 'word'] | py=ㄈㄛ-ㄨㄜㄉ | theme=literature | stage=3
 5177 | glossary                       | 詞彙表                            | 📖        | chunks=['glos', 'sa', 'ry'] | py=ㄍㄌㄚ-ㄙㄚ-ㄖㄧ | theme=literature | stage=3
 5178 | footnote                       | 註腳                             | 📝        | chunks=['foot', 'note'] | py=ㄈㄨㄊ-ㄋㄡㄊ | theme=literature | stage=2
 5179 | citation                       | 引文                             | 🔖        | chunks=['ci', 'ta', 'tion'] | py=ㄙㄞ-ㄊㄟ-ㄒㄣ | theme=literature | stage=3 base=cite
 5180 | quotation                      | 引述                             | 💬        | chunks=['quo', 'ta', 'tion'] | py=ㄎㄨㄛ-ㄊㄟ-ㄒㄣ | theme=literature | stage=2 base=quote
 5181 | paragraph                      | 段落                             | 📝        | chunks=['par', 'a', 'graph'] | py=ㄆㄚ-ㄜ-ㄍㄖㄚㄈ | theme=literature | stage=2
 5182 | phrase                         | 片語                             | 💬        | chunks=['phr', 'ase'] | py=ㄈㄖㄟㄗ | theme=literature | stage=2
 5183 | idiom                          | 慣用語                            | 💭        | chunks=['id', 'i', 'om'] | py=ㄧ-ㄉㄧ-ㄚㄇ | theme=literature | stage=2
 5184 | dialect                        | 方言                             | 🗣️       | chunks=['di', 'a', 'lect'] | py=ㄉㄞ-ㄜ-ㄌㄝㄎㄊ | theme=literature | stage=3
 5185 | accent                         | 口音                             | 🗣️       | chunks=['ac', 'cent'] | py=ㄚㄎ-ㄙㄣㄊ | theme=literature | stage=2
 5186 | vocabulary                     | 詞彙                             | 📖        | chunks=['vo', 'cab', 'u', 'lar', 'y'] | py=ㄨㄛ-ㄎㄚ-ㄅㄩ-ㄌㄜ-ㄧ | theme=literature | stage=2
 5187 | syntax                         | 句法                             | 🔤        | chunks=['syn', 'tax'] | py=ㄒㄧㄣ-ㄊㄚㄎㄙ | theme=literature | stage=3
 5188 | semantics                      | 語義學                            | 💭        | chunks=['se', 'man', 'tics'] | py=ㄙㄜ-ㄇㄢ-ㄊㄧㄎㄙ | theme=literature | stage=4
 5189 | rhetoric                       | 修辭                             | 🗣️       | chunks=['rhet', 'o', 'ric'] | py=ㄖㄝ-ㄜ-ㄖㄧㄎ | theme=literature | stage=3
 5190 | persuasion                     | 說服                             | 🗣️       | chunks=['per', 'sua', 'sion'] | py=ㄆㄜ-ㄙㄨㄟ-ㄓㄣ | theme=literature | stage=3
 5191 | claim                          | 主張、聲稱、索賠                       | 📢        | chunks=['cl', 'aim'] | py=ㄎㄌㄟㄇ | theme=literature | stage=2
 5192 | summary                        | 摘要                             | 📝        | chunks=['sum', 'ma', 'ry'] | py=ㄙㄚ-ㄇㄜ-ㄖㄧ | theme=literature | stage=2 [有易混提示]
 5193 | ballad                         | 民謠                             | 🎵        | chunks=['bal', 'lad'] | py=ㄅㄚ-ㄌㄜㄉ | theme=literature | stage=3
 5194 | lyric                          | 歌詞                             | 🎶        | chunks=['lyr', 'ic'] | py=ㄌㄧ-ㄖㄧㄎ | theme=literature | stage=2
 5195 | haiku                          | 俳句                             | 🌸        | chunks=['hai', 'ku'] | py=ㄏㄞ-ㄎㄨ | theme=literature | stage=3
 5196 | sonnet                         | 十四行詩                           | 💕        | chunks=['son', 'net'] | py=ㄙㄚ-ㄋㄝㄊ | theme=literature | stage=3
 5197 | ode                            | 頌歌                             | 🎵        | chunks=['o', 'de'] | py=ㄡㄉ | theme=literature | stage=3
 5198 | elegy                          | 哀歌                             | 😢        | chunks=['el', 'e', 'gy'] | py=ㄝ-ㄌㄜ-ㄐㄧ | theme=literature | stage=4
 5199 | limerick                       | 打油詩                            | 😄        | chunks=['lim', 'er', 'ick'] | py=ㄌㄧ-ㄇㄜ-ㄧㄎ | theme=literature | stage=4
 5200 | saga                           | 傳奇故事                           | 📜        | chunks=['sa', 'ga'] | py=ㄙㄚ-ㄍㄚ | theme=literature | stage=3
 5201 | pun                            | 雙關語                            | 😄        | chunks=['p', 'un'] | py=ㄆㄚㄣ | theme=literature | stage=3
 5202 | allusion                       | 暗指                             | 💭        | chunks=['al', 'lu', 'sion'] | py=ㄚ-ㄌㄨ-ㄓㄣ | theme=literature | stage=3
 5203 | motif                          | 主題元素                           | 🎨        | chunks=['mo', 'tif'] | py=ㄇㄛ-ㄊㄧㄈ | theme=literature | stage=3
 5204 | anecdote                       | 軼事                             | 💬        | chunks=['an', 'ec', 'dote'] | py=ㄚ-ㄋㄝㄎ-ㄉㄛㄊ | theme=literature | stage=3
 5205 | parable                        | 寓言                             | 📖        | chunks=['par', 'a', 'ble'] | py=ㄆㄚ-ㄖㄜ-ㄅㄛ | theme=literature | stage=3
 5206 | mythology                      | 神話學                            | 🐲        | chunks=['my', 'thol', 'o', 'gy'] | py=ㄇㄧ-ㄒㄛ-ㄜ-ㄐㄧ | theme=literature | stage=3
 5207 | prologue                       | 序章                             | 📖        | chunks=['pro', 'logue'] | py=ㄆㄖㄛ-ㄌㄚㄍ | theme=literature | stage=3
 5208 | epilogue                       | 尾聲                             | 📖        | chunks=['ep', 'i', 'logue'] | py=ㄝ-ㄆㄧ-ㄌㄚㄍ | theme=literature | stage=3
 5209 | subplot                        | 次要情節                           | 📚        | chunks=['sub', 'plot'] | py=ㄙㄚㄅ-ㄆㄌㄚㄊ | theme=literature | stage=3
 5210 | synopsis                       | 概要                             | 📝        | chunks=['syn', 'op', 'sis'] | py=ㄙㄧ-ㄋㄚㄆ-ㄙㄧㄙ | theme=literature | stage=3
 5211 | bestseller                     | 暢銷書                            | 🏆        | chunks=['best', 'sell', 'er'] | py=ㄅㄝㄙㄊ-ㄙㄝ-ㄜ | theme=literature | stage=2
 5212 | analyze                        | 分析                             | 🔬        | chunks=['an', 'a', 'lyze'] | py=ㄚ-ㄋㄜ-ㄌㄞㄗ | theme=academic-words | stage=2
 5213 | approach                       | 方法                             | 🎯        | chunks=['ap', 'proach'] | py=ㄜ-ㄆㄖㄡㄔ | theme=academic-words | stage=2
 5214 | assess                         | 評估                             | 📊        | chunks=['as', 'sess'] | py=ㄜ-ㄙㄝㄙ | theme=academic-words | stage=3
 5215 | assume                         | 假設                             | 💭        | chunks=['as', 'sume'] | py=ㄜ-ㄙㄩㄇ | theme=academic-words | stage=2
 5216 | benefit                        | 益處                             | 🎁        | chunks=['ben', 'e', 'fit'] | py=ㄅㄝ-ㄋㄜ-ㄈㄧㄊ | theme=academic-words | stage=2
 5217 | consist                        | 由...組成                         | 🧱        | chunks=['con', 'sist'] | py=ㄎㄣ-ㄙㄧㄙㄊ | theme=academic-words | stage=3
 5218 | constitute                     | 構成                             | 🧱        | chunks=['con', 'sti', 'tute'] | py=ㄎㄚㄣ-ㄙㄊㄜ-ㄊㄩㄊ | theme=academic-words | stage=3
 5219 | context                        | 背景                             | 📋        | chunks=['con', 'text'] | py=ㄎㄚㄣ-ㄊㄝㄎㄙㄊ | theme=academic-words | stage=2
 5220 | create                         | 創造                             | 🎨        | chunks=['cre', 'ate'] | py=ㄎㄖㄧ-ㄝㄊ | theme=academic-words | stage=1
 5221 | data                           | 資料                             | 📊        | chunks=['da', 'ta'] | py=ㄉㄟ-ㄊㄚ | theme=academic-words | stage=2
 5222 | define                         | 定義                             | 📖        | chunks=['de', 'fine'] | py=ㄉㄜ-ㄈㄞㄣ | theme=academic-words | stage=2
 5223 | derive                         | 衍生                             | 🌱        | chunks=['de', 'rive'] | py=ㄉㄜ-ㄖㄞㄈ | theme=academic-words | stage=3
 5224 | distribute                     | 分配                             | 📤        | chunks=['dis', 'trib', 'ute'] | py=ㄉㄧㄙ-ㄊㄖㄧ-ㄅㄩㄊ | theme=academic-words | stage=3
 5225 | economy                        | 經濟                             | 💰        | chunks=['e', 'con', 'o', 'my'] | py=ㄜ-ㄎㄚ-ㄋㄜ-ㄇㄧ | theme=academic-words | stage=2
 5226 | environment                    | 環境                             | 🌍        | chunks=['en', 'vi', 'ron', 'ment'] | py=ㄣ-ㄨㄞ-ㄖㄣ-ㄇㄣㄊ | theme=academic-words | stage=2
 5227 | establish                      | 建立                             | 🏛️       | chunks=['es', 'tab', 'lish'] | py=ㄜ-ㄙㄊㄚ-ㄅㄌㄧㄒ | theme=academic-words | stage=2
 5228 | estimate                       | 估計                             | 🧮        | chunks=['es', 'ti', 'mate'] | py=ㄝㄙ-ㄊㄜ-ㄇㄟㄊ | theme=academic-words | stage=2 [有易混提示]
 5229 | evident                        | 明顯的                            | 💡        | chunks=['ev', 'i', 'dent'] | py=ㄝ-ㄨㄜ-ㄉㄣㄊ | theme=academic-words | stage=3
 5230 | factor                         | 因素                             | 🧩        | chunks=['fac', 'tor'] | py=ㄈㄚㄎ-ㄊㄜ | theme=academic-words | stage=2
 5231 | function                       | 功能                             | ⚙️       | chunks=['func', 'tion'] | py=ㄈㄚㄥㄎ-ㄒㄣ | theme=academic-words | stage=2
 5232 | identify                       | 辨認                             | 🔍        | chunks=['i', 'den', 'ti', 'fy'] | py=ㄞ-ㄉㄣ-ㄊㄜ-ㄈㄞ | theme=academic-words | stage=2
 5233 | indicate                       | 指出                             | 👉        | chunks=['in', 'di', 'cate'] | py=ㄧㄣ-ㄉㄜ-ㄎㄟㄊ | theme=academic-words | stage=2
 5234 | interpret                      | 解讀                             | 🔍        | chunks=['in', 'ter', 'pret'] | py=ㄧㄣ-ㄊㄜ-ㄆㄖㄝㄊ | theme=academic-words | stage=3
 5235 | involve                        | 涉及                             | 🔗        | chunks=['in', 'volve'] | py=ㄧㄣ-ㄨㄚㄛㄈ | theme=academic-words | stage=2
 5236 | legislate                      | 立法                             | 📜        | chunks=['leg', 'is', 'late'] | py=ㄌㄝ-ㄐㄧㄙ-ㄌㄟㄊ | theme=academic-words | stage=3
 5237 | major                          | 主要的                            | 🎯        | chunks=['ma', 'jor'] | py=ㄇㄟ-ㄐㄜ | theme=academic-words | stage=1
 5238 | method                         | 方法                             | 📋        | chunks=['meth', 'od'] | py=ㄇㄝ-ㄒㄜㄉ | theme=academic-words | stage=2
 5239 | occur                          | 發生                             | ⚡        | chunks=['oc', 'cur'] | py=ㄜ-ㄎㄜ | theme=academic-words | stage=2
 5240 | proceed                        | 進行                             | ▶️       | chunks=['pro', 'ceed'] | py=ㄆㄖㄛ-ㄙㄧㄉ | theme=academic-words | stage=2 [有易混提示]
 5241 | process                        | 過程                             | ⚙️       | chunks=['pro', 'cess'] | py=ㄆㄖㄚ-ㄙㄝㄙ | theme=academic-words | stage=2
 5242 | require                        | 需要                             | ✅        | chunks=['re', 'quire'] | py=ㄖㄜ-ㄎㄨㄞㄜ | theme=academic-words | stage=1
 5243 | respond                        | 回應                             | 💬        | chunks=['re', 'spond'] | py=ㄖㄜ-ㄙㄆㄚㄣㄉ | theme=academic-words | stage=2
 5244 | section                        | 部分                             | 📂        | chunks=['sec', 'tion'] | py=ㄙㄝㄎ-ㄒㄣ | theme=academic-words | stage=2
 5245 | significant                    | 重要的                            | ⭐        | chunks=['sig', 'nif', 'i', 'cant'] | py=ㄒㄧㄍ-ㄋㄧ-ㄈㄜ-ㄎㄣㄊ | theme=academic-words | stage=2
 5246 | similar                        | 類似的                            | 🔁        | chunks=['sim', 'i', 'lar'] | py=ㄒㄧ-ㄇㄜ-ㄌㄜ | theme=academic-words | stage=1
 5247 | structure                      | 結構                             | 🏗️       | chunks=['struc', 'ture'] | py=ㄙㄊㄖㄚㄎ-ㄔㄜ | theme=academic-words | stage=2
 5248 | vary                           | 變化                             | 📊        | chunks=['va', 'ry'] | py=ㄨㄝ-ㄖㄧ | theme=academic-words | stage=2
 5249 | achieve                        | 達成                             | 🏆        | chunks=['a', 'chieve'] | py=ㄜ-ㄔㄧㄈ | theme=academic-words | stage=2
 5250 | acquire                        | 獲得                             | 📥        | chunks=['ac', 'quire'] | py=ㄜ-ㄎㄨㄞㄜ | theme=academic-words | stage=3
 5251 | administrate                   | 管理                             | 📋        | chunks=['ad', 'min', 'is', 'trate'] | py=ㄚㄉ-ㄇㄧㄣ-ㄜ-ㄙㄊㄖㄟㄊ | theme=academic-words | stage=3
 5252 | affect                         | 影響                             | 🎯        | chunks=['af', 'fect'] | py=ㄜ-ㄈㄝㄎㄊ | theme=academic-words | stage=2 [有易混提示]
 5253 | appropriate                    | 適當的                            | ✅        | chunks=['ap', 'pro', 'pri', 'ate'] | py=ㄜ-ㄆㄖㄛ-ㄆㄖㄧ-ㄝㄊ | theme=academic-words | stage=2 [有易混提示]
 5254 | aspect                         | 方面                             | 🧩        | chunks=['as', 'pect'] | py=ㄚ-ㄙㄆㄝㄎㄊ | theme=academic-words | stage=2
 5255 | assist                         | 協助                             | 🤝        | chunks=['as', 'sist'] | py=ㄜ-ㄙㄧㄙㄊ | theme=academic-words | stage=2
 5256 | category                       | 類別                             | 📂        | chunks=['cat', 'e', 'go', 'ry'] | py=ㄎㄚ-ㄊㄜ-ㄍㄛ-ㄖㄧ | theme=academic-words | stage=2
 5257 | community                      | 社區                             | 🏘️       | chunks=['com', 'mu', 'ni', 'ty'] | py=ㄎㄜ-ㄇㄩ-ㄋㄜ-ㄊㄧ | theme=academic-words | stage=1
 5258 | compute                        | 計算                             | 🧮        | chunks=['com', 'pute'] | py=ㄎㄜㄇ-ㄆㄩㄊ | theme=academic-words | stage=2
 5259 | conclude                       | 下結論、總結                         | 🏁        | chunks=['con', 'clude'] | py=ㄎㄣ-ㄎㄌㄨㄉ | theme=actions | stage=2
 5260 | conduct                        | 進行                             | 🎯        | chunks=['con', 'duct'] | py=ㄎㄣ-ㄉㄚㄎㄊ | theme=academic-words | stage=2 [有易混提示]
 5261 | consequent                     | 隨之而來的                          | ➡️       | chunks=['con', 'se', 'quent'] | py=ㄎㄚㄣ-ㄙㄜ-ㄎㄨㄣㄊ | theme=academic-words | stage=3
 5262 | construct                      | 建造                             | 🏗️       | chunks=['con', 'struct'] | py=ㄎㄣ-ㄙㄊㄖㄚㄎㄊ | theme=academic-words | stage=2
 5263 | consume                        | 消耗                             | 🍽️       | chunks=['con', 'sume'] | py=ㄎㄣ-ㄙㄩㄇ | theme=academic-words | stage=2
 5264 | culture                        | 文化                             | 🎭        | chunks=['cul', 'ture'] | py=ㄎㄚㄛ-ㄔㄜ | theme=academic-words | stage=1
 5265 | distinct                       | 獨特的                            | ⭐        | chunks=['dis', 'tinct'] | py=ㄉㄧㄙ-ㄊㄧㄥㄎㄊ | theme=academic-words | stage=3
 5266 | equate                         | 等同                             | 🟰        | chunks=['e', 'quate'] | py=ㄧ-ㄎㄨㄟㄊ | theme=academic-words | stage=3
 5267 | evaluate                       | 評價                             | 📊        | chunks=['e', 'val', 'u', 'ate'] | py=ㄧ-ㄨㄚ-ㄌㄩ-ㄝㄊ | theme=academic-words | stage=2
 5268 | feature                        | 特徵                             | ⭐        | chunks=['fea', 'ture'] | py=ㄈㄧ-ㄔㄜ | theme=academic-words | stage=2
 5269 | final                          | 最終的                            | 🏁        | chunks=['fi', 'nal'] | py=ㄈㄞ-ㄋㄛ | theme=academic-words | stage=1
 5270 | focus                          | 專注                             | 🎯        | chunks=['fo', 'cus'] | py=ㄈㄛ-ㄎㄚㄙ | theme=academic-words | stage=1
 5271 | impact                         | 影響                             | 💥        | chunks=['im', 'pact'] | py=ㄧㄇ-ㄆㄚㄎㄊ | theme=academic-words | stage=2
 5272 | injure                         | 受傷                             | 🤕        | chunks=['in', 'jure'] | py=ㄧㄣ-ㄐㄜ | theme=academic-words | stage=2
 5273 | institute                      | 機構                             | 🏛️       | chunks=['in', 'sti', 'tute'] | py=ㄧㄣ-ㄙㄊㄜ-ㄊㄩㄊ | theme=academic-words | stage=3
 5274 | journal                        | 期刊                             | 📔        | chunks=['jour', 'nal'] | py=ㄐㄜ-ㄋㄛ | theme=academic-words | stage=2
 5275 | maintain                       | 維持                             | 🔧        | chunks=['main', 'tain'] | py=ㄇㄟㄣ-ㄊㄟㄣ | theme=academic-words | stage=2
 5276 | obtain                         | 獲得                             | 📥        | chunks=['ob', 'tain'] | py=ㄜㄅ-ㄊㄟㄣ | theme=academic-words | stage=2
 5277 | participate                    | 參與                             | 🙋        | chunks=['par', 'tic', 'i', 'pate'] | py=ㄆㄚ-ㄊㄧ-ㄙㄜ-ㄆㄟㄊ | theme=academic-words | stage=2
 5278 | perceive                       | 察覺                             | 👁️       | chunks=['per', 'ceive'] | py=ㄆㄜ-ㄙㄧㄈ | theme=academic-words | stage=3
 5279 | positive                       | 正面的                            | ➕        | chunks=['pos', 'i', 'tive'] | py=ㄆㄚ-ㄗㄜ-ㄊㄧㄈ | theme=academic-words | stage=1
 5280 | regulate                       | 管制                             | ⚖️       | chunks=['reg', 'u', 'late'] | py=ㄖㄝ-ㄍㄩ-ㄌㄟㄊ | theme=academic-words | stage=3
 5281 | relevant                       | 相關的                            | 🔗        | chunks=['rel', 'e', 'vant'] | py=ㄖㄝ-ㄌㄜ-ㄨㄣㄊ | theme=academic-words | stage=2
 5282 | reside                         | 居住                             | 🏠        | chunks=['re', 'side'] | py=ㄖㄜ-ㄗㄞㄉ | theme=academic-words | stage=3
 5283 | resource                       | 資源                             | ⛏️       | chunks=['re', 'source'] | py=ㄖㄧ-ㄙㄛㄜㄙ | theme=academic-words | stage=2
 5284 | restrict                       | 限制                             | 🚫        | chunks=['re', 'strict'] | py=ㄖㄜ-ㄙㄊㄖㄧㄎㄊ | theme=academic-words | stage=3
 5285 | secure                         | 安全的                            | 🔒        | chunks=['se', 'cure'] | py=ㄙㄜ-ㄎㄩㄜ | theme=academic-words | stage=2
 5286 | seek                           | 尋求                             | 🔍        | chunks=['s', 'eek'] | py=ㄒㄧㄎ | theme=academic-words | stage=2
 5287 | select                         | 選擇                             | ☑️       | chunks=['se', 'lect'] | py=ㄙㄜ-ㄌㄝㄎㄊ | theme=academic-words | stage=1
 5288 | site                           | 地點                             | 📍        | chunks=['s', 'ite'] | py=ㄙㄞㄊ | theme=academic-words | stage=1 [有易混提示]
 5289 | survey                         | 調查                             | 📋        | chunks=['sur', 'vey'] | py=ㄙㄜ-ㄨㄟ | theme=academic-words | stage=2
 5290 | text                           | 文本                             | 📄        | chunks=['t', 'ext'] | py=ㄊㄝㄎㄙㄊ | theme=academic-words | stage=1
 5291 | tradition                      | 傳統                             | 🏮        | chunks=['tra', 'di', 'tion'] | py=ㄊㄖㄜ-ㄉㄧ-ㄒㄣ | theme=academic-words | stage=2
 5292 | circumstance                   | 情況                             | 📋        | chunks=['cir', 'cum', 'stance'] | py=ㄙㄜ-ㄎㄚㄇ-ㄙㄊㄢㄙ | theme=academic-words | stage=3
 5293 | comment                        | 評論                             | 💬        | chunks=['com', 'ment'] | py=ㄎㄚ-ㄇㄣㄊ | theme=academic-words | stage=2
 5294 | compensate                     | 補償                             | 💰        | chunks=['com', 'pen', 'sate'] | py=ㄎㄚㄇ-ㄆㄣ-ㄙㄟㄊ | theme=academic-words | stage=3
 5295 | component                      | 組件                             | 🧩        | chunks=['com', 'po', 'nent'] | py=ㄎㄜㄇ-ㄆㄛ-ㄋㄣㄊ | theme=academic-words | stage=3
 5296 | consent                        | 同意                             | 🤝        | chunks=['con', 'sent'] | py=ㄎㄣ-ㄙㄣㄊ | theme=academic-words | stage=3
 5297 | considerable                   | 相當的                            | 📊        | chunks=['con', 'sid', 'er', 'a', 'ble'] | py=ㄎㄣ-ㄒㄧ-ㄉㄜ-ㄜ-ㄅㄛ | theme=academic-words | stage=2 base=consider
 5298 | constant                       | 持續的                            | ⏳        | chunks=['con', 'stant'] | py=ㄎㄚㄣ-ㄙㄊㄢㄊ | theme=academic-words | stage=2
 5299 | constrain                      | 限制                             | 🚧        | chunks=['con', 'strain'] | py=ㄎㄣ-ㄙㄊㄖㄟㄣ | theme=academic-words | stage=3
 5300 | contribute                     | 貢獻                             | 🤝        | chunks=['con', 'trib', 'ute'] | py=ㄎㄣ-ㄊㄖㄧ-ㄅㄩㄊ | theme=academic-words | stage=2
 5301 | convene                        | 召開                             | 🏛️       | chunks=['con', 'vene'] | py=ㄎㄣ-ㄨㄧㄣ | theme=academic-words | stage=4
 5302 | coordinate                     | 協調                             | 🤝        | chunks=['co', 'or', 'di', 'nate'] | py=ㄎㄛ-ㄜ-ㄉㄜ-ㄋㄟㄊ | theme=academic-words | stage=3
 5303 | core                           | 核心                             | 🍎        | chunks=['c', 'ore'] | py=ㄎㄛㄜ | theme=academic-words | stage=2
 5304 | corporate                      | 企業的                            | 🏢        | chunks=['cor', 'po', 'rate'] | py=ㄎㄛ-ㄆㄜ-ㄖㄝㄊ | theme=academic-words | stage=3
 5305 | correspond                     | 對應                             | 🔗        | chunks=['cor', 're', 'spond'] | py=ㄎㄛ-ㄖㄜ-ㄙㄆㄚㄣㄉ | theme=academic-words | stage=3
 5306 | criteria                       | 標準                             | 📋        | chunks=['cri', 'te', 'ri', 'a'] | py=ㄎㄖㄞ-ㄊㄧ-ㄖㄧ-ㄜ | theme=academic-words | stage=3
 5307 | deduce                         | 推論                             | 🔍        | chunks=['de', 'duce'] | py=ㄉㄜ-ㄉㄩㄙ | theme=academic-words | stage=4
 5308 | demonstrate                    | 展示                             | 🎯        | chunks=['dem', 'on', 'strate'] | py=ㄉㄝ-ㄇㄣ-ㄙㄊㄖㄟㄊ | theme=academic-words | stage=2
 5309 | dominate                       | 支配                             | 👑        | chunks=['dom', 'i', 'nate'] | py=ㄉㄚ-ㄇㄜ-ㄋㄟㄊ | theme=academic-words | stage=3
 5310 | emphasis                       | 強調                             | ❗        | chunks=['em', 'pha', 'sis'] | py=ㄝㄇ-ㄈㄜ-ㄙㄧㄙ | theme=academic-words | stage=3
 5311 | ensure                         | 確保                             | ✅        | chunks=['en', 'sure'] | py=ㄣ-ㄒㄩㄜ | theme=academic-words | stage=2 [有易混提示]
 5312 | exclude                        | 排除                             | 🚫        | chunks=['ex', 'clude'] | py=ㄝㄎ-ㄙㄎㄌㄨㄉ | theme=academic-words | stage=2
 5313 | illustrate                     | 舉例說明                           | 🖼️       | chunks=['il', 'lus', 'trate'] | py=ㄧ-ㄌㄚㄙ-ㄊㄖㄟㄊ | theme=academic-words | stage=2
 5314 | immigrate                      | 移民                             | 🌍        | chunks=['im', 'mi', 'grate'] | py=ㄧ-ㄇㄜ-ㄍㄖㄟㄊ | theme=academic-words | stage=3 [有易混提示]
 5315 | imply                          | 暗示                             | 💭        | chunks=['im', 'ply'] | py=ㄧㄇ-ㄆㄌㄞ | theme=academic-words | stage=2 [有易混提示]
 5316 | initial                        | 最初的                            | 🥇        | chunks=['i', 'ni', 'tial'] | py=ㄜ-ㄋㄧ-ㄒㄛ | theme=academic-words | stage=2
 5317 | interact                       | 互動                             | 🤝        | chunks=['in', 'ter', 'act'] | py=ㄧㄣ-ㄊㄜ-ㄚㄎㄊ | theme=academic-words | stage=2
 5318 | justify                        | 證明合理                           | ⚖️       | chunks=['jus', 'ti', 'fy'] | py=ㄐㄚ-ㄙㄊㄜ-ㄈㄞ | theme=academic-words | stage=3
 5319 | layer                          | 層                              | 📚        | chunks=['lay', 'er'] | py=ㄌㄟ-ㄜ | theme=academic-words | stage=2
 5320 | link                           | 連結                             | 🔗        | chunks=['l', 'ink'] | py=ㄌㄧㄥㄎ | theme=academic-words | stage=1
 5321 | locate                         | 找到                             | 📍        | chunks=['lo', 'cate'] | py=ㄌㄛ-ㄎㄟㄊ | theme=academic-words | stage=2
 5322 | maximize                       | 最大化                            | 📈        | chunks=['max', 'i', 'mize'] | py=ㄇㄚㄎ-ㄙㄜ-ㄇㄞㄗ | theme=academic-words | stage=3
 5323 | minor                          | 次要的                            | 🔽        | chunks=['mi', 'nor'] | py=ㄇㄞ-ㄋㄜ | theme=academic-words | stage=2 [有易混提示]
 5324 | negate                         | 否定                             | ❌        | chunks=['ne', 'gate'] | py=ㄋㄜ-ㄍㄟㄊ | theme=academic-words | stage=4
 5325 | outcome                        | 結果                             | 🎯        | chunks=['out', 'come'] | py=ㄠㄊ-ㄎㄚㄇ | theme=academic-words | stage=2
 5326 | physical                       | 身體的                            | 💪        | chunks=['phys', 'i', 'cal'] | py=ㄈㄧ-ㄗㄜ-ㄎㄛ | theme=academic-words | stage=1 base=physics
 5327 | proportion                     | 比例                             | 📊        | chunks=['pro', 'por', 'tion'] | py=ㄆㄖㄜ-ㄆㄛ-ㄒㄣ | theme=academic-words | stage=2
 5328 | react                          | 反應                             | ⚡        | chunks=['re', 'act'] | py=ㄖㄧ-ㄚㄎㄊ | theme=academic-words | stage=2
 5329 | rely                           | 依賴                             | 🤝        | chunks=['re', 'ly'] | py=ㄖㄜ-ㄌㄞ | theme=academic-words | stage=2
 5330 | remove                         | 移除                             | 🗑️       | chunks=['re', 'move'] | py=ㄖㄜ-ㄇㄨㄈ | theme=academic-words | stage=1
 5331 | scheme                         | 計畫                             | 📋        | chunks=['sch', 'eme'] | py=ㄙㄎㄧㄇ | theme=academic-words | stage=3
 5332 | sequence                       | 序列                             | 🔢        | chunks=['se', 'quence'] | py=ㄙㄧ-ㄎㄨㄣㄙ | theme=academic-words | stage=2
 5333 | specify                        | 具體說明                           | 📝        | chunks=['spec', 'i', 'fy'] | py=ㄙㄆㄝ-ㄙㄜ-ㄈㄞ | theme=academic-words | stage=3
 5334 | sufficient                     | 足夠的                            | ✅        | chunks=['suf', 'fi', 'cient'] | py=ㄙㄜ-ㄈㄧ-ㄒㄣㄊ | theme=academic-words | stage=2
