# 字 2000-2499
 2000 | brusselsprout                  | 球芽甘藍                           | 🥬        | chunks=['brus', 'sels', 'sprout'] | py=ㄅㄌㄚ-ㄙㄜㄗ-ㄙㄆㄌㄠㄊ | theme=vegetables | stage=3
 2174 | southeast                      | 東南                             | ↘️       | chunks=['south', 'east'] | py=ㄙㄠㄙ-ㄧㄙㄊ | theme=directions | stage=2
 2175 | southwest                      | 西南                             | ↙️       | chunks=['south', 'west'] | py=ㄙㄠㄙ-ㄨㄝㄙㄊ | theme=directions | stage=2
 2176 | compass                        | 指南針                            | 🧭        | chunks=['com', 'pass'] | py=ㄎㄚㄇ-ㄆㄚㄙ | theme=directions | stage=1
 2177 | gps                            | 衛星定位                           | 📍        | chunks=['g', 'p', 's'] | py=ㄐㄧ-ㄆㄧ-ㄝㄙ | theme=directions | stage=1
 2178 | upward                         | 向上                             | ⬆️       | chunks=['up', 'ward'] | py=ㄚㄆ-ㄨㄜㄉ | theme=directions | stage=1
 2179 | downward                       | 向下                             | ⬇️       | chunks=['down', 'ward'] | py=ㄉㄠㄣ-ㄨㄜㄉ | theme=directions | stage=1
 2180 | sideways                       | 側向                             | ↔️       | chunks=['side', 'ways'] | py=ㄙㄞㄉ-ㄨㄝㄗ | theme=directions | stage=2
 2181 | inward                         | 向內                             | 📥        | chunks=['in', 'ward'] | py=ㄧㄣ-ㄨㄜㄉ | theme=directions | stage=2
 2182 | outward                        | 向外                             | 📤        | chunks=['out', 'ward'] | py=ㄠㄊ-ㄨㄜㄉ | theme=directions | stage=2
 2183 | leftward                       | 向左                             | ⬅️       | chunks=['left', 'ward'] | py=ㄌㄝㄈㄊ-ㄨㄜㄉ | theme=directions | stage=2
 2184 | rightward                      | 向右                             | ➡️       | chunks=['right', 'ward'] | py=ㄌㄞㄊ-ㄨㄜㄉ | theme=directions | stage=2
 2185 | direction                      | 方向                             | 🧭        | chunks=['di', 'rec', 'tion'] | py=ㄉㄜ-ㄌㄝㄎ-ㄒㄣ | theme=directions | stage=1
 2186 | location                       | 位置                             | 📍        | chunks=['lo', 'ca', 'tion'] | py=ㄌㄛ-ㄎㄟ-ㄒㄣ | theme=directions | stage=1
 2187 | position                       | 位置                             | 📍        | chunks=['po', 'si', 'tion'] | py=ㄆㄜ-ㄗㄧ-ㄒㄣ | theme=directions | stage=1 base=pose
 2188 | pointer                        | 指針                             | 👉        | chunks=['poin', 'ter'] | py=ㄆㄛㄧㄣ-ㄊㄜ | theme=directions | stage=2 base=point
 2189 | bend                           | 彎                              | 📐        | chunks=['b', 'end'] | py=ㄅㄝㄣㄉ | theme=directions | stage=1
 2190 | turn                           | 轉彎                             | ↩️       | chunks=['t', 'urn'] | py=ㄊㄜㄣ | theme=directions | stage=0 [有易混提示]
 2191 | swerve                         | 急轉                             | ↪️       | chunks=['sw', 'erve'] | py=ㄙㄨㄜㄈ | theme=directions | stage=3
 2192 | distance                       | 距離                             | 📏        | chunks=['dis', 'tance'] | py=ㄉㄧㄙ-ㄉㄢㄙ | theme=directions | stage=1
 2193 | nearby                         | 附近                             | 📍        | chunks=['near', 'by'] | py=ㄋㄧㄦ-ㄅㄞ | theme=directions | stage=1
 2194 | farther                        | 更遠                             | ➡️       | chunks=['far', 'ther'] | py=ㄈㄚㄦ-ㄉㄜ | theme=directions | stage=2 [有易混提示]
 2195 | closer                         | 更近                             | 📍        | chunks=['clo', 'ser'] | py=ㄎㄌㄛ-ㄗㄜ | theme=directions | stage=1 base=close
 2196 | opposite                       | 對面                             | ↔️       | chunks=['op', 'po', 'site'] | py=ㄚ-ㄆㄜ-ㄗㄝㄊ | theme=directions | stage=2
 2197 | parallel                       | 平行的                            | 📏        | chunks=['par', 'al', 'lel'] | py=ㄆㄝ-ㄌㄜ-ㄌㄜ | theme=directions | stage=2
 2198 | perpendicular                  | 垂直的                            | 📐        | chunks=['per', 'pen', 'dic', 'u', 'lar'] | py=ㄆㄜ-ㄆㄣ-ㄉㄧㄎ-ㄐㄜ-ㄌㄜ | theme=directions | stage=3
 2199 | clockwise                      | 順時針                            | 🔃        | chunks=['clock', 'wise'] | py=ㄎㄌㄚㄎ-ㄨㄞㄗ | theme=directions | stage=2
 2200 | counterclockwise               | 逆時針                            | 🔄        | chunks=['coun', 'ter', 'clock', 'wise'] | py=ㄎㄠㄣ-ㄊㄜ-ㄎㄌㄚㄎ-ㄨㄞㄗ | theme=directions | stage=3
 2201 | horizontal                     | 水平的                            | ↔️       | chunks=['hor', 'i', 'zon', 'tal'] | py=ㄏㄚ-ㄌㄜ-ㄗㄚㄣ-ㄊㄜ | theme=directions | stage=2
 2202 | vertical                       | 垂直的                            | ↕️       | chunks=['ver', 'ti', 'cal'] | py=ㄈㄜ-ㄊㄜ-ㄎㄜ | theme=directions | stage=2
 2203 | diagonal                       | 對角的、斜的                         | ↗️       | chunks=['di', 'ag', 'o', 'nal'] | py=ㄉㄞ-ㄚㄍ-ㄜ-ㄋㄜ | theme=directions | stage=2
 2204 | route                          | 路線                             | 🛣️       | chunks=['r', 'oute'] | py=ㄌㄨㄊ | theme=directions | stage=2
 2205 | journey                        | 旅程                             | 🚶        | chunks=['jour', 'ney'] | py=ㄐㄜ-ㄋㄧ | theme=directions | stage=2
 2206 | avenue                         | 大道                             | 🛣️       | chunks=['av', 'e', 'nue'] | py=ㄚ-ㄈㄜ-ㄋㄧㄨ | theme=directions | stage=2
 2207 | boulevard                      | 林蔭大道                           | 🛣️       | chunks=['bou', 'le', 'vard'] | py=ㄅㄨ-ㄌㄜ-ㄈㄚㄦㄉ | theme=directions | stage=3
 2208 | lane                           | 巷                              | 🛣️       | chunks=['l', 'ane'] | py=ㄌㄟㄣ | theme=directions | stage=1
 2209 | exit                           | 出口                             | 🚪        | chunks=['ex', 'it'] | py=ㄝㄎ-ㄗㄜㄊ | theme=directions | stage=1
 2210 | entrance                       | 入口                             | 🚪        | chunks=['en', 'trance'] | py=ㄝㄣ-ㄊㄌㄢㄙ | theme=directions | stage=1
 2211 | slope                          | 斜坡                             | 📐        | chunks=['sl', 'ope'] | py=ㄙㄌㄛㄆ | theme=directions | stage=2
 2212 | tilt                           | 傾斜                             | 📐        | chunks=['t', 'ilt'] | py=ㄊㄧㄦㄊ | theme=directions | stage=2
 2213 | motorcycle                     | 摩托車                            | 🏍️       | chunks=['mo', 'tor', 'cy', 'cle'] | py=ㄇㄛ-ㄊㄜ-ㄙㄞ-ㄎㄜ | theme=transportation | stage=2
 2214 | scooter                        | 滑板車                            | 🛴        | chunks=['scoo', 'ter'] | py=ㄙㄎㄨ-ㄊㄜ | theme=transportation | stage=1
 2215 | bicycle                        | 腳踏車                            | 🚲        | chunks=['bi', 'cy', 'cle'] | py=ㄅㄞ-ㄙㄞ-ㄎㄜ | theme=transportation | stage=1
 2216 | tricycle                       | 三輪車                            | 🚲        | chunks=['tri', 'cy', 'cle'] | py=ㄊㄌㄞ-ㄙㄞ-ㄎㄜ | theme=transportation | stage=2
 2217 | unicycle                       | 單輪車                            | 🚲        | chunks=['u', 'ni', 'cy', 'cle'] | py=ㄧㄨ-ㄋㄜ-ㄙㄞ-ㄎㄜ | theme=transportation | stage=3
 2218 | skateboard                     | 滑板                             | 🛹        | chunks=['skate', 'board'] | py=ㄙㄎㄟㄊ-ㄅㄛㄦㄉ | theme=transportation | stage=1
 2219 | rollerblade                    | 直排輪                            | 🛼        | chunks=['rol', 'ler', 'blade'] | py=ㄌㄛ-ㄌㄜ-ㄅㄌㄝㄉ | theme=transportation | stage=2
 2220 | hoverboard                     | 懸浮滑板                           | 🛹        | chunks=['ho', 'ver', 'board'] | py=ㄏㄚ-ㄈㄜ-ㄅㄛㄦㄉ | theme=transportation | stage=2
 2221 | helicopter                     | 直升機                            | 🚁        | chunks=['hel', 'i', 'cop', 'ter'] | py=ㄏㄝ-ㄌㄜ-ㄎㄚㄆ-ㄊㄜ | theme=transportation | stage=2
 2222 | jet                            | 噴射機                            | ✈️       | chunks=['j', 'et'] | py=ㄐㄝㄊ | theme=transportation | stage=1
 2223 | glider                         | 滑翔機                            | ✈️       | chunks=['gli', 'der'] | py=ㄍㄌㄞ-ㄉㄜ | theme=transportation | stage=3 base=glide
 2224 | blimp                          | 飛艇                             | ✈️       | chunks=['bl', 'imp'] | py=ㄅㄌㄧㄇㄆ | theme=transportation | stage=3
 2225 | parachute                      | 降落傘                            | 🪂        | chunks=['par', 'a', 'chute'] | py=ㄆㄝ-ㄌㄜ-ㄒㄨㄊ | theme=transportation | stage=2
 2226 | rocket                         | 火箭                             | 🚀        | chunks=['roc', 'ket'] | py=ㄌㄚ-ㄎㄝㄊ | theme=transportation | stage=1
 2227 | spaceship                      | 太空船                            | 🚀        | chunks=['space', 'ship'] | py=ㄙㄆㄝㄙ-ㄒㄧㄆ | theme=transportation | stage=1
 2228 | canoe                          | 獨木舟                            | 🛶        | chunks=['ca', 'noe'] | py=ㄎㄜ-ㄋㄨ | theme=transportation | stage=2
 2229 | kayak                          | 皮艇                             | 🛶        | chunks=['kay', 'ak'] | py=ㄎㄞ-ㄚㄎ | theme=transportation | stage=2
 2230 | raft                           | 筏                              | 🛶        | chunks=['r', 'aft'] | py=ㄌㄚㄈㄊ | theme=transportation | stage=2
 2231 | yacht                          | 遊艇                             | ⛵        | chunks=['y', 'acht'] | py=ㄧㄚㄊ | theme=transportation | stage=2
 2232 | ferry                          | 渡輪                             | 🚢        | chunks=['fer', 'ry'] | py=ㄈㄝ-ㄌㄧ | theme=transportation | stage=2
 2233 | cruise                         | 郵輪                             | 🚢        | chunks=['cr', 'uise'] | py=ㄎㄌㄨㄗ | theme=transportation | stage=2
 2234 | submarine                      | 潛水艇                            | 🚢        | chunks=['sub', 'ma', 'rine'] | py=ㄙㄚㄅ-ㄇㄜ-ㄌㄧㄣ | theme=transportation | stage=2
 2235 | jetski                         | 水上摩托車                          | 🛥️       | chunks=['jet', 'ski'] | py=ㄐㄝㄊ-ㄙㄎㄧ | theme=transportation | stage=2
 2236 | van                            | 廂型車                            | 🚐        | chunks=['v', 'an'] | py=ㄈㄚㄣ | theme=transportation | stage=1
 2237 | lorry                          | 卡車                             | 🚛        | chunks=['lor', 'ry'] | py=ㄌㄚ-ㄌㄧ | theme=transportation | stage=3
 2238 | pickup                         | 皮卡                             | 🛻        | chunks=['pick', 'up'] | py=ㄆㄧㄎ-ㄚㄆ | theme=transportation | stage=2
 2239 | ambulance                      | 救護車                            | 🚑        | chunks=['am', 'bu', 'lance'] | py=ㄚㄇ-ㄅㄧㄨ-ㄌㄢㄙ | theme=transportation | stage=2
 2240 | firetruck                      | 消防車                            | 🚒        | chunks=['fire', 'truck'] | py=ㄈㄞㄜ-ㄊㄌㄚㄎ | theme=transportation | stage=1
 2241 | schoolbus                      | 校車                             | 🚌        | chunks=['school', 'bus'] | py=ㄙㄎㄨㄦ-ㄅㄚㄙ | theme=transportation | stage=1
 2242 | minivan                        | 小型廂車                           | 🚐        | chunks=['mi', 'ni', 'van'] | py=ㄇㄧ-ㄋㄧ-ㄈㄚㄣ | theme=transportation | stage=2
 2243 | sedan                          | 轎車                             | 🚗        | chunks=['se', 'dan'] | py=ㄒㄧ-ㄉㄢ | theme=transportation | stage=2
 2244 | convertible                    | 敞篷車                            | 🚗        | chunks=['con', 'ver', 'ti', 'ble'] | py=ㄎㄢ-ㄈㄜ-ㄊㄜ-ㄅㄜ | theme=transportation | stage=3 base=convert
 2245 | sportscar                      | 跑車                             | 🏎️       | chunks=['sports', 'car'] | py=ㄙㄆㄛㄦㄗ-ㄎㄚㄦ | theme=transportation | stage=2
 2246 | racecar                        | 賽車                             | 🏎️       | chunks=['race', 'car'] | py=ㄌㄝㄙ-ㄎㄚㄦ | theme=transportation | stage=2
 2247 | tram                           | 電車                             | 🚊        | chunks=['tr', 'am'] | py=ㄊㄌㄚㄇ | theme=transportation | stage=2
 2248 | trolley                        | 電車、手推車                         | 🚋        | chunks=['trol', 'ley'] | py=ㄊㄌㄚ-ㄌㄧ | theme=transportation | stage=2
 2249 | cablecar                       | 纜車                             | 🚠        | chunks=['ca', 'ble', 'car'] | py=ㄎㄟ-ㄅㄜ-ㄎㄚㄦ | theme=transportation | stage=2
 2250 | monorail                       | 單軌                             | 🚝        | chunks=['mo', 'no', 'rail'] | py=ㄇㄚ-ㄋㄛ-ㄌㄟㄦ | theme=transportation | stage=3
 2251 | metro                          | 地鐵                             | 🚇        | chunks=['met', 'ro'] | py=ㄇㄝ-ㄊㄌㄛ | theme=transportation | stage=1
 2252 | railway                        | 鐵路                             | 🛤️       | chunks=['rail', 'way'] | py=ㄌㄟㄦ-ㄨㄝ | theme=transportation | stage=1
 2253 | bullettrain                    | 高鐵                             | 🚄        | chunks=['bul', 'let', 'train'] | py=ㄅㄨ-ㄌㄝㄊ-ㄊㄌㄟㄣ | theme=transportation | stage=1
 2254 | freight                        | 貨運                             | 🚛        | chunks=['fr', 'eight'] | py=ㄈㄌㄟㄊ | theme=transportation | stage=2
 2255 | locomotive                     | 火車頭                            | 🚂        | chunks=['lo', 'co', 'mo', 'tive'] | py=ㄌㄛ-ㄎㄜ-ㄇㄛ-ㄊㄧㄈ | theme=transportation | stage=3
 2256 | carriage                       | 車廂、馬車                          | 🚂        | chunks=['car', 'riage'] | py=ㄎㄝ-ㄌㄧㄐ | theme=transportation | stage=2
 2257 | wagon                          | 四輪車、旅行車                        | 🚙        | chunks=['wa', 'gon'] | py=ㄨㄚ-ㄍㄢ | theme=transportation | stage=2
 2258 | stroller                       | 嬰兒車                            | 👶        | chunks=['strol', 'ler'] | py=ㄙㄉㄌㄛ-ㄌㄜ | theme=transportation | stage=2 base=stroll
 2259 | wheelchair                     | 輪椅                             | 🦽        | chunks=['wheel', 'chair'] | py=ㄨㄧㄦ-ㄑㄝㄜ | theme=transportation | stage=1
 2260 | sled                           | 雪橇                             | 🛷        | chunks=['sl', 'ed'] | py=ㄙㄌㄝㄉ | theme=transportation | stage=2
 2261 | snowmobile                     | 雪上摩托                           | 🛷        | chunks=['snow', 'mo', 'bile'] | py=ㄙㄋㄛ-ㄇㄛ-ㄅㄧㄦ | theme=transportation | stage=3
 2262 | rickshaw                       | 人力車                            | 🛺        | chunks=['rick', 'shaw'] | py=ㄌㄧㄎ-ㄒㄛ | theme=transportation | stage=3
 2263 | terminal                       | 航廈                             | 🛫        | chunks=['ter', 'mi', 'nal'] | py=ㄊㄜ-ㄇㄜ-ㄋㄜ | theme=transportation | stage=2
 2264 | port                           | 港口                             | ⚓        | chunks=['p', 'ort'] | py=ㄆㄛㄦㄊ | theme=transportation | stage=1
 2265 | harbor                         | 港灣                             | ⚓        | chunks=['har', 'bor'] | py=ㄏㄚㄦ-ㄅㄜ | theme=transportation | stage=2
 2266 | dock                           | 碼頭                             | ⚓        | chunks=['d', 'ock'] | py=ㄉㄚㄎ | theme=transportation | stage=2
 2267 | runway                         | 跑道                             | 🛬        | chunks=['run', 'way'] | py=ㄌㄚㄣ-ㄨㄝ | theme=transportation | stage=2
 2268 | platform                       | 月台                             | 🚉        | chunks=['plat', 'form'] | py=ㄆㄌㄚㄊ-ㄈㄛㄦㄇ | theme=transportation | stage=1
 2269 | shuttle                        | 接駁車                            | 🚐        | chunks=['shut', 'tle'] | py=ㄒㄚ-ㄉㄜ | theme=transportation | stage=2
 2270 | limo                           | 豪華禮車                           | 🚙        | chunks=['li', 'mo'] | py=ㄌㄧ-ㄇㄛ | theme=transportation | stage=2
 2271 | hearse                         | 靈車                             | ⚰️       | chunks=['h', 'earse'] | py=ㄏㄜㄙ | theme=transportation | stage=3
 2272 | taxicab                        | 計程車                            | 🚕        | chunks=['tax', 'i', 'cab'] | py=ㄊㄚㄎ-ㄒㄜ-ㄎㄚㄅ | theme=transportation | stage=1
 2273 | museum                         | 博物館                            | 🏛️       | chunks=['mu', 'se', 'um'] | py=ㄇㄧㄨ-ㄗㄧ-ㄜㄇ | theme=places | stage=1
 2274 | theater                        | 劇院                             | 🎭        | chunks=['the', 'a', 'ter'] | py=ㄒㄧ-ㄝ-ㄊㄜ | theme=places | stage=1
 2275 | cinema                         | 電影院                            | 🎬        | chunks=['cin', 'e', 'ma'] | py=ㄒㄧ-ㄋㄜ-ㄇㄚ | theme=places | stage=1
 2276 | supermarket                    | 超市                             | 🛒        | chunks=['su', 'per', 'mar', 'ket'] | py=ㄙㄨ-ㄆㄜ-ㄇㄚㄦ-ㄎㄝㄊ | theme=places | stage=1
 2277 | bakery                         | 麵包店                            | 🥖        | chunks=['bak', 'e', 'ry'] | py=ㄅㄝ-ㄎㄜ-ㄌㄧ | theme=places | stage=1 base=bake
 2278 | pharmacy                       | 藥局                             | 💊        | chunks=['phar', 'ma', 'cy'] | py=ㄈㄚㄦ-ㄇㄜ-ㄒㄧ | theme=places | stage=1
 2279 | atm                            | 提款機                            | 🏧        | chunks=['a', 't', 'm'] | py=ㄝ-ㄊㄧ-ㄝㄇ | theme=places | stage=1
 2280 | cafe                           | 咖啡店                            | ☕        | chunks=['ca', 'fe'] | py=ㄎㄚ-ㄈㄟ | theme=places | stage=1
 2281 | pub                            | 酒吧                             | 🍻        | chunks=['p', 'ub'] | py=ㄆㄚㄅ | theme=places | stage=2
 2282 | club                           | 俱樂部                            | 🎶        | chunks=['cl', 'ub'] | py=ㄎㄌㄚㄅ | theme=places | stage=1 [有易混提示]
 2283 | casino                         | 賭場                             | 🎰        | chunks=['ca', 'si', 'no'] | py=ㄎㄜ-ㄒㄧ-ㄋㄛ | theme=places | stage=2
 2284 | motel                          | 汽車旅館                           | 🏨        | chunks=['mo', 'tel'] | py=ㄇㄛ-ㄊㄝㄦ | theme=places | stage=2
 2285 | inn                            | 小旅館                            | 🏨        | chunks=['i', 'nn'] | py=ㄧㄣ | theme=places | stage=2
 2286 | resort                         | 度假村                            | 🏖️       | chunks=['re', 'sort'] | py=ㄌㄧ-ㄗㄛㄦㄊ | theme=places | stage=2
 2287 | spa                            | 水療                             | 💆        | chunks=['sp', 'a'] | py=ㄙㄆㄚ | theme=places | stage=1
 2288 | factory                        | 工廠                             | 🏭        | chunks=['fac', 'to', 'ry'] | py=ㄈㄚㄎ-ㄊㄜ-ㄌㄧ | theme=places | stage=1
 2289 | warehouse                      | 倉庫                             | 🏭        | chunks=['ware', 'house'] | py=ㄨㄝㄜ-ㄏㄠㄙ | theme=places | stage=2
 2290 | workshop                       | 工坊                             | 🛠️       | chunks=['work', 'shop'] | py=ㄨㄜㄎ-ㄒㄚㄆ | theme=places | stage=2
 2291 | studio                         | 工作室                            | 🎨        | chunks=['stu', 'di', 'o'] | py=ㄙㄉㄨ-ㄉㄧ-ㄛ | theme=places | stage=2
 2292 | church                         | 教堂                             | ⛪        | chunks=['ch', 'urch'] | py=ㄑㄜㄑ | theme=places | stage=1
 2293 | mosque                         | 清真寺                            | 🕌        | chunks=['m', 'osque'] | py=ㄇㄚㄙㄎ | theme=places | stage=2
 2294 | synagogue                      | 猶太會堂                           | 🕍        | chunks=['syn', 'a', 'gogue'] | py=ㄒㄧ-ㄋㄜ-ㄍㄚㄍ | theme=places | stage=3
 2295 | cathedral                      | 大教堂                            | ⛪        | chunks=['ca', 'the', 'dral'] | py=ㄎㄜ-ㄒㄧ-ㄉㄌㄜ | theme=places | stage=2
 2296 | shrine                         | 神社                             | ⛩️       | chunks=['shr', 'ine'] | py=ㄒㄌㄞㄣ | theme=places | stage=3
 2297 | chapel                         | 小教堂                            | ⛪        | chunks=['chap', 'el'] | py=ㄑㄚ-ㄆㄜ | theme=places | stage=3
 2298 | zoo                            | 動物園                            | 🦁        | chunks=['z', 'oo'] | py=ㄗㄨ | theme=places | stage=0
 2299 | aquarium                       | 水族館                            | 🐠        | chunks=['aqua', 'ri', 'um'] | py=ㄚ-ㄎㄨㄝ-ㄌㄧ-ㄚㄇ | theme=places | stage=1
 2300 | planetarium                    | 天文館                            | 🌌        | chunks=['plan', 'e', 'tar', 'i', 'um'] | py=ㄆㄌㄚ-ㄋㄜ-ㄊㄝ-ㄌㄧ-ㄜㄇ | theme=places | stage=3
 2301 | observatory                    | 天文台                            | 🔭        | chunks=['ob', 'ser', 'va', 'to', 'ry'] | py=ㄚㄅ-ㄗㄜ-ㄈㄚ-ㄊㄜ-ㄌㄧ | theme=places | stage=3
 2302 | gallery                        | 美術館                            | 🖼️       | chunks=['gal', 'le', 'ry'] | py=ㄍㄚ-ㄌㄜ-ㄌㄧ | theme=places | stage=2
 2303 | amusementpark                  | 遊樂園                            | 🎡        | chunks=['a', 'muse', 'ment', 'park'] | py=ㄚ-ㄇㄧㄨㄗ-ㄇㄣㄊ-ㄆㄚㄦㄎ | theme=places | stage=1
 2304 | themepark                      | 主題樂園                           | 🎢        | chunks=['theme', 'park'] | py=ㄒㄧㄇ-ㄆㄚㄦㄎ | theme=places | stage=2
 2305 | carnival                       | 嘉年華                            | 🎪        | chunks=['car', 'ni', 'val'] | py=ㄎㄚㄦ-ㄋㄜ-ㄈㄜ | theme=places | stage=2
 2306 | circus                         | 馬戲團                            | 🎪        | chunks=['cir', 'cus'] | py=ㄙㄜ-ㄎㄜㄙ | theme=places | stage=1
 2307 | courthouse                     | 法院                             | ⚖️       | chunks=['court', 'house'] | py=ㄎㄛㄦㄊ-ㄏㄠㄙ | theme=places | stage=2
 2308 | prison                         | 監獄                             | 🔒        | chunks=['pri', 'son'] | py=ㄆㄌㄧ-ㄗㄣ | theme=places | stage=2
 2309 | jail                           | 監獄                             | 🔒        | chunks=['j', 'ail'] | py=ㄐㄟㄦ | theme=places | stage=2
 2310 | postoffice                     | 郵局                             | 📮        | chunks=['post', 'of', 'fice'] | py=ㄆㄛㄙㄊ-ㄚ-ㄈㄜㄙ | theme=places | stage=1
 2311 | neighborhood                   | 社區                             | 🏘️       | chunks=['neigh', 'bor', 'hood'] | py=ㄋㄟ-ㄅㄜ-ㄏㄨㄉ | theme=places | stage=2
 2312 | suburb                         | 郊區                             | 🏘️       | chunks=['sub', 'urb'] | py=ㄙㄚ-ㄅㄜㄅ | theme=places | stage=2
 2313 | district                       | 區                              | 🗺️       | chunks=['dis', 'trict'] | py=ㄉㄧㄙ-ㄊㄌㄧㄎㄊ | theme=places | stage=2
 2314 | borough                        | 自治區                            | 🗺️       | chunks=['bor', 'ough'] | py=ㄅㄜ-ㄛ | theme=places | stage=3
 2315 | county                         | 縣                              | 🗺️       | chunks=['coun', 'ty'] | py=ㄎㄠㄣ-ㄊㄧ | theme=places | stage=2
 2316 | province                       | 省                              | 🗺️       | chunks=['prov', 'ince'] | py=ㄆㄌㄚ-ㄈㄧㄣㄙ | theme=places | stage=3
 2317 | plaza                          | 廣場                             | 🏛️       | chunks=['pla', 'za'] | py=ㄆㄌㄚ-ㄗㄚ | theme=places | stage=2
 2318 | alley                          | 小巷                             | 🛣️       | chunks=['al', 'ley'] | py=ㄚ-ㄌㄧ | theme=places | stage=2 [有易混提示]
 2319 | patio                          | 露台                             | 🏠        | chunks=['pa', 'ti', 'o'] | py=ㄆㄚ-ㄊㄧ-ㄛ | theme=places | stage=2
 2320 | deck                           | 露台、甲板                          | 🚢        | chunks=['d', 'eck'] | py=ㄉㄝㄎ | theme=places | stage=2
 2321 | porch                          | 門廊                             | 🏠        | chunks=['p', 'orch'] | py=ㄆㄛㄦㄑ | theme=places | stage=2
 2322 | yard                           | 院子                             | 🏡        | chunks=['y', 'ard'] | py=ㄧㄚㄦㄉ | theme=places | stage=1 [有易混提示]
 2323 | farm                           | 農場                             | 🚜        | chunks=['f', 'arm'] | py=ㄈㄚㄦㄇ | theme=places | stage=0
 2324 | ranch                          | 牧場                             | 🐎        | chunks=['r', 'anch'] | py=ㄌㄚㄣㄑ | theme=places | stage=2
 2325 | mine                           | 礦坑                             | ⛏️       | chunks=['m', 'ine'] | py=ㄇㄞㄣ | theme=places | stage=2
 2326 | quarry                         | 採石場                            | ⛏️       | chunks=['quar', 'ry'] | py=ㄎㄨㄛ-ㄌㄧ | theme=places | stage=3
 2327 | prairie                        | 草原                             | 🌾        | chunks=['prai', 'rie'] | py=ㄆㄌㄝ-ㄌㄧ | theme=places | stage=3
 2328 | bookstore                      | 書店                             | 📚        | chunks=['book', 'store'] | py=ㄅㄨㄎ-ㄙㄉㄛㄦ | theme=places | stage=1
 2329 | drugstore                      | 藥妝店                            | 💊        | chunks=['drug', 'store'] | py=ㄉㄌㄚㄍ-ㄙㄉㄛㄦ | theme=places | stage=1
 2330 | deli                           | 熟食店                            | 🥪        | chunks=['de', 'li'] | py=ㄉㄝ-ㄌㄧ | theme=places | stage=2
 2331 | diner                          | 小餐館                            | 🍽️       | chunks=['di', 'ner'] | py=ㄉㄞ-ㄋㄜ | theme=places | stage=2 base=dine
 2332 | wood                           | 木頭                             | 🪵        | chunks=['w', 'ood'] | py=ㄨㄨㄉ | theme=materials | stage=2 [有易混提示]
 2333 | glass                          | 玻璃                             | 🥃        | chunks=['gl', 'ass'] | py=ㄍㄌㄝㄙ | theme=materials | stage=2 [有易混提示]
 2334 | plastic                        | 塑膠                             | 🥤        | chunks=['plas', 'tic'] | py=ㄆㄌㄝㄙ-ㄊㄧㄎ | theme=materials | stage=2
 2335 | iron                           | 鐵                              | 🔩        | chunks=['i', 'ron'] | py=ㄞ-ㄦㄣ | theme=materials | stage=2 [有易混提示]
 2336 | rubber                         | 橡膠                             | 🧽        | chunks=['rub', 'ber'] | py=ㄖㄚ-ㄅㄜ | theme=materials | stage=2 base=rub
 2337 | hammer                         | 鎚子                             | 🔨        | chunks=['ham', 'mer'] | py=ㄏㄝ-ㄇㄜ | theme=tools | stage=2
 2338 | screwdriver                    | 螺絲起子                           | 🪛        | chunks=['screw', 'driv', 'er'] | py=ㄙㄎㄦㄨ-ㄉㄖㄞ-ㄈㄜ | theme=tools | stage=2
 2339 | screw                          | 螺絲                             | 🔩        | chunks=['scr', 'ew'] | py=ㄙㄎㄖㄨ | theme=tools | stage=2
 2340 | wrench                         | 扳手                             | 🔧        | chunks=['wr', 'ench'] | py=ㄖㄝㄣㄔ | theme=tools | stage=2
 2341 | drill                          | 鑽子                             | ⚒️       | chunks=['dr', 'ill'] | py=ㄉㄖㄧㄛ | theme=tools | stage=2
 2342 | ladder                         | 梯子                             | 🪜        | chunks=['lad', 'der'] | py=ㄌㄝ-ㄉㄜ | theme=tools | stage=2
 2343 | rope                           | 繩子                             | 🪢        | chunks=['r', 'ope'] | py=ㄖㄛㄆ | theme=tools | stage=2
 2344 | glue                           | 膠水                             | 🧴        | chunks=['gl', 'ue'] | py=ㄍㄌㄨ | theme=tools | stage=2
 2345 | tape                           | 膠帶                             | 📼        | chunks=['t', 'ape'] | py=ㄊㄟㄆ | theme=tools | stage=2
 2346 | China                          | 中國                             | 🇨🇳       | chunks=['chi', 'na'] | py=ㄔㄞ-ㄋㄚ | theme=countries | stage=1
 2347 | Japan                          | 日本                             | 🇯🇵       | chunks=['ja', 'pan'] | py=ㄐㄚ-ㄆㄝㄣ | theme=countries | stage=1
 2348 | Korea                          | 韓國                             | 🇰🇷       | chunks=['ko', 'rea'] | py=ㄎㄛ-ㄖㄧㄚ | theme=countries | stage=1
 2349 | Taiwan                         | 台灣                             | 🇹🇼       | chunks=['tai', 'wan'] | py=ㄊㄞ-ㄨㄢ | theme=countries | stage=1
 2350 | England                        | 英國                             | 🇬🇧       | chunks=['eng', 'land'] | py=ㄧㄥ-ㄌㄢㄉ | theme=countries | stage=1
 2351 | France                         | 法國                             | 🇫🇷       | chunks=['fr', 'ance'] | py=ㄈㄖㄝㄣㄙ | theme=countries | stage=1
 2352 | Germany                        | 德國                             | 🇩🇪       | chunks=['ger', 'ma', 'ny'] | py=ㄐㄦ-ㄇㄜ-ㄋㄧ | theme=countries | stage=1
