# 字 6000-6499
 6000 | bug                            | 蟲子                             | 🐾        | chunks=['b', 'ug'] | py=ㄅㄧ-ㄚㄍ | theme=animals | stage=1
 6187 | active                         | 活潑的                            | ⚡        | chunks=['ac', 'ti', 've'] | py=ㄚㄎ-ㄊㄜ-ㄈㄜ | theme=personality | stage=2 base=act
 6188 | addition                       | 附加                             | 🎓        | chunks=['ad', 'di', 'tion'] | py=ㄚㄉ-ㄉㄧ-ㄒㄣ | theme=academic-words | stage=2 base=add
 6189 | advance                        | 促進                             | 🎓        | chunks=['ad', 'van', 'ce'] | py=ㄚㄉ-ㄈㄚㄣ-ㄙㄜ | theme=academic-words | stage=2
 6190 | aim                            | 把……瞄準                          | 🏃        | chunks=['a', 'im'] | py=ㄜ-ㄧㄇ | theme=actions | stage=2
 6191 | aircraft                       | 飛機                             | 🚗        | chunks=['air', 'craft'] | py=ㄟㄦ-ㄎㄌㄚㄈㄊ | theme=transportation | stage=2
 6192 | airline                        | 航線                             | 🎨        | chunks=['air', 'li', 'ne'] | py=ㄟㄦ-ㄌㄧ-ㄋㄧ | theme=adjectives | stage=2
 6193 | alike                          | 相同的                            | 🎨        | chunks=['a', 'li', 'ke'] | py=ㄜ-ㄌㄧ-ㄎㄟ | theme=adjectives | stage=2
 6194 | alive                          | 活著的                            | 🎨        | chunks=['a', 'li', 've'] | py=ㄜ-ㄌㄧ-ㄈㄜ | theme=adjectives | stage=2
 6195 | aloud                          | 大聲地                            | 🎨        | chunks=['a', 'loud'] | py=ㄜ-ㄌㄠㄉ | theme=adjectives | stage=2
 6196 | anytime                        | 任何時候                           | 🏃        | chunks=['a', 'ny', 'ti', 'me'] | py=ㄜ-ㄋㄧ-ㄊㄜ-ㄇㄝ | theme=actions | stage=2
 6197 | anyplace                       | 在任何地方                          | 🏃        | chunks=['a', 'nyp', 'la', 'ce'] | py=ㄜ-ㄋㄧㄆ-ㄌㄚ-ㄙㄜ | theme=places | stage=2
 6198 | apartment                      | 公寓房間                           | 🏢        | chunks=['a', 'par', 'tment'] | py=ㄜ-ㄆㄚㄦ-ㄊㄇㄣㄊ | theme=adjectives | stage=2 base=apart
 6199 | appearance                     | 顯露                             | 🎓        | chunks=['ap', 'pea', 'ran', 'ce'] | py=ㄚ-ㄆㄧ-ㄌㄚㄣ-ㄙㄜ | theme=academic-words | stage=2
 6200 | appetite                       | 食慾                             | 🏃        | chunks=['ap', 'pe', 'ti', 'te'] | py=ㄚ-ㄆㄜ-ㄊㄜ-ㄊㄧ | theme=actions | stage=2
 6201 | apply                          | 塗                              | 🖌️       | chunks=['ap', 'ply'] | py=ㄚ-ㄆㄌㄞ | theme=sight-words | stage=2
 6202 | armchair                       | 扶手椅                            | 🛋️       | chunks=['arm', 'chair'] | py=ㄚㄦㄇ-ㄑㄝㄜ | theme=home-items | stage=2
 6203 | arrive                         | 到達                             | 🎨        | chunks=['ar', 'ri', 've'] | py=ㄚㄦ-ㄌㄧ-ㄈㄜ | theme=adjectives | stage=2 base=ar
 6204 | asleep                         | 睡著的                            | 🎨        | chunks=['as', 'leep'] | py=ㄚ-ㄌㄧㄆ | theme=adjectives | stage=2
 6205 | attack                         | 襲擊                             | 🏃        | chunks=['at', 'tack'] | py=ㄚ-ㄊㄚㄎ | theme=actions | stage=2
 6206 | attend                         | 出席                             | 🏃        | chunks=['at', 'tend'] | py=ㄚ-ㄊㄝㄋㄉ | theme=actions | stage=2
 6207 | attention                      | 注意力                            | 🎓        | chunks=['at', 'ten', 'tion'] | py=ㄚ-ㄊㄣ-ㄒㄣ | theme=academic-words | stage=2
 6208 | avoid                          | 避開                             | 🏃        | chunks=['a', 'void'] | py=ㄜ-ㄨㄛㄧㄉ | theme=actions | stage=2
 6209 | baby-sit                       | 當臨時保姆                          | 🏃        | chunks=['baby', 'sit'] | py=ㄅㄚㄅㄧ-ㄒㄧㄊ | theme=actions | stage=3
 6210 | baby-sitter                    | 臨時替人看小孩者                       | 👨‍⚕️     | chunks=['baby', 'sitter'] | py=ㄅㄚㄅㄧ-ㄙㄧㄊㄊㄜ | theme=jobs | stage=3 base=baby-sit
 6211 | bake                           | 烘，烤                            | 🍎        | chunks=['ba', 'ke'] | py=ㄅㄟ-ㄎㄟ | theme=food | stage=2
 6212 | bamboo                         | 竹子                             | 🏃        | chunks=['bam', 'boo'] | py=ㄅㄚㄇ-ㄅㄨ | theme=actions | stage=3
 6213 | basics                         | 基礎的                            | 🎨        | chunks=['ba', 'sics'] | py=ㄅㄟ-ㄙㄧㄎㄙ | theme=adjectives | stage=2
 6214 | basis                          | 基礎                             | 🏃        | chunks=['ba', 'sis'] | py=ㄅㄟ-ㄒㄜㄙ | theme=actions | stage=2
 6215 | bead                           | 有孔小珠                           | 🏃        | chunks=['b', 'ead'] | py=ㄅㄧ-ㄧㄉ | theme=actions | stage=2
 6216 | beep                           | 嗶嗶的聲音                          | 🏃        | chunks=['b', 'eep'] | py=ㄅㄧ-ㄧㄆ | theme=actions | stage=2
 6217 | beg                            | 乞討                             | 🏃        | chunks=['b', 'eg'] | py=ㄅㄧ-ㄝㄍ | theme=actions | stage=2
 6218 | beginner                       | 初學者                            | 👨‍⚕️     | chunks=['be', 'gin', 'ner'] | py=ㄅㄧ-ㄐㄧㄣ-ㄋㄜ | theme=jobs | stage=2 base=begin
 6219 | believable                     | 可信的                            | 🎨        | chunks=['be', 'lie', 'vab', 'le'] | py=ㄅㄧ-ㄌㄞ-ㄨㄚㄅ-ㄌㄧ | theme=adjectives | stage=2 base=believe
 6220 | bench                          | 長椅                             | 🛋️       | chunks=['b', 'ench'] | py=ㄅㄧ-ㄝㄋㄔ | theme=home-items | stage=2
 6221 | bet                            | 打賭                             | 🏃        | chunks=['b', 'et'] | py=ㄅㄧ-ㄝㄊ | theme=actions | stage=2 base=bet
 6222 | bind                           | 捆                              | 🏃        | chunks=['b', 'ind'] | py=ㄅㄧ-ㄧㄋㄉ | theme=actions | stage=2
 6223 | blackboard                     | 黑板                             | 📚        | chunks=['blac', 'kboard'] | py=ㄅㄌㄚㄎ-ㄎㄅㄛㄖㄉ | theme=school | stage=2
 6224 | blank                          | 空白的                            | 🎨        | chunks=['bl', 'ank'] | py=ㄅㄌ-ㄚㄋㄎ | theme=adjectives | stage=2
 6225 | blind                          | 瞎的                             | 🎨        | chunks=['bl', 'ind'] | py=ㄅㄌ-ㄧㄋㄉ | theme=adjectives | stage=2
 6226 | bloody                         | 流血的                            | 🎨        | chunks=['bloo', 'dy'] | py=ㄅㄌㄨ-ㄉㄧ | theme=adjectives | stage=2 base=blood
 6227 | boil                           | 沸騰                             | 🏃        | chunks=['b', 'oil'] | py=ㄅㄧ-ㄛㄧㄦ | theme=actions | stage=2
 6228 | bony                           | 骨的                             | 🎨        | chunks=['bo', 'ny'] | py=ㄅㄛ-ㄋㄧ | theme=adjectives | stage=2 base=bone
 6229 | bother                         | 打攪                             | 🏃        | chunks=['bot', 'her'] | py=ㄅㄚ-ㄏㄜ | theme=actions | stage=2
 6230 | broad                          | 寬的                             | 🎨        | chunks=['br', 'oad'] | py=ㄅㄖ-ㄛㄉ | theme=adjectives | stage=2
 6231 | bun                            | 小圓麵包                           | 🍎        | chunks=['b', 'un'] | py=ㄅㄧ-ㄚㄣ | theme=food | stage=2
 6232 | bundle                         | 捆                              | 🏃        | chunks=['bun', 'dle'] | py=ㄅㄚㄋ-ㄉㄜ | theme=actions | stage=2
 6233 | burst                          | 爆炸                             | 🏃        | chunks=['b', 'urst'] | py=ㄅㄧ-ㄜㄙㄊ | theme=actions | stage=2 base=burst
 6234 | business                       | 職業                             | 🎓        | chunks=['bu', 'si', 'ness'] | py=ㄅㄧㄨ-ㄗㄜ-ㄋㄝㄙ | theme=academic-words | stage=2
 6235 | cafeteria                      | 自助餐館                           | 🍽️       | chunks=['ca', 'fe', 'te', 'ria'] | py=ㄎㄚ-ㄈㄧ-ㄊㄧ-ㄖㄧㄚ | theme=restaurant | stage=2
 6236 | cancel                         | 取消                             | 🏃        | chunks=['can', 'cel'] | py=ㄎㄢ-ㄙㄝ | theme=actions | stage=2
 6237 | cassette                       | 卡式錄音帶                          | 🏃        | chunks=['cas', 'set', 'te'] | py=ㄎㄚㄙ-ㄙㄝㄊ-ㄊㄧ | theme=actions | stage=3
 6238 | castle                         | 城堡                             | 🏰        | chunks=['cas', 'tle'] | py=ㄎㄚㄙ-ㄉㄜ | theme=actions | stage=2
 6239 | central                        | 中心的                            | 🎨        | chunks=['cen', 'tral'] | py=ㄙㄝㄣ-ㄊㄌㄦ | theme=adjectives | stage=2 base=center
 6240 | change                         | 改變、零錢                          | 💰        | chunks=['chan', 'ge'] | py=ㄑㄚ-ㄐㄧ | theme=money | stage=2 [有易混提示]
 6241 | cheat                          | 欺騙                             | 🏃        | chunks=['ch', 'eat'] | py=ㄔ-ㄧㄊ | theme=actions | stage=2
 6242 | childlike                      | 天真的                            | 🎨        | chunks=['chil', 'dli', 'ke'] | py=ㄑㄧ-ㄉㄌㄧ-ㄎㄟ | theme=adjectives | stage=2
 6243 | choice                         | 選擇                             | 🏃        | chunks=['choi', 'ce'] | py=ㄔㄛㄧ-ㄙㄜ | theme=actions | stage=2
 6244 | clap                           | 拍                              | 🏃        | chunks=['cl', 'ap'] | py=ㄎㄌ-ㄚ | theme=actions | stage=2
 6245 | claw                           | 腳爪                             | 🏃        | chunks=['cl', 'aw'] | py=ㄎㄌ-ㄛ | theme=actions | stage=2
 6246 | cleaner                        | 清潔工                            | 👨‍⚕️     | chunks=['clea', 'ner'] | py=ㄎㄌㄧ-ㄋㄜ | theme=jobs | stage=2 base=clean
 6247 | cloth                          | 布                              | 🪨        | chunks=['cl', 'oth'] | py=ㄎㄌ-ㄛㄒ | theme=materials | stage=2 [有易混提示]
 6248 | clothe                         | 給……穿衣                          | 🏃        | chunks=['clot', 'he'] | py=ㄎㄌㄛㄊ-ㄏㄝ | theme=clothing | stage=2 [有易混提示]
 6249 | clothes                        | 服裝                             | 🏃        | chunks=['clot', 'hes'] | py=ㄎㄌㄛㄊ-ㄏㄝ | theme=actions | stage=2
 6250 | clothing                       | 衣服                             | 👕        | chunks=['clot', 'hing'] | py=ㄎㄌㄛㄊ-ㄏㄧㄥ | theme=clothing | stage=2
 6251 | clown                          | 小丑                             | 🏃        | chunks=['cl', 'own'] | py=ㄎㄌ-ㄠㄋ | theme=actions | stage=2
 6252 | coal                           | 煤                              | 🏃        | chunks=['c', 'oal'] | py=ㄒㄧ-ㄛㄌ | theme=actions | stage=2
 6253 | cock                           | 公雞                             | 🐾        | chunks=['c', 'ock'] | py=ㄒㄧ-ㄛㄎ | theme=animals | stage=2
 6254 | roach                          | 蟑螂                             | 🐾        | chunks=['r', 'oach'] | py=ㄚㄦ-ㄛㄔ | theme=animals | stage=2
 6255 | collect                        | 收集                             | 🏃        | chunks=['col', 'lect'] | py=ㄎㄚ-ㄌㄝㄎㄊ | theme=actions | stage=2
 6256 | comfortable                    | 舒適的                            | 🎨        | chunks=['com', 'for', 'tab', 'le'] | py=ㄎㄚㄇ-ㄈㄛ-ㄊㄚ-ㄌㄧ | theme=adjectives | stage=2 base=comfort
 6257 | company                        | 公司                             | 💼        | chunks=['com', 'pa', 'ny'] | py=ㄎㄚㄇ-ㄆㄜ-ㄋㄧ | theme=business | stage=2
 6258 | compare                        | 比較                             | 🏃        | chunks=['com', 'pa', 're'] | py=ㄎㄚㄇ-ㄆㄜ-ㄌㄧ | theme=actions | stage=2
 6259 | complain                       | 抱怨                             | 🏃        | chunks=['com', 'plain'] | py=ㄎㄚㄇ-ㄆㄌㄟㄣ | theme=actions | stage=2
 6260 | complete                       | 完成、完整的                         | 🏃        | chunks=['com', 'ple', 'te'] | py=ㄎㄚㄇ-ㄆㄜ-ㄊㄧ | theme=actions | stage=2
 6261 | confucius                      | 孔子                             | 🏃        | chunks=['con', 'fu', 'cius'] | py=ㄎㄚㄣ-ㄈㄧㄨ-ㄎㄧㄚㄙ | theme=actions | stage=3
 6262 | consider                       | 考慮                             | 🏃        | chunks=['con', 'si', 'der'] | py=ㄎㄚㄣ-ㄗㄜ-ㄉㄜ | theme=actions | stage=2
 6263 | contain                        | 包含                             | 🏃        | chunks=['con', 'tain'] | py=ㄎㄚㄣ-ㄊㄣ | theme=actions | stage=2
 6264 | control                        | 控制                             | 🏃        | chunks=['con', 'trol'] | py=ㄎㄚㄣ-ㄊㄌㄚ | theme=actions | stage=2
 6265 | controller                     | 管制者                            | 👨‍⚕️     | chunks=['con', 'trol', 'ler'] | py=ㄎㄚㄣ-ㄊㄌㄚ-ㄌㄜ | theme=jobs | stage=2 base=control
 6266 | convenient                     | 便利的                            | 🎨        | chunks=['con', 've', 'nient'] | py=ㄎㄚㄣ-ㄈㄜ-ㄋㄞㄋㄊ | theme=adjectives | stage=2
 6267 | conversation                   | 會話                             | 🎓        | chunks=['con', 'ver', 'sa', 'tion'] | py=ㄎㄚㄣ-ㄈㄜ-ㄙㄚ-ㄒㄣ | theme=academic-words | stage=2 base=converse
 6268 | cooker                         | 烹調器具                           | 🎮        | chunks=['coo', 'ker'] | py=ㄎㄨ-ㄎㄜ | theme=hobbies | stage=2 base=cook
 6269 | copy                           | 複製                             | 🏃        | chunks=['co', 'py'] | py=ㄎㄛ-ㄆㄧ | theme=actions | stage=2
 6270 | xerox                          | 複製                             | 🏃        | chunks=['xe', 'rox'] | py=ㄎㄙㄝ-ㄖㄛㄎㄙ | theme=actions | stage=3
 6271 | costly                         | 貴重的                            | 🎨        | chunks=['cos', 'tly'] | py=ㄎㄚㄙ-ㄊㄌㄧ | theme=adjectives | stage=2
 6272 | countryside                    | 鄉間                             | 🏃        | chunks=['coun', 'try', 'si', 'de'] | py=ㄎㄠㄣ-ㄊㄌㄧ-ㄗㄜ-ㄉㄧ | theme=actions | stage=2
 6273 | courage                        | 勇氣                             | 🏃        | chunks=['cou', 'ra', 'ge'] | py=ㄎㄚ-ㄌㄚ-ㄐㄧ | theme=actions | stage=2
 6274 | crane                          | 鶴                              | 🏃        | chunks=['cra', 'ne'] | py=ㄎㄌㄟ-ㄋㄧ | theme=actions | stage=2 [有易混提示]
 6275 | crazy                          | 瘋狂的                            | 🎨        | chunks=['cra', 'zy'] | py=ㄎㄌㄟ-ㄗㄧ | theme=adjectives | stage=2
 6276 | crop                           | 作物                             | 🏃        | chunks=['cr', 'op'] | py=ㄎㄖ-ㄚㄆ | theme=actions | stage=2
 6277 | crowd                          | 人群                             | 🏃        | chunks=['cr', 'owd'] | py=ㄎㄖ-ㄠㄉ | theme=actions | stage=2
 6278 | cruel                          | 殘忍的                            | 🎨        | chunks=['cr', 'uel'] | py=ㄎㄖ-ㄩㄌ | theme=adjectives | stage=2
 6279 | cure                           | 治癒、療法                          | ⚖️       | chunks=['cu', 're'] | py=ㄎㄧㄨ-ㄌㄧ | theme=health | stage=2
 6280 | drape                          | 窗簾                             | 🛋️       | chunks=['dra', 'pe'] | py=ㄉㄌㄚ-ㄆㄜ | theme=home-items | stage=2
 6281 | custom                         | 慣例                             | 🏃        | chunks=['cus', 'tom'] | py=ㄎㄚㄙ-ㄉㄣ | theme=actions | stage=2
 6282 | damage                         | 損害                             | 🏃        | chunks=['da', 'ma', 'ge'] | py=ㄉㄚ-ㄇㄚ-ㄐㄧ | theme=actions | stage=2
 6283 | deaf                           | 聾的                             | 🎨        | chunks=['d', 'eaf'] | py=ㄉㄧ-ㄧㄈ | theme=adjectives | stage=2
 6284 | decision                       | 決定                             | 🎓        | chunks=['de', 'ci', 'sion'] | py=ㄉㄧ-ㄙㄜ-ㄒㄣ | theme=academic-words | stage=2 base=decide
 6285 | decorate                       | 裝飾                             | 🏃        | chunks=['de', 'co', 'ra', 'te'] | py=ㄉㄧ-ㄎㄛ-ㄌㄚ-ㄊㄧ | theme=actions | stage=2
 6286 | delay                          | 延緩                             | 🏃        | chunks=['de', 'lay'] | py=ㄉㄧ-ㄌㄟ | theme=actions | stage=2
 6287 | depend                         | 信賴                             | 🏃        | chunks=['de', 'pend'] | py=ㄉㄧ-ㄆㄣㄉ | theme=actions | stage=2
 6288 | describe                       | 描寫                             | 🏃        | chunks=['des', 'cri', 'be'] | py=ㄉㄧ-ㄎㄌㄞ-ㄅㄧ | theme=actions | stage=2
 6289 | dial                           | 刻度盤、撥號                         | 🏃        | chunks=['d', 'ial'] | py=ㄉㄧ-ㄧㄚㄌ | theme=actions | stage=2
 6290 | diary                          | 日記                             | 🎨        | chunks=['dia', 'ry'] | py=ㄉㄞ-ㄌㄧ | theme=adjectives | stage=2
 6291 | difference                     | 差異                             | 🎓        | chunks=['dif', 'fe', 'ren', 'ce'] | py=ㄉㄧ-ㄈㄧ-ㄌㄣ-ㄙㄜ | theme=academic-words | stage=2 base=different
 6292 | difficulty                     | 困難                             | 🏃        | chunks=['dif', 'fi', 'cul', 'ty'] | py=ㄉㄧ-ㄈㄜ-ㄎㄦ-ㄊㄧ | theme=actions | stage=2 base=difficult
 6293 | disappear                      | 消失                             | 🏃        | chunks=['di', 'sap', 'pear'] | py=ㄉㄧ-ㄙㄚ-ㄆㄧㄜ | theme=actions | stage=2 base=appear
 6294 | discuss                        | 討論                             | 🏃        | chunks=['dis', 'cuss'] | py=ㄉㄧㄙ-ㄎㄚㄙㄙ | theme=actions | stage=2
 6295 | discussion                     | 討論                             | 🎓        | chunks=['dis', 'cus', 'sion'] | py=ㄉㄧㄙ-ㄎㄚㄙ-ㄒㄣ | theme=academic-words | stage=2 base=discuss
 6296 | dizzy                          | 頭暈目眩的                          | 🦵        | chunks=['diz', 'zy'] | py=ㄉㄧㄗ-ㄗㄧ | theme=body | stage=2
 6297 | doughnut                       | 甜甜圈                            | 🍪        | chunks=['doug', 'hnut'] | py=ㄉㄠㄍ-ㄏㄋㄚㄊ | theme=desserts | stage=2
 6298 | drag                           | 拖                              | 🏃        | chunks=['dr', 'ag'] | py=ㄉㄖ-ㄚㄍ | theme=actions | stage=2
 6299 | dragon                         | 龍                              | 🐉        | chunks=['dra', 'gon'] | py=ㄉㄌㄚ-ㄍㄚㄣ | theme=actions | stage=2
 6300 | dryer                          | 烘乾機                            | 🔨        | chunks=['dr', 'yer'] | py=ㄉㄖ-ㄧㄜ | theme=tools | stage=2 base=dry
 6301 | duty                           | 義務                             | 🏃        | chunks=['du', 'ty'] | py=ㄉㄨ-ㄊㄧ | theme=actions | stage=2
 6302 | eastern                        | 東方的                            | 🧭        | chunks=['eas', 'tern'] | py=ㄧ-ㄊㄜㄣ | theme=directions | stage=2
 6303 | education                      | 教育                             | 🎓        | chunks=['e', 'du', 'ca', 'tion'] | py=ㄧ-ㄉㄨ-ㄎㄚ-ㄒㄣ | theme=academic-words | stage=2 base=educate
 6304 | effect                         | 影響                             | 🏃        | chunks=['ef', 'fect'] | py=ㄧ-ㄈㄝㄎㄊ | theme=actions | stage=2 [有易混提示]
 6305 | effective                      | 有效的                            | 🎨        | chunks=['ef', 'fec', 'ti', 've'] | py=ㄧ-ㄈㄝㄎ-ㄊㄜ-ㄈㄜ | theme=adjectives | stage=2 base=effect
 6306 | effort                         | 努力                             | 🏃        | chunks=['ef', 'fort'] | py=ㄧ-ㄈㄜㄊ | theme=actions | stage=2
 6307 | elect                          | 推選                             | 🏃        | chunks=['e', 'lect'] | py=ㄧ-ㄌㄝㄎㄊ | theme=actions | stage=2
 6308 | elevator                       | 電梯                             | 🔨        | chunks=['e', 'le', 'va', 'tor'] | py=ㄧ-ㄌㄧ-ㄈㄚ-ㄊㄜ | theme=tools | stage=2
 6309 | ending                         | 結局                             | 🏃        | chunks=['en', 'ding'] | py=ㄣ-ㄉㄧㄥ | theme=actions | stage=2 base=end
 6310 | entire                         | 全部的                            | 🎨        | chunks=['en', 'ti', 're'] | py=ㄣ-ㄊㄜ-ㄌㄧ | theme=adjectives | stage=2
 6311 | envelope                       | 信封                             | ✉️       | chunks=['en', 've', 'lo', 'pe'] | py=ㄣ-ㄈㄜ-ㄌㄛ-ㄆㄜ | theme=actions | stage=2
 6312 | exact                          | 確切的                            | 🎨        | chunks=['e', 'xact'] | py=ㄧ-ㄎㄙㄚㄎㄊ | theme=adjectives | stage=2
 6313 | excellent                      | 傑出的                            | 🎨        | chunks=['ex', 'cel', 'lent'] | py=ㄝㄎㄙ-ㄙㄝ-ㄌㄣㄊ | theme=adjectives | stage=2
 6314 | excuse                         | 藉口                             | 🏃        | chunks=['ex', 'cu', 'se'] | py=ㄝㄎㄙ-ㄎㄧㄨ-ㄙㄜ | theme=actions | stage=2
 6315 | exist                          | 存在                             | 🏃        | chunks=['e', 'xist'] | py=ㄧ-ㄎㄙㄧㄙㄊ | theme=actions | stage=2
 6316 | experience                     | 經驗                             | 🎓        | chunks=['ex', 'pe', 'rien', 'ce'] | py=ㄝㄎㄙ-ㄆㄜ-ㄖㄞㄋ-ㄙㄜ | theme=academic-words | stage=2
 6317 | explain                        | 解釋                             | 🏃        | chunks=['ex', 'plain'] | py=ㄝㄎㄙ-ㄆㄌㄟㄣ | theme=actions | stage=2
 6318 | express                        | 表達                             | 🏃        | chunks=['ex', 'press'] | py=ㄝㄎㄙ-ㄆㄌㄝㄙ | theme=actions | stage=2
 6319 | fail                           | 失敗                             | 🏃        | chunks=['f', 'ail'] | py=ㄝㄈ-ㄝㄦ | theme=actions | stage=2
 6320 | failure                        | 失敗                             | ❌        | chunks=['fai', 'lu', 're'] | py=ㄈㄟ-ㄌㄨ-ㄌㄧ | theme=academic-words | stage=2 base=fail
 6321 | fault                          | 缺點                             | 🏃        | chunks=['f', 'ault'] | py=ㄝㄈ-ㄛㄌㄊ | theme=actions | stage=2
 6322 | favor                          | 贊成                             | 🏃        | chunks=['fa', 'vor'] | py=ㄈㄚ-ㄈㄜ | theme=actions | stage=2
 6323 | favorite                       | 特別喜愛的                          | 🎨        | chunks=['fa', 'vo', 'ri', 'te'] | py=ㄈㄚ-ㄈㄛ-ㄌㄧ-ㄊㄧ | theme=adjectives | stage=2
 6324 | fearful                        | 可怕的                            | 🎨        | chunks=['fear', 'ful'] | py=ㄈㄧㄜ-ㄈㄜ | theme=adjectives | stage=2 base=fear
 6325 | female                         | 女性                             | 🏃        | chunks=['fe', 'ma', 'le'] | py=ㄈㄧ-ㄇㄚ-ㄌㄧ | theme=actions | stage=2
 6326 | fence                          | 柵欄                             | 🏃        | chunks=['fen', 'ce'] | py=ㄈㄣ-ㄙㄜ | theme=actions | stage=2
 6327 | fighter                        | 鬥士                             | 🏃        | chunks=['fig', 'hter'] | py=ㄈㄧ-ㄏㄊㄜ | theme=actions | stage=2 base=fight
 6328 | figure                         | 體形                             | 🎓        | chunks=['fi', 'gu', 're'] | py=ㄈㄜ-ㄍㄧㄨ-ㄌㄧ | theme=academic-words | stage=2
 6329 | fireman                        | 消防隊員                           | 🏃        | chunks=['fi', 're', 'man'] | py=ㄈㄜ-ㄌㄧ-ㄇㄢ | theme=actions | stage=2
 6330 | firewoman                      | 消防隊員                           | 🏃        | chunks=['fi', 're', 'wo', 'man'] | py=ㄈㄜ-ㄌㄧ-ㄨㄨ-ㄇㄢ | theme=actions | stage=3 base=fireman
 6331 | firm                           | 穩固的                            | 🎨        | chunks=['f', 'irm'] | py=ㄝㄈ-ㄜㄇ | theme=adjectives | stage=2 [有易混提示]
 6332 | fisherman                      | 漁夫                             | 👨‍⚕️     | chunks=['fis', 'her', 'man'] | py=ㄈㄧㄙ-ㄏㄜ-ㄇㄢ | theme=jobs | stage=2
 6333 | fit                            | 合身                             | 🏃        | chunks=['f', 'it'] | py=ㄝㄈ-ㄧㄊ | theme=actions | stage=2
 6334 | flag                           | 旗                              | 🏃        | chunks=['fl', 'ag'] | py=ㄈㄌ-ㄚㄍ | theme=actions | stage=2
 6335 | flash                          | 閃爍                             | 🏃        | chunks=['fl', 'ash'] | py=ㄈㄌ-ㄚㄒ | theme=actions | stage=2
 6336 | flow                           | 流動                             | 🏃        | chunks=['fl', 'ow'] | py=ㄈㄌ-ㄛ | theme=actions | stage=2
 6337 | following                      | 接著的                            | 🎨        | chunks=['fol', 'lo', 'wing'] | py=ㄈㄛㄛ-ㄌㄛ-ㄨㄧㄥ | theme=adjectives | stage=2 base=follow
 6338 | fool                           | 傻瓜、欺騙                          | 🏃        | chunks=['f', 'ool'] | py=ㄝㄈ-ㄨㄌ | theme=actions | stage=2
 6339 | foreigner                      | 外國人                            | 🌍        | chunks=['fo', 'reig', 'ner'] | py=ㄈㄜ-ㄖㄝㄍ-ㄋㄜ | theme=countries | stage=2 base=foreign
 6340 | frank                          | 坦白的                            | 🎨        | chunks=['fr', 'ank'] | py=ㄈㄖ-ㄚㄋㄎ | theme=adjectives | stage=2
 6341 | fright                         | 驚嚇                             | 😱        | chunks=['fr', 'ight'] | py=ㄈㄖ-ㄧㄊ | theme=emotions | stage=2
 6342 | frighten                       | 使驚恐                            | 🏃        | chunks=['frig', 'hten'] | py=ㄈㄖㄧㄍ-ㄏㄊㄝㄋ | theme=actions | stage=2 base=fright
 6343 | further                        | 更遠的                            | 🎨        | chunks=['fur', 'ther'] | py=ㄈㄦ-ㄉㄜ | theme=adjectives | stage=2 [有易混提示]
 6344 | golden                         | 金色的                            | 🎨        | chunks=['gol', 'den'] | py=ㄍㄛㄌ-ㄉㄣ | theme=colors | stage=2
 6345 | grassy                         | 長滿草的                           | 🎨        | chunks=['gras', 'sy'] | py=ㄍㄖㄚㄙ-ㄗㄧ | theme=adjectives | stage=2 base=grass
 6346 | greedy                         | 貪食的                            | 🎨        | chunks=['gree', 'dy'] | py=ㄍㄌㄧ-ㄉㄧ | theme=adjectives | stage=2 base=greed
 6347 | greet                          | 問候                             | 🏃        | chunks=['gr', 'eet'] | py=ㄍㄖ-ㄧㄊ | theme=actions | stage=2
 6348 | guard                          | 守衛                             | 🏃        | chunks=['g', 'uard'] | py=ㄐㄧ-ㄚㄚㄜㄉ | theme=actions | stage=2
 6349 | habit                          | 習慣                             | 🏃        | chunks=['ha', 'bit'] | py=ㄏㄜ-ㄅㄧㄊ | theme=actions | stage=2
 6350 | hamburger                      | 漢堡                             | 🍔        | chunks=['ham', 'bur', 'ger'] | py=ㄏㄚㄇ-ㄅㄜ-ㄍㄜ | theme=food | stage=2
 6351 | handkerchief                   | 手帕                             | 🏃        | chunks=['han', 'dker', 'chief'] | py=ㄏㄢ-ㄉㄎㄜ-ㄑㄧㄈ | theme=actions | stage=2
 6352 | handle                         | 把手、處理                          | 🏃        | chunks=['han', 'dle'] | py=ㄏㄢ-ㄉㄜ | theme=actions | stage=2
 6353 | hang                           | 懸掛                             | 🏃        | chunks=['h', 'ang'] | py=ㄝㄑ-ㄚㄥ | theme=actions | stage=2
 6354 | hateful                        | 可恨的                            | 🎨        | chunks=['ha', 'te', 'ful'] | py=ㄏㄜ-ㄊㄧ-ㄈㄜ | theme=adjectives | stage=2 base=hate
 6355 | helpful                        | 有幫助的                           | 🎨        | chunks=['hel', 'pful'] | py=ㄏㄝ-ㄆㄈㄚㄛ | theme=adjectives | stage=2 base=help
 6356 | hero                           | 英雄                             | 🏃        | chunks=['he', 'ro'] | py=ㄏㄝ-ㄌㄛ | theme=actions | stage=2
 6357 | hide                           | 隱藏                             | 🏃        | chunks=['hi', 'de'] | py=ㄏㄞ-ㄉㄧ | theme=actions | stage=2
 6358 | highway                        | 公路                             | 🏃        | chunks=['hig', 'hway'] | py=ㄏㄧㄍ-ㄏㄨㄟ | theme=actions | stage=2
 6359 | hippopotamus                   | 河馬                             | 🐾        | chunks=['hip', 'po', 'po', 'ta', 'mus'] | py=ㄏㄧ-ㄆㄛ-ㄆㄛ-ㄊㄝ-ㄇㄚㄙ | theme=animals | stage=3
