# 字 2500-2999
 2500 | dinein                         | 內用                             | 🍽️       | chunks=['dine', 'in'] | py=ㄉㄞㄣ-ㄧㄣ | theme=restaurant | stage=2
 2674 | nonetheless                    | 儘管如此                           | 🤷        | chunks=['none', 'the', 'less'] | py=ㄋㄚㄣ-ㄉㄜ-ㄌㄝㄙ | theme=sight-words | stage=3
 2675 | anyhow                         | 無論如何                           | 🤷        | chunks=['any', 'how'] | py=ㄝ-ㄋㄧ-ㄏㄠ | theme=sight-words | stage=2
 2676 | likewise                       | 同樣地                            | 🔁        | chunks=['like', 'wise'] | py=ㄌㄞㄎ-ㄨㄞㄗ | theme=sight-words | stage=3
 2677 | similarly                      | 類似地                            | 🔁        | chunks=['sim', 'i', 'lar', 'ly'] | py=ㄒㄧ-ㄇㄜ-ㄌㄜ-ㄌㄧ | theme=sight-words | stage=2 base=similar
 2678 | accordingly                    | 因此                             | ➡️       | chunks=['ac', 'cor', 'ding', 'ly'] | py=ㄚ-ㄎㄛㄦ-ㄉㄧㄥ-ㄌㄧ | theme=sight-words | stage=3
 2679 | additionally                   | 另外                             | ➕        | chunks=['ad', 'di', 'tion', 'al', 'ly'] | py=ㄚ-ㄉㄧ-ㄒㄣ-ㄦ-ㄌㄧ | theme=sight-words | stage=3 base=additional
 2680 | alternatively                  | 或者                             | 🔀        | chunks=['al', 'ter', 'na', 'tive', 'ly'] | py=ㄛㄦ-ㄊㄜ-ㄋㄜ-ㄊㄧㄈ-ㄌㄧ | theme=sight-words | stage=3 base=alternative
 2681 | regardless                     | 無論                             | 🤷        | chunks=['re', 'gard', 'less'] | py=ㄌㄧ-ㄍㄚㄦㄉ-ㄌㄝㄙ | theme=sight-words | stage=3 base=regard
 2682 | supposedly                     | 據說                             | 💭        | chunks=['sup', 'pos', 'ed', 'ly'] | py=ㄙㄜ-ㄆㄛㄗ-ㄝㄉ-ㄌㄧ | theme=sight-words | stage=3
 2683 | presumably                     | 想必                             | 💭        | chunks=['pre', 'sum', 'a', 'bly'] | py=ㄆㄌㄧ-ㄗㄚㄇ-ㄜ-ㄅㄌㄧ | theme=sight-words | stage=3
 2684 | undoubtedly                    | 無疑                             | 💯        | chunks=['un', 'doubt', 'ed', 'ly'] | py=ㄚㄣ-ㄉㄠ-ㄉㄝ-ㄌㄧ | theme=sight-words | stage=3
 2685 | apparently                     | 顯然                             | 👁️       | chunks=['ap', 'par', 'ent', 'ly'] | py=ㄚ-ㄆㄝㄜ-ㄣㄊ-ㄌㄧ | theme=sight-words | stage=2 base=apparent
 2686 | evidently                      | 顯然                             | 👁️       | chunks=['ev', 'i', 'dent', 'ly'] | py=ㄝ-ㄈㄜ-ㄉㄣㄊ-ㄌㄧ | theme=sight-words | stage=3 base=evident
 2687 | namely                         | 也就是                            | ➡️       | chunks=['name', 'ly'] | py=ㄋㄟㄇ-ㄌㄧ | theme=sight-words | stage=3 base=name
 2688 | specifically                   | 具體地                            | 🎯        | chunks=['spe', 'cif', 'i', 'cal', 'ly'] | py=ㄙㄆㄜ-ㄒㄧ-ㄈㄜ-ㄎㄜ-ㄌㄧ | theme=sight-words | stage=2 base=specific
 2689 | technically                    | 技術上                            | 🔧        | chunks=['tech', 'ni', 'cal', 'ly'] | py=ㄊㄝㄎ-ㄋㄜ-ㄎㄜ-ㄌㄧ | theme=sight-words | stage=3 base=technical
 2690 | oneself                        | 自己                             | 🧑        | chunks=['one', 'self'] | py=ㄨㄢ-ㄙㄝㄦㄈ | theme=sight-words | stage=3
 2691 | myself                         | 我自己                            | 👤        | chunks=['my', 'self'] | py=ㄇㄞ-ㄙㄝㄦㄈ | theme=sight-words | stage=0
 2692 | yourself                       | 你自己                            | 👤        | chunks=['your', 'self'] | py=ㄧㄛㄜ-ㄙㄝㄦㄈ | theme=sight-words | stage=1
 2693 | himself                        | 他自己                            | 👨        | chunks=['him', 'self'] | py=ㄏㄧㄇ-ㄙㄝㄦㄈ | theme=sight-words | stage=1
 2694 | herself                        | 她自己                            | 👩        | chunks=['her', 'self'] | py=ㄏㄜ-ㄙㄝㄦㄈ | theme=sight-words | stage=1
 2695 | itself                         | 它自己                            | 🪞        | chunks=['it', 'self'] | py=ㄧㄊ-ㄙㄝㄦㄈ | theme=sight-words | stage=1
 2696 | ourselves                      | 我們自己                           | 👥        | chunks=['our', 'selves'] | py=ㄠㄜ-ㄙㄝㄦㄈㄗ | theme=sight-words | stage=2
 2697 | yourselves                     | 你們自己                           | 👥        | chunks=['your', 'selves'] | py=ㄧㄛㄜ-ㄙㄝㄦㄈㄗ | theme=sight-words | stage=2
 2698 | themselves                     | 他們自己                           | 👥        | chunks=['them', 'selves'] | py=ㄉㄝㄇ-ㄙㄝㄦㄈㄗ | theme=sight-words | stage=1
 2699 | yours                          | 你的                             | 👤        | chunks=['y', 'ours'] | py=ㄧㄛㄦㄗ | theme=sight-words | stage=1
 2700 | hers                           | 她的                             | 👩        | chunks=['h', 'ers'] | py=ㄏㄜㄗ | theme=sight-words | stage=1
 2701 | theirs                         | 他們的                            | 👥        | chunks=['th', 'eirs'] | py=ㄉㄝㄜㄗ | theme=sight-words | stage=2
 2702 | ours                           | 我們的                            | 👥        | chunks=['o', 'urs'] | py=ㄠㄜㄗ | theme=sight-words | stage=1
 2703 | none                           | 一個也沒有、無                        | 🚫        | chunks=['n', 'one'] | py=ㄋㄚㄣ | theme=sight-words | stage=1
 2704 | others                         | 其他人                            | 👥        | chunks=['o', 'thers'] | py=ㄚ-ㄉㄜㄗ | theme=sight-words | stage=1
 2705 | certain                        | 某些                             | 📋        | chunks=['cer', 'tain'] | py=ㄙㄜ-ㄊㄣ | theme=sight-words | stage=1
 2706 | particular                     | 特定                             | ⭐        | chunks=['par', 'tic', 'u', 'lar'] | py=ㄆㄜ-ㄊㄧㄎ-ㄐㄜ-ㄌㄜ | theme=sight-words | stage=2
 2707 | specific                       | 具體的                            | 🎯        | chunks=['spe', 'cif', 'ic'] | py=ㄙㄆㄜ-ㄒㄧ-ㄈㄧㄎ | theme=sight-words | stage=2
 2708 | general                        | 一般                             | 📋        | chunks=['gen', 'er', 'al'] | py=ㄐㄣ-ㄋㄜ-ㄦ | theme=sight-words | stage=1
 2709 | various                        | 各種                             | 🌈        | chunks=['var', 'i', 'ous'] | py=ㄈㄝㄜ-ㄌㄧ-ㄚㄙ | theme=sight-words | stage=2
 2710 | multiple                       | 多種                             | ➕        | chunks=['mul', 'ti', 'ple'] | py=ㄇㄚㄦ-ㄊㄜ-ㄆㄜ | theme=sight-words | stage=2
 2711 | numerous                       | 許多                             | 📊        | chunks=['nu', 'mer', 'ous'] | py=ㄋㄨ-ㄇㄜ-ㄚㄙ | theme=sight-words | stage=3
 2712 | lone                           | 單獨的、孤單的                        | 1️⃣      | chunks=['l', 'one'] | py=ㄌㄛㄣ | theme=sight-words | stage=2
 2713 | mere                           | 僅僅的、只不過                        | ➖        | chunks=['m', 'ere'] | py=ㄇㄧㄜ | theme=sight-words | stage=3
 2714 | fewer                          | 較少                             | 🤏        | chunks=['few', 'er'] | py=ㄈㄧㄨ-ㄜ | theme=sight-words | stage=1
 2715 | hello                          | 你好                             | 👋        | chunks=['hel', 'lo'] | py=ㄏㄝ-ㄌㄛ | theme=sight-words | stage=0
 2716 | hi                             | 嗨                              | 👋        | chunks=['h', 'i'] | py=ㄏㄞ | theme=sight-words | stage=0 [有易混提示]
 2717 | hey                            | 嘿                              | 👋        | chunks=['h', 'ey'] | py=ㄏㄟ | theme=sight-words | stage=0
 2718 | bye                            | 再見                             | 👋        | chunks=['b', 'ye'] | py=ㄅㄞ | theme=sight-words | stage=0
 2719 | goodbye                        | 再見                             | 👋        | chunks=['good', 'bye'] | py=ㄍㄨㄉ-ㄅㄞ | theme=sight-words | stage=0
 2720 | ok                             | 好                              | 👌        | chunks=['o', 'k'] | py=ㄛ-ㄎㄟ | theme=sight-words | stage=0
 2721 | please                         | 請                              | 🙏        | chunks=['pl', 'ease'] | py=ㄆㄌㄧㄗ | theme=sight-words | stage=0
 2722 | thanks                         | 謝謝                             | 🙏        | chunks=['th', 'anks'] | py=ㄙㄚㄣㄎㄙ | theme=sight-words | stage=0
 2723 | welcome                        | 歡迎                             | 🤗        | chunks=['wel', 'come'] | py=ㄨㄝㄦ-ㄎㄚㄇ | theme=sight-words | stage=0
 2724 | congrats                       | 恭喜                             | 🎉        | chunks=['con', 'grats'] | py=ㄎㄢ-ㄍㄌㄚㄗ | theme=sight-words | stage=1
 2725 | cheers                         | 乾杯                             | 🥂        | chunks=['ch', 'eers'] | py=ㄑㄧㄜㄗ | theme=sight-words | stage=1
 2726 | wow                            | 哇                              | 😮        | chunks=['w', 'ow'] | py=ㄨㄠ | theme=sight-words | stage=0
 2727 | oh                             | 喔                              | 😮        | chunks=['o', 'h'] | py=ㄛ | theme=sight-words | stage=0
 2728 | oops                           | 哎呀                             | 😅        | chunks=['o', 'ops'] | py=ㄨㄆㄙ | theme=sight-words | stage=1
 2729 | ouch                           | 哎喲                             | 😣        | chunks=['o', 'uch'] | py=ㄠㄑ | theme=sight-words | stage=1
 2730 | hmm                            | 嗯                              | 🤔        | chunks=['h', 'mm'] | py=ㄏㄣ | theme=sight-words | stage=0
 2731 | ah                             | 啊                              | 😮        | chunks=['a', 'h'] | py=ㄚ | theme=sight-words | stage=0
 2732 | well                           | 嗯                              | 💭        | chunks=['w', 'ell'] | py=ㄨㄝㄦ | theme=sight-words | stage=0 [有易混提示]
 2733 | alright                        | 好的                             | 👌        | chunks=['al', 'right'] | py=ㄛㄦ-ㄌㄞㄊ | theme=sight-words | stage=1
 2734 | mr                             | 先生                             | 👨        | chunks=['m', 'r'] | py=ㄇㄧㄙ-ㄊㄜ | theme=sight-words | stage=0
 2735 | mrs                            | 太太                             | 👩        | chunks=['m', 'rs'] | py=ㄇㄧ-ㄗㄧㄗ | theme=sight-words | stage=0
 2736 | ms                             | 女士                             | 👩        | chunks=['m', 's'] | py=ㄇㄧㄗ | theme=sight-words | stage=1
 2737 | sir                            | 先生                             | 🎩        | chunks=['s', 'ir'] | py=ㄙㄜ | theme=sight-words | stage=1
 2738 | madam                          | 女士                             | 👒        | chunks=['ma', 'dam'] | py=ㄇㄚ-ㄉㄣ | theme=sight-words | stage=2
 2739 | prince                         | 王子                             | 🤴        | chunks=['pr', 'ince'] | py=ㄆㄌㄧㄣㄙ | theme=sight-words | stage=1
 2740 | princess                       | 公主                             | 👸        | chunks=['prin', 'cess'] | py=ㄆㄌㄧㄣ-ㄙㄝㄙ | theme=sight-words | stage=1
 2741 | elsewhere                      | 別處                             | 📍        | chunks=['else', 'where'] | py=ㄝㄦㄙ-ㄨㄝㄜ | theme=sight-words | stage=3
 2742 | hereafter                      | 今後                             | ➡️       | chunks=['here', 'af', 'ter'] | py=ㄏㄧㄦ-ㄚㄈ-ㄊㄜ | theme=sight-words | stage=3
 2743 | henceforth                     | 從此                             | ➡️       | chunks=['hence', 'forth'] | py=ㄏㄝㄣㄙ-ㄈㄛㄦㄙ | theme=sight-words | stage=3
 2744 | thereby                        | 藉此                             | ➡️       | chunks=['there', 'by'] | py=ㄉㄝㄜ-ㄅㄞ | theme=sight-words | stage=3
 2745 | therein                        | 其中                             | 📍        | chunks=['there', 'in'] | py=ㄉㄝㄜ-ㄧㄣ | theme=sight-words | stage=3
 2746 | whereby                        | 藉由                             | ➡️       | chunks=['where', 'by'] | py=ㄨㄝㄜ-ㄅㄞ | theme=sight-words | stage=3
 2747 | wherein                        | 其中                             | 📍        | chunks=['where', 'in'] | py=ㄨㄝㄜ-ㄧㄣ | theme=sight-words | stage=3
 2748 | alongside                      | 沿著                             | ➡️       | chunks=['a', 'long', 'side'] | py=ㄚ-ㄌㄚㄥ-ㄙㄞㄉ | theme=sight-words | stage=2
 2749 | towards                        | 朝向                             | ➡️       | chunks=['to', 'wards'] | py=ㄊㄨ-ㄨㄜㄗ | theme=sight-words | stage=2
 2750 | backwards                      | 向後                             | ⏪        | chunks=['back', 'wards'] | py=ㄅㄚㄎ-ㄨㄜㄗ | theme=sight-words | stage=2
 2751 | whilst                         | 當...時                          | ⏳        | chunks=['wh', 'ilst'] | py=ㄨㄞㄦㄙㄊ | theme=sight-words | stage=3
 2752 | amid                           | 在...之中                         | 👥        | chunks=['a', 'mid'] | py=ㄚ-ㄇㄧㄉ | theme=sight-words | stage=3
 2753 | amongst                        | 在...之中                         | 👥        | chunks=['a', 'mongst'] | py=ㄚ-ㄇㄚㄥㄙㄊ | theme=sight-words | stage=3
 2754 | beneath                        | 在...下方                         | ⬇️       | chunks=['be', 'neath'] | py=ㄅㄧ-ㄋㄧㄙ | theme=sight-words | stage=2
 2755 | underneath                     | 在...下方                         | ⬇️       | chunks=['un', 'der', 'neath'] | py=ㄚㄣ-ㄉㄜ-ㄋㄧㄙ | theme=sight-words | stage=2
 2756 | regarding                      | 關於                             | ➡️       | chunks=['re', 'gard', 'ing'] | py=ㄌㄧ-ㄍㄚㄦㄉ-ㄧㄥ | theme=sight-words | stage=2 base=regard
 2757 | concerning                     | 關於                             | ➡️       | chunks=['con', 'cern', 'ing'] | py=ㄎㄢ-ㄙㄜㄣ-ㄧㄥ | theme=sight-words | stage=3 base=concern
 2758 | including                      | 包括                             | ➕        | chunks=['in', 'clud', 'ing'] | py=ㄧㄣ-ㄎㄌㄨ-ㄉㄧㄥ | theme=sight-words | stage=2 base=include
 2759 | excluding                      | 不包括                            | ➖        | chunks=['ex', 'clud', 'ing'] | py=ㄝㄎㄙ-ㄎㄌㄨ-ㄉㄧㄥ | theme=sight-words | stage=3 base=exclude
 2760 | considering                    | 考慮到                            | 💭        | chunks=['con', 'sid', 'er', 'ing'] | py=ㄎㄢ-ㄒㄜ-ㄉㄜ-ㄧㄥ | theme=sight-words | stage=2 base=consider
 2761 | utterly                        | 完全                             | 💯        | chunks=['ut', 'ter', 'ly'] | py=ㄚ-ㄊㄜ-ㄌㄧ | theme=sight-words | stage=3 base=utter
 2762 | virtually                      | 幾乎                             | ~        | chunks=['vir', 'tu', 'al', 'ly'] | py=ㄈㄜ-ㄑㄨ-ㄦ-ㄌㄧ | theme=sight-words | stage=2 base=virtual
 2763 | primarily                      | 主要地                            | 📊        | chunks=['pri', 'mar', 'i', 'ly'] | py=ㄆㄌㄞ-ㄇㄝ-ㄜ-ㄌㄧ | theme=sight-words | stage=2 base=primary
 2764 | plainly                        | 明顯地                            | 👁️       | chunks=['plain', 'ly'] | py=ㄆㄌㄟㄣ-ㄌㄧ | theme=sight-words | stage=3 base=plain
 2765 | swiftly                        | 迅速地                            | ⚡        | chunks=['swift', 'ly'] | py=ㄙㄨㄧㄈㄊ-ㄌㄧ | theme=sight-words | stage=3 base=swift
 2766 | surprisingly                   | 令人驚訝地                          | 😲        | chunks=['sur', 'pris', 'ing', 'ly'] | py=ㄙㄜ-ㄆㄌㄞㄗ-ㄧㄥ-ㄌㄧ | theme=sight-words | stage=2
 2767 | ideally                        | 理想地                            | 💡        | chunks=['i', 'deal', 'ly'] | py=ㄞ-ㄉㄧㄦ-ㄌㄧ | theme=sight-words | stage=3 base=ideal
 2768 | internet                       | 網路                             | 🌐        | chunks=['in', 'ter', 'net'] | py=ㄧㄣ-ㄊㄜ-ㄋㄝㄊ | theme=technology | stage=0
 2769 | website                        | 網站                             | 🌐        | chunks=['web', 'site'] | py=ㄨㄝㄅ-ㄙㄞㄊ | theme=technology | stage=0
 2770 | browser                        | 瀏覽器                            | 🌐        | chunks=['brow', 'ser'] | py=ㄅㄌㄠ-ㄗㄜ | theme=technology | stage=1 base=browse
 2771 | app                            | 應用程式                           | 📱        | chunks=['a', 'pp'] | py=ㄚㄆ | theme=technology | stage=0
 2772 | smartphone                     | 智慧手機                           | 📱        | chunks=['smart', 'phone'] | py=ㄙㄇㄚㄦㄊ-ㄈㄛㄣ | theme=technology | stage=1
 2773 | monitor                        | 螢幕                             | 🖥️       | chunks=['mon', 'i', 'tor'] | py=ㄇㄚ-ㄋㄜ-ㄊㄜ | theme=technology | stage=1
 2774 | printer                        | 印表機                            | 🖨️       | chunks=['prin', 'ter'] | py=ㄆㄌㄧㄣ-ㄊㄜ | theme=technology | stage=1 base=print
 2775 | scanner                        | 掃描器                            | 📠        | chunks=['scan', 'ner'] | py=ㄙㄎㄚ-ㄋㄜ | theme=technology | stage=2 base=scan
 2776 | webcam                         | 網路攝影機                          | 📹        | chunks=['web', 'cam'] | py=ㄨㄝㄅ-ㄎㄚㄇ | theme=technology | stage=2
 2777 | headset                        | 耳麥                             | 🎧        | chunks=['head', 'set'] | py=ㄏㄝㄉ-ㄙㄝㄊ | theme=technology | stage=1
 2778 | router                         | 路由器                            | 📡        | chunks=['rou', 'ter'] | py=ㄌㄠ-ㄊㄜ | theme=technology | stage=2 base=route
 2779 | modem                          | 數據機                            | 📡        | chunks=['mo', 'dem'] | py=ㄇㄛ-ㄉㄣ | theme=technology | stage=3
 2780 | usb                            | USB(通用序列匯流排)                   | 🔌        | chunks=['u', 's', 'b'] | py=ㄧㄨ-ㄝㄙ-ㄅㄧ | theme=technology | stage=1
 2781 | storage                        | 儲存                             | 💾        | chunks=['stor', 'age'] | py=ㄙㄉㄛㄦ-ㄧㄐ | theme=technology | stage=1
 2782 | network                        | 網路                             | 🌐        | chunks=['net', 'work'] | py=ㄋㄝㄊ-ㄨㄜㄎ | theme=technology | stage=1
 2783 | hardware                       | 硬體                             | 💻        | chunks=['hard', 'ware'] | py=ㄏㄚㄦㄉ-ㄨㄝㄜ | theme=technology | stage=2
 2784 | processor                      | 處理器                            | 💻        | chunks=['pro', 'ces', 'sor'] | py=ㄆㄌㄚ-ㄙㄝ-ㄙㄜ | theme=technology | stage=2 base=process
 2785 | ai                             | 人工智慧                           | 🤖        | chunks=['a', 'i'] | py=ㄝ-ㄞ | theme=technology | stage=1
 2786 | drone                          | 無人機                            | 🛸        | chunks=['dr', 'one'] | py=ㄉㄌㄛㄣ | theme=technology | stage=1
 2787 | gadget                         | 小工具                            | 🔧        | chunks=['gad', 'get'] | py=ㄍㄚ-ㄐㄝㄊ | theme=technology | stage=2
 2788 | device                         | 裝置                             | 📱        | chunks=['de', 'vice'] | py=ㄉㄧ-ㄈㄞㄙ | theme=technology | stage=1
 2789 | machine                        | 機器                             | ⚙️       | chunks=['ma', 'chine'] | py=ㄇㄜ-ㄒㄧㄣ | theme=technology | stage=1
 2790 | technology                     | 科技                             | 💻        | chunks=['tech', 'nol', 'o', 'gy'] | py=ㄊㄝㄎ-ㄋㄚ-ㄜ-ㄐㄧ | theme=technology | stage=1
 2791 | digital                        | 數位的                            | 💻        | chunks=['dig', 'i', 'tal'] | py=ㄉㄧ-ㄐㄜ-ㄉㄜ | theme=technology | stage=1 base=digit
 2792 | virtual                        | 虛擬的                            | 🥽        | chunks=['vir', 'tu', 'al'] | py=ㄈㄜ-ㄑㄨ-ㄦ | theme=technology | stage=2 base=virtue
 2793 | online                         | 線上                             | 🌐        | chunks=['on', 'line'] | py=ㄚㄣ-ㄌㄞㄣ | theme=technology | stage=0
 2794 | offline                        | 離線                             | 📴        | chunks=['off', 'line'] | py=ㄚㄈ-ㄌㄞㄣ | theme=technology | stage=1
 2795 | login                          | 登入                             | 🔐        | chunks=['log', 'in'] | py=ㄌㄚㄍ-ㄧㄣ | theme=technology | stage=1
 2796 | install                        | 安裝                             | ⬇️       | chunks=['in', 'stall'] | py=ㄧㄣ-ㄙㄉㄛㄦ | theme=technology | stage=1
 2797 | wearable                       | 穿戴裝置                           | ⌚        | chunks=['wear', 'a', 'ble'] | py=ㄨㄝㄜ-ㄜ-ㄅㄜ | theme=technology | stage=2 base=wear
 2798 | bought                         | 買了                             | 💳        | chunks=['b', 'ought'] | py=ㄅㄛㄊ | theme=sight-words | stage=1 base=buy
 2799 | paid                           | 付了                             | 💵        | chunks=['p', 'aid'] | py=ㄆㄟㄉ | theme=sight-words | stage=1 base=pay
 2800 | brought                        | 帶來了                            | 🤲        | chunks=['br', 'ought'] | py=ㄅㄌㄛㄊ | theme=sight-words | stage=1 base=bring
 2801 | caught                         | 接住了                            | 🥎        | chunks=['c', 'aught'] | py=ㄎㄛㄊ | theme=sight-words | stage=1 base=catch
 2802 | taught                         | 教了                             | 📚        | chunks=['t', 'aught'] | py=ㄊㄛㄊ | theme=sight-words | stage=1 base=teach
 2803 | fought                         | 打了架(過去)                        | 🥊        | chunks=['f', 'ought'] | py=ㄈㄛㄊ | theme=sight-words | stage=2 base=fight
 2804 | sought                         | 尋求過(過去)                        | 🔍        | chunks=['s', 'ought'] | py=ㄙㄛㄊ | theme=sight-words | stage=2 base=seek
 2805 | meant                          | 意思是(mean 過去式)                  | 💭        | chunks=['m', 'eant'] | py=ㄇㄝㄣㄊ | theme=sight-words | stage=1 base=mean
 2806 | kept                           | 保留了                            | 🤲        | chunks=['k', 'ept'] | py=ㄎㄝㄆㄊ | theme=sight-words | stage=1 base=keep
 2807 | slept                          | 睡了                             | 😴        | chunks=['sl', 'ept'] | py=ㄙㄌㄝㄆㄊ | theme=sight-words | stage=1 base=sleep
 2808 | swept                          | 掃了                             | 🧹        | chunks=['sw', 'ept'] | py=ㄙㄨㄝㄆㄊ | theme=sight-words | stage=2 base=sweep
 2809 | wept                           | 哭了                             | 😭        | chunks=['w', 'ept'] | py=ㄨㄝㄆㄊ | theme=sight-words | stage=2 base=weep
 2810 | leapt                          | 跳了                             | 🦘        | chunks=['l', 'eapt'] | py=ㄌㄝㄆㄊ | theme=sight-words | stage=2 base=leap
 2811 | felt                           | 感覺了                            | 💭        | chunks=['f', 'elt'] | py=ㄈㄝㄦㄊ | theme=sight-words | stage=1 base=feel
 2812 | dealt                          | 處理了                            | 🃏        | chunks=['d', 'ealt'] | py=ㄉㄝㄦㄊ | theme=sight-words | stage=2 base=deal
 2813 | knelt                          | 跪下了(過去)                        | 🧎        | chunks=['kn', 'elt'] | py=ㄋㄝㄦㄊ | theme=sight-words | stage=3 base=kneel
 2814 | learnt                         | 學了                             | 📚        | chunks=['l', 'earnt'] | py=ㄌㄜㄣㄊ | theme=sight-words | stage=2 base=learn
 2815 | ran                            | 跑了                             | 🏃        | chunks=['r', 'an'] | py=ㄌㄚㄣ | theme=sight-words | stage=1 base=run
 2816 | met                            | 見了                             | 🤝        | chunks=['m', 'et'] | py=ㄇㄝㄊ | theme=sight-words | stage=1 base=meet
 2817 | lent                           | 借出了                            | 🤲        | chunks=['l', 'ent'] | py=ㄌㄝㄣㄊ | theme=sight-words | stage=2 base=lend
 2818 | broke                          | 打破了                            | 💔        | chunks=['br', 'oke'] | py=ㄅㄌㄛㄎ | theme=sight-words | stage=1 base=break
 2819 | woke                           | 醒了                             | ⏰        | chunks=['w', 'oke'] | py=ㄨㄛㄎ | theme=sight-words | stage=1 base=wake
 2820 | spoke                          | 說了                             | 🗣️       | chunks=['sp', 'oke'] | py=ㄙㄆㄛㄎ | theme=sight-words | stage=1 base=speak
 2821 | chose                          | 選了                             | ✅        | chunks=['ch', 'ose'] | py=ㄑㄛㄗ | theme=sight-words | stage=1 base=choose
 2822 | drove                          | 開了車                            | 🚗        | chunks=['dr', 'ove'] | py=ㄉㄌㄛㄈ | theme=sight-words | stage=1 base=drive
 2823 | rode                           | 騎了                             | 🚲        | chunks=['r', 'ode'] | py=ㄌㄛㄉ | theme=sight-words | stage=1 base=ride [有易混提示]
 2824 | wrote                          | 寫了                             | ✍️       | chunks=['wr', 'ote'] | py=ㄌㄛㄊ | theme=sight-words | stage=1 base=write
 2825 | ate                            | 吃了                             | 🍴        | chunks=['a', 'te'] | py=ㄝㄊ | theme=sight-words | stage=0 base=eat [有易混提示]
 2826 | stood                          | 站了                             | 🧍        | chunks=['st', 'ood'] | py=ㄙㄉㄨㄉ | theme=sight-words | stage=1 base=stand
 2827 | swam                           | 游泳了                            | 🏊        | chunks=['sw', 'am'] | py=ㄙㄨㄚㄇ | theme=sight-words | stage=1 base=swim
 2828 | drank                          | 喝了                             | 🥤        | chunks=['dr', 'ank'] | py=ㄉㄌㄚㄣㄎ | theme=sight-words | stage=1 base=drink
 2829 | sang                           | 唱了                             | 🎤        | chunks=['s', 'ang'] | py=ㄙㄚㄥ | theme=sight-words | stage=1 base=sing
 2830 | rang                           | 響了                             | 🔔        | chunks=['r', 'ang'] | py=ㄌㄚㄥ | theme=sight-words | stage=1 base=ring
 2831 | swung                          | 擺動了                            | 🪢        | chunks=['sw', 'ung'] | py=ㄙㄨㄚㄥ | theme=sight-words | stage=2 base=swing
 2832 | hung                           | 掛了                             | 🪝        | chunks=['h', 'ung'] | py=ㄏㄚㄥ | theme=sight-words | stage=1 base=hang
 2833 | dug                            | 挖了                             | ⛏️       | chunks=['d', 'ug'] | py=ㄉㄚㄍ | theme=sight-words | stage=2 base=dig
 2834 | blew                           | 吹了                             | 💨        | chunks=['bl', 'ew'] | py=ㄅㄌㄨ | theme=sight-words | stage=1 base=blow [有易混提示]
 2835 | drew                           | 畫了                             | ✏️       | chunks=['dr', 'ew'] | py=ㄉㄌㄨ | theme=sight-words | stage=1 base=draw
 2836 | ground                         | 磨碎了                            | ⚙️       | chunks=['gr', 'ound'] | py=ㄍㄌㄠㄣㄉ | theme=sight-words | stage=2 base=grind [有易混提示]
 2837 | bound                          | 綁住了                            | 🪢        | chunks=['b', 'ound'] | py=ㄅㄠㄣㄉ | theme=sight-words | stage=2 base=bind
 2838 | bit                            | 咬了                             | 🦷        | chunks=['b', 'it'] | py=ㄅㄧㄊ | theme=sight-words | stage=1 base=bite
 2839 | lit                            | 點亮了                            | 💡        | chunks=['l', 'it'] | py=ㄌㄧㄊ | theme=sight-words | stage=1 base=light
 2840 | shook                          | 搖了                             | 🤝        | chunks=['sh', 'ook'] | py=ㄒㄨㄎ | theme=sight-words | stage=1 base=shake
 2841 | forgot                         | 忘了                             | 😅        | chunks=['for', 'got'] | py=ㄈㄛ-ㄍㄚㄊ | theme=sight-words | stage=1 base=forget
 2842 | became                         | 變成了                            | 🔄        | chunks=['be', 'came'] | py=ㄅㄧ-ㄎㄟㄇ | theme=sight-words | stage=1 base=become
 2843 | lost                           | 失去了                            | 😢        | chunks=['l', 'ost'] | py=ㄌㄚㄙㄊ | theme=sight-words | stage=1 base=lose
 2844 | stuck                          | 卡住了                            | 🪤        | chunks=['st', 'uck'] | py=ㄙㄉㄚㄎ | theme=sight-words | stage=1 base=stick
 2845 | lay                            | 躺了                             | 🛌        | chunks=['l', 'ay'] | py=ㄌㄟ | theme=sight-words | stage=1 base=lie [有易混提示]
 2846 | fled                           | 逃了                             | 🏃        | chunks=['fl', 'ed'] | py=ㄈㄌㄝㄉ | theme=sight-words | stage=2 base=flee
 2847 | flung                          | 扔了                             | 🤾        | chunks=['fl', 'ung'] | py=ㄈㄌㄚㄥ | theme=sight-words | stage=3 base=fling
 2848 | clung                          | 緊抓住了(過去)                       | ✊        | chunks=['cl', 'ung'] | py=ㄎㄌㄚㄥ | theme=sight-words | stage=3 base=cling
 2849 | spun                           | 轉了                             | 🌀        | chunks=['sp', 'un'] | py=ㄙㄆㄚㄣ | theme=sight-words | stage=2 base=spin
 2850 | froze                          | 結凍了                            | 🧊        | chunks=['fr', 'oze'] | py=ㄈㄌㄛㄗ | theme=sight-words | stage=1 base=freeze
 2851 | tore                           | 撕開了                            | 📜        | chunks=['t', 'ore'] | py=ㄊㄛㄦ | theme=sight-words | stage=2 base=tear
 2852 | bore                           | 承受了                            | 💪        | chunks=['b', 'ore'] | py=ㄅㄛㄦ | theme=sight-words | stage=2 base=bear
 2853 | swore                          | 發誓了                            | 🤚        | chunks=['sw', 'ore'] | py=ㄙㄨㄛㄦ | theme=sight-words | stage=2 base=swear
