# 字 7500-8999
 7500 | overtake                       | 追上                             | 🏃        | chunks=['o', 'ver', 'ta', 'ke'] | py=ㄛ-ㄈㄜ-ㄊㄝ-ㄎㄟ | theme=directions | stage=3
 7765 | chimpanzee                     | 黑猩猩                            | 🐒        | chunks=['chim', 'pan', 'zee'] | py=ㄑㄧㄇ-ㄆㄢ-ㄗㄧ | theme=actions | stage=3
 7766 | civic                          | 公民的                            | 🎨        | chunks=['ci', 'vic'] | py=ㄙㄜ-ㄈㄧㄎ | theme=adjectives | stage=3
 7767 | clam                           | 蛤                              | 🦪        | chunks=['cl', 'am'] | py=ㄎㄌ-ㄚㄇ | theme=animals | stage=3
 7768 | clan                           | 氏族                             | 🏃        | chunks=['cl', 'an'] | py=ㄎㄌ-ㄢ | theme=actions | stage=3
 7769 | clasp                          | 緊握                             | 🏃        | chunks=['cl', 'asp'] | py=ㄎㄌ-ㄚㄙㄆ | theme=actions | stage=3
 7770 | cling                          | 黏著                             | 🏃        | chunks=['cl', 'ing'] | py=ㄎㄌ-ㄧㄥ | theme=actions | stage=3
 7771 | clover                         | 苜蓿                             | 🏃        | chunks=['clo', 'ver'] | py=ㄎㄌㄛ-ㄈㄜ | theme=actions | stage=3
 7772 | cluster                        | 群                              | 🏃        | chunks=['clus', 'ter'] | py=ㄎㄌㄚㄙ-ㄊㄜ | theme=actions | stage=3
 7773 | clutch                         | 抓住、離合器                         | 🏃        | chunks=['cl', 'utch'] | py=ㄎㄌ-ㄚㄊㄔ | theme=actions | stage=3
 7774 | coastline                      | 海岸線                            | 🌳        | chunks=['coas', 'tli', 'ne'] | py=ㄎㄛㄙ-ㄊㄌㄧ-ㄋㄧ | theme=nature | stage=3
 7775 | cocoon                         | 繭                              | 🏃        | chunks=['co', 'coon'] | py=ㄎㄛ-ㄎㄨㄣ | theme=actions | stage=3
 7776 | coil                           | 線圈                             | 🏃        | chunks=['c', 'oil'] | py=ㄒㄧ-ㄛㄧㄦ | theme=actions | stage=3
 7777 | colonel                        | 陸軍上校                           | 🏃        | chunks=['co', 'lo', 'nel'] | py=ㄎㄛ-ㄌㄛ-ㄋㄜ | theme=directions | stage=3
 7778 | colonial                       | 殖民的                            | 🎨        | chunks=['co', 'lo', 'nial'] | py=ㄎㄛ-ㄌㄛ-ㄋㄧㄚㄌ | theme=adjectives | stage=3
 7779 | combat                         | 戰鬥                             | 🏃        | chunks=['com', 'bat'] | py=ㄎㄚㄇ-ㄅㄝ | theme=actions | stage=3
 7780 | comedian                       | 喜劇演員                           | 👨‍⚕️     | chunks=['co', 'me', 'dian'] | py=ㄎㄛ-ㄇㄝ-ㄉㄧㄚㄋ | theme=jobs | stage=3
 7781 | commentator                    | 評論家                            | 👨‍⚕️     | chunks=['com', 'men', 'ta', 'tor'] | py=ㄎㄚㄇ-ㄇㄣ-ㄊㄝ-ㄊㄜ | theme=jobs | stage=3
 7782 | commonplace                    | 平凡的                            | 🎨        | chunks=['com', 'mon', 'pla', 'ce'] | py=ㄎㄚㄇ-ㄇㄚ-ㄆㄌㄚ-ㄙㄜ | theme=adjectives | stage=3
 7783 | communist                      | 共產主義者、共產主義的                    | 🎨        | chunks=['com', 'mu', 'nist'] | py=ㄎㄚㄇ-ㄇㄧㄨ-ㄋㄧㄙㄊ | theme=adjectives | stage=3
 7784 | commute                        | 通勤                             | 🎨        | chunks=['com', 'mu', 'te'] | py=ㄎㄚㄇ-ㄇㄧㄨ-ㄊㄧ | theme=actions | stage=3
 7785 | commuter                       | 通勤者                            | 👨‍⚕️     | chunks=['com', 'mu', 'ter'] | py=ㄎㄚㄇ-ㄇㄧㄨ-ㄊㄜ | theme=jobs | stage=3 base=commute
 7786 | compact                        | 緊密的                            | 🎨        | chunks=['com', 'pact'] | py=ㄎㄚㄇ-ㄆㄚㄎㄊ | theme=adjectives | stage=3
 7787 | compassionate                  | 有同情心的                          | 🎨        | chunks=['com', 'pas', 'sio', 'na', 'te'] | py=ㄎㄚㄇ-ㄆㄚㄙ-ㄙㄧㄛ-ㄋㄚ-ㄊㄧ | theme=adjectives | stage=3
 7788 | compel                         | 強迫                             | 🏃        | chunks=['com', 'pel'] | py=ㄎㄚㄇ-ㄆㄦ | theme=actions | stage=3
 7789 | compliment                     | 恭維                             | 🎨        | chunks=['com', 'pli', 'ment'] | py=ㄎㄚㄇ-ㄆㄌㄜ-ㄇㄣㄊ | theme=adjectives | stage=3 [有易混提示]
 7790 | comprehension                  | 理解力                            | 🎓        | chunks=['com', 'pre', 'hen', 'sion'] | py=ㄎㄚㄇ-ㄆㄌㄧ-ㄏㄣ-ㄒㄣ | theme=academic-words | stage=3
 7791 | compromise                     | 妥協                             | 🏃        | chunks=['com', 'pro', 'mi', 'se'] | py=ㄎㄚㄇ-ㄆㄜ-ㄇㄞ-ㄙㄜ | theme=actions | stage=3
 7792 | computerize                    | 使電腦化                           | 💻        | chunks=['com', 'pu', 'te', 'ri', 'ze'] | py=ㄎㄚㄇ-ㄆㄧㄨ-ㄊㄧ-ㄌㄧ-ㄗㄧ | theme=technology | stage=3 base=computer
 7793 | comrade                        | 夥伴                             | 🏃        | chunks=['com', 'ra', 'de'] | py=ㄎㄚㄇ-ㄌㄚ-ㄉㄧ | theme=actions | stage=3
 7794 | conceal                        | 隱藏                             | 🏃        | chunks=['con', 'ceal'] | py=ㄎㄚㄣ-ㄎㄧㄌ | theme=actions | stage=3
 7795 | condemn                        | 譴責                             | 🏃        | chunks=['con', 'demn'] | py=ㄎㄚㄣ-ㄉㄝㄇㄋ | theme=actions | stage=3
 7796 | confront                       | 面臨                             | 🏃        | chunks=['con', 'front'] | py=ㄎㄚㄣ-ㄈㄌㄚㄣㄊ | theme=actions | stage=3
 7797 | considerate                    | 體諒的                            | 🎨        | chunks=['con', 'si', 'de', 'ra', 'te'] | py=ㄎㄚㄣ-ㄗㄜ-ㄉㄧ-ㄌㄚ-ㄊㄧ | theme=adjectives | stage=3
 7798 | console                        | 安慰                             | 🏃        | chunks=['con', 'so', 'le'] | py=ㄎㄚㄣ-ㄙㄛ-ㄌㄧ | theme=emotions | stage=3
 7799 | constitutional                 | 憲法的                            | ⚖️       | chunks=['con', 'sti', 'tu', 'tio', 'nal'] | py=ㄎㄚㄣ-ㄙㄊㄜ-ㄑㄨ-ㄒㄛ-ㄋㄦ | theme=law | stage=3
 7800 | contaminate                    | 汙染                             | 🏃        | chunks=['con', 'ta', 'mi', 'na', 'te'] | py=ㄎㄚㄣ-ㄊㄝ-ㄇㄞ-ㄋㄚ-ㄊㄧ | theme=actions | stage=3
 7801 | contempt                       | 輕視                             | 🏃        | chunks=['con', 'tempt'] | py=ㄎㄚㄣ-ㄊㄝㄇㄆㄊ | theme=actions | stage=3
 7802 | contend                        | 爭論                             | 🏃        | chunks=['con', 'tend'] | py=ㄎㄚㄣ-ㄊㄝㄋㄉ | theme=actions | stage=3
 7803 | continental                    | 洲的                             | 🗺️       | chunks=['con', 'ti', 'nen', 'tal'] | py=ㄎㄚㄣ-ㄊㄜ-ㄋㄝㄋ-ㄉㄜ | theme=geography | stage=3
 7804 | continuity                     | 連貫性                            | 🎓        | chunks=['con', 'ti', 'nui', 'ty'] | py=ㄎㄚㄣ-ㄊㄜ-ㄋㄨ-ㄊㄧ | theme=academic-words | stage=3
 7805 | convict                        | 判...有罪                         | 🏃        | chunks=['con', 'vict'] | py=ㄎㄚㄣ-ㄨㄧㄎㄊ | theme=actions | stage=3
 7806 | correspondence                 | 通信                             | 🎓        | chunks=['cor', 'res', 'pon', 'den', 'ce'] | py=ㄎㄛ-ㄌㄝㄙ-ㄆㄚㄣ-ㄉㄣ-ㄙㄜ | theme=academic-words | stage=3
 7807 | corridor                       | 走廊                             | 🏃        | chunks=['cor', 'ri', 'dor'] | py=ㄎㄛ-ㄌㄧ-ㄉㄜ | theme=actions | stage=3
 7808 | corrupt                        | 腐敗                             | 🏃        | chunks=['cor', 'rupt'] | py=ㄎㄛ-ㄌㄚㄆㄊ | theme=actions | stage=3
 7809 | courtyard                      | 庭院                             | 🏃        | chunks=['cour', 'tyard'] | py=ㄎㄠㄖ-ㄊㄧㄚㄜㄉ | theme=actions | stage=3
 7810 | cracker                        | 脆餅                             | 🏃        | chunks=['crac', 'ker'] | py=ㄎㄖㄚㄎ-ㄎㄜ | theme=food | stage=3
 7811 | crater                         | 火山口                            | 🌳        | chunks=['cra', 'ter'] | py=ㄎㄌㄟ-ㄊㄜ | theme=nature | stage=3
 7812 | creak                          | 發出喀吱聲                          | 🏃        | chunks=['cr', 'eak'] | py=ㄎㄖ-ㄧㄎ | theme=actions | stage=3
 7813 | crossing                       | 交叉點                            | 🚦        | chunks=['cros', 'sing'] | py=ㄎㄖㄛㄙ-ㄒㄧㄥ | theme=kitchen-utensils | stage=3
 7814 | crouch                         | 蹲伏                             | 🏃        | chunks=['cr', 'ouch'] | py=ㄎㄖ-ㄠㄔ | theme=actions | stage=3
 7815 | curb                           | 路邊                             | 🏃        | chunks=['c', 'urb'] | py=ㄒㄧ-ㄅㄜㄅ | theme=actions | stage=3
 7816 | curriculum                     | 課程                             | 🏃        | chunks=['cur', 'ri', 'cu', 'lum'] | py=ㄎㄜ-ㄌㄧ-ㄎㄧㄨ-ㄌㄣ | theme=school | stage=3
 7817 | curry                          | 咖哩                             | 🍛        | chunks=['cur', 'ry'] | py=ㄎㄜ-ㄌㄧ | theme=actions | stage=3
 7818 | dazzle                         | 使…目眩                           | 🏃        | chunks=['daz', 'zle'] | py=ㄉㄚ-ㄗㄜ | theme=actions | stage=3
 7819 | delegate                       | 代表團團員派...為                     | 🧑‍💼      | chunks=['de', 'le', 'ga', 'te'] | py=ㄉㄧ-ㄌㄧ-ㄍㄚ-ㄊㄧ | theme=desserts | stage=3
 7820 | delegation                     | 代表團                            | 🎓        | chunks=['de', 'le', 'ga', 'tion'] | py=ㄉㄧ-ㄌㄧ-ㄍㄚ-ㄒㄣ | theme=academic-words | stage=3
 7821 | denial                         | 否認                             | 🏃        | chunks=['de', 'nial'] | py=ㄉㄧ-ㄋㄧㄚㄌ | theme=actions | stage=3 base=deny
 7822 | descriptive                    | 描述的                            | 🎨        | chunks=['des', 'crip', 'ti', 've'] | py=ㄉㄧ-ㄎㄖㄧㄆ-ㄊㄜ-ㄈㄜ | theme=adjectives | stage=3
 7823 | despair                        | 絕望                             | 🏃        | chunks=['des', 'pair'] | py=ㄉㄧ-ㄆㄝㄜ | theme=actions | stage=3
 7824 | destination                    | 目的地                            | 🎨        | chunks=['des', 'ti', 'na', 'tion'] | py=ㄉㄧ-ㄊㄜ-ㄋㄚ-ㄒㄣ | theme=adjectives | stage=3
 7825 | destiny                        | 命運                             | 🏃        | chunks=['des', 'ti', 'ny'] | py=ㄉㄧ-ㄊㄜ-ㄋㄧ | theme=actions | stage=3
 7826 | destructive                    | 有破壞性的                          | 🎨        | chunks=['des', 'truc', 'ti', 've'] | py=ㄉㄧ-ㄊㄖㄚㄎ-ㄊㄜ-ㄈㄜ | theme=adjectives | stage=3
 7827 | devour                         | 吞食                             | 🏃        | chunks=['de', 'vour'] | py=ㄉㄧ-ㄨㄠㄖ | theme=actions | stage=3
 7828 | disbelief                      | 不信                             | 🏃        | chunks=['dis', 'be', 'lief'] | py=ㄉㄧㄙ-ㄅㄧ-ㄌㄧㄈ | theme=actions | stage=3
 7829 | discard                        | 丟棄                             | 🏃        | chunks=['dis', 'card'] | py=ㄉㄧㄙ-ㄎㄚㄦㄉ | theme=actions | stage=3
 7830 | disciple                       | 信徒                             | 🏃        | chunks=['dis', 'cip', 'le'] | py=ㄉㄧㄙ-ㄎㄧㄆ-ㄌㄧ | theme=religion | stage=3
 7831 | dispense                       | 分配                             | 🏃        | chunks=['dis', 'pen', 'se'] | py=ㄉㄧㄙ-ㄆㄣ-ㄙㄜ | theme=actions | stage=3
 7832 | distinction                    | 差別                             | 🎓        | chunks=['dis', 'tin', 'ction'] | py=ㄉㄧㄙ-ㄊㄧㄣ-ㄎㄒㄣ | theme=academic-words | stage=3
 7833 | distinctive                    | 有特色的                           | 🎨        | chunks=['dis', 'tin', 'cti', 've'] | py=ㄉㄧㄙ-ㄊㄧㄣ-ㄎㄊㄧ-ㄈㄜ | theme=adjectives | stage=3 base=distinct
 7834 | doorstep                       | 門階                             | 🛋️       | chunks=['door', 'step'] | py=ㄉㄛㄦ-ㄙㄉㄝㄆ | theme=home-items | stage=3
 7835 | doorway                        | 出入口                            | 🏃        | chunks=['door', 'way'] | py=ㄉㄛㄦ-ㄨㄝ | theme=actions | stage=3
 7836 | dough                          | 生麵團                            | 🏃        | chunks=['d', 'ough'] | py=ㄉㄧ-ㄋㄚㄈ | theme=actions | stage=3
 7837 | dreadful                       | 畏懼的                            | 🎨        | chunks=['dread', 'ful'] | py=ㄉㄖㄧㄉ-ㄈㄜ | theme=adjectives | stage=3 base=dread
 7838 | dressing                       | 沙拉醬                            | 🥗        | chunks=['dres', 'sing'] | py=ㄉㄌㄝ-ㄒㄧㄥ | theme=food | stage=3
 7839 | driveway                       | 私人車道                           | 🏃        | chunks=['dri', 've', 'way'] | py=ㄉㄖㄞ-ㄈㄜ-ㄨㄝ | theme=actions | stage=3
 7840 | dwarf                          | 矮子矮小的                          | 💁        | chunks=['dw', 'arf'] | py=ㄉㄨ-ㄚㄜㄈ | theme=appearance | stage=3
 7841 | dwell                          | 居住                             | 🏃        | chunks=['dw', 'ell'] | py=ㄉㄨ-ㄝㄌㄌ | theme=actions | stage=3
 7842 | dwelling                       | 住處                             | 🏃        | chunks=['dwel', 'ling'] | py=ㄉㄨㄝㄌ-ㄌㄧㄥ | theme=actions | stage=3
 7843 | elaborate                      | 精巧的、詳述                         | 🏃        | chunks=['e', 'la', 'bo', 'ra', 'te'] | py=ㄧ-ㄌㄚ-ㄅㄛ-ㄌㄚ-ㄊㄧ | theme=actions | stage=3
 7844 | elevate                        | 提升                             | 🏃        | chunks=['e', 'le', 'va', 'te'] | py=ㄧ-ㄌㄧ-ㄈㄚ-ㄊㄧ | theme=actions | stage=3
 7845 | enroll                         | 註冊                             | 🏃        | chunks=['en', 'roll'] | py=ㄣ-ㄌㄛㄦ | theme=actions | stage=3
 7846 | enrollment                     | 註冊                             | 🎨        | chunks=['en', 'rol', 'lment'] | py=ㄣ-ㄌㄛ-ㄌㄇㄣㄊ | theme=adjectives | stage=3 base=enroll
 7847 | insure                         | 確保                             | 🎓        | chunks=['in', 'su', 're'] | py=ㄧㄣ-ㄙㄨ-ㄌㄧ | theme=academic-words | stage=3
 7848 | entitle                        | 取名為…                           | 🏃        | chunks=['en', 'tit', 'le'] | py=ㄣ-ㄊㄧㄊ-ㄌㄧ | theme=actions | stage=3
 7849 | erect                          | 豎立                             | 🏃        | chunks=['e', 'rect'] | py=ㄧ-ㄖㄝㄎㄊ | theme=actions | stage=3
 7850 | erupt                          | 爆發                             | 🏃        | chunks=['e', 'rupt'] | py=ㄧ-ㄌㄚㄆㄊ | theme=actions | stage=3
 7851 | escort                         | 護送者、護送                         | 🏃        | chunks=['es', 'cort'] | py=ㄝㄙ-ㄎㄛㄜㄊ | theme=actions | stage=3
 7852 | esteem                         | 尊重                             | 🏃        | chunks=['es', 'teem'] | py=ㄝㄙ-ㄊㄧㄇ | theme=actions | stage=3
 7853 | evergreen                      | 常青樹、常綠的                        | 🎨        | chunks=['e', 'ver', 'green'] | py=ㄧ-ㄈㄜ-ㄍㄌㄧㄣ | theme=adjectives | stage=3
 7854 | exaggeration                   | 誇大                             | 🎓        | chunks=['e', 'xag', 'ge', 'ra', 'tion'] | py=ㄧ-ㄎㄙㄚㄍ-ㄐㄧ-ㄌㄚ-ㄒㄣ | theme=academic-words | stage=3
 7855 | excel                          | 勝過                             | 🏃        | chunks=['ex', 'cel'] | py=ㄝㄎㄙ-ㄙㄝ | theme=actions | stage=3
 7856 | exceptional                    | 優異的                            | 🎨        | chunks=['ex', 'cep', 'tio', 'nal'] | py=ㄝㄎㄙ-ㄙㄝㄆ-ㄒㄛ-ㄋㄦ | theme=adjectives | stage=3
 7857 | excess                         | 過度                             | 🏃        | chunks=['ex', 'cess'] | py=ㄝㄎㄙ-ㄙㄝㄙ | theme=actions | stage=3
 7858 | exclaim                        | 驚叫                             | 🏃        | chunks=['ex', 'claim'] | py=ㄝㄎㄙ-ㄎㄌㄝㄇ | theme=actions | stage=3
 7859 | execute                        | 執行                             | 🎨        | chunks=['e', 'xe', 'cu', 'te'] | py=ㄧ-ㄎㄙㄝ-ㄎㄧㄨ-ㄊㄧ | theme=adjectives | stage=3
 7860 | exile                          | 放逐、流亡者                         | 🎨        | chunks=['e', 'xi', 'le'] | py=ㄧ-ㄎㄙㄧ-ㄌㄧ | theme=adjectives | stage=3
 7861 | extension                      | 延伸                             | 🎓        | chunks=['ex', 'ten', 'sion'] | py=ㄝㄎㄙ-ㄊㄣ-ㄒㄣ | theme=academic-words | stage=3
 7862 | extensive                      | 廣泛的                            | 🎨        | chunks=['ex', 'ten', 'si', 've'] | py=ㄝㄎㄙ-ㄊㄣ-ㄗㄜ-ㄈㄜ | theme=adjectives | stage=3
 7863 | exterior                       | 外部的、外部                         | 🏃        | chunks=['ex', 'te', 'rior'] | py=ㄝㄎㄙ-ㄊㄧ-ㄖㄧㄛㄜ | theme=actions | stage=3
 7864 | extinct                        | 絕種的                            | 🎨        | chunks=['ex', 'tinct'] | py=ㄝㄎㄙ-ㄊㄧㄥㄎㄊ | theme=adjectives | stage=3
 7865 | extraordinary                  | 非凡的                            | 🎨        | chunks=['ex', 'traor', 'di', 'na', 'ry'] | py=ㄝㄎㄙ-ㄊㄖㄚㄛㄜ-ㄉㄧ-ㄋㄚ-ㄌㄧ | theme=adjectives | stage=3
 7866 | fad                            | 時尚                             | 🏃        | chunks=['f', 'ad'] | py=ㄝㄈ-ㄚㄉ | theme=actions | stage=3
 7867 | fahrenheit                     | 華氏的、華氏溫度                       | 🏃        | chunks=['fah', 'ren', 'heit'] | py=ㄈㄚㄏ-ㄌㄣ-ㄏㄝㄊ | theme=actions | stage=3
 7868 | falter                         | 蹣跚                             | 🏃        | chunks=['fal', 'ter'] | py=ㄈㄚ-ㄊㄜ | theme=actions | stage=3
 7869 | fascinate                      | 使著迷                            | 🏃        | chunks=['fas', 'ci', 'na', 'te'] | py=ㄈㄚㄙ-ㄙㄜ-ㄋㄚ-ㄊㄧ | theme=actions | stage=3
 7870 | fatigue                        | 極度疲勞                           | 🏃        | chunks=['fa', 'ti', 'gue'] | py=ㄈㄚ-ㄊㄜ-ㄍㄝ | theme=actions | stage=3
 7871 | feminine                       | 有女性氣質的                         | 🎨        | chunks=['fe', 'mi', 'ni', 'ne'] | py=ㄈㄧ-ㄇㄞ-ㄋㄜ-ㄋㄧ | theme=adjectives | stage=3
 7872 | fiddle                         | 小提琴                            | 🎵        | chunks=['fid', 'dle'] | py=ㄈㄧㄉ-ㄉㄜ | theme=music | stage=3
 7873 | filter                         | 過濾器、過濾                         | 🔨        | chunks=['fil', 'ter'] | py=ㄈㄜ-ㄊㄜ | theme=tools | stage=3
 7874 | fin                            | 鰭                              | 🏃        | chunks=['f', 'in'] | py=ㄝㄈ-ㄧㄣ | theme=actions | stage=3
 7875 | fishery                        | 魚場                             | 🐾        | chunks=['fis', 'he', 'ry'] | py=ㄈㄧㄙ-ㄏㄝ-ㄌㄧ | theme=animals | stage=3
 7876 | flake                          | 小薄片                            | 🏃        | chunks=['fla', 'ke'] | py=ㄈㄌㄝ-ㄎㄟ | theme=actions | stage=3
 7877 | flap                           | 拍打                             | 🏃        | chunks=['fl', 'ap'] | py=ㄈㄌ-ㄚ | theme=actions | stage=3
 7878 | flaw                           | 裂縫                             | 🏃        | chunks=['fl', 'aw'] | py=ㄈㄌ-ㄛ | theme=actions | stage=3
 7879 | flick                          | 輕彈、輕擊聲                         | 🏃        | chunks=['fl', 'ick'] | py=ㄈㄌ-ㄧㄎ | theme=actions | stage=3
 7880 | flip                           | 拋                              | 🏃        | chunks=['fl', 'ip'] | py=ㄈㄌ-ㄌㄧㄆ | theme=actions | stage=3
 7881 | fluency                        | 流利                             | 🏃        | chunks=['fluen', 'cy'] | py=ㄈㄌㄩㄋ-ㄒㄧ | theme=actions | stage=3
 7882 | forgetful                      | 健忘的                            | 🎨        | chunks=['for', 'get', 'ful'] | py=ㄈㄛ-ㄍㄝㄊ-ㄈㄜ | theme=adjectives | stage=3 base=forget
 7883 | foul                           | 惡臭的                            | 🎨        | chunks=['f', 'oul'] | py=ㄝㄈ-ㄠㄌ | theme=adjectives | stage=3
 7884 | fowl                           | 家禽                             | 🏃        | chunks=['f', 'owl'] | py=ㄝㄈ-ㄠㄌ | theme=animals | stage=3
 7885 | fraction                       | 分數                             | 🔢        | chunks=['frac', 'tion'] | py=ㄈㄌㄚㄎ-ㄒㄣ | theme=numbers | stage=3
 7886 | fume                           | 煙，氣                            | 🏃        | chunks=['fu', 'me'] | py=ㄈㄧㄨ-ㄇㄝ | theme=actions | stage=3
 7887 | fury                           | 盛怒                             | 🏃        | chunks=['fu', 'ry'] | py=ㄈㄧㄨ-ㄌㄧ | theme=actions | stage=3 base=fur
 7888 | fuse                           | 熔合保險絲                          | 🪨        | chunks=['fu', 'se'] | py=ㄈㄧㄨ-ㄙㄜ | theme=materials | stage=3
 7889 | fuss                           | 大驚小怪                           | 🏃        | chunks=['f', 'uss'] | py=ㄝㄈ-ㄚㄙㄙ | theme=actions | stage=3
 7890 | gallop                         | 疾馳                             | 🏃        | chunks=['gal', 'lop'] | py=ㄍㄚ-ㄌㄛㄆ | theme=actions | stage=3
 7891 | garment                        | 衣服                             | 👕        | chunks=['gar', 'ment'] | py=ㄍㄚㄦ-ㄇㄣㄊ | theme=clothing | stage=3
 7892 | gasp                           | 喘氣                             | 🏃        | chunks=['g', 'asp'] | py=ㄐㄧ-ㄚㄙㄆ | theme=actions | stage=3
 7893 | gay                            | 同性戀的、同性戀者                      | 🏃        | chunks=['g', 'ay'] | py=ㄐㄧ-ㄟ | theme=actions | stage=3
 7894 | geometry                       | 幾何學                            | 🏃        | chunks=['geo', 'met', 'ry'] | py=ㄍㄝㄛ-ㄇㄝㄊ-ㄌㄧ | theme=actions | stage=3
 7895 | glare                          | 閃耀                             | 🏃        | chunks=['gla', 're'] | py=ㄍㄌㄟ-ㄌㄧ | theme=actions | stage=3
 7896 | gleam                          | 閃爍                             | 🏃        | chunks=['gl', 'eam'] | py=ㄍㄌ-ㄧㄇ | theme=actions | stage=3
 7897 | glee                           | 快樂                             | 😄        | chunks=['gl', 'ee'] | py=ㄍㄌ-ㄧ | theme=emotions | stage=3
 7898 | glitter                        | 閃爍                             | 🏃        | chunks=['glit', 'ter'] | py=ㄍㄌㄧㄊ-ㄊㄜ | theme=actions | stage=3
 7899 | gloom                          | 黑暗                             | 🏃        | chunks=['gl', 'oom'] | py=ㄍㄌ-ㄨㄇ | theme=actions | stage=3
 7900 | gnaw                           | 咬                              | 🏃        | chunks=['gn', 'aw'] | py=ㄍㄋ-ㄛ | theme=actions | stage=3
 7901 | gobble                         | (火雞)咯咯叫、狼吞虎嚥                   | 🦃        | chunks=['gob', 'ble'] | py=ㄍㄛㄅ-ㄅㄜ | theme=animals | stage=3
 7902 | gorge                          | 峽谷、狼吞虎嚥                        | 🏞️       | chunks=['gor', 'ge'] | py=ㄍㄛㄦ-ㄐㄧ | theme=animals | stage=3
 7903 | graze                          | 放牧                             | 🏃        | chunks=['gra', 'ze'] | py=ㄍㄌㄝ-ㄗㄧ | theme=actions | stage=3
 7904 | grease                         | 油脂                             | 🏃        | chunks=['grea', 'se'] | py=ㄍㄖㄧ-ㄙㄜ | theme=actions | stage=3
 7905 | greed                          | 貪心                             | 🏃        | chunks=['gr', 'eed'] | py=ㄍㄖ-ㄧㄉ | theme=actions | stage=3
 7906 | grip                           | 緊握                             | 🏃        | chunks=['gr', 'ip'] | py=ㄍㄖ-ㄌㄧㄆ | theme=actions | stage=3
 7907 | groan                          | 呻吟                             | 🏃        | chunks=['gr', 'oan'] | py=ㄍㄖ-ㄛㄋ | theme=actions | stage=3
 7908 | gross                          | 總的                             | 🎨        | chunks=['gr', 'oss'] | py=ㄍㄖ-ㄛㄙㄙ | theme=adjectives | stage=3
 7909 | growl                          | 嚎叫                             | 🏃        | chunks=['gr', 'owl'] | py=ㄍㄖ-ㄠㄌ | theme=actions | stage=3
 7910 | grumble                        | 抱怨、怨言                          | 🏃        | chunks=['grum', 'ble'] | py=ㄍㄖㄚㄇ-ㄅㄜ | theme=actions | stage=3
 7911 | gulp                           | 狼吞虎嚥                           | 😋        | chunks=['g', 'ulp'] | py=ㄐㄧ-ㄚㄌㄆ | theme=animals | stage=3
 7912 | gypsy                          | 吉普賽人                           | 🏃        | chunks=['gyp', 'sy'] | py=ㄍㄧㄆ-ㄗㄧ | theme=actions | stage=3
 7913 | hairstyle                      | 髮型                             | 💁        | chunks=['hair', 'sty', 'le'] | py=ㄏㄝㄜ-ㄙㄊㄧ-ㄌㄧ | theme=appearance | stage=3
 7914 | handicap                       | 障礙妨礙                           | 🏃        | chunks=['han', 'di', 'cap'] | py=ㄏㄢ-ㄉㄧ-ㄎㄚㄆ | theme=actions | stage=3
 7915 | handicraft                     | 手工藝品                           | 🏃        | chunks=['han', 'dic', 'raft'] | py=ㄏㄢ-ㄉㄧㄎ-ㄖㄚㄈㄊ | theme=actions | stage=3
 7916 | hardy                          | 吃苦耐勞的                          | 🎨        | chunks=['har', 'dy'] | py=ㄏㄚㄦ-ㄉㄧ | theme=adjectives | stage=3
 7917 | harness                        | 馬具套上馬具                         | 🐴        | chunks=['har', 'ness'] | py=ㄏㄚㄦ-ㄋㄝㄙ | theme=animals | stage=3
 7918 | haul                           | 拖                              | 🏃        | chunks=['h', 'aul'] | py=ㄝㄑ-ㄛㄌ | theme=actions | stage=3
 7919 | haunt                          | 不斷糾纏                           | 🏃        | chunks=['h', 'aunt'] | py=ㄝㄑ-ㄛㄋㄊ | theme=actions | stage=3
 7920 | heavenly                       | 天堂的、極好的                        | 🎨        | chunks=['hea', 'ven', 'ly'] | py=ㄏㄝ-ㄈㄣ-ㄌㄧ | theme=adjectives | stage=3
 7921 | hedge                          | 樹籬                             | 🏃        | chunks=['hed', 'ge'] | py=ㄏㄝㄉ-ㄐㄧ | theme=actions | stage=3
 7922 | heed                           | 留意                             | 🏃        | chunks=['h', 'eed'] | py=ㄝㄑ-ㄧㄉ | theme=actions | stage=3
 7923 | heighten                       | 增高                             | 💁        | chunks=['heig', 'hten'] | py=ㄏㄝㄍ-ㄏㄊㄝㄋ | theme=appearance | stage=3
 7924 | heir                           | 繼承人                            | 🏃        | chunks=['h', 'eir'] | py=ㄝㄑ-ㄝㄖ | theme=actions | stage=3
 7925 | herald                         | 使者、傳達                          | 🏃        | chunks=['he', 'rald'] | py=ㄏㄝ-ㄖㄚㄌㄉ | theme=actions | stage=3
 7926 | hermit                         | 隱士                             | 🏃        | chunks=['her', 'mit'] | py=ㄏㄜ-ㄇㄧㄊ | theme=actions | stage=3
 7927 | heroic                         | 英雄的                            | 🎨        | chunks=['he', 'roic'] | py=ㄏㄝ-ㄖㄛㄧㄎ | theme=adjectives | stage=3
 7928 | heterosexual                   | 異性戀的                           | 🎨        | chunks=['he', 'te', 'ro', 'se', 'xual'] | py=ㄏㄝ-ㄊㄧ-ㄌㄛ-ㄙㄜ-ㄎㄙㄚㄚㄌ | theme=adjectives | stage=3
 7929 | hi-fi                          | 高傳真音響(Hi-Fi)                   | 🏃        | chunks=['hi', 'fi'] | py=ㄏㄞ-ㄈㄜ | theme=actions | stage=3
 7930 | hijack                         | 劫持                             | 🏃        | chunks=['hi', 'jack'] | py=ㄏㄞ-ㄐㄚㄎ | theme=actions | stage=3
