# 字 500-999
  500 | live                           | 居住                             | 🏠        | chunks=['l', 'ive'] | py=ㄌㄧㄈ | theme=actions | stage=0 [有易混提示]
  699 | took                           | 拿了                             | 🫳        | chunks=['t', 'ook'] | py=ㄊㄨㄎ | theme=sight-words | stage=1 base=take
  700 | gave                           | 給了                             | 🎀        | chunks=['g', 'ave'] | py=ㄍㄟㄈ | theme=sight-words | stage=1 base=give
  701 | found                          | 找到了                            | 🔍        | chunks=['f', 'ound'] | py=ㄈㄠㄣㄉ | theme=sight-words | stage=1 base=find [有易混提示]
  702 | thought                        | 想過                             | 💭        | chunks=['th', 'ought'] | py=ㄙㄛㄊ | theme=sight-words | stage=1 base=think
  703 | knew                           | 知道了                            | 🧠        | chunks=['knew'] | py=ㄋㄧㄨ | theme=sight-words | stage=1 base=know [有易混提示]
  704 | its                            | 它的                             | 🔗        | chunks=['its'] | py=ㄧㄊㄙ | theme=sight-words | stage=1 [有易混提示]
  705 | our                            | 我們的                            | 👥        | chunks=['our'] | py=ㄠㄜ | theme=sight-words | stage=1 [有易混提示]
  706 | their                          | 他們的                            | 👥        | chunks=['th', 'eir'] | py=ㄉㄝㄜ | theme=sight-words | stage=1 [有易混提示]
  707 | his                            | 他的                             | 👨        | chunks=['h', 'is'] | py=ㄏㄧㄗ | theme=sight-words | stage=0 [有易混提示]
  708 | her                            | 她的                             | 👩        | chunks=['h', 'er'] | py=ㄏㄜ | theme=sight-words | stage=0 [有易混提示]
  709 | him                            | 他                              | 👨        | chunks=['h', 'im'] | py=ㄏㄧㄇ | theme=sight-words | stage=0 [有易混提示]
  710 | them                           | 他們                             | 👥        | chunks=['th', 'em'] | py=ㄉㄝㄇ | theme=sight-words | stage=1 [有易混提示]
  711 | us                             | 我們                             | 👥        | chunks=['us'] | py=ㄚㄙ | theme=sight-words | stage=0 [有易混提示]
  712 | face                           | 臉                              | 😀        | chunks=['f', 'ace'] | py=ㄈㄟㄙ | theme=body | stage=0 [有易混提示]
  713 | neck                           | 脖子                             | 🦒        | chunks=['n', 'eck'] | py=ㄋㄝㄎ | theme=body | stage=0 [有易混提示]
  714 | shoulder                       | 肩                              | 💪        | chunks=['shoul', 'der'] | py=ㄒㄛㄦ-ㄉㄜ | theme=body | stage=1
  715 | chest                          | 胸                              | 🫁        | chunks=['ch', 'est'] | py=ㄔㄝㄙㄊ | theme=body | stage=1 [有易混提示]
  716 | stomach                        | 肚子                             | 🤰        | chunks=['sto', 'mach'] | py=ㄙㄊㄚ-ㄇㄜㄎ | theme=body | stage=1
  717 | knee                           | 膝蓋                             | 🦵        | chunks=['kn', 'ee'] | py=ㄋㄧ | theme=body | stage=1
  718 | finger                         | 手指                             | 👆        | chunks=['fin', 'ger'] | py=ㄈㄧㄣ-ㄍㄜ | theme=body | stage=0
  719 | toe                            | 腳趾                             | 🦶        | chunks=['toe'] | py=ㄊㄛ | theme=body | stage=0 [有易混提示]
  720 | tooth                          | 牙齒                             | 🦷        | chunks=['t', 'ooth'] | py=ㄊㄨㄙ | theme=body | stage=0 [有易混提示]
  721 | tongue                         | 舌頭                             | 👅        | chunks=['t', 'ongue'] | py=ㄊㄚㄥ | theme=body | stage=1
  722 | lip                            | 嘴唇                             | 👄        | chunks=['l', 'ip'] | py=ㄌㄧㄆ | theme=body | stage=0
  723 | cheek                          | 臉頰                             | 😊        | chunks=['ch', 'eek'] | py=ㄔㄧㄎ | theme=body | stage=1
  724 | chin                           | 下巴                             | 👤        | chunks=['ch', 'in'] | py=ㄔㄧㄣ | theme=body | stage=1
  725 | elbow                          | 手肘                             | 💪        | chunks=['el', 'bow'] | py=ㄝㄦ-ㄅㄛ | theme=body | stage=1
  726 | wrist                          | 手腕                             | ⌚        | chunks=['wr', 'ist'] | py=ㄌㄧㄙㄊ | theme=body | stage=1
  727 | ankle                          | 腳踝                             | 🦶        | chunks=['an', 'kle'] | py=ㄢ-ㄎㄜ | theme=body | stage=1
  728 | heart                          | 心                              | ❤️       | chunks=['h', 'eart'] | py=ㄏㄚㄦㄊ | theme=body | stage=0 [有易混提示]
  729 | brain                          | 大腦                             | 🧠        | chunks=['br', 'ain'] | py=ㄅㄦㄟㄣ | theme=body | stage=1
  730 | skin                           | 皮膚                             | 🫆        | chunks=['sk', 'in'] | py=ㄙㄎㄧㄣ | theme=body | stage=1
  731 | nail                           | 指甲                             | 💅        | chunks=['n', 'ail'] | py=ㄋㄟㄦ | theme=body | stage=1 [有易混提示]
  732 | throat                         | 喉嚨                             | 🗣️       | chunks=['thr', 'oat'] | py=ㄙㄦㄛㄊ | theme=body | stage=1
  733 | body                           | 身體                             | 🧍        | chunks=['bo', 'dy'] | py=ㄅㄚ-ㄉㄧ | theme=body | stage=0 [有易混提示]
  734 | palm                           | 手掌                             | 🖐️       | chunks=['p', 'alm'] | py=ㄆㄚㄇ | theme=body | stage=1 [有易混提示]
  735 | heel                           | 腳跟                             | 👣        | chunks=['h', 'eel'] | py=ㄏㄧㄦ | theme=body | stage=1 [有易混提示]
  736 | jaw                            | 下顎                             | 👤        | chunks=['jaw'] | py=ㄐㄛ | theme=body | stage=1
  737 | beard                          | 鬍子                             | 🧔        | chunks=['b', 'eard'] | py=ㄅㄧㄦㄉ | theme=body | stage=1
  738 | lung                           | 肺                              | 🫁        | chunks=['l', 'ung'] | py=ㄌㄚㄥ | theme=body | stage=2
  739 | liver                          | 肝                              | 🫀        | chunks=['liv', 'er'] | py=ㄌㄧ-ㄈㄜ | theme=body | stage=2
  740 | kidney                         | 腎                              | 🫘        | chunks=['kid', 'ney'] | py=ㄎㄧㄉ-ㄋㄧ | theme=body | stage=2
  741 | eleven                         | 十一                             | 11       | chunks=['e', 'le', 'ven'] | py=ㄧ-ㄌㄝ-ㄈㄣ | theme=numbers | stage=0
  742 | twelve                         | 十二                             | 12       | chunks=['tw', 'elve'] | py=ㄊㄨㄝㄦㄈ | theme=numbers | stage=0 [有易混提示]
  743 | thirteen                       | 十三                             | 13       | chunks=['thir', 'teen'] | py=ㄙㄦ-ㄊㄧㄣ | theme=numbers | stage=0
  744 | fourteen                       | 十四                             | 14       | chunks=['four', 'teen'] | py=ㄈㄛ-ㄊㄧㄣ | theme=numbers | stage=0
  745 | fifteen                        | 十五                             | 15       | chunks=['fif', 'teen'] | py=ㄈㄧㄈ-ㄊㄧㄣ | theme=numbers | stage=0
  746 | sixteen                        | 十六                             | 16       | chunks=['six', 'teen'] | py=ㄒㄧㄎㄙ-ㄊㄧㄣ | theme=numbers | stage=0
  747 | seventeen                      | 十七                             | 17       | chunks=['sev', 'en', 'teen'] | py=ㄙㄝ-ㄈㄣ-ㄊㄧㄣ | theme=numbers | stage=0
  748 | eighteen                       | 十八                             | 18       | chunks=['eigh', 'teen'] | py=ㄟ-ㄊㄧㄣ | theme=numbers | stage=0
  749 | nineteen                       | 十九                             | 19       | chunks=['nine', 'teen'] | py=ㄋㄞㄣ-ㄊㄧㄣ | theme=numbers | stage=0
  750 | twenty                         | 二十                             | 20       | chunks=['twen', 'ty'] | py=ㄊㄨㄝㄣ-ㄊㄧ | theme=numbers | stage=0
  751 | thirty                         | 三十                             | 30       | chunks=['thir', 'ty'] | py=ㄙㄦ-ㄊㄧ | theme=numbers | stage=0 [有易混提示]
  752 | forty                          | 四十                             | 40       | chunks=['for', 'ty'] | py=ㄈㄛ-ㄊㄧ | theme=numbers | stage=0 [有易混提示]
  753 | fifty                          | 五十                             | 50       | chunks=['fif', 'ty'] | py=ㄈㄧㄈ-ㄊㄧ | theme=numbers | stage=0
  754 | sixty                          | 六十                             | 60       | chunks=['six', 'ty'] | py=ㄒㄧㄎㄙ-ㄊㄧ | theme=numbers | stage=0
  755 | seventy                        | 七十                             | 70       | chunks=['sev', 'en', 'ty'] | py=ㄙㄝ-ㄈㄣ-ㄊㄧ | theme=numbers | stage=0
  756 | eighty                         | 八十                             | 80       | chunks=['eigh', 'ty'] | py=ㄟ-ㄊㄧ | theme=numbers | stage=0
  757 | ninety                         | 九十                             | 90       | chunks=['nine', 'ty'] | py=ㄋㄞㄣ-ㄊㄧ | theme=numbers | stage=0
  758 | hundred                        | 百                              | 100      | chunks=['hun', 'dred'] | py=ㄏㄚㄣ-ㄉㄦㄉ | theme=numbers | stage=0 [有易混提示]
  759 | thousand                       | 千                              | 1,000    | chunks=['thou', 'sand'] | py=ㄙㄠ-ㄗㄜㄣㄉ | theme=numbers | stage=1
  760 | million                        | 百萬                             | 100萬     | chunks=['mil', 'lion'] | py=ㄇㄧ-ㄌㄧㄜㄣ | theme=numbers | stage=1
  761 | billion                        | 十億                             | 10億      | chunks=['bil', 'lion'] | py=ㄅㄧ-ㄌㄧㄜㄣ | theme=numbers | stage=2
  762 | zero                           | 零                              | 0        | chunks=['ze', 'ro'] | py=ㄗㄧ-ㄌㄛ | theme=numbers | stage=0
  763 | first                          | 第一                             | 1st      | chunks=['f', 'irst'] | py=ㄈㄦㄙㄊ | theme=numbers | stage=0 [有易混提示]
  764 | second                         | 第二、秒                           | 2nd      | chunks=['sec', 'ond'] | py=ㄙㄝ-ㄎㄜㄣㄉ | theme=numbers | stage=0 [有易混提示]
  765 | third                          | 第三                             | 3rd      | chunks=['th', 'ird'] | py=ㄙㄦㄉ | theme=numbers | stage=0 [有易混提示]
  766 | fourth                         | 第四                             | 4th      | chunks=['four', 'th'] | py=ㄈㄛㄦㄙ | theme=numbers | stage=0
  767 | fifth                          | 第五                             | 5th      | chunks=['fif', 'th'] | py=ㄈㄧㄈㄙ | theme=numbers | stage=0 [有易混提示]
  768 | sixth                          | 第六                             | 6th      | chunks=['six', 'th'] | py=ㄒㄧㄎㄙㄙ | theme=numbers | stage=0
  769 | seventh                        | 第七                             | 7th      | chunks=['sev', 'enth'] | py=ㄙㄝ-ㄈㄣㄙ | theme=numbers | stage=0
  770 | eighth                         | 第八                             | 8th      | chunks=['eigh', 'th'] | py=ㄟㄙ | theme=numbers | stage=0
  771 | ninth                          | 第九                             | 9th      | chunks=['n', 'inth'] | py=ㄋㄞㄣㄙ | theme=numbers | stage=0
  772 | tenth                          | 第十                             | 10th     | chunks=['t', 'enth'] | py=ㄊㄝㄣㄙ | theme=numbers | stage=0
  773 | half                           | 一半                             | ½        | chunks=['h', 'alf'] | py=ㄏㄚㄈ | theme=numbers | stage=0 [有易混提示]
  774 | quarter                        | 四分之一                           | ¼        | chunks=['quar', 'ter'] | py=ㄎㄨㄛ-ㄊㄜ | theme=numbers | stage=1
  775 | double                         | 兩倍                             | ×2       | chunks=['dou', 'ble'] | py=ㄉㄚ-ㄅㄜ | theme=numbers | stage=1 [有易混提示]
  776 | triple                         | 三倍                             | ×3       | chunks=['tri', 'ple'] | py=ㄊㄦㄧ-ㄆㄜ | theme=numbers | stage=1
  777 | dozen                          | 一打                             | 1️⃣2️⃣   | chunks=['do', 'zen'] | py=ㄉㄚ-ㄗㄜㄣ | theme=numbers | stage=1
  778 | pair                           | 一對                             | 👟        | chunks=['p', 'air'] | py=ㄆㄝㄜ | theme=numbers | stage=0 [有易混提示]
  779 | couple                         | 一對                             | 👫        | chunks=['cou', 'ple'] | py=ㄎㄚ-ㄆㄜ | theme=numbers | stage=1
  780 | plus                           | 加                              | ➕        | chunks=['pl', 'us'] | py=ㄆㄌㄚㄙ | theme=numbers | stage=0
  781 | minus                          | 減                              | ➖        | chunks=['mi', 'nus'] | py=ㄇㄞ-ㄋㄚㄙ | theme=numbers | stage=1
  782 | divide                         | 除                              | ➗        | chunks=['di', 'vide'] | py=ㄉㄧ-ㄈㄞㄉ | theme=numbers | stage=1
  783 | equal                          | 等於                             | 🟰        | chunks=['e', 'qual'] | py=ㄧ-ㄎㄨㄛ | theme=numbers | stage=1
  784 | count                          | 數                              | 🔢        | chunks=['c', 'ount'] | py=ㄎㄠㄣㄊ | theme=numbers | stage=0 [有易混提示]
  785 | number                         | 數字                             | 🔢        | chunks=['num', 'ber'] | py=ㄋㄚㄇ-ㄅㄜ | theme=numbers | stage=0 [有易混提示]
  786 | total                          | 總計                             | 💯        | chunks=['to', 'tal'] | py=ㄊㄛ-ㄉㄜ | theme=numbers | stage=1
  787 | sum                            | 總和                             | ➕        | chunks=['s', 'um'] | py=ㄙㄚㄇ | theme=numbers | stage=1 [有易混提示]
  788 | add                            | 增加                             | ➕        | chunks=['add'] | py=ㄚㄉ | theme=numbers | stage=0
  789 | subtract                       | 減去                             | ➖        | chunks=['sub', 'tract'] | py=ㄙㄚㄅ-ㄊㄌㄚㄎㄊ | theme=numbers | stage=2
  790 | multiply                       | 乘以                             | ✖️       | chunks=['mul', 'ti', 'ply'] | py=ㄇㄚㄦ-ㄊㄧ-ㄆㄌㄞ | theme=numbers | stage=2
  791 | percent                        | 百分                             | 💯        | chunks=['per', 'cent'] | py=ㄆㄦ-ㄙㄝㄣㄊ | theme=numbers | stage=1
  792 | single                         | 單一                             | 1️⃣      | chunks=['sin', 'gle'] | py=ㄒㄧㄥ-ㄍㄜ | theme=numbers | stage=1
  793 | several                        | 數個                             | 📊        | chunks=['sev', 'er', 'al'] | py=ㄙㄝ-ㄈㄜ-ㄦ | theme=numbers | stage=1
  794 | plenty                         | 充足                             | 💯        | chunks=['plen', 'ty'] | py=ㄆㄌㄝㄣ-ㄊㄧ | theme=numbers | stage=1
  795 | extra                          | 額外                             | ➕        | chunks=['ex', 'tra'] | py=ㄝㄎㄙ-ㄊㄦㄚ | theme=numbers | stage=1
  796 | group                          | 群                              | 👥        | chunks=['gr', 'oup'] | py=ㄍㄦㄨㄆ | theme=numbers | stage=1
  797 | set                            | 一組、設置                          | 🧩        | chunks=['s', 'et'] | py=ㄙㄝㄊ | theme=numbers | stage=1 base=set [有易混提示]
  798 | row                            | 一排、划船                          | 🪑        | chunks=['row'] | py=ㄖㄛ | theme=numbers | stage=1 [有易混提示]
  799 | pile                           | 一堆                             | 📚        | chunks=['p', 'ile'] | py=ㄆㄞㄦ | theme=numbers | stage=1
  800 | piece                          | 一片                             | 🧩        | chunks=['p', 'iece'] | py=ㄆㄧㄙ | theme=numbers | stage=1 [有易混提示]
  801 | part                           | 部分                             | 🧩        | chunks=['p', 'art'] | py=ㄆㄚㄦㄊ | theme=numbers | stage=0 [有易混提示]
  802 | whole                          | 整個                             | 💯        | chunks=['wh', 'ole'] | py=ㄏㄛㄦ | theme=numbers | stage=1 [有易混提示]
  803 | list                           | 清單                             | 📋        | chunks=['l', 'ist'] | py=ㄌㄧㄙㄊ | theme=numbers | stage=0
  804 | range                          | 範圍                             | 📏        | chunks=['r', 'ange'] | py=ㄌㄟㄣㄐ | theme=numbers | stage=1 [有易混提示]
  805 | amount                         | 數量                             | 📊        | chunks=['a', 'mount'] | py=ㄜ-ㄇㄠㄣㄊ | theme=numbers | stage=1 [有易混提示]
  806 | level                          | 等級                             | 📊        | chunks=['le', 'vel'] | py=ㄌㄝ-ㄈㄜ | theme=numbers | stage=1 [有易混提示]
  807 | rank                           | 排名                             | 🏆        | chunks=['r', 'ank'] | py=ㄌㄚㄣㄎ | theme=numbers | stage=1
  808 | score                          | 分數                             | 💯        | chunks=['score'] | py=ㄙㄎㄛㄦ | theme=numbers | stage=1 [有易混提示]
  809 | age                            | 年齡                             | 🎂        | chunks=['a', 'ge'] | py=ㄟㄐ | theme=numbers | stage=0 [有易混提示]
  810 | column                         | 一列                             | 🏛️       | chunks=['col', 'umn'] | py=ㄎㄚ-ㄌㄚㄇ | theme=numbers | stage=1
  811 | digit                          | 數字、位數                          | 🔢        | chunks=['di', 'git'] | py=ㄉㄧ-ㄐㄧㄊ | theme=numbers | stage=1
  812 | monday                         | 星期一                            | 📅        | chunks=['mon', 'day'] | py=ㄇㄢ-ㄉㄟ | theme=time | stage=0
  813 | tuesday                        | 星期二                            | 📅        | chunks=['tues', 'day'] | py=ㄊㄧㄨㄗ-ㄉㄟ | theme=time | stage=0
  814 | wednesday                      | 星期三                            | 📅        | chunks=['wednes', 'day'] | py=ㄨㄝㄣㄗ-ㄉㄟ | theme=time | stage=0
  815 | thursday                       | 星期四                            | 📅        | chunks=['thurs', 'day'] | py=ㄙㄦㄗ-ㄉㄟ | theme=time | stage=0
  816 | friday                         | 星期五                            | 📅        | chunks=['fri', 'day'] | py=ㄈㄦㄞ-ㄉㄟ | theme=time | stage=0
  817 | saturday                       | 星期六                            | 📅        | chunks=['sa', 'tur', 'day'] | py=ㄙㄚ-ㄊㄦ-ㄉㄟ | theme=time | stage=0
  818 | sunday                         | 星期天                            | 📅        | chunks=['sun', 'day'] | py=ㄙㄚㄣ-ㄉㄟ | theme=time | stage=0
  819 | january                        | 一月                             | 🗓️       | chunks=['jan', 'u', 'ary'] | py=ㄐㄢ-ㄧㄨ-ㄝ-ㄦㄧ | theme=time | stage=0
  820 | february                       | 二月                             | 🗓️       | chunks=['feb', 'ru', 'ary'] | py=ㄈㄝㄅ-ㄖㄨ-ㄝ-ㄌㄧ | theme=time | stage=0
  821 | march                          | 三月                             | 🗓️       | chunks=['m', 'arch'] | py=ㄇㄚㄦㄔ | theme=time | stage=0 [有易混提示]
  822 | april                          | 四月                             | 🗓️       | chunks=['a', 'pril'] | py=ㄟ-ㄆㄦㄜ | theme=time | stage=0
  823 | june                           | 六月                             | 🗓️       | chunks=['j', 'une'] | py=ㄐㄧㄨㄣ | theme=time | stage=0
  824 | july                           | 七月                             | 🗓️       | chunks=['ju', 'ly'] | py=ㄐㄨ-ㄌㄞ | theme=time | stage=0
  825 | august                         | 八月                             | 🗓️       | chunks=['au', 'gust'] | py=ㄛ-ㄍㄚㄙㄊ | theme=time | stage=0 [有易混提示]
  826 | september                      | 九月                             | 🗓️       | chunks=['sep', 'tem', 'ber'] | py=ㄙㄜㄆ-ㄊㄝㄇ-ㄅㄜ | theme=time | stage=0
  827 | october                        | 十月                             | 🗓️       | chunks=['oc', 'to', 'ber'] | py=ㄚㄎ-ㄊㄛ-ㄅㄜ | theme=time | stage=0
  828 | november                       | 十一月                            | 🗓️       | chunks=['no', 'vem', 'ber'] | py=ㄋㄛ-ㄈㄝㄇ-ㄅㄜ | theme=time | stage=0
  829 | december                       | 十二月                            | 🗓️       | chunks=['de', 'cem', 'ber'] | py=ㄉㄧ-ㄙㄝㄇ-ㄅㄜ | theme=time | stage=0
  830 | spring                         | 春                              | 🌸        | chunks=['spr', 'ing'] | py=ㄙㄆㄦㄧㄥ | theme=time | stage=0 [有易混提示]
  831 | summer                         | 夏                              | ☀️       | chunks=['sum', 'mer'] | py=ㄙㄚ-ㄇㄜ | theme=time | stage=0
  832 | autumn                         | 秋                              | 🍂        | chunks=['au', 'tumn'] | py=ㄛ-ㄊㄚㄇ | theme=time | stage=0
  833 | winter                         | 冬                              | ❄️       | chunks=['win', 'ter'] | py=ㄨㄧㄣ-ㄊㄜ | theme=time | stage=0
  834 | afternoon                      | 下午                             | 🌤️       | chunks=['af', 'ter', 'noon'] | py=ㄚㄈ-ㄊㄜ-ㄋㄨㄣ | theme=time | stage=0
  835 | evening                        | 傍晚                             | 🌆        | chunks=['eve', 'ning'] | py=ㄧㄈ-ㄋㄧㄥ | theme=time | stage=0
  836 | midnight                       | 午夜                             | 🌃        | chunks=['mid', 'night'] | py=ㄇㄧㄉ-ㄋㄞㄊ | theme=time | stage=0
  837 | noon                           | 中午                             | 🌞        | chunks=['n', 'oon'] | py=ㄋㄨㄣ | theme=time | stage=0
  838 | dawn                           | 黎明                             | 🌅        | chunks=['d', 'awn'] | py=ㄉㄛㄣ | theme=time | stage=1
  839 | dusk                           | 黃昏                             | 🌆        | chunks=['d', 'usk'] | py=ㄉㄚㄙㄎ | theme=time | stage=1
  840 | sunset                         | 日落                             | 🌇        | chunks=['sun', 'set'] | py=ㄙㄚㄣ-ㄙㄝㄊ | theme=time | stage=0
  841 | moment                         | 片刻                             | ⏳        | chunks=['mo', 'ment'] | py=ㄇㄛ-ㄇㄣㄊ | theme=time | stage=1
  842 | decade                         | 十年                             | 🗓️       | chunks=['de', 'cade'] | py=ㄉㄝ-ㄎㄟㄉ | theme=time | stage=2
  843 | century                        | 世紀                             | 🏛️       | chunks=['cen', 'tu', 'ry'] | py=ㄙㄝㄣ-ㄊㄧㄨ-ㄌㄧ | theme=time | stage=2
  844 | era                            | 時代                             | 🏺        | chunks=['e', 'ra'] | py=ㄝ-ㄦㄚ | theme=time | stage=2
  845 | period                         | 時期                             | ⏳        | chunks=['pe', 'ri', 'od'] | py=ㄆㄧ-ㄦㄧ-ㄜㄉ | theme=time | stage=1 [有易混提示]
  846 | season                         | 季節                             | 🍂        | chunks=['sea', 'son'] | py=ㄒㄧ-ㄗㄜㄣ | theme=time | stage=0 [有易混提示]
  847 | weekday                        | 平日                             | 📅        | chunks=['week', 'day'] | py=ㄨㄧㄎ-ㄉㄟ | theme=time | stage=1
  848 | holiday                        | 假日                             | 🎉        | chunks=['ho', 'li', 'day'] | py=ㄏㄚ-ㄌㄜ-ㄉㄟ | theme=time | stage=0
  849 | birthday                       | 生日                             | 🎂        | chunks=['birth', 'day'] | py=ㄅㄦㄙ-ㄉㄟ | theme=time | stage=0
  850 | anniversary                    | 週年                             | 🎉        | chunks=['an', 'ni', 'ver', 'sa', 'ry'] | py=ㄢ-ㄋㄧ-ㄈㄦ-ㄙㄜ-ㄦㄧ | theme=time | stage=2
  851 | watch                          | 手錶、看(動詞)                       | ⌚        | chunks=['w', 'atch'] | py=ㄨㄚㄔ | theme=time | stage=0 [有易混提示]
  852 | calendar                       | 日曆                             | 📅        | chunks=['cal', 'en', 'dar'] | py=ㄎㄚ-ㄌㄜㄣ-ㄉㄜ | theme=time | stage=1
  853 | alarm                          | 鬧鐘                             | ⏰        | chunks=['a', 'larm'] | py=ㄜ-ㄌㄚㄦㄇ | theme=time | stage=1
  854 | schedule                       | 行程                             | 📋        | chunks=['sche', 'dule'] | py=ㄙㄎㄝ-ㄐㄨㄦ | theme=time | stage=2
  855 | date                           | 日期、約會                          | 📅        | chunks=['d', 'ate'] | py=ㄉㄟㄊ | theme=time | stage=0 [有易混提示]
  856 | past                           | 過去                             | ◀️       | chunks=['p', 'ast'] | py=ㄆㄚㄙㄊ | theme=time | stage=1
  857 | present                        | 現在、禮物                          | ⏺️       | chunks=['pre', 'sent'] | py=ㄆㄦㄝ-ㄗㄜㄣㄊ | theme=time | stage=1 [有易混提示]
  858 | future                         | 未來                             | ▶️       | chunks=['fu', 'ture'] | py=ㄈㄧㄨ-ㄔㄜ | theme=time | stage=1
  859 | ago                            | 以前                             | ◀️       | chunks=['a', 'go'] | py=ㄜ-ㄍㄛ | theme=time | stage=1 [有易混提示]
  860 | recent                         | 最近的                            | 🆕        | chunks=['re', 'cent'] | py=ㄖㄧ-ㄙㄜㄣㄊ | theme=time | stage=2
  861 | lifetime                       | 一輩子                            | ⏳        | chunks=['life', 'time'] | py=ㄌㄞㄈ-ㄊㄞㄇ | theme=time | stage=2
  862 | tonight                        | 今晚                             | 🌙        | chunks=['to', 'night'] | py=ㄊㄜ-ㄋㄞㄊ | theme=time | stage=0
  863 | midday                         | 正午                             | 🌞        | chunks=['mid', 'day'] | py=ㄇㄧㄉ-ㄉㄟ | theme=time | stage=1
  864 | daily                          | 每日                             | 📅        | chunks=['dai', 'ly'] | py=ㄉㄟ-ㄌㄧ | theme=time | stage=1 base=day
  865 | weekly                         | 每週                             | 📅        | chunks=['week', 'ly'] | py=ㄨㄧㄎ-ㄌㄧ | theme=time | stage=1 base=week
  866 | monthly                        | 每月                             | 📅        | chunks=['month', 'ly'] | py=ㄇㄚㄣㄙ-ㄌㄧ | theme=time | stage=1 base=month
  867 | yearly                         | 每年                             | 📅        | chunks=['year', 'ly'] | py=ㄧㄦ-ㄌㄧ | theme=time | stage=1 base=year
  868 | hourly                         | 每小時                            | ⏰        | chunks=['hour', 'ly'] | py=ㄠㄜ-ㄌㄧ | theme=time | stage=2 base=hour
  869 | instant                        | 立即的、瞬間                         | ⚡        | chunks=['in', 'stant'] | py=ㄧㄣ-ㄙㄊㄜㄣㄊ | theme=time | stage=2
  870 | sudden                         | 突然                             | 💥        | chunks=['sud', 'den'] | py=ㄙㄚ-ㄉㄜㄣ | theme=time | stage=2
  871 | eternal                        | 永恆                             | ♾️       | chunks=['e', 'ter', 'nal'] | py=ㄧ-ㄊㄦ-ㄋㄜ | theme=time | stage=3
  872 | nowadays                       | 如今                             | 🆕        | chunks=['now', 'a', 'days'] | py=ㄋㄠ-ㄚ-ㄉㄟㄗ | theme=time | stage=2
  873 | lately                         | 最近                             | 🆕        | chunks=['late', 'ly'] | py=ㄌㄟㄊ-ㄌㄧ | theme=time | stage=2 base=late
  874 | forever                        | 永遠                             | ♾️       | chunks=['for', 'ev', 'er'] | py=ㄈㄜ-ㄖㄝ-ㄈㄜ | theme=time | stage=1
  875 | nighttime                      | 夜間                             | 🌃        | chunks=['night', 'time'] | py=ㄋㄞㄊ-ㄊㄞㄇ | theme=time | stage=1
  876 | daytime                        | 白天                             | 🌤️       | chunks=['day', 'time'] | py=ㄉㄟ-ㄊㄞㄇ | theme=time | stage=1
  877 | lunchtime                      | 午餐時間                           | 🍱        | chunks=['lunch', 'time'] | py=ㄌㄚㄣㄔ-ㄊㄞㄇ | theme=time | stage=1
  878 | timer                          | 計時器                            | ⏲️       | chunks=['ti', 'mer'] | py=ㄊㄞ-ㄇㄜ | theme=time | stage=1 base=time
  879 | deadline                       | 截止                             | ⏰        | chunks=['dead', 'line'] | py=ㄉㄝㄉ-ㄌㄞㄣ | theme=time | stage=2
  880 | shift                          | 輪班、變換                          | ⏰        | chunks=['sh', 'ift'] | py=ㄒㄧㄈㄊ | theme=time | stage=2 [有易混提示]
  881 | semester                       | 學期                             | 📚        | chunks=['se', 'mes', 'ter'] | py=ㄙㄜ-ㄇㄝㄙ-ㄊㄜ | theme=time | stage=2
  882 | gray                           | 灰                              | ⬜        | chunks=['gray'] | py=ㄍㄦㄟ | theme=colors | stage=0
  883 | gold                           | 金                              | 🟡        | chunks=['g', 'old'] | py=ㄍㄛㄦㄉ | theme=colors | stage=0 [有易混提示]
  884 | silver                         | 銀                              | ⚪        | chunks=['sil', 'ver'] | py=ㄒㄧㄦ-ㄈㄜ | theme=colors | stage=0 [有易混提示]
  885 | beige                          | 米色                             | 🟫        | chunks=['b', 'eige'] | py=ㄅㄟㄗ | theme=colors | stage=2
  886 | navy                           | 深藍                             | 🔵        | chunks=['na', 'vy'] | py=ㄋㄟ-ㄈㄧ | theme=colors | stage=1
  887 | maroon                         | 栗色                             | 🟥        | chunks=['ma', 'roon'] | py=ㄇㄚ-ㄌㄨㄣ | theme=colors | stage=2
  888 | teal                           | 鴨綠                             | 🟦        | chunks=['t', 'eal'] | py=ㄊㄧㄦ | theme=colors | stage=2
  889 | turquoise                      | 青綠                             | 🟦        | chunks=['tur', 'quoise'] | py=ㄊㄦ-ㄎㄨㄛㄗ | theme=colors | stage=2
  890 | violet                         | 紫羅蘭                            | 🟣        | chunks=['vi', 'o', 'let'] | py=ㄈㄞ-ㄜ-ㄌㄜㄊ | theme=colors | stage=2
  891 | indigo                         | 靛                              | 🟦        | chunks=['in', 'di', 'go'] | py=ㄧㄣ-ㄉㄧ-ㄍㄛ | theme=colors | stage=2
  892 | cyan                           | 青                              | 🟦        | chunks=['cy', 'an'] | py=ㄙㄞ-ㄢ | theme=colors | stage=2
  893 | magenta                        | 洋紅                             | 🟪        | chunks=['ma', 'gen', 'ta'] | py=ㄇㄜ-ㄐㄝㄣ-ㄊㄚ | theme=colors | stage=2
  894 | ivory                          | 象牙白                            | ⬜        | chunks=['i', 'vo', 'ry'] | py=ㄞ-ㄈㄜ-ㄦㄧ | theme=colors | stage=2
