# 字 8500-8999
 8500 | designate                      | 指定                             | 🏃        | chunks=['de', 'sig', 'na', 'te'] | py=ㄉㄧ-ㄒㄧㄍ-ㄋㄚ-ㄊㄧ | theme=actions | stage=4
 8651 | indignation                    | 憤慨                             | 😠        | chunks=['in', 'dig', 'na', 'tion'] | py=ㄧㄣ-ㄉㄧ-ㄋㄚ-ㄒㄣ | theme=emotions | stage=4 base=indignant
 8652 | infectious                     | 傳染性的                           | 🎨        | chunks=['in', 'fec', 'tious'] | py=ㄧㄣ-ㄈㄝㄎ-ㄒㄚㄙ | theme=adjectives | stage=4
 8653 | ingenious                      | 巧妙的                            | 🎨        | chunks=['in', 'ge', 'nious'] | py=ㄧㄣ-ㄐㄧ-ㄋㄧㄜㄙ | theme=adjectives | stage=4
 8654 | ingenuity                      | 足智多謀                           | 🎓        | chunks=['in', 'ge', 'nui', 'ty'] | py=ㄧㄣ-ㄐㄧ-ㄋㄨ-ㄊㄧ | theme=academic-words | stage=4
 8655 | inhabit                        | 棲息於…                           | 🏃        | chunks=['in', 'ha', 'bit'] | py=ㄧㄣ-ㄏㄜ-ㄅㄧㄊ | theme=actions | stage=4
 8656 | inhabitant                     | 居民                             | 🎨        | chunks=['in', 'ha', 'bi', 'tant'] | py=ㄧㄣ-ㄏㄜ-ㄅㄞ-ㄊㄣㄊ | theme=adjectives | stage=4 base=inhabit
 8657 | initiative                     | 創始的倡議                          | 🎨        | chunks=['i', 'ni', 'tia', 'ti', 've'] | py=ㄌㄜ-ㄋㄜ-ㄒㄜ-ㄊㄜ-ㄈㄜ | theme=adjectives | stage=4 base=initiate
 8658 | inject                         | 注射                             | 🏃        | chunks=['in', 'ject'] | py=ㄧㄣ-ㄐㄝㄎㄊ | theme=actions | stage=4
 8659 | innovation                     | 改革                             | 🎓        | chunks=['in', 'no', 'va', 'tion'] | py=ㄧㄣ-ㄋㄛ-ㄈㄚ-ㄒㄣ | theme=academic-words | stage=4 base=innovate
 8660 | inquiry                        | 詢問                             | 🏃        | chunks=['in', 'qui', 'ry'] | py=ㄧㄣ-ㄎㄧ-ㄌㄧ | theme=actions | stage=4 base=inquire
 8661 | insistence                     | 堅持                             | 🎓        | chunks=['in', 'sis', 'ten', 'ce'] | py=ㄧㄣ-ㄒㄜㄙ-ㄊㄣ-ㄙㄜ | theme=academic-words | stage=4 base=insist
 8662 | installation                   | 就任                             | 🎓        | chunks=['in', 'stal', 'la', 'tion'] | py=ㄧㄣ-ㄙㄊㄚㄌ-ㄌㄚ-ㄒㄣ | theme=academic-words | stage=4 base=install
 8663 | installment                    | 分期付款                           | 🎨        | chunks=['in', 'stall', 'ment'] | py=ㄧㄣ-ㄙㄊㄚㄌ-ㄌㄇㄣㄊ | theme=adjectives | stage=4 base=install
 8664 | institution                    | 制度                             | 🎓        | chunks=['in', 'sti', 'tu', 'tion'] | py=ㄧㄣ-ㄙㄊㄜ-ㄑㄨ-ㄒㄣ | theme=academic-words | stage=4
 8665 | intact                         | 完整無缺的                          | 🎨        | chunks=['in', 'tact'] | py=ㄧㄣ-ㄊㄚㄎㄊ | theme=adjectives | stage=4
 8666 | integration                    | 整合                             | 🎓        | chunks=['in', 'teg', 'ra', 'tion'] | py=ㄧㄣ-ㄊㄝ-ㄌㄚ-ㄒㄣ | theme=academic-words | stage=4
 8667 | intellect                      | 智力                             | 🏃        | chunks=['in', 'tel', 'lect'] | py=ㄧㄣ-ㄊㄝㄦ-ㄌㄝㄎㄊ | theme=actions | stage=4
 8668 | intersection                   | 十字路口                           | 🔢        | chunks=['in', 'ter', 'sec', 'tion'] | py=ㄧㄣ-ㄊㄜ-ㄙㄝㄎ-ㄒㄣ | theme=numbers | stage=4
 8669 | intervention                   | 干涉                             | 🎓        | chunks=['in', 'ter', 'ven', 'tion'] | py=ㄧㄣ-ㄊㄜ-ㄈㄣ-ㄒㄣ | theme=academic-words | stage=4 base=intervene
 8670 | intimidate                     | 威嚇                             | 🏃        | chunks=['in', 'ti', 'mi', 'da', 'te'] | py=ㄧㄣ-ㄊㄜ-ㄇㄞ-ㄉㄚ-ㄊㄧ | theme=actions | stage=4
 8671 | intrude                        | 侵入                             | 🏃        | chunks=['in', 'tru', 'de'] | py=ㄧㄣ-ㄊㄌㄨ-ㄉㄧ | theme=actions | stage=4
 8672 | invaluable                     | 無價的                            | 🎨        | chunks=['in', 'va', 'luab', 'le'] | py=ㄧㄣ-ㄈㄚ-ㄌㄚㄚㄅ-ㄌㄧ | theme=adjectives | stage=4
 8673 | investigator                   | 調查者                            | 👨‍⚕️     | chunks=['in', 'ves', 'ti', 'ga', 'tor'] | py=ㄧㄣ-ㄈㄝㄙ-ㄊㄜ-ㄍㄚ-ㄊㄜ | theme=jobs | stage=4
 8674 | iq                             | 智力商數                           | 🏃        | chunks=['i', 'q'] | py=ㄌㄜ-ㄎㄧㄨ | theme=actions | stage=4
 8675 | intelligence quotient          | 智力商數                           | 🔗        | chunks=['in', 'tel', 'li', 'gen', 'ce', 'quo', 'tient'] | py=ㄧㄋㄊㄝㄌㄌㄧㄍㄣㄙ-ㄎㄨㄛㄊㄞㄋㄊ | theme=phrasal-verbs | stage=4
 8676 | ironic                         | 冷嘲的                            | 🎨        | chunks=['i', 'ro', 'nic'] | py=ㄌㄜ-ㄌㄛ-ㄋㄧㄎ | theme=adjectives | stage=4
 8677 | irritable                      | 易怒的                            | 🎨        | chunks=['ir', 'ri', 'tab', 'le'] | py=ㄧ-ㄌㄧ-ㄊㄚ-ㄌㄧ | theme=adjectives | stage=4
 8678 | irritate                       | 使惱怒                            | 🏃        | chunks=['ir', 'ri', 'ta', 'te'] | py=ㄧ-ㄌㄧ-ㄊㄝ-ㄊㄧ | theme=actions | stage=4
 8679 | irritation                     | 惱怒                             | 🎓        | chunks=['ir', 'ri', 'ta', 'tion'] | py=ㄧ-ㄌㄧ-ㄊㄝ-ㄒㄣ | theme=academic-words | stage=4 base=irritate
 8680 | joyous                         | 快樂的                            | 😊        | chunks=['joy', 'ous'] | py=ㄐ-ㄛㄧㄜㄙ | theme=emotions | stage=4 base=joy
 8681 | legitimate                     | 合法的                            | ⚖️       | chunks=['le', 'gi', 'ti', 'ma', 'te'] | py=ㄌㄧ-ㄐㄜ-ㄊㄜ-ㄇㄚ-ㄊㄧ | theme=law | stage=4
 8682 | lengthy                        | 長的                             | 🎨        | chunks=['leng', 'thy'] | py=ㄌㄝㄥ-ㄒㄧ | theme=adjectives | stage=4
 8683 | liable                         | 易...的                          | 🎨        | chunks=['li', 'a', 'ble'] | py=ㄌㄧㄚㄅ-ㄌㄧ | theme=adjectives | stage=4 [有易混提示]
 8684 | liberate                       | 解放                             | 🏃        | chunks=['li', 'be', 'ra', 'te'] | py=ㄌㄧ-ㄅㄧ-ㄌㄚ-ㄊㄧ | theme=actions | stage=4
 8685 | limousine                      | 大型豪華轎車                         | 🚗        | chunks=['li', 'mou', 'si', 'ne'] | py=ㄌㄧ-ㄇㄠ-ㄗㄜ-ㄋㄧ | theme=transportation | stage=4
 8686 | liner                          | 班機                             | 🔨        | chunks=['li', 'ner'] | py=ㄌㄧ-ㄋㄜ | theme=tools | stage=4
 8687 | linguist                       | 語言學者                           | 👨‍⚕️     | chunks=['lin', 'guist'] | py=ㄌㄧ-ㄍㄨㄙㄊ | theme=jobs | stage=4
 8688 | liter                          | 公升                             | 🏃        | chunks=['li', 'ter'] | py=ㄌㄧ-ㄊㄜ | theme=actions | stage=2
 8689 | literacy                       | 識字                             | 🏃        | chunks=['li', 'te', 'ra', 'cy'] | py=ㄌㄧ-ㄊㄧ-ㄌㄚ-ㄒㄧ | theme=actions | stage=4 base=literate
 8690 | literal                        | 照字面的                           | 🎨        | chunks=['li', 'te', 'ral'] | py=ㄌㄧ-ㄊㄧ-ㄦ | theme=adjectives | stage=4
 8691 | literate                       | 能讀寫的                           | 🎨        | chunks=['li', 'te', 'ra', 'te'] | py=ㄌㄧ-ㄊㄧ-ㄌㄚ-ㄊㄧ | theme=adjectives | stage=4
 8692 | longevity                      | 長壽                             | 🎓        | chunks=['lon', 'ge', 'vi', 'ty'] | py=ㄌㄚㄣ-ㄐㄧ-ㄈㄞ-ㄊㄧ | theme=academic-words | stage=4
 8693 | lounge                         | 休息室                            | 🏃        | chunks=['loun', 'ge'] | py=ㄌㄠㄋㄐ | theme=actions | stage=4
 8694 | lunatic                        | 瘋的                             | 🎨        | chunks=['lu', 'na', 'tic'] | py=ㄌㄨ-ㄋㄚ-ㄊㄧㄎ | theme=adjectives | stage=4
 8695 | lure                           | 引誘                             | 🏃        | chunks=['lu', 're'] | py=ㄌㄨㄜ | theme=actions | stage=4
 8696 | magnitude                      | 重要                             | 🎓        | chunks=['mag', 'ni', 'tu', 'de'] | py=ㄇㄚ-ㄋㄜ-ㄑㄨ-ㄉㄧ | theme=academic-words | stage=4
 8697 | mar                            | 污點                             | 🏃        | chunks=['m', 'ar'] | py=ㄇㄚㄦ | theme=actions | stage=4
 8698 | massacre                       | 大屠殺                            | 🏃        | chunks=['mas', 'sac', 're'] | py=ㄇㄚㄙ-ㄙㄚ-ㄌㄧ | theme=actions | stage=4
 8699 | mastery                        | 支配                             | 🏃        | chunks=['mas', 'te', 'ry'] | py=ㄇㄚㄙ-ㄊㄧ-ㄌㄧ | theme=actions | stage=4
 8700 | meditate                       | 沉思、冥想                          | 🏃        | chunks=['me', 'di', 'ta', 'te'] | py=ㄇㄝ-ㄉㄧ-ㄊㄝ-ㄊㄧ | theme=actions | stage=4
 8701 | melancholy                     | 憂鬱                             | 😔        | chunks=['me', 'lan', 'cho', 'ly'] | py=ㄇㄝ-ㄌㄢ-ㄎㄛ-ㄌㄧ | theme=emotions | stage=4
 8702 | mentality                      | 智力                             | 🎓        | chunks=['men', 'ta', 'li', 'ty'] | py=ㄇㄣ-ㄊㄝ-ㄌㄧ-ㄊㄧ | theme=academic-words | stage=4 base=mental
 8703 | merchandise                    | 商品                             | 🏃        | chunks=['mer', 'chan', 'di', 'se'] | py=ㄇㄜ-ㄑㄚ-ㄉㄧ-ㄙㄜ | theme=actions | stage=4
 8704 | merge                          | 合併                             | 🏃        | chunks=['mer', 'ge'] | py=ㄇㄜㄐ | theme=actions | stage=3
 8705 | migration                      | 遷移                             | 🎓        | chunks=['mig', 'ra', 'tion'] | py=ㄇㄧㄍ-ㄌㄚ-ㄒㄣ | theme=academic-words | stage=4 base=migrate
 8706 | militant                       | 好戰的好戰者                         | 🎨        | chunks=['mi', 'li', 'tant'] | py=ㄇㄞ-ㄌㄧ-ㄊㄣㄊ | theme=adjectives | stage=4
 8707 | miller                         | 磨坊主                            | 🏃        | chunks=['mil', 'ler'] | py=ㄇㄧ-ㄌㄜ | theme=actions | stage=4
 8708 | mimic                          | 模仿善模仿的人                        | 🎨        | chunks=['mi', 'mic'] | py=ㄇㄞ-ㄇㄧㄎ | theme=adjectives | stage=4
 8709 | miraculous                     | 奇蹟般的                           | 🎨        | chunks=['mi', 'ra', 'cu', 'lous'] | py=ㄇㄞ-ㄌㄚ-ㄎㄧㄨ-ㄌㄚㄙ | theme=adjectives | stage=4 base=miracle
 8710 | mischievous                    | 惡作劇的                           | 🎨        | chunks=['mis', 'chie', 'vous'] | py=ㄇㄧㄙ-ㄔㄞ-ㄈㄚㄙ | theme=adjectives | stage=4
 8711 | mobilize                       | 動員                             | 🏃        | chunks=['mo', 'bi', 'li', 'ze'] | py=ㄇㄛ-ㄅㄞ-ㄌㄧ-ㄗㄧ | theme=actions | stage=4 base=mobile
 8712 | modernization                  | 現代化                            | 📜        | chunks=['mo', 'der', 'ni', 'za', 'tion'] | py=ㄇㄛ-ㄉㄜ-ㄋㄜ-ㄗㄝ-ㄒㄣ | theme=history | stage=4 base=modernize
 8713 | mold                           | 模型                             | 🏃        | chunks=['m', 'old'] | py=ㄇㄛㄌㄉ | theme=actions | stage=3 [有易混提示]
 8714 | monotonous                     | 單調的                            | 🎨        | chunks=['mo', 'no', 'to', 'nous'] | py=ㄇㄛ-ㄋㄛ-ㄊㄛ-ㄋㄜㄙ | theme=adjectives | stage=4
 8715 | monotony                       | 單調                             | 🏃        | chunks=['mo', 'no', 'to', 'ny'] | py=ㄇㄛ-ㄋㄛ-ㄊㄛ-ㄋㄧ | theme=actions | stage=4
 8716 | morale                         | 士氣                             | 💪        | chunks=['mo', 'ra', 'le'] | py=ㄇㄛ-ㄖㄚㄦ | theme=philosophy | stage=4
 8717 | motto                          | 座右銘                            | 🧭        | chunks=['mot', 'to'] | py=ㄇㄛㄊ-ㄊㄛ | theme=directions | stage=4
 8718 | mournful                       | 憂傷的                            | 🎨        | chunks=['mourn', 'ful'] | py=ㄇㄛㄜㄣ-ㄈㄜ | theme=adjectives | stage=4 base=mourn
 8719 | mouthpiece                     | 吹口                             | 🏃        | chunks=['mouth', 'piece'] | py=ㄇㄠㄊ-ㄏㄆㄞ-ㄙㄜ | theme=actions | stage=4
 8720 | spokesperson                   | 代言人                            | 🏃        | chunks=['spo', 'kes', 'per', 'son'] | py=ㄙㄆㄛ-ㄎㄝㄙ-ㄆㄜ-ㄗㄣ | theme=actions | stage=4
 8721 | municipal                      | 市政的                            | 🎨        | chunks=['mu', 'ni', 'ci', 'pal'] | py=ㄇㄧㄨ-ㄋㄜ-ㄙㄜ-ㄆㄜ | theme=adjectives | stage=4
 8722 | mute                           | 沈默的                            | 🎨        | chunks=['mu', 'te'] | py=ㄇㄧㄨ-ㄊㄧ | theme=adjectives | stage=4 [有易混提示]
 8723 | narrate                        | 敘述                             | 🏃        | chunks=['nar', 'ra', 'te'] | py=ㄋㄚ-ㄌㄚ-ㄊㄧ | theme=actions | stage=4
 8724 | naturalist                     | 博物學家                           | 👨‍⚕️     | chunks=['na', 'tu', 'ra', 'list'] | py=ㄋㄚ-ㄑㄨ-ㄌㄚ-ㄌㄧㄙㄊ | theme=jobs | stage=4
 8725 | naval                          | 海軍的                            | ⚓        | chunks=['na', 'val'] | py=ㄋㄚ-ㄈㄜ | theme=nature | stage=4 [有易混提示]
 8726 | newlywed                       | 新婚夫婦                           | 🏃        | chunks=['new', 'ly', 'wed'] | py=ㄋㄧㄨ-ㄌㄧ-ㄨㄝ | theme=actions | stage=4
 8727 | newscaster                     | 新聞廣播員                          | 📰        | chunks=['new', 'scas', 'ter'] | py=ㄋㄧㄨ-ㄙㄎㄚㄙ-ㄊㄜ | theme=media | stage=4 base=newscast
 8728 | notorious                      | 惡名昭彰的                          | 🎨        | chunks=['no', 'to', 'rious'] | py=ㄋㄛ-ㄊㄛ-ㄖㄧㄜㄙ | theme=adjectives | stage=4
 8729 | nourish                        | 養育                             | 🎨        | chunks=['nou', 'rish'] | py=ㄋㄨ-ㄖㄧㄒ | theme=adjectives | stage=4
 8730 | nourishment                    | 營養、養分                          | 🎨        | chunks=['nou', 'ris', 'hment'] | py=ㄋㄨ-ㄌㄧㄙ-ㄏㄇㄣㄊ | theme=adjectives | stage=4 base=nourish
 8731 | nuisance                       | 討厭的人                           | 🎓        | chunks=['nui', 'san', 'ce'] | py=ㄋㄨ-ㄗㄣ-ㄙㄜ | theme=academic-words | stage=4
 8732 | nurture                        | 教養                             | 🎓        | chunks=['nur', 'tu', 're'] | py=ㄋㄜ-ㄑㄨ-ㄌㄧ | theme=academic-words | stage=4
 8733 | nutrient                       | 營養的營養物                         | 🎨        | chunks=['nut', 'rient'] | py=ㄋㄚㄊ-ㄖㄞㄋㄊ | theme=adjectives | stage=4
 8734 | nutritious                     | 有營養的                           | 🎨        | chunks=['nut', 'ri', 'tious'] | py=ㄋㄚㄊ-ㄌㄧ-ㄒㄚㄙ | theme=adjectives | stage=4
 8735 | obligation                     | 義務                             | 🎓        | chunks=['ob', 'li', 'ga', 'tion'] | py=ㄚ-ㄅㄌㄜ-ㄍㄝ-ㄒㄣ | theme=academic-words | stage=4 base=oblige
 8736 | oblige                         | 迫使                             | 🏃        | chunks=['ob', 'li', 'ge'] | py=ㄜ-ㄅㄌㄞㄐ | theme=actions | stage=4
 8737 | obscure                        | 暗的                             | 🎨        | chunks=['ob', 'scu', 're'] | py=ㄚㄅ-ㄙㄎㄚ-ㄌㄧ | theme=adjectives | stage=4
 8738 | offering                       | 供品、祭品、提供物                      | 🏃        | chunks=['of', 'fe', 'ring'] | py=ㄚㄈ-ㄈㄧ-ㄌㄧㄥ | theme=actions | stage=4 base=offer
 8739 | offspring                      | 子女                             | 🏃        | chunks=['off', 'spring'] | py=ㄛㄈ-ㄙㄆㄖㄧㄥ | theme=actions | stage=4
 8740 | operational                    | 操作上的                           | 🎨        | chunks=['o', 'pe', 'ra', 'tio', 'nal'] | py=ㄛ-ㄆㄜ-ㄌㄚ-ㄒㄛ-ㄋㄦ | theme=adjectives | stage=4
 8741 | opposition                     | 反對                             | 🎓        | chunks=['op', 'po', 'si', 'tion'] | py=ㄚㄆ-ㄆㄛ-ㄗㄜ-ㄒㄣ | theme=academic-words | stage=4 base=oppose
 8742 | oppress                        | 壓迫                             | 🏃        | chunks=['op', 'press'] | py=ㄚㄆ-ㄆㄌㄝㄙ | theme=actions | stage=4
 8743 | oppression                     | 壓迫                             | 🎓        | chunks=['op', 'pres', 'sion'] | py=ㄚㄆ-ㄆㄌㄝ-ㄒㄣ | theme=academic-words | stage=4 base=oppress
 8744 | optional                       | 非必要的                           | 🎨        | chunks=['op', 'tio', 'nal'] | py=ㄚㄆ-ㄒㄛ-ㄋㄦ | theme=adjectives | stage=4 base=option
 8745 | ordeal                         | 苦難                             | 🏃        | chunks=['or', 'deal'] | py=ㄛㄦ-ㄉㄧ | theme=actions | stage=4
 8746 | orderly                        | 整齊的                            | 🎨        | chunks=['or', 'der', 'ly'] | py=ㄛㄦ-ㄉㄜ-ㄌㄧ | theme=adjectives | stage=4
 8747 | originality                    | 創意                             | 🎓        | chunks=['o', 'ri', 'gi', 'na', 'li', 'ty'] | py=ㄛ-ㄌㄧ-ㄐㄜ-ㄋㄚ-ㄌㄧ-ㄊㄧ | theme=academic-words | stage=4
 8748 | originate                      | 發源引起                           | 🏃        | chunks=['o', 'ri', 'gi', 'na', 'te'] | py=ㄛ-ㄌㄧ-ㄐㄜ-ㄋㄚ-ㄊㄧ | theme=actions | stage=4 base=origin
 8749 | outbreak                       | 爆發                             | 🏃        | chunks=['out', 'break'] | py=ㄠㄊ-ㄅㄌㄝㄎ | theme=actions | stage=4
 8750 | outfit                         | 全套服裝裝備                         | 🏃        | chunks=['out', 'fit'] | py=ㄠㄊ-ㄈㄧㄊ | theme=actions | stage=4
 8751 | outing                         | 郊遊                             | 🏃        | chunks=['ou', 'ting'] | py=ㄠ-ㄊㄧㄥ | theme=actions | stage=4
 8752 | outlaw                         | 罪犯宣布…為不合法                      | ⚖️       | chunks=['out', 'law'] | py=ㄠㄊ-ㄌㄛ | theme=crime | stage=4
 8753 | outlook                        | 觀點                             | 🏃        | chunks=['out', 'look'] | py=ㄠㄊ-ㄌㄨㄎ | theme=actions | stage=4
 8754 | outnumber                      | 數量上超過                          | 🏃        | chunks=['out', 'num', 'ber'] | py=ㄠㄊ-ㄋㄚㄇ-ㄅㄜ | theme=numbers | stage=4
 8755 | outrage                        | 激怒惡行                           | 🏃        | chunks=['out', 'ra', 'ge'] | py=ㄠㄊ-ㄖㄝㄐ | theme=actions | stage=4
 8756 | outrageous                     | 粗暴的,可憎的                        | 🎨        | chunks=['out', 'ra', 'geous'] | py=ㄠㄊ-ㄌㄚ-ㄐㄚㄙ | theme=adjectives | stage=4 base=outrage
 8757 | outright                       | 直率的徹底地                         | 🎨        | chunks=['out', 'right'] | py=ㄠㄊ-ㄌㄞㄊ | theme=adjectives | stage=4
 8758 | outset                         | 最初                             | 🏃        | chunks=['out', 'set'] | py=ㄠㄊ-ㄙㄝㄊ | theme=actions | stage=4
 8759 | overturn                       | 傾覆                             | 🏃        | chunks=['o', 'ver', 'turn'] | py=ㄛ-ㄈㄜ-ㄊㄜㄣ | theme=actions | stage=4
 8760 | pamphlet                       | 小冊子                            | 🏃        | chunks=['pamp', 'hlet'] | py=ㄆㄚㄇㄆ-ㄏㄌㄝㄊ | theme=actions | stage=4
 8761 | paralyze                       | 使麻痺,使癱瘓                        | 🦽        | chunks=['pa', 'ra', 'ly', 'ze'] | py=ㄆㄜ-ㄌㄚ-ㄌㄧ-ㄗㄧ | theme=materials | stage=4
 8762 | pathetic                       | 可憐的                            | 🎨        | chunks=['pat', 'he', 'tic'] | py=ㄆㄚ-ㄏㄝ-ㄊㄧㄎ | theme=adjectives | stage=4
 8763 | patriotic                      | 愛國的                            | 🌍        | chunks=['pat', 'rio', 'tic'] | py=ㄆㄚ-ㄖㄧㄛ-ㄊㄧㄎ | theme=countries | stage=4
 8764 | peddle                         | 叫賣                             | 🏃        | chunks=['ped', 'dle'] | py=ㄆㄝㄉ-ㄉㄜ | theme=actions | stage=4
 8765 | pedestrian                     | 行人徒步的                          | 🎨        | chunks=['pe', 'des', 'trian'] | py=ㄆㄜ-ㄉㄧ-ㄊㄖㄧㄚㄋ | theme=adjectives | stage=4
 8766 | perseverance                   | 堅持不懈                           | 🎓        | chunks=['per', 'se', 've', 'ran', 'ce'] | py=ㄆㄜ-ㄙㄜ-ㄈㄜ-ㄌㄚㄣ-ㄙㄜ | theme=academic-words | stage=4
 8767 | persevere                      | 堅持不懈                           | 🏃        | chunks=['per', 'se', 've', 're'] | py=ㄆㄜ-ㄙㄜ-ㄈㄜ-ㄌㄧ | theme=actions | stage=4
 8768 | persistence                    | 堅持                             | 🎓        | chunks=['per', 'sis', 'ten', 'ce'] | py=ㄆㄜ-ㄒㄜㄙ-ㄊㄣ-ㄙㄜ | theme=academic-words | stage=4 base=persist
 8769 | persistent                     | 堅持不懈的                          | 🎨        | chunks=['per', 'sis', 'tent'] | py=ㄆㄜ-ㄒㄜㄙ-ㄊㄣㄊ | theme=adjectives | stage=4 base=persist
 8770 | petroleum                      | 石油                             | 🏃        | chunks=['pet', 'ro', 'leum'] | py=ㄆㄝㄊ-ㄌㄛ-ㄌㄝㄚㄇ | theme=actions | stage=4
 8771 | pharmacist                     | 藥劑師                            | 🏥        | chunks=['phar', 'ma', 'cist'] | py=ㄈㄚㄦ-ㄇㄚ-ㄒㄧㄙㄊ | theme=medical | stage=4 base=pharmacy
 8772 | photographic                   | 攝影的                            | 🎮        | chunks=['pho', 'tog', 'rap', 'hic'] | py=ㄈㄛ-ㄊㄚ-ㄌㄚ-ㄏㄧㄎ | theme=hobbies | stage=4
 8773 | picturesque                    | 圖畫般的                           | 🎨        | chunks=['pic', 'tu', 'res', 'que'] | py=ㄆㄧㄎ-ㄑㄨ-ㄌㄝㄙ-ㄎㄜ | theme=art | stage=4
 8774 | pierce                         | 刺穿                             | 🏃        | chunks=['pier', 'ce'] | py=ㄆㄧㄦ-ㄙㄜ | theme=actions | stage=4
 8775 | piety                          | 虔誠                             | 🏃        | chunks=['pie', 'ty'] | py=ㄆㄞ-ㄊㄧ | theme=actions | stage=4
 8776 | pious                          | 虔誠的                            | 🎨        | chunks=['p', 'ious'] | py=ㄆㄧ-ㄌㄧㄚㄙ | theme=adjectives | stage=4
 8777 | pipeline                       | 導管                             | 🎨        | chunks=['pi', 'pe', 'li', 'ne'] | py=ㄆㄧ-ㄆㄜ-ㄌㄧ-ㄋㄧ | theme=adjectives | stage=4
 8778 | plight                         | 困境、苦境                          | 🏃        | chunks=['pl', 'ight'] | py=ㄆㄌㄞㄊ | theme=actions | stage=4
 8779 | poach                          | 盜獵                             | 🏃        | chunks=['p', 'oach'] | py=ㄆㄛㄔ | theme=actions | stage=4
 8780 | poacher                        | 盜獵者                            | 👨‍⚕️     | chunks=['poac', 'her'] | py=ㄆㄛㄎ-ㄏㄜ | theme=jobs | stage=4
 8781 | pollutant                      | 污染物                            | 🌍        | chunks=['pol', 'lu', 'tant'] | py=ㄆㄚ-ㄌㄨ-ㄊㄣㄊ | theme=environment | stage=4
 8782 | populate                       | 居住於…                           | 🏃        | chunks=['po', 'pu', 'la', 'te'] | py=ㄆㄛ-ㄆㄧㄨ-ㄌㄚ-ㄊㄧ | theme=actions | stage=4
 8783 | precision                      | 精確                             | 🎓        | chunks=['pre', 'ci', 'sion'] | py=ㄆㄌㄧ-ㄙㄜ-ㄒㄣ | theme=academic-words | stage=4 base=precise
 8784 | predecessor                    | 前任                             | 🧭        | chunks=['pre', 'de', 'ces', 'sor'] | py=ㄆㄌㄧ-ㄉㄧ-ㄙㄝ-ㄗㄜ | theme=directions | stage=4
 8785 | prediction                     | 預言                             | 🎓        | chunks=['pre', 'dic', 'tion'] | py=ㄆㄌㄧ-ㄉㄧㄎ-ㄒㄣ | theme=academic-words | stage=4 base=predict
 8786 | prejudice                      | 偏見                             | 🏃        | chunks=['pre', 'ju', 'di', 'ce'] | py=ㄆㄌㄧ-ㄐㄨ-ㄉㄧ-ㄙㄜ | theme=actions | stage=4
 8787 | premature                      | 過早的                            | 🎨        | chunks=['pre', 'ma', 'tu', 're'] | py=ㄆㄌㄧ-ㄇㄚ-ㄑㄨ-ㄌㄧ | theme=adjectives | stage=4
 8788 | prescribe                      | 規定                             | 🏃        | chunks=['pres', 'cri', 'be'] | py=ㄆㄌㄝ-ㄎㄌㄞ-ㄅㄧ | theme=actions | stage=4
 8789 | preside                        | 主持                             | 🏃        | chunks=['pre', 'si', 'de'] | py=ㄆㄌㄧ-ㄗㄜ-ㄉㄧ | theme=actions | stage=4
 8790 | presidency                     | 總統職位、總統任期                      | 🏛️       | chunks=['pre', 'si', 'den', 'cy'] | py=ㄆㄌㄧ-ㄗㄜ-ㄉㄣ-ㄒㄧ | theme=politics | stage=4 base=president [有易混提示]
 8791 | presidential                   | 總統的                            | 🏛️       | chunks=['pre', 'si', 'den', 'tial'] | py=ㄆㄌㄧ-ㄗㄜ-ㄉㄣ-ㄒㄦ | theme=politics | stage=4
 8792 | prestige                       | 名望                             | 🏃        | chunks=['pres', 'ti', 'ge'] | py=ㄆㄌㄝ-ㄊㄜ-ㄐㄧ | theme=actions | stage=4
 8793 | preventive                     | 預防的                            | 🎨        | chunks=['pre', 'ven', 'ti', 've'] | py=ㄆㄌㄧ-ㄈㄣ-ㄊㄜ-ㄈㄜ | theme=adjectives | stage=4 base=prevent
 8794 | proficiency                    | 精通                             | 🏃        | chunks=['pro', 'fi', 'cien', 'cy'] | py=ㄆㄜ-ㄈㄜ-ㄒㄣ-ㄒㄧ | theme=actions | stage=4
 8795 | progressive                    | 進步的                            | 🎨        | chunks=['prog', 'res', 'si', 've'] | py=ㄆㄖㄛㄍ-ㄌㄝㄙ-ㄗㄜ-ㄈㄜ | theme=adjectives | stage=4 base=progress
 8796 | prohibition                    | 禁止                             | 🎓        | chunks=['pro', 'hi', 'bi', 'tion'] | py=ㄆㄜ-ㄏㄞ-ㄅㄞ-ㄒㄣ | theme=academic-words | stage=4 base=prohibit
 8797 | projection                     | 設計                             | 🎓        | chunks=['pro', 'jec', 'tion'] | py=ㄆㄜ-ㄐㄝㄎ-ㄒㄣ | theme=academic-words | stage=4 base=project
 8798 | prone                          | 易於...的                         | 🎨        | chunks=['pro', 'ne'] | py=ㄆㄜ-ㄋㄧ | theme=adjectives | stage=4 [有易混提示]
 8799 | propel                         | 推進                             | 🏃        | chunks=['pro', 'pel'] | py=ㄆㄜ-ㄆㄦ | theme=actions | stage=4
 8800 | propeller                      | 螺旋槳                            | 🏃        | chunks=['pro', 'pel', 'ler'] | py=ㄆㄜ-ㄆㄦ-ㄌㄜ | theme=actions | stage=4 base=propel
 8801 | prospective                    | 預期的                            | 🎨        | chunks=['pros', 'pec', 'ti', 've'] | py=ㄆㄌㄚ-ㄆㄝㄎ-ㄊㄜ-ㄈㄜ | theme=adjectives | stage=4 base=prospect
