# 字 3500-3999
 3500 | plot                           | 劇情                             | 📜        | chunks=['pl', 'ot'] | py=ㄆㄌㄚㄊ | theme=movies-tv | stage=1 [有易混提示]
 3664 | technique                      | 技巧                             | 💪        | chunks=['tech', 'nique'] | py=ㄊㄝㄎ-ㄋㄧㄎ | theme=fitness | stage=2
 3665 | deficit                        | 熱量赤字                           | 📉        | chunks=['def', 'i', 'cit'] | py=ㄉㄝ-ㄈㄜ-ㄒㄜㄊ | theme=fitness | stage=3
 3666 | surplus                        | 熱量盈餘                           | 📈        | chunks=['sur', 'plus'] | py=ㄙㄜ-ㄆㄌㄚㄙ | theme=fitness | stage=3
 3667 | maintenance                    | 維持                             | 🟰        | chunks=['main', 'te', 'nance'] | py=ㄇㄝㄣ-ㄊㄜ-ㄋㄢㄙ | theme=fitness | stage=3
 3668 | tracker                        | 追蹤器                            | ⌚        | chunks=['track', 'er'] | py=ㄊㄌㄚㄎ-ㄜ | theme=fitness | stage=2 base=track
 3669 | fitbit                         | 運動手環                           | ⌚        | chunks=['fit', 'bit'] | py=ㄈㄧㄊ-ㄅㄜㄊ | theme=fitness | stage=2
 3670 | athletic                       | 運動的                            | 🏃        | chunks=['ath', 'let', 'ic'] | py=ㄚㄙ-ㄌㄝ-ㄊㄧㄎ | theme=fitness | stage=2
 3671 | sweatband                      | 頭帶                             | 💪        | chunks=['sweat', 'band'] | py=ㄙㄨㄝㄊ-ㄅㄚㄣㄉ | theme=fitness | stage=3
 3672 | gymbag                         | 健身包                            | 🎒        | chunks=['gym', 'bag'] | py=ㄐㄧㄇ-ㄅㄚㄍ | theme=fitness | stage=2
 3673 | burner                         | 燃脂的東西、爐子                       | 🔥        | chunks=['burn', 'er'] | py=ㄅㄜㄦ-ㄋㄜㄦ | theme=fitness | stage=3 base=burn [有易混提示]
 3674 | hypertension                   | 高血壓                            | 📈        | chunks=['hy', 'per', 'ten', 'sion'] | py=ㄏㄞ-ㄆㄜ-ㄊㄣ-ㄒㄣ | theme=diseases | stage=2
 3675 | arthritis                      | 關節炎                            | 🦴        | chunks=['ar', 'thri', 'tis'] | py=ㄚㄦ-ㄙㄌㄞ-ㄊㄜㄙ | theme=diseases | stage=2
 3676 | osteoporosis                   | 骨質疏鬆                           | 🦴        | chunks=['os', 'te', 'o', 'po', 'ro', 'sis'] | py=ㄚㄙ-ㄊㄧ-ㄛ-ㄆㄜ-ㄌㄛ-ㄒㄜㄙ | theme=diseases | stage=3
 3677 | fibromyalgia                   | 纖維肌痛                           | 😣        | chunks=['fi', 'bro', 'my', 'al', 'gia'] | py=ㄈㄞ-ㄅㄌㄛ-ㄇㄞ-ㄚㄦ-ㄐㄧㄚ | theme=diseases | stage=3
 3678 | lupus                          | 狼瘡                             | 🦋        | chunks=['lu', 'pus'] | py=ㄌㄨ-ㄆㄜㄙ | theme=diseases | stage=3
 3679 | parkinson                      | 帕金森氏症                          | 🧠        | chunks=['par', 'kin', 'son'] | py=ㄆㄚㄦ-ㄎㄧㄣ-ㄗㄣ | theme=diseases | stage=3
 3680 | alzheimer                      | 阿茲海默症                          | 🧠        | chunks=['alz', 'hei', 'mer'] | py=ㄚㄦㄗ-ㄏㄞ-ㄇㄜ | theme=diseases | stage=3
 3681 | covid                          | 新冠病毒、COVID-19                  | 🦠        | chunks=['co', 'vid'] | py=ㄎㄛ-ㄈㄜㄉ | theme=diseases | stage=0 [有易混提示]
 3682 | sars                           | SARS、嚴重急性呼吸道症候群                | 🦠        | chunks=['s', 'ars'] | py=ㄙㄚㄦㄗ | theme=diseases | stage=2
 3683 | ebola                          | 伊波拉                            | 🦠        | chunks=['e', 'bo', 'la'] | py=ㄧ-ㄅㄛ-ㄌㄜ | theme=diseases | stage=3
 3684 | zika                           | 茲卡病毒                           | 🦟        | chunks=['zi', 'ka'] | py=ㄗㄧ-ㄎㄚ | theme=diseases | stage=3
 3685 | hiv                            | 愛滋病毒                           | 🦠        | chunks=['h', 'i', 'v'] | py=ㄝㄑ-ㄞ-ㄈㄧ | theme=diseases | stage=2
 3686 | aids                           | 愛滋病                            | 🦠        | chunks=['a', 'ids'] | py=ㄝㄉㄗ | theme=diseases | stage=2
 3687 | herpes                         | 皰疹                             | 🦠        | chunks=['her', 'pes'] | py=ㄏㄜ-ㄆㄧㄗ | theme=diseases | stage=3
 3688 | hepatitis                      | 肝炎                             | 🦠        | chunks=['hep', 'a', 'ti', 'tis'] | py=ㄏㄝ-ㄆㄜ-ㄊㄞ-ㄊㄜㄙ | theme=diseases | stage=3
 3689 | jaundice                       | 黃疸                             | 🟡        | chunks=['jaun', 'dice'] | py=ㄐㄛㄣ-ㄉㄧㄙ | theme=diseases | stage=3
 3690 | cirrhosis                      | 肝硬化                            | 🦠        | chunks=['cir', 'rho', 'sis'] | py=ㄒㄜ-ㄌㄛ-ㄒㄜㄙ | theme=diseases | stage=3
 3691 | anemia                         | 貧血                             | 🩸        | chunks=['a', 'ne', 'mia'] | py=ㄚ-ㄋㄧ-ㄇㄧㄚ | theme=diseases | stage=3
 3692 | leukemia                       | 白血病                            | 🩸        | chunks=['leu', 'ke', 'mia'] | py=ㄌㄨ-ㄎㄧ-ㄇㄧㄜ | theme=diseases | stage=3
 3693 | lymphoma                       | 淋巴瘤                            | 🦠        | chunks=['lym', 'pho', 'ma'] | py=ㄌㄧㄇ-ㄈㄛ-ㄇㄜ | theme=diseases | stage=3
 3694 | melanoma                       | 黑色素瘤                           | 🦠        | chunks=['mel', 'a', 'no', 'ma'] | py=ㄇㄝ-ㄌㄜ-ㄋㄛ-ㄇㄜ | theme=diseases | stage=3
 3695 | adhd                           | 過動症                            | 🧠        | chunks=['a', 'd', 'h', 'd'] | py=ㄝ-ㄉㄧ-ㄝㄑ-ㄉㄧ | theme=diseases | stage=2
 3696 | ocd                            | 強迫症                            | 🧠        | chunks=['o', 'c', 'd'] | py=ㄛ-ㄒㄧ-ㄉㄧ | theme=diseases | stage=2
 3697 | ptsd                           | 創傷後壓力症                         | 🧠        | chunks=['p', 't', 's', 'd'] | py=ㄆㄧ-ㄊㄧ-ㄝㄙ-ㄉㄧ | theme=diseases | stage=3
 3698 | bipolar                        | 躁鬱症                            | 🧠        | chunks=['bi', 'po', 'lar'] | py=ㄅㄞ-ㄆㄛ-ㄌㄜ | theme=diseases | stage=3
 3699 | schizophrenia                  | 思覺失調                           | 🧠        | chunks=['schiz', 'o', 'phre', 'nia'] | py=ㄙㄎㄧㄗ-ㄛ-ㄈㄌㄧ-ㄋㄧㄚ | theme=diseases | stage=4
 3700 | migraine                       | 偏頭痛                            | 😣        | chunks=['mi', 'graine'] | py=ㄇㄞ-ㄍㄌㄝㄣ | theme=diseases | stage=2
 3701 | vertigo                        | 眩暈                             | 🌀        | chunks=['ver', 'ti', 'go'] | py=ㄈㄜ-ㄊㄜ-ㄍㄛ | theme=diseases | stage=3
 3702 | tinnitus                       | 耳鳴                             | 👂        | chunks=['tin', 'ni', 'tus'] | py=ㄊㄧ-ㄋㄜ-ㄊㄜㄙ | theme=diseases | stage=3
 3703 | glaucoma                       | 青光眼                            | 👁️       | chunks=['glau', 'co', 'ma'] | py=ㄍㄌㄛ-ㄎㄛ-ㄇㄚ | theme=diseases | stage=3
 3704 | cataract                       | 白內障                            | 👁️       | chunks=['cat', 'a', 'ract'] | py=ㄎㄚ-ㄊㄜ-ㄌㄚㄎㄊ | theme=diseases | stage=3
 3705 | conjunctivitis                 | 結膜炎                            | 👁️       | chunks=['con', 'junc', 'ti', 'vi', 'tis'] | py=ㄎㄚㄣ-ㄐㄚㄣㄎ-ㄊㄜ-ㄈㄞ-ㄊㄜㄙ | theme=diseases | stage=3
 3706 | blindness                      | 失明                             | 🦯        | chunks=['blind', 'ness'] | py=ㄅㄌㄞㄣㄉ-ㄋㄜㄙ | theme=diseases | stage=2 base=blind
 3707 | acne                           | 痤瘡                             | 🔴        | chunks=['ac', 'ne'] | py=ㄚㄎ-ㄋㄧ | theme=diseases | stage=2
 3708 | eczema                         | 濕疹                             | 🔴        | chunks=['ec', 'ze', 'ma'] | py=ㄝㄎ-ㄗㄜ-ㄇㄚ | theme=diseases | stage=3
 3709 | psoriasis                      | 乾癬                             | 🔴        | chunks=['pso', 'ri', 'a', 'sis'] | py=ㄙㄜ-ㄌㄞ-ㄝ-ㄒㄜㄙ | theme=diseases | stage=3
 3710 | hives                          | 蕁麻疹                            | 🔴        | chunks=['h', 'ives'] | py=ㄏㄞㄈㄗ | theme=diseases | stage=3
 3711 | ringworm                       | 金錢癬、體癬                         | 🦠        | chunks=['ring', 'worm'] | py=ㄌㄧㄥ-ㄨㄜㄇ | theme=diseases | stage=3
 3712 | gastritis                      | 胃炎                             | 😖        | chunks=['gas', 'tri', 'tis'] | py=ㄍㄚㄙ-ㄊㄌㄞ-ㄊㄜㄙ | theme=diseases | stage=3
 3713 | ulcer                          | 潰瘍                             | 😖        | chunks=['ul', 'cer'] | py=ㄚㄦ-ㄙㄜ | theme=diseases | stage=3
 3714 | ibs                            | 腸躁症                            | 😖        | chunks=['i', 'b', 's'] | py=ㄞ-ㄅㄧ-ㄝㄙ | theme=diseases | stage=3
 3715 | crohn                          | 克隆氏症                           | 😖        | chunks=['cr', 'ohn'] | py=ㄎㄌㄛㄣ | theme=diseases | stage=3
 3716 | celiac                         | 乳糜瀉                            | 🌾        | chunks=['ce', 'li', 'ac'] | py=ㄒㄧ-ㄌㄧ-ㄚㄎ | theme=diseases | stage=3
 3717 | tuberculosis                   | 肺結核                            | 🫁        | chunks=['tu', 'ber', 'cu', 'lo', 'sis'] | py=ㄊㄨ-ㄅㄜ-ㄎㄧㄨ-ㄌㄛ-ㄒㄜㄙ | theme=diseases | stage=2
 3718 | copd                           | 慢性阻塞肺病                         | 🫁        | chunks=['c', 'o', 'p', 'd'] | py=ㄒㄧ-ㄛ-ㄆㄧ-ㄉㄧ | theme=diseases | stage=3
 3719 | emphysema                      | 肺氣腫                            | 🫁        | chunks=['em', 'phy', 'se', 'ma'] | py=ㄝㄇ-ㄈㄜ-ㄗㄧ-ㄇㄚ | theme=diseases | stage=3
 3720 | foodpoisoning                  | 食物中毒                           | 🤢        | chunks=['food', 'poi', 'son', 'ing'] | py=ㄈㄨㄉ-ㄆㄛㄧ-ㄗㄣ-ㄧㄥ | theme=diseases | stage=1
 3721 | gastroenteritis                | 腸胃炎                            | 😖        | chunks=['gas', 'tro', 'en', 'ter', 'i', 'tis'] | py=ㄍㄚㄙ-ㄊㄌㄛ-ㄝㄣ-ㄊㄜ-ㄜ-ㄊㄜㄙ | theme=diseases | stage=3
 3722 | salmonella                     | 沙門氏菌                           | 🦠        | chunks=['sal', 'mo', 'nel', 'la'] | py=ㄙㄚㄦ-ㄇㄜ-ㄋㄝ-ㄌㄜ | theme=diseases | stage=3
 3723 | gout                           | 痛風                             | 😣        | chunks=['g', 'out'] | py=ㄍㄠㄊ | theme=diseases | stage=3
 3724 | tendinitis                     | 肌腱炎                            | 🦴        | chunks=['ten', 'din', 'i', 'tis'] | py=ㄊㄝㄣ-ㄉㄜ-ㄋㄞ-ㄊㄜㄙ | theme=diseases | stage=3
 3725 | appendicitis                   | 闌尾炎                            | 😖        | chunks=['ap', 'pen', 'di', 'ci', 'tis'] | py=ㄜ-ㄆㄝㄣ-ㄉㄜ-ㄙㄞ-ㄊㄜㄙ | theme=diseases | stage=3
 3726 | hernia                         | 疝氣                             | 😖        | chunks=['her', 'nia'] | py=ㄏㄜ-ㄋㄧㄜ | theme=diseases | stage=3
 3727 | gallstone                      | 膽結石                            | 🪨        | chunks=['gall', 'stone'] | py=ㄍㄛㄦ-ㄙㄉㄛㄣ | theme=diseases | stage=3
 3728 | kidneystone                    | 腎結石                            | 🪨        | chunks=['kid', 'ney', 'stone'] | py=ㄎㄧㄉ-ㄋㄧ-ㄙㄉㄛㄣ | theme=diseases | stage=3
 3729 | miscarriage                    | 流產                             | 😢        | chunks=['mis', 'car', 'riage'] | py=ㄇㄧㄙ-ㄎㄝ-ㄌㄧㄐ | theme=diseases | stage=3
 3730 | infertility                    | 不孕                             | 😢        | chunks=['in', 'fer', 'til', 'i', 'ty'] | py=ㄧㄣ-ㄈㄜ-ㄊㄜ-ㄌㄜ-ㄊㄧ | theme=diseases | stage=3
 3731 | menopause                      | 更年期                            | 👵        | chunks=['men', 'o', 'pause'] | py=ㄇㄝ-ㄋㄜ-ㄆㄛㄗ | theme=diseases | stage=3
 3732 | obesity                        | 肥胖症                            | 📊        | chunks=['o', 'be', 'si', 'ty'] | py=ㄛ-ㄅㄧ-ㄗㄜ-ㄊㄧ | theme=diseases | stage=2
 3733 | malnutrition                   | 營養不良                           | 📉        | chunks=['mal', 'nu', 'tri', 'tion'] | py=ㄇㄚㄦ-ㄋㄨ-ㄊㄌㄜ-ㄒㄣ | theme=diseases | stage=3
 3734 | plague                         | 瘟疫                             | 🦠        | chunks=['pl', 'ague'] | py=ㄆㄌㄝㄍ | theme=diseases | stage=3
 3735 | smallpox                       | 天花                             | 🦠        | chunks=['small', 'pox'] | py=ㄙㄇㄛㄦ-ㄆㄚㄎㄙ | theme=diseases | stage=3
 3736 | polio                          | 小兒麻痺                           | 🦠        | chunks=['po', 'li', 'o'] | py=ㄆㄛ-ㄌㄧ-ㄛ | theme=diseases | stage=3
 3737 | malaria                        | 瘧疾                             | 🦟        | chunks=['ma', 'lar', 'i', 'a'] | py=ㄇㄜ-ㄌㄝ-ㄌㄧ-ㄜ | theme=diseases | stage=3
 3738 | dengue                         | 登革熱                            | 🦟        | chunks=['den', 'gue'] | py=ㄉㄝㄣ-ㄍㄝ / ㄉㄝㄣ-ㄍㄧ | theme=diseases | stage=3
 3739 | cholera                        | 霍亂                             | 🦠        | chunks=['chol', 'e', 'ra'] | py=ㄎㄚ-ㄌㄜ-ㄌㄜ | theme=diseases | stage=3
 3740 | rabies                         | 狂犬病                            | 🐕        | chunks=['ra', 'bies'] | py=ㄌㄝ-ㄅㄧㄗ | theme=diseases | stage=3
 3741 | mumps                          | 腮腺炎                            | 🦠        | chunks=['m', 'umps'] | py=ㄇㄚㄇㄆㄙ | theme=diseases | stage=3
 3742 | measles                        | 麻疹                             | 🦠        | chunks=['mea', 'sles'] | py=ㄇㄧ-ㄗㄦㄗ | theme=diseases | stage=3
 3743 | chickenpox                     | 水痘                             | 🦠        | chunks=['chick', 'en', 'pox'] | py=ㄑㄧ-ㄎㄣ-ㄆㄚㄎㄙ | theme=diseases | stage=2
 3744 | hayfever                       | 花粉熱                            | 🤧        | chunks=['hay', 'fe', 'ver'] | py=ㄏㄝ-ㄈㄧ-ㄈㄜ | theme=diseases | stage=3
 3745 | allergies                      | 過敏症                            | 🤧        | chunks=['al', 'ler', 'gies'] | py=ㄚ-ㄌㄜ-ㄐㄧㄗ | theme=diseases | stage=2
 3746 | syndrome                       | 症候群                            | 📋        | chunks=['syn', 'drome'] | py=ㄒㄧㄣ-ㄉㄌㄛㄇ | theme=diseases | stage=2
 3747 | disorder                       | 失調、失調症                         | 😖        | chunks=['dis', 'or', 'der'] | py=ㄉㄧㄙ-ㄛㄦ-ㄉㄜ | theme=diseases | stage=2 [有易混提示]
 3748 | sickness                       | 疾病                             | 🤒        | chunks=['sick', 'ness'] | py=ㄒㄧㄎ-ㄋㄜㄙ | theme=diseases | stage=1 base=sick
 3749 | ailment                        | 小毛病                            | 🤒        | chunks=['ail', 'ment'] | py=ㄝㄦ-ㄇㄣㄊ | theme=diseases | stage=3
 3750 | disease                        | 疾病                             | 🦠        | chunks=['dis', 'ease'] | py=ㄉㄧ-ㄗㄧㄗ | theme=diseases | stage=1
 3751 | deficiency                     | 缺乏、不足                          | 📉        | chunks=['de', 'fi', 'cien', 'cy'] | py=ㄉㄧ-ㄈㄜ-ㄒㄜㄣ-ㄒㄧ | theme=diseases | stage=3
 3752 | deformity                      | 畸形                             | 😢        | chunks=['de', 'for', 'mi', 'ty'] | py=ㄉㄧ-ㄈㄛㄦ-ㄇㄜ-ㄊㄧ | theme=diseases | stage=3
 3753 | meningitis                     | 腦膜炎                            | 🧠        | chunks=['me', 'nin', 'gi', 'tis'] | py=ㄇㄜ-ㄋㄧㄣ-ㄐㄞ-ㄊㄜㄙ | theme=diseases | stage=3
 3754 | cubicle                        | 小隔間                            | 🏢        | chunks=['cu', 'bi', 'cle'] | py=ㄎㄧㄨ-ㄅㄜ-ㄎㄜ | theme=office | stage=2
 3755 | workstation                    | 工作站                            | 💻        | chunks=['work', 'sta', 'tion'] | py=ㄨㄜㄦㄎ-ㄙㄉㄝ-ㄒㄜㄣ | theme=office | stage=2
 3756 | conferenceroom                 | 會議室                            | 🏢        | chunks=['con', 'fer', 'ence', 'room'] | py=ㄎㄚㄣ-ㄈㄜ-ㄢㄙ-ㄌㄨㄣ | theme=office | stage=1
 3757 | meeting                        | 會議                             | 🤝        | chunks=['meet', 'ing'] | py=ㄇㄧㄊ-ㄧㄥ | theme=office | stage=1 base=meet
 3758 | meetingroom                    | 會議室                            | 🏢        | chunks=['meet', 'ing', 'room'] | py=ㄇㄧㄊ-ㄧㄥ-ㄌㄨㄣ | theme=office | stage=1
 3759 | boardroom                      | 董事會議室                          | 🏢        | chunks=['board', 'room'] | py=ㄅㄛㄦㄉ-ㄌㄨㄣ | theme=office | stage=2
 3760 | agenda                         | 議程                             | 📋        | chunks=['a', 'gen', 'da'] | py=ㄜ-ㄐㄣ-ㄉㄜ | theme=office | stage=2
 3761 | minutes                        | 會議記錄                           | 📋        | chunks=['min', 'utes'] | py=ㄇㄧ-ㄋㄜㄊㄗ | theme=office | stage=2 [有易混提示]
 3762 | memo                           | 備忘錄                            | 📝        | chunks=['me', 'mo'] | py=ㄇㄝ-ㄇㄛ | theme=office | stage=1
 3763 | brief                          | 摘要、簡短報告                        | 📝        | chunks=['br', 'ief'] | py=ㄅㄌㄧㄈ | theme=office | stage=1 [有易混提示]
 3764 | briefing                       | 簡報、簡短說明會                       | 📝        | chunks=['brief', 'ing'] | py=ㄅㄌㄧㄈ-ㄧㄥ | theme=office | stage=2
 3765 | milestone                      | 里程碑                            | 🏁        | chunks=['mile', 'stone'] | py=ㄇㄞㄦ-ㄙㄉㄛㄣ | theme=office | stage=2
 3766 | kpi                            | 關鍵指標                           | 📊        | chunks=['k', 'p', 'i'] | py=ㄎㄝ-ㄆㄧ-ㄞ | theme=office | stage=2
 3767 | metric                         | 指標                             | 📊        | chunks=['met', 'ric'] | py=ㄇㄝㄊ-ㄌㄧㄎ | theme=office | stage=2
 3768 | target                         | 目標                             | 🎯        | chunks=['tar', 'get'] | py=ㄊㄚㄦ-ㄍㄜㄊ | theme=office | stage=1 [有易混提示]
 3769 | task                           | 任務                             | 📋        | chunks=['t', 'ask'] | py=ㄊㄚㄙㄎ | theme=office | stage=1
 3770 | todo                           | 待辦                             | 📋        | chunks=['to', 'do'] | py=ㄊㄨ-ㄉㄨ | theme=office | stage=1
 3771 | document                       | 文件                             | 📄        | chunks=['doc', 'u', 'ment'] | py=ㄉㄚ-ㄎㄧㄨ-ㄇㄜㄣㄊ | theme=office | stage=1 [有易混提示]
 3772 | doc                            | 文件                             | 📄        | chunks=['d', 'oc'] | py=ㄉㄚㄎ | theme=office | stage=1
 3773 | version                        | 版本                             | 📋        | chunks=['ver', 'sion'] | py=ㄈㄜㄦ-ㄓㄜㄣ | theme=office | stage=1
 3774 | archive                        | 封存                             | 🗄️       | chunks=['ar', 'chive'] | py=ㄚㄦ-ㄎㄞㄈ | theme=office | stage=2 base=arch [有易混提示]
 3775 | spreadsheet                    | 試算表                            | 📊        | chunks=['spread', 'sheet'] | py=ㄙㄆㄌㄝㄉ-ㄒㄧㄊ | theme=office | stage=2
 3776 | chart                          | 圖表                             | 📊        | chunks=['ch', 'art'] | py=ㄑㄚㄦㄊ | theme=office | stage=1 [有易混提示]
 3777 | graph                          | 圖表                             | 📊        | chunks=['gr', 'aph'] | py=ㄍㄌㄚㄈ | theme=office | stage=1
 3778 | fax                            | 傳真                             | 📠        | chunks=['f', 'ax'] | py=ㄈㄚㄎㄙ | theme=office | stage=2
 3779 | copier                         | 影印機                            | 📠        | chunks=['cop', 'ier'] | py=ㄎㄚ-ㄆㄧㄜㄦ | theme=office | stage=2
 3780 | shredder                       | 碎紙機                            | 📑        | chunks=['shred', 'der'] | py=ㄒㄌㄝ-ㄉㄜㄦ | theme=office | stage=3 base=shred
 3781 | stapler                        | 釘書機                            | 📎        | chunks=['sta', 'pler'] | py=ㄙㄉㄝ-ㄆㄌㄜㄦ | theme=office | stage=2 base=staple
 3782 | paperclip                      | 迴紋針                            | 📎        | chunks=['pa', 'per', 'clip'] | py=ㄆㄝ-ㄆㄜ-ㄎㄌㄧㄆ | theme=office | stage=1
 3783 | stickynote                     | 便利貼                            | 📝        | chunks=['sti', 'cky', 'note'] | py=ㄙㄉㄧ-ㄎㄧ-ㄋㄛㄊ | theme=office | stage=2
 3784 | postit                         | 便利貼                            | 📝        | chunks=['post', 'it'] | py=ㄆㄛㄙㄊ-ㄧㄊ | theme=office | stage=2
 3785 | notepad                        | 便條本                            | 📓        | chunks=['note', 'pad'] | py=ㄋㄛㄊ-ㄆㄚㄉ | theme=office | stage=1
 3786 | highlighter                    | 螢光筆                            | 🖍️       | chunks=['high', 'light', 'er'] | py=ㄏㄞ-ㄌㄞ-ㄊㄜㄦ | theme=office | stage=2 base=highlight
 3787 | inbox                          | 收件匣                            | 📥        | chunks=['in', 'box'] | py=ㄧㄣ-ㄅㄚㄎㄙ | theme=office | stage=1
 3788 | outbox                         | 寄件匣                            | 📤        | chunks=['out', 'box'] | py=ㄠㄊ-ㄅㄚㄎㄙ | theme=office | stage=2
 3789 | reminder                       | 提醒                             | ⏰        | chunks=['re', 'min', 'der'] | py=ㄌㄧ-ㄇㄞㄣ-ㄉㄜㄦ | theme=office | stage=1 base=remind
 3790 | overtime                       | 加班                             | ⏰        | chunks=['o', 'ver', 'time'] | py=ㄛ-ㄈㄜ-ㄊㄞㄇ | theme=office | stage=1
 3791 | hours                          | 工時                             | ⏰        | chunks=['h', 'ours'] | py=ㄠㄜㄗ | theme=office | stage=1
 3792 | parttime                       | 兼職                             | ⏰        | chunks=['part', 'time'] | py=ㄆㄚㄦㄊ-ㄊㄞㄇ | theme=office | stage=1
 3793 | fulltime                       | 全職                             | ⏰        | chunks=['full', 'time'] | py=ㄈㄨㄦ-ㄊㄞㄇ | theme=office | stage=1
 3794 | internship                     | 實習                             | 💼        | chunks=['in', 'tern', 'ship'] | py=ㄧㄣ-ㄊㄜㄦㄣ-ㄒㄧㄆ | theme=office | stage=1
 3795 | intern                         | 實習生                            | 💼        | chunks=['in', 'tern'] | py=ㄧㄣ-ㄊㄜㄦㄣ | theme=office | stage=1
 3796 | supervisor                     | 主管                             | 🧑‍💼      | chunks=['su', 'per', 'vi', 'sor'] | py=ㄙㄨ-ㄆㄜㄦ-ㄈㄞ-ㄗㄜㄦ | theme=office | stage=2 base=supervise
 3797 | employee                       | 員工                             | 🧑‍💼      | chunks=['em', 'ploy', 'ee'] | py=ㄝㄇ-ㄆㄌㄛㄧ-ㄧ | theme=office | stage=1 base=employ
 3798 | employer                       | 雇主                             | 🧑‍💼      | chunks=['em', 'ploy', 'er'] | py=ㄝㄇ-ㄆㄌㄛㄧ-ㄜㄦ | theme=office | stage=1 base=employ
 3799 | staff                          | 員工                             | 👥        | chunks=['st', 'aff'] | py=ㄙㄉㄚㄈ | theme=office | stage=1 [有易混提示]
 3800 | department                     | 部門                             | 🏢        | chunks=['de', 'part', 'ment'] | py=ㄉㄧ-ㄆㄚㄦㄊ-ㄇㄜㄣㄊ | theme=office | stage=1 base=depart
 3801 | division                       | 部門                             | 🏢        | chunks=['di', 'vi', 'sion'] | py=ㄉㄜ-ㄈㄧ-ㄓㄜㄣ | theme=office | stage=2 [有易混提示]
 3802 | hr                             | 人資                             | 🧑‍💼      | chunks=['h', 'r'] | py=ㄝㄑ-ㄚㄦ | theme=office | stage=1
 3803 | payroll                        | 薪資                             | 💵        | chunks=['pay', 'roll'] | py=ㄆㄝ-ㄌㄛㄦ | theme=office | stage=2
 3804 | raise                          | 加薪                             | 📈        | chunks=['r', 'aise'] | py=ㄌㄝㄗ | theme=office | stage=1 [有易混提示]
 3805 | hire                           | 僱用                             | 🤝        | chunks=['h', 'ire'] | py=ㄏㄞㄦ | theme=office | stage=1 [有易混提示]
 3806 | fire                           | 開除                             | 🔥        | chunks=['f', 'ire'] | py=ㄈㄞㄦ | theme=office | stage=1 [有易混提示]
 3807 | promote                        | 升職                             | 📈        | chunks=['pro', 'mote'] | py=ㄆㄜ-ㄇㄛㄊ | theme=office | stage=1
 3808 | demote                         | 降職                             | 📉        | chunks=['de', 'mote'] | py=ㄉㄧ-ㄇㄛㄊ | theme=office | stage=3
 3809 | layoff                         | 裁員                             | 📉        | chunks=['lay', 'off'] | py=ㄌㄝ-ㄛㄈ | theme=office | stage=2
 3810 | retire                         | 退休                             | 👴        | chunks=['re', 'tire'] | py=ㄌㄧ-ㄊㄞㄦ | theme=office | stage=1
 3811 | retirement                     | 退休                             | 👴        | chunks=['re', 'tire', 'ment'] | py=ㄌㄧ-ㄊㄞㄦ-ㄇㄜㄣㄊ | theme=office | stage=2 base=retire
 3812 | resign                         | 辭職                             | 📝        | chunks=['re', 'sign'] | py=ㄌㄧ-ㄗㄞㄣ | theme=office | stage=2
 3813 | training                       | 訓練                             | 📚        | chunks=['train', 'ing'] | py=ㄊㄌㄝㄣ-ㄧㄥ | theme=office | stage=1 base=train
 3814 | onboarding                     | 新進培訓                           | 📚        | chunks=['on', 'board', 'ing'] | py=ㄚㄣ-ㄅㄛㄦㄉ-ㄧㄥ | theme=office | stage=2
 3815 | orientation                    | 新訓                             | 📚        | chunks=['o', 'ri', 'en', 'ta', 'tion'] | py=ㄛ-ㄌㄧ-ㄝㄣ-ㄊㄝ-ㄒㄜㄣ | theme=office | stage=2 base=orient
 3816 | coworker                       | 同事                             | 🧑‍💼      | chunks=['co', 'work', 'er'] | py=ㄎㄛ-ㄨㄜㄎ-ㄜ | theme=office | stage=1
 3817 | networking                     | 建立人脈                           | 🤝        | chunks=['net', 'work', 'ing'] | py=ㄋㄝㄊ-ㄨㄜㄎ-ㄧㄥ | theme=office | stage=1
 3818 | summit                         | 高峰會                            | 🤝        | chunks=['sum', 'mit'] | py=ㄙㄚ-ㄇㄜㄊ | theme=office | stage=2 [有易混提示]
 3819 | benefits                       | 福利                             | 🎁        | chunks=['ben', 'e', 'fits'] | py=ㄅㄝ-ㄋㄜ-ㄈㄧㄊㄙ | theme=office | stage=1
 3820 | perks                          | 額外福利                           | 🎁        | chunks=['p', 'erks'] | py=ㄆㄜㄎㄙ | theme=office | stage=2
 3821 | healthcare                     | 健康保險                           | 🏥        | chunks=['health', 'care'] | py=ㄏㄝㄦㄙ-ㄎㄝㄦ | theme=office | stage=1
 3822 | dental                         | 牙科                             | 🦷        | chunks=['den', 'tal'] | py=ㄉㄝㄣ-ㄉㄜㄦ | theme=office | stage=2 [有易混提示]
 3823 | insurance                      | 保險                             | 🛡️       | chunks=['in', 'sur', 'ance'] | py=ㄧㄣ-ㄒㄨㄦ-ㄜㄣㄙ | theme=office | stage=1
 3824 | sickleave                      | 病假                             | 🤒        | chunks=['sick', 'leave'] | py=ㄒㄧㄎ-ㄌㄧㄈ | theme=office | stage=2
 3825 | maternity                      | 產假                             | 🤰        | chunks=['ma', 'ter', 'ni', 'ty'] | py=ㄇㄜ-ㄊㄜ-ㄋㄜ-ㄊㄧ | theme=office | stage=3
 3826 | paternity                      | 陪產假                            | 👨        | chunks=['pa', 'ter', 'ni', 'ty'] | py=ㄆㄜ-ㄊㄜ-ㄋㄜ-ㄊㄧ | theme=office | stage=3
