# 字 1500-1999
 1500 | both                           | 兩者都                            | ✌️       | chunks=['b', 'oth'] | py=ㄅㄛㄙ | theme=sight-words | stage=1 [有易混提示]
 1683 | funeral                        | 葬禮                             | ⚰️       | chunks=['fu', 'ne', 'ral'] | py=ㄈㄧㄨ-ㄋㄜ-ㄌㄦ | theme=family | stage=2
 1684 | godfather                      | 教父                             | 👨        | chunks=['god', 'fa', 'ther'] | py=ㄍㄚㄉ-ㄈㄚ-ㄉㄜ | theme=family | stage=3
 1685 | godmother                      | 教母                             | 👩        | chunks=['god', 'mo', 'ther'] | py=ㄍㄚㄉ-ㄇㄚ-ㄉㄜ | theme=family | stage=3
 1686 | godparent                      | 教父母                            | 🧑        | chunks=['god', 'pa', 'rent'] | py=ㄍㄚㄉ-ㄆㄝㄜ-ㄣㄊ | theme=family | stage=3
 1687 | godson                         | 教子                             | 👦        | chunks=['god', 'son'] | py=ㄍㄚㄉ-ㄙㄚㄣ | theme=family | stage=3
 1688 | goddaughter                    | 教女                             | 👧        | chunks=['god', 'daugh', 'ter'] | py=ㄍㄚㄉ-ㄉㄛ-ㄊㄜ | theme=family | stage=3
 1689 | generation                     | 世代                             | 👨‍👩‍👧    | chunks=['gen', 'er', 'a', 'tion'] | py=ㄐㄣ-ㄋㄜ-ㄝ-ㄒㄣ | theme=family | stage=2
 1690 | heritage                       | 遺產                             | 🏛️       | chunks=['her', 'i', 'tage'] | py=ㄏㄝ-ㄌㄜ-ㄊㄧㄐ | theme=family | stage=3
 1691 | ancestry                       | 血統                             | 👴        | chunks=['an', 'ces', 'try'] | py=ㄢ-ㄙㄝㄙ-ㄊㄌㄧ | theme=family | stage=3
 1692 | lineage                        | 家系                             | 🌳        | chunks=['lin', 'e', 'age'] | py=ㄌㄧ-ㄋㄧ-ㄧㄐ | theme=family | stage=3
 1693 | kin                            | 親屬                             | 👨‍👩‍👧    | chunks=['k', 'in'] | py=ㄎㄧㄣ | theme=family | stage=3
 1694 | household                      | 一家人                            | 🏠        | chunks=['house', 'hold'] | py=ㄏㄠㄙ-ㄏㄛㄦㄉ | theme=family | stage=2
 1695 | homeland                       | 祖國                             | 🌍        | chunks=['home', 'land'] | py=ㄏㄛㄇ-ㄌㄢㄉ | theme=family | stage=2
 1696 | waist                          | 腰                              | 👤        | chunks=['w', 'aist'] | py=ㄨㄝㄙㄊ | theme=body | stage=1 [有易混提示]
 1697 | hip                            | 髖部                             | 👤        | chunks=['h', 'ip'] | py=ㄏㄧㄆ | theme=body | stage=1
 1698 | thigh                          | 大腿                             | 🦵        | chunks=['th', 'igh'] | py=ㄙㄞ | theme=body | stage=1
 1699 | shin                           | 小腿前側、脛                         | 🦵        | chunks=['sh', 'in'] | py=ㄒㄧㄣ | theme=body | stage=2 [有易混提示]
 1700 | calf                           | 小腿肚                            | 🦵        | chunks=['c', 'alf'] | py=ㄎㄚㄈ | theme=body | stage=2 [有易混提示]
 1701 | spine                          | 脊椎                             | 🦴        | chunks=['sp', 'ine'] | py=ㄙㄆㄞㄣ | theme=body | stage=2 [有易混提示]
 1702 | rib                            | 肋骨                             | 🦴        | chunks=['r', 'ib'] | py=ㄌㄧㄅ | theme=body | stage=1
 1703 | pelvis                         | 骨盆                             | 🦴        | chunks=['pel', 'vis'] | py=ㄆㄝㄦ-ㄈㄧㄙ | theme=body | stage=3
 1704 | joint                          | 關節                             | 🦴        | chunks=['j', 'oint'] | py=ㄐㄛㄧㄣㄊ | theme=body | stage=1 [有易混提示]
 1705 | muscle                         | 肌肉                             | 💪        | chunks=['mus', 'cle'] | py=ㄇㄚ-ㄙㄜ | theme=body | stage=1
 1706 | nerve                          | 神經                             | ⚡        | chunks=['n', 'erve'] | py=ㄋㄜㄈ | theme=body | stage=2 [有易混提示]
 1707 | vein                           | 靜脈                             | 🩸        | chunks=['v', 'ein'] | py=ㄈㄟㄣ | theme=body | stage=2 [有易混提示]
 1708 | artery                         | 動脈                             | 🩸        | chunks=['ar', 'ter', 'y'] | py=ㄚㄦ-ㄊㄜ-ㄌㄧ | theme=body | stage=3
 1709 | cell                           | 細胞                             | 🔬        | chunks=['c', 'ell'] | py=ㄙㄝㄦ | theme=body | stage=2 [有易混提示]
 1710 | marrow                         | 骨髓                             | 🦴        | chunks=['mar', 'row'] | py=ㄇㄝ-ㄌㄛ | theme=body | stage=3
 1711 | gland                          | 腺體                             | 💧        | chunks=['gl', 'and'] | py=ㄍㄌㄚㄣㄉ | theme=body | stage=3
 1712 | scalp                          | 頭皮                             | 💇        | chunks=['sc', 'alp'] | py=ㄙㄎㄚㄦㄆ | theme=body | stage=2
 1713 | forehead                       | 額頭                             | 😀        | chunks=['fore', 'head'] | py=ㄈㄛㄦ-ㄏㄝㄉ | theme=body | stage=1
 1714 | mustache                       | 鬍鬚(上唇)、八字鬍                     | 🥸        | chunks=['mus', 'tache'] | py=ㄇㄚㄙ-ㄊㄚㄒ | theme=body | stage=2
 1715 | freckle                        | 雀斑                             | 😊        | chunks=['freck', 'le'] | py=ㄈㄌㄝ-ㄎㄜ | theme=body | stage=2
 1716 | dimple                         | 酒窩                             | 😊        | chunks=['dim', 'ple'] | py=ㄉㄧㄇ-ㄆㄜ | theme=body | stage=2
 1717 | pimple                         | 痘痘                             | 🔴        | chunks=['pim', 'ple'] | py=ㄆㄧㄇ-ㄆㄜ | theme=body | stage=2
 1718 | wrinkle                        | 皺紋                             | 👴        | chunks=['wrin', 'kle'] | py=ㄌㄧㄣ-ㄎㄜ | theme=body | stage=2
 1719 | scar                           | 疤痕                             | 🩹        | chunks=['sc', 'ar'] | py=ㄙㄎㄚㄦ | theme=body | stage=1
 1720 | bruise                         | 瘀青                             | 🟣        | chunks=['br', 'uise'] | py=ㄅㄌㄨㄗ | theme=body | stage=2
 1721 | breast                         | 胸部                             | 👤        | chunks=['br', 'east'] | py=ㄅㄌㄝㄙㄊ | theme=body | stage=2
 1722 | navel                          | 肚臍                             | 👤        | chunks=['na', 'vel'] | py=ㄋㄟ-ㄈㄜ | theme=body | stage=2 [有易混提示]
 1723 | belly                          | 肚子                             | 🤰        | chunks=['bel', 'ly'] | py=ㄅㄝ-ㄌㄧ | theme=body | stage=1
 1724 | butt                           | 屁股                             | 🍑        | chunks=['b', 'utt'] | py=ㄅㄚㄊ | theme=body | stage=1
 1725 | groin                          | 鼠蹊                             | 👤        | chunks=['gr', 'oin'] | py=ㄍㄌㄛㄧㄣ | theme=body | stage=3
 1726 | skull                          | 頭骨                             | 💀        | chunks=['sk', 'ull'] | py=ㄙㄎㄚㄦ | theme=body | stage=1
 1727 | temple                         | 太陽穴                            | 👤        | chunks=['tem', 'ple'] | py=ㄊㄝㄇ-ㄆㄜ | theme=body | stage=2 [有易混提示]
 1728 | brow                           | 額頭                             | 😀        | chunks=['br', 'ow'] | py=ㄅㄌㄠ | theme=body | stage=2 [有易混提示]
 1729 | lash                           | 睫毛                             | 👁️       | chunks=['l', 'ash'] | py=ㄌㄚㄒ | theme=body | stage=2
 1730 | pupil                          | 瞳孔                             | 👁️       | chunks=['pu', 'pil'] | py=ㄆㄧㄨ-ㄆㄜ | theme=body | stage=3 [有易混提示]
 1731 | iris                           | 虹膜                             | 👁️       | chunks=['i', 'ris'] | py=ㄞ-ㄌㄧㄙ | theme=body | stage=3 [有易混提示]
 1732 | nostril                        | 鼻孔                             | 👃        | chunks=['nos', 'tril'] | py=ㄋㄚㄙ-ㄊㄌㄜ | theme=body | stage=2
 1733 | gum                            | 牙齦                             | 🦷        | chunks=['g', 'um'] | py=ㄍㄚㄇ | theme=body | stage=2 [有易混提示]
 1734 | molar                          | 臼齒                             | 🦷        | chunks=['mo', 'lar'] | py=ㄇㄛ-ㄌㄜ | theme=body | stage=3
 1735 | fang                           | 獠牙                             | 🦷        | chunks=['f', 'ang'] | py=ㄈㄚㄥ | theme=body | stage=2
 1736 | sole                           | 腳底                             | 🦶        | chunks=['s', 'ole'] | py=ㄙㄛㄦ | theme=body | stage=2 [有易混提示]
 1737 | knuckle                        | 指關節                            | 👊        | chunks=['knu', 'ckle'] | py=ㄋㄚ-ㄎㄜ | theme=body | stage=2
 1738 | fingertip                      | 指尖                             | ☝️       | chunks=['fin', 'ger', 'tip'] | py=ㄈㄧㄥ-ㄍㄜ-ㄊㄧㄆ | theme=body | stage=1
 1739 | biceps                         | 二頭肌                            | 💪        | chunks=['bi', 'ceps'] | py=ㄅㄞ-ㄙㄝㄆㄙ | theme=body | stage=3
 1740 | forearm                        | 前臂                             | 💪        | chunks=['fore', 'arm'] | py=ㄈㄛㄦ-ㄚㄦㄇ | theme=body | stage=2
 1741 | breastbone                     | 胸骨                             | 🦴        | chunks=['breast', 'bone'] | py=ㄅㄌㄝㄙㄊ-ㄅㄛㄣ | theme=body | stage=3
 1742 | collarbone                     | 鎖骨                             | 🦴        | chunks=['col', 'lar', 'bone'] | py=ㄎㄚ-ㄌㄜ-ㄅㄛㄣ | theme=body | stage=2
 1743 | ribcage                        | 胸廓                             | 🦴        | chunks=['rib', 'cage'] | py=ㄌㄧㄅ-ㄎㄝㄐ | theme=body | stage=3
 1744 | shoulderblade                  | 肩胛骨                            | 🦴        | chunks=['shoul', 'der', 'blade'] | py=ㄒㄛㄦ-ㄉㄜ-ㄅㄌㄝㄉ | theme=body | stage=3
 1745 | vertebra                       | 脊椎骨                            | 🦴        | chunks=['ver', 'te', 'bra'] | py=ㄈㄜ-ㄊㄜ-ㄅㄌㄚ | theme=body | stage=3
 1746 | intestine                      | 腸                              | 🫃        | chunks=['in', 'tes', 'tine'] | py=ㄧㄣ-ㄊㄝㄙ-ㄊㄣ | theme=body | stage=3
 1747 | gut                            | 腸子                             | 🫃        | chunks=['g', 'ut'] | py=ㄍㄚㄊ | theme=body | stage=2 [有易混提示]
 1748 | bladder                        | 膀胱                             | 💧        | chunks=['blad', 'der'] | py=ㄅㄌㄚ-ㄉㄜ | theme=body | stage=3
 1749 | tonsil                         | 扁桃腺                            | 👄        | chunks=['ton', 'sil'] | py=ㄊㄚㄣ-ㄙㄜ | theme=body | stage=3
 1750 | tendon                         | 肌腱                             | 🦴        | chunks=['ten', 'don'] | py=ㄊㄝㄣ-ㄉㄣ | theme=body | stage=3
 1751 | ligament                       | 韌帶                             | 🦴        | chunks=['li', 'ga', 'ment'] | py=ㄌㄧ-ㄍㄜ-ㄇㄣㄊ | theme=body | stage=3
 1752 | cartilage                      | 軟骨                             | 🦴        | chunks=['car', 'ti', 'lage'] | py=ㄎㄚㄦ-ㄊㄜ-ㄌㄧㄐ | theme=body | stage=3
 1753 | pulse                          | 脈搏                             | 💓        | chunks=['p', 'ulse'] | py=ㄆㄚㄦㄙ | theme=body | stage=2
 1754 | mind                           | 心智、頭腦、介意                       | 🧠        | chunks=['m', 'ind'] | py=ㄇㄞㄣㄉ | theme=body | stage=1 [有易混提示]
 1755 | abdomen                        | 腹部                             | 🤰        | chunks=['ab', 'do', 'men'] | py=ㄚㄅ-ㄉㄛ-ㄇㄣ | theme=body | stage=3
 1756 | anger                          | 憤怒                             | 😡        | chunks=['an', 'ger'] | py=ㄢ-ㄍㄜ | theme=emotions | stage=1
 1757 | sadness                        | 悲傷                             | 😢        | chunks=['sad', 'ness'] | py=ㄙㄚㄉ-ㄋㄝㄙ | theme=emotions | stage=1 base=sad
 1758 | happiness                      | 快樂                             | 😊        | chunks=['hap', 'pi', 'ness'] | py=ㄏㄚ-ㄆㄧ-ㄋㄝㄙ | theme=emotions | stage=1 base=happy
 1759 | emotion                        | 情緒                             | 💖        | chunks=['e', 'mo', 'tion'] | py=ㄧ-ㄇㄛ-ㄒㄣ | theme=emotions | stage=2
 1760 | feeling                        | 感覺                             | 💭        | chunks=['fee', 'ling'] | py=ㄈㄧ-ㄌㄧㄥ | theme=emotions | stage=0 base=feel [有易混提示]
 1761 | mood                           | 心情                             | 🎭        | chunks=['m', 'ood'] | py=ㄇㄨㄉ | theme=emotions | stage=1 [有易混提示]
 1762 | attitude                       | 態度                             | 🧐        | chunks=['at', 'ti', 'tude'] | py=ㄚ-ㄊㄜ-ㄊㄧㄨㄉ | theme=emotions | stage=2
 1763 | depressed                      | 憂鬱的                            | 😞        | chunks=['de', 'pressed'] | py=ㄉㄧ-ㄆㄌㄝㄙㄊ | theme=emotions | stage=2 base=depress
 1764 | anxious                        | 焦慮的                            | 😰        | chunks=['anx', 'ious'] | py=ㄚㄥㄎ-ㄒㄚㄙ | theme=emotions | stage=2 base=anxiety [有易混提示]
 1765 | anxiety                        | 焦慮                             | 😰        | chunks=['anx', 'i', 'e', 'ty'] | py=ㄚㄥ-ㄗㄞ-ㄧ-ㄊㄧ | theme=emotions | stage=3
 1766 | stress                         | 壓力                             | 😫        | chunks=['str', 'ess'] | py=ㄙㄉㄌㄝㄙ | theme=emotions | stage=1 [有易混提示]
 1767 | stressed                       | 壓力大                            | 😫        | chunks=['str', 'essed'] | py=ㄙㄉㄌㄝㄙㄊ | theme=emotions | stage=1 base=stress
 1768 | peaceful                       | 平靜的                            | 🕊️       | chunks=['peace', 'ful'] | py=ㄆㄧㄙ-ㄈㄜ | theme=emotions | stage=2 base=peace
 1769 | content                        | 滿足、內容                          | 😌        | chunks=['con', 'tent'] | py=ㄎㄢ-ㄊㄣㄊ | theme=emotions | stage=2 [有易混提示]
 1770 | confident                      | 有信心                            | 😎        | chunks=['con', 'fi', 'dent'] | py=ㄎㄢ-ㄈㄜ-ㄉㄣㄊ | theme=emotions | stage=2
 1771 | insecure                       | 沒安全感                           | 😟        | chunks=['in', 'se', 'cure'] | py=ㄧㄣ-ㄒㄧ-ㄎㄧㄜ | theme=emotions | stage=3
 1772 | ashamed                        | 羞愧的                            | 😳        | chunks=['a', 'shamed'] | py=ㄚ-ㄒㄟㄇㄉ | theme=emotions | stage=2 base=shame
 1773 | guilt                          | 罪惡感                            | 😔        | chunks=['g', 'uilt'] | py=ㄍㄧㄦㄊ | theme=emotions | stage=2 base=guilty [有易混提示]
 1774 | guilty                         | 愧疚的                            | 😔        | chunks=['guil', 'ty'] | py=ㄍㄧㄦ-ㄊㄧ | theme=emotions | stage=2 base=guilt
 1775 | regret                         | 後悔                             | 😞        | chunks=['re', 'gret'] | py=ㄌㄧ-ㄍㄌㄝㄊ | theme=emotions | stage=2
 1776 | sorry                          | 抱歉                             | 🙏        | chunks=['sor', 'ry'] | py=ㄙㄛ-ㄌㄧ | theme=emotions | stage=0 [有易混提示]
 1777 | pity                           | 憐憫                             | 😢        | chunks=['pi', 'ty'] | py=ㄆㄧ-ㄊㄧ | theme=emotions | stage=2 [有易混提示]
 1778 | sympathy                       | 同情                             | 💞        | chunks=['sym', 'pa', 'thy'] | py=ㄒㄧㄇ-ㄆㄜ-ㄒㄧ | theme=emotions | stage=2
 1779 | empathy                        | 同理心                            | 💞        | chunks=['em', 'pa', 'thy'] | py=ㄝㄇ-ㄆㄜ-ㄒㄧ | theme=emotions | stage=2
 1780 | compassion                     | 同情心                            | 💕        | chunks=['com', 'pas', 'sion'] | py=ㄎㄚㄇ-ㄆㄚ-ㄒㄣ | theme=emotions | stage=2
 1781 | envy                           | 羨慕                             | 😒        | chunks=['en', 'vy'] | py=ㄝㄣ-ㄈㄧ | theme=emotions | stage=2 [有易混提示]
 1782 | hatred                         | 仇恨                             | 😠        | chunks=['ha', 'tred'] | py=ㄏㄟ-ㄊㄌㄝㄉ | theme=emotions | stage=2
 1783 | rage                           | 狂怒                             | 😡        | chunks=['r', 'age'] | py=ㄌㄟㄐ | theme=emotions | stage=2
 1784 | furious                        | 暴怒                             | 😡        | chunks=['fu', 'ri', 'ous'] | py=ㄈㄧㄨ-ㄌㄧ-ㄚㄙ | theme=emotions | stage=3
 1785 | frustrated                     | 挫敗的                            | 😤        | chunks=['frus', 'tra', 'ted'] | py=ㄈㄌㄚㄙ-ㄊㄌㄟ-ㄉㄜ | theme=emotions | stage=2 base=frustrate
 1786 | disappointed                   | 失望的                            | 😞        | chunks=['dis', 'ap', 'poin', 'ted'] | py=ㄉㄧㄙ-ㄚ-ㄆㄛㄧㄣ-ㄉㄜ | theme=emotions | stage=2 base=disappoint
 1787 | delighted                      | 開心的                            | 😊        | chunks=['de', 'ligh', 'ted'] | py=ㄉㄧ-ㄌㄞ-ㄉㄜ | theme=emotions | stage=2 base=delight
 1788 | thrilled                       | 興奮的                            | 🤩        | chunks=['thr', 'illed'] | py=ㄙㄌㄧㄦㄉ | theme=emotions | stage=2 base=thrill
 1789 | miserable                      | 悲慘的                            | 😖        | chunks=['mis', 'er', 'a', 'ble'] | py=ㄇㄧ-ㄗㄜ-ㄜ-ㄅㄜ | theme=emotions | stage=2 base=miser
 1790 | gloomy                         | 陰鬱的                            | ☁️       | chunks=['gloo', 'my'] | py=ㄍㄌㄨ-ㄇㄧ | theme=emotions | stage=2 base=gloom
 1791 | heartbroken                    | 心碎的                            | 💔        | chunks=['heart', 'bro', 'ken'] | py=ㄏㄚㄦㄊ-ㄅㄌㄛ-ㄎㄣ | theme=emotions | stage=2
 1792 | nostalgic                      | 懷舊的                            | 😌        | chunks=['nos', 'tal', 'gic'] | py=ㄋㄚㄙ-ㄊㄚㄦ-ㄐㄧㄎ | theme=emotions | stage=3
 1793 | curious                        | 好奇的                            | 🧐        | chunks=['cu', 'ri', 'ous'] | py=ㄎㄧㄨ-ㄌㄧ-ㄚㄙ | theme=emotions | stage=1
 1794 | eager                          | 渴望的、急切的                        | 🤩        | chunks=['ea', 'ger'] | py=ㄧ-ㄍㄜ | theme=emotions | stage=2
 1795 | enthusiastic                   | 熱情的                            | 🤩        | chunks=['en', 'thu', 'si', 'as', 'tic'] | py=ㄧㄣ-ㄙㄧㄨ-ㄗㄧ-ㄚㄙ-ㄊㄧㄎ | theme=emotions | stage=3
 1796 | passionate                     | 熱情的                            | ❤️‍🔥     | chunks=['pas', 'sion', 'ate'] | py=ㄆㄚ-ㄒㄣ-ㄝㄊ | theme=emotions | stage=3 base=passion
 1797 | moved                          | 感動的                            | 🥹        | chunks=['m', 'oved'] | py=ㄇㄨㄈㄉ | theme=emotions | stage=2 base=move [有易混提示]
 1798 | pick                           | 挑選                             | 👉        | chunks=['p', 'ick'] | py=ㄆㄧㄎ | theme=actions | stage=0 [有易混提示]
 1799 | choose                         | 選擇                             | ✅        | chunks=['ch', 'oose'] | py=ㄑㄨㄗ | theme=actions | stage=1
 1800 | decide                         | 決定                             | 🎯        | chunks=['de', 'cide'] | py=ㄉㄧ-ㄙㄞㄉ | theme=actions | stage=1
 1801 | agree                          | 同意                             | 🤝        | chunks=['a', 'gree'] | py=ㄚ-ㄍㄌㄧ | theme=actions | stage=1 [有易混提示]
 1802 | accept                         | 接受                             | ✅        | chunks=['ac', 'cept'] | py=ㄚㄎ-ㄙㄝㄆㄊ | theme=actions | stage=1 [有易混提示]
 1803 | reject                         | 拒絕                             | ❌        | chunks=['re', 'ject'] | py=ㄌㄧ-ㄐㄝㄎㄊ | theme=actions | stage=2
 1804 | prefer                         | 偏好                             | ❤️       | chunks=['pre', 'fer'] | py=ㄆㄌㄧ-ㄈㄜ | theme=actions | stage=2 [有易混提示]
 1805 | suggest                        | 建議                             | 💡        | chunks=['sug', 'gest'] | py=ㄙㄚㄐ-ㄐㄝㄙㄊ | theme=actions | stage=2
 1806 | expect                         | 期待                             | 🤞        | chunks=['ex', 'pect'] | py=ㄧㄎ-ㄙㄆㄝㄎㄊ | theme=actions | stage=1 [有易混提示]
 1807 | deserve                        | 應得                             | 🏆        | chunks=['de', 'serve'] | py=ㄉㄧ-ㄗㄜㄈ | theme=actions | stage=2
 1808 | send                           | 送出                             | 📨        | chunks=['s', 'end'] | py=ㄙㄣㄉ | theme=actions | stage=0 [有易混提示]
 1809 | receive                        | 收到                             | 📥        | chunks=['re', 'ceive'] | py=ㄌㄧ-ㄒㄧㄈ | theme=actions | stage=1
 1810 | share                          | 分享                             | 🤝        | chunks=['sh', 'are'] | py=ㄒㄝㄜ | theme=actions | stage=1 [有易混提示]
 1811 | borrow                         | 借入                             | 🤲        | chunks=['bor', 'row'] | py=ㄅㄚ-ㄌㄛ | theme=actions | stage=1 [有易混提示]
 1812 | earn                           | 賺取                             | 💰        | chunks=['e', 'arn'] | py=ㄜㄣ | theme=actions | stage=1 [有易混提示]
 1813 | waste                          | 浪費                             | 🗑️       | chunks=['w', 'aste'] | py=ㄨㄝㄙㄊ | theme=actions | stage=1 [有易混提示]
 1814 | smart                          | 聰明的                            | 🧠        | chunks=['sm', 'art'] | py=ㄙㄇㄚㄦㄊ | theme=adjectives | stage=1
 1815 | dumb                           | 笨的                             | 😵        | chunks=['d', 'umb'] | py=ㄉㄚㄇ | theme=adjectives | stage=1 [有易混提示]
 1816 | brilliant                      | 傑出的                            | 💡        | chunks=['bril', 'liant'] | py=ㄅㄌㄧ-ㄌㄧㄣㄊ | theme=adjectives | stage=2 [有易混提示]
 1817 | stupid                         | 愚蠢的                            | 🤪        | chunks=['stu', 'pid'] | py=ㄙㄉㄨ-ㄆㄜㄉ | theme=adjectives | stage=1
 1818 | clever                         | 靈巧的、聰明的                        | 🧠        | chunks=['cle', 'ver'] | py=ㄎㄌㄝ-ㄈㄜ | theme=adjectives | stage=1 [有易混提示]
 1819 | wise                           | 明智的                            | 🦉        | chunks=['w', 'ise'] | py=ㄨㄞㄗ | theme=adjectives | stage=2
 1820 | foolish                        | 愚蠢的、傻的                         | 🤡        | chunks=['fool', 'ish'] | py=ㄈㄨ-ㄌㄧㄒ | theme=adjectives | stage=2 base=fool
 1821 | intelligent                    | 聰明的                            | 🧠        | chunks=['in', 'tel', 'li', 'gent'] | py=ㄧㄣ-ㄊㄝ-ㄌㄜ-ㄐㄣㄊ | theme=adjectives | stage=2
 1822 | simple                         | 簡單                             | ➖        | chunks=['sim', 'ple'] | py=ㄒㄧㄇ-ㄆㄜ | theme=adjectives | stage=1
 1823 | complex                        | 複雜的                            | 🌀        | chunks=['com', 'plex'] | py=ㄎㄚㄇ-ㄆㄌㄝㄎㄙ | theme=adjectives | stage=2 [有易混提示]
 1824 | complicated                    | 複雜的                            | 🌀        | chunks=['com', 'pli', 'ca', 'ted'] | py=ㄎㄚㄇ-ㄆㄌㄜ-ㄎㄟ-ㄉㄜ | theme=adjectives | stage=2
 1825 | modern                         | 現代的                            | 🌆        | chunks=['mo', 'dern'] | py=ㄇㄚ-ㄉㄣ | theme=adjectives | stage=1
 1826 | ancient                        | 古老的                            | 🏛️       | chunks=['an', 'cient'] | py=ㄟㄣ-ㄒㄣㄊ | theme=adjectives | stage=2
 1827 | traditional                    | 傳統的                            | 🏯        | chunks=['tra', 'di', 'tion', 'al'] | py=ㄊㄌㄚ-ㄉㄧ-ㄒㄣ-ㄦ | theme=adjectives | stage=2 base=tradition
 1828 | common                         | 常見的                            | 📊        | chunks=['com', 'mon'] | py=ㄎㄚ-ㄇㄣ | theme=adjectives | stage=1 [有易混提示]
 1829 | rare                           | 罕見的                            | 💎        | chunks=['r', 'are'] | py=ㄌㄝㄜ | theme=adjectives | stage=1 [有易混提示]
 1830 | unique                         | 獨特的                            | ⭐        | chunks=['u', 'nique'] | py=ㄧㄨ-ㄋㄧㄎ | theme=adjectives | stage=2
 1831 | normal                         | 正常的                            | 👌        | chunks=['nor', 'mal'] | py=ㄋㄛㄦ-ㄇㄜ | theme=adjectives | stage=1 base=norm
 1832 | weird                          | 奇怪的                            | 👽        | chunks=['w', 'eird'] | py=ㄨㄧㄦㄉ | theme=adjectives | stage=1
 1833 | strange                        | 奇怪的                            | ❓        | chunks=['str', 'ange'] | py=ㄙㄉㄌㄟㄣㄐ | theme=adjectives | stage=1 [有易混提示]
 1834 | ordinary                       | 普通的                            | 📋        | chunks=['or', 'di', 'na', 'ry'] | py=ㄛㄦ-ㄉㄜ-ㄋㄜ-ㄌㄧ | theme=adjectives | stage=2
 1835 | perfect                        | 完美的                            | 💯        | chunks=['per', 'fect'] | py=ㄆㄜ-ㄈㄝㄎㄊ | theme=adjectives | stage=1 [有易混提示]
 1836 | broken                         | 壞掉                             | 💔        | chunks=['bro', 'ken'] | py=ㄅㄌㄛ-ㄎㄣ | theme=adjectives | stage=1 base=break [有易混提示]
 1837 | sharp                          | 鋒利的                            | 🔪        | chunks=['sh', 'arp'] | py=ㄒㄚㄦㄆ | theme=adjectives | stage=1 [有易混提示]
 1838 | dull                           | 鈍的、無聊的                         | 😐        | chunks=['d', 'ull'] | py=ㄉㄚㄦ | theme=adjectives | stage=2 [有易混提示]
 1839 | smooth                         | 光滑的                            | 🟢        | chunks=['sm', 'ooth'] | py=ㄙㄇㄨㄙ | theme=adjectives | stage=1
 1840 | rough                          | 粗糙的                            | 🪨        | chunks=['r', 'ough'] | py=ㄌㄚㄈ | theme=adjectives | stage=1
 1841 | slippery                       | 滑的                             | 💧        | chunks=['slip', 'pe', 'ry'] | py=ㄙㄌㄧ-ㄆㄜ-ㄌㄧ | theme=adjectives | stage=2
 1842 | juicy                          | 多汁的                            | 🍊        | chunks=['jui', 'cy'] | py=ㄐㄨ-ㄒㄧ | theme=adjectives | stage=1 base=juice
 1843 | crispy                         | 酥脆的                            | 🥖        | chunks=['cris', 'py'] | py=ㄎㄌㄧㄙ-ㄆㄧ | theme=adjectives | stage=1 base=crisp
 1844 | tough                          | 堅韌的                            | 💪        | chunks=['t', 'ough'] | py=ㄊㄚㄈ | theme=adjectives | stage=2 [有易混提示]
 1845 | chopstick                      | 筷子                             | 🥢        | chunks=['chop', 'stick'] | py=ㄑㄚㄆ-ㄙㄉㄧㄎ | theme=kitchen-utensils | stage=0
 1846 | bottle                         | 瓶子                             | 🍼        | chunks=['bot', 'tle'] | py=ㄅㄚ-ㄉㄜ | theme=kitchen-utensils | stage=0
 1847 | bucket                         | 水桶                             | 🪣        | chunks=['buc', 'ket'] | py=ㄅㄚ-ㄎㄝㄊ | theme=kitchen-utensils | stage=1
 1848 | lid                            | 蓋子                             | 🥘        | chunks=['l', 'id'] | py=ㄌㄧㄉ | theme=kitchen-utensils | stage=1 [有易混提示]
 1849 | peeler                         | 削皮刀                            | 🔪        | chunks=['pee', 'ler'] | py=ㄆㄧ-ㄌㄜ | theme=kitchen-utensils | stage=2 base=peel
 1850 | grater                         | 刨絲器                            | 🧀        | chunks=['gra', 'ter'] | py=ㄍㄌㄝ-ㄊㄜ | theme=kitchen-utensils | stage=2
 1851 | opener                         | 開瓶器                            | 🍾        | chunks=['o', 'pe', 'ner'] | py=ㄛ-ㄆㄜ-ㄋㄜ | theme=kitchen-utensils | stage=1 base=open
 1852 | corkscrew                      | 開酒器                            | 🍷        | chunks=['cork', 'screw'] | py=ㄎㄛㄦ-ㄙㄎㄌㄨ | theme=kitchen-utensils | stage=2
 1853 | ladle                          | 湯勺                             | 🥄        | chunks=['la', 'dle'] | py=ㄌㄟ-ㄉㄜ | theme=kitchen-utensils | stage=2
 1854 | spatula                        | 鍋鏟                             | 🍳        | chunks=['spat', 'u', 'la'] | py=ㄙㄆㄚ-ㄑㄨ-ㄌㄚ | theme=kitchen-utensils | stage=2
 1855 | whisk                          | 打蛋器                            | 🥚        | chunks=['wh', 'isk'] | py=ㄨㄧㄙㄎ | theme=kitchen-utensils | stage=2
 1856 | tongs                          | 夾子                             | 🍴        | chunks=['t', 'ongs'] | py=ㄊㄚㄣㄗ | theme=kitchen-utensils | stage=2
 1857 | strainer                       | 濾網                             | 🥣        | chunks=['strai', 'ner'] | py=ㄙㄉㄌㄟ-ㄋㄜ | theme=kitchen-utensils | stage=2 base=strain
 1858 | colander                       | 濾盆                             | 🥣        | chunks=['co', 'lan', 'der'] | py=ㄎㄚ-ㄌㄣ-ㄉㄜ | theme=kitchen-utensils | stage=3
