# 字 7000-7499
 7000 | sexual                         | 性的                             | 🎨        | chunks=['se', 'xual'] | py=ㄙㄜ-ㄎㄙㄚㄚㄌ | theme=adjectives | stage=2 base=sex
 7165 | beak                           | 鳥嘴                             | 🐾        | chunks=['b', 'eak'] | py=ㄅㄧ-ㄧㄎ | theme=animals | stage=3 [有易混提示]
 7166 | behavior                       | 行為，舉止                          | 🏃        | chunks=['be', 'ha', 'vior'] | py=ㄅㄧ-ㄏㄜ-ㄨㄧㄛㄜ | theme=actions | stage=3
 7167 | blade                          | 刀身，劍身                          | 🍴        | chunks=['bla', 'de'] | py=ㄅㄌㄟ-ㄉㄧ | theme=kitchen-utensils | stage=3 [有易混提示]
 7168 | blend                          | 使混和，使混雜                        | 🏃        | chunks=['bl', 'end'] | py=ㄅㄌ-ㄝㄣㄉ | theme=actions | stage=3 [有易混提示]
 7169 | blessing                       | 賜福                             | 🏃        | chunks=['bles', 'sing'] | py=ㄅㄌㄝㄙ-ㄒㄧㄥ | theme=actions | stage=3
 7170 | blink                          | 眨眼睛                            | 🦵        | chunks=['bl', 'ink'] | py=ㄅㄌ-ㄧㄋㄎ | theme=body | stage=3 [有易混提示]
 7171 | blossom                        | 花                              | 🌳        | chunks=['blos', 'som'] | py=ㄅㄌㄛㄙ-ㄙㄚ | theme=nature | stage=3
 7172 | boast                          | 自吹自擂                           | 🏃        | chunks=['b', 'oast'] | py=ㄅㄧ-ㄛㄙㄊ | theme=actions | stage=3 [有易混提示]
 7173 | bounce                         | 彈起，彈回                          | 🏃        | chunks=['boun', 'ce'] | py=ㄅㄠㄋ-ㄙㄜ | theme=actions | stage=3 [有易混提示]
 7174 | bracelet                       | 手鐲                             | 💍        | chunks=['bra', 'ce', 'let'] | py=ㄅㄌㄚ-ㄙㄜ-ㄌㄝㄊ | theme=actions | stage=3
 7175 | brassiere                      | 胸罩                             | 🏃        | chunks=['bras', 'sie', 're'] | py=ㄅㄖㄚㄙ-ㄙㄞ-ㄌㄧ | theme=actions | stage=4
 7176 | breed                          | 產，孵                            | 🏃        | chunks=['br', 'eed'] | py=ㄅㄖ-ㄧㄉ | theme=actions | stage=3 [有易混提示]
 7177 | bridegroom                     | 新郎                             | 🏃        | chunks=['bri', 'deg', 'room'] | py=ㄅㄖㄧ-ㄉㄝㄍ-ㄌㄨㄣ | theme=actions | stage=3
 7178 | broil                          | 烤，炙                            | 🍎        | chunks=['br', 'oil'] | py=ㄅㄖ-ㄛㄧㄦ | theme=food | stage=3 [有易混提示]
 7179 | brutal                         | 殘忍的，冷酷的                        | 🎨        | chunks=['bru', 'tal'] | py=ㄅㄌㄨ-ㄉㄜ | theme=adjectives | stage=3
 7180 | calculate                      | 計算                             | 🏃        | chunks=['cal', 'cu', 'la', 'te'] | py=ㄎㄚㄦ-ㄎㄧㄨ-ㄌㄟㄊ | theme=actions | stage=3
 7181 | calculation                    | 計算                             | 🎓        | chunks=['cal', 'cu', 'la', 'tion'] | py=ㄎㄜ-ㄎㄧㄨ-ㄌㄚ-ㄒㄣ | theme=academic-words | stage=3
 7182 | calculator                     | 計算者                            | 👨‍⚕️     | chunks=['cal', 'cu', 'la', 'tor'] | py=ㄎㄚㄦ-ㄎㄧㄨ-ㄌㄟ-ㄊㄜ | theme=jobs | stage=3 base=calculate
 7183 | capitalist                     | 資本家                            | 👨‍⚕️     | chunks=['ca', 'pi', 'ta', 'list'] | py=ㄎㄚ-ㄆㄜ-ㄊㄜ-ㄌㄜㄙㄊ | theme=jobs | stage=3
 7184 | career                         | 職業                             | 🏃        | chunks=['ca', 'reer'] | py=ㄎㄚ-ㄖㄧㄖ | theme=actions | stage=3
 7185 | cargo                          | 貨物                             | 🏃        | chunks=['car', 'go'] | py=ㄎㄚㄦ-ㄍㄛ | theme=actions | stage=3 [有易混提示]
 7186 | carrier                        | 運送人                            | 👨‍⚕️     | chunks=['car', 'rier'] | py=ㄎㄚㄦ-ㄖㄞㄖ | theme=jobs | stage=3 base=carry
 7187 | carve                          | 刻，雕刻                           | 🎨        | chunks=['car', 've'] | py=ㄎㄚㄦ-ㄈㄜ | theme=art | stage=3 [有易混提示]
 7188 | catalogue                      | 目錄                             | 🏃        | chunks=['ca', 'ta', 'lo', 'gue'] | py=ㄎㄚ-ㄊㄝ-ㄌㄛ-ㄍㄝ | theme=actions | stage=3
 7189 | chamber                        | 房間                             | 🏃        | chunks=['cham', 'ber'] | py=ㄑㄟㄇ-ㄅㄜ | theme=actions | stage=3 [有易混提示]
 7190 | characteristic                 | 特性、特有的                         | 🎨        | chunks=['cha', 'rac', 'te', 'ris', 'tic'] | py=ㄎㄚ-ㄌㄜ-ㄊㄜ-ㄌㄧㄙ-ㄊㄧㄎ | theme=adjectives | stage=3
 7191 | charity                        | 慈悲                             | 🎓        | chunks=['cha', 'ri', 'ty'] | py=ㄑㄚ-ㄌㄜ-ㄊㄧ | theme=academic-words | stage=3
 7192 | chirp                          | 發啁啾聲                           | 🏃        | chunks=['ch', 'irp'] | py=ㄔ-ㄜㄆ | theme=actions | stage=3
 7193 | chore                          | 家庭雜務                           | 👨‍👩‍👧    | chunks=['cho', 're'] | py=ㄑㄛㄦ | theme=family | stage=3 [有易混提示]
 7194 | cigar                          | 雪茄                             | 🚬        | chunks=['ci', 'gar'] | py=ㄙㄜ-ㄍㄚㄦ | theme=weather | stage=3
 7195 | circular                       | 圓形的                            | ⬜        | chunks=['cir', 'cu', 'lar'] | py=ㄙㄜ-ㄎㄧㄨ-ㄌㄜ | theme=shapes | stage=3
 7196 | circulate                      | 循環                             | 🏃        | chunks=['cir', 'cu', 'la', 'te'] | py=ㄙㄜ-ㄎㄧㄨ-ㄌㄟㄊ | theme=actions | stage=3
 7197 | civilian                       | 平民，百姓                          | 👤        | chunks=['ci', 'vi', 'lian'] | py=ㄙㄜ-ㄈㄞ-ㄌㄧㄚㄋ | theme=numbers | stage=3
 7198 | civilization                   | 教化                             | 🎓        | chunks=['ci', 'vi', 'li', 'za', 'tion'] | py=ㄙㄜ-ㄈㄞ-ㄌㄧ-ㄗㄝ-ㄒㄣ | theme=academic-words | stage=3 base=civilize
 7199 | clash                          | 砰地相碰撞                          | 🏃        | chunks=['cl', 'ash'] | py=ㄎㄌ-ㄚㄒ | theme=actions | stage=3 [有易混提示]
 7200 | classification                 | 分類                             | 🌍        | chunks=['clas', 'si', 'fi', 'ca', 'tion'] | py=ㄎㄌㄚ-ㄙㄜ-ㄈㄜ-ㄎㄟ-ㄒㄣ | theme=environment | stage=3
 7201 | classify                       | 將…分類                           | 🌍        | chunks=['clas', 'si', 'fy'] | py=ㄎㄌㄚ-ㄗㄜ-ㄈㄞ | theme=environment | stage=3
 7202 | coarse                         | 粗糙的                            | 🎨        | chunks=['coar', 'se'] | py=ㄎㄛㄖ-ㄙㄜ | theme=adjectives | stage=3 [有易混提示]
 7203 | combination                    | 結合                             | 🎓        | chunks=['com', 'bi', 'na', 'tion'] | py=ㄎㄚㄇ-ㄅㄜ-ㄋㄟ-ㄒㄣ | theme=academic-words | stage=3 base=combine
 7204 | commander                      | 指揮官，司令官                        | 👨‍⚕️     | chunks=['com', 'man', 'der'] | py=ㄎㄚㄇ-ㄇㄢ-ㄉㄜ | theme=jobs | stage=3 base=command
 7205 | commerce                       | 商業，貿易                          | 💼        | chunks=['com', 'mer', 'ce'] | py=ㄎㄚㄇ-ㄇㄜ-ㄙㄜ | theme=business | stage=3
 7206 | competitive                    | 競爭的                            | 🎨        | chunks=['com', 'pe', 'ti', 'ti', 've'] | py=ㄎㄚㄇ-ㄆㄜ-ㄊㄜ-ㄊㄜ-ㄈㄜ | theme=adjectives | stage=3
 7207 | complicate                     | 使複雜化                           | 🏃        | chunks=['com', 'pli', 'ca', 'te'] | py=ㄎㄚㄇ-ㄆㄌㄜ-ㄎㄚ-ㄊㄧ | theme=actions | stage=3
 7208 | compose                        | 作曲、組成                          | 🏃        | chunks=['com', 'po', 'se'] | py=ㄎㄜㄇ-ㄆㄛㄗ | theme=actions | stage=3 [有易混提示]
 7209 | composition                    | 寫作                             | 🎓        | chunks=['com', 'po', 'si', 'tion'] | py=ㄎㄚㄇ-ㄆㄜ-ㄗㄧ-ㄒㄣ | theme=academic-words | stage=3 base=compose
 7210 | concentration                  | 集中                             | 🎓        | chunks=['con', 'cen', 'tra', 'tion'] | py=ㄎㄚㄣ-ㄙㄣ-ㄊㄌㄟ-ㄒㄣ | theme=academic-words | stage=3
 7211 | conference                     | 會議                             | 🏢        | chunks=['con', 'fe', 'ren', 'ce'] | py=ㄎㄚㄣ-ㄈㄜ-ㄌㄜㄣㄙ | theme=office | stage=3
 7212 | confess                        | 坦白、承認                          | 🏃        | chunks=['con', 'fess'] | py=ㄎㄜㄣ-ㄈㄝㄙ | theme=actions | stage=3 [有易混提示]
 7213 | confidence                     | 自信，信心                          | 🎓        | chunks=['con', 'fi', 'den', 'ce'] | py=ㄎㄚㄣ-ㄈㄜ-ㄉㄣㄙ | theme=academic-words | stage=3
 7214 | confusion                      | 混亂                             | 🎓        | chunks=['con', 'fu', 'sion'] | py=ㄎㄜㄣ-ㄈㄧㄨ-ㄓㄣ | theme=academic-words | stage=3
 7215 | congratulate                   | 祝賀                             | 🏃        | chunks=['con', 'gra', 'tu', 'la', 'te'] | py=ㄎㄚㄣ-ㄍㄌㄝ-ㄑㄨ-ㄌㄚ-ㄊㄧ | theme=actions | stage=3
 7216 | conjunction                    | 連接詞                            | 🎓        | chunks=['con', 'jun', 'ction'] | py=ㄎㄚㄣ-ㄐㄚㄥ-ㄎㄒㄣ | theme=academic-words | stage=3
 7217 | conscience                     | 良心                             | 🎓        | chunks=['con', 'scien', 'ce'] | py=ㄎㄚㄣ-ㄙㄎㄞㄋ-ㄙㄜ | theme=academic-words | stage=3
 7218 | consequence                    | 結果，後果                          | ➡️       | chunks=['con', 'se', 'quen', 'ce'] | py=ㄎㄚㄣ-ㄙㄜ-ㄎㄨㄝㄋ-ㄙㄜ | theme=directions | stage=3
 7219 | consistent                     | 始終如一的、前後一致的                    | 🎯        | chunks=['con', 'sis', 'tent'] | py=ㄎㄚㄣ-ㄒㄜㄙ-ㄊㄣㄊ | theme=numbers | stage=3
 7220 | consonant                      | 子音                             | 🎨        | chunks=['con', 'so', 'nant'] | py=ㄎㄚㄣ-ㄙㄛ-ㄋㄣㄊ | theme=adjectives | stage=3
 7221 | construction                   | 建造，建設                          | 🎓        | chunks=['cons', 'truc', 'tion'] | py=ㄎㄜㄣ-ㄙㄊㄖㄚㄎ-ㄒㄣ | theme=academic-words | stage=3
 7222 | constructive                   | 建設性的                           | 🎨        | chunks=['cons', 'truc', 'ti', 've'] | py=ㄎㄛㄋㄙ-ㄊㄖㄚㄎ-ㄊㄜ-ㄈㄜ | theme=adjectives | stage=3 base=construct
 7223 | container                      | 容器                             | 🔨        | chunks=['con', 'tai', 'ner'] | py=ㄎㄚㄣ-ㄊㄞ-ㄋㄜ | theme=tools | stage=3 base=contain
 7224 | contentment                    | 滿足，知足                          | 😊        | chunks=['con', 'ten', 'tment'] | py=ㄎㄚㄣ-ㄊㄣ-ㄊㄇㄣㄊ | theme=emotions | stage=3 base=content
 7225 | continual                      | 不間斷的，連續的                       | 🎨        | chunks=['con', 'ti', 'nual'] | py=ㄎㄜㄣ-ㄊㄧ-ㄋㄩ-ㄜ | theme=adjectives | stage=3 base=continue [有易混提示]
 7226 | continuous                     | 連續的，不斷的                        | 🎨        | chunks=['con', 'ti', 'nuous'] | py=ㄎㄜㄣ-ㄊㄧ-ㄋㄩ-ㄜㄙ | theme=adjectives | stage=3 base=continue [有易混提示]
 7227 | contribution                   | 貢獻                             | 🎓        | chunks=['con', 'tri', 'bu', 'tion'] | py=ㄎㄚㄣ-ㄊㄌㄜ-ㄅㄧㄨ-ㄒㄣ | theme=academic-words | stage=3
 7228 | convenience                    | 方便                             | 🎓        | chunks=['con', 've', 'nien', 'ce'] | py=ㄎㄜㄣ-ㄈㄧ-ㄋㄧㄣㄙ | theme=academic-words | stage=3
 7229 | conventional                   | 會議的                            | 🏢        | chunks=['con', 'ven', 'tio', 'nal'] | py=ㄎㄚㄣ-ㄈㄣ-ㄒㄛ-ㄋㄦ | theme=office | stage=3 base=convention
 7230 | convey                         | 運送                             | 🏃        | chunks=['con', 'vey'] | py=ㄎㄚㄣ-ㄈㄟ | theme=actions | stage=3 [有易混提示]
 7231 | convince                       | 使信服                            | 🏃        | chunks=['con', 'vin', 'ce'] | py=ㄎㄚㄣ-ㄈㄧ-ㄙㄜ | theme=actions | stage=3
 7232 | cooperation                    | 合作，協力                          | 🎓        | chunks=['coo', 'pe', 'ra', 'tion'] | py=ㄎㄨ-ㄆㄜ-ㄌㄚ-ㄒㄣ | theme=academic-words | stage=3
 7233 | cooperative                    | 合作的                            | 🎨        | chunks=['coo', 'pe', 'ra', 'ti', 've'] | py=ㄎㄨ-ㄆㄜ-ㄌㄚ-ㄊㄜ-ㄈㄜ | theme=adjectives | stage=3 base=cooperate
 7234 | cope                           | 對付，妥善處理                        | 🏃        | chunks=['co', 'pe'] | py=ㄎㄛ-ㄆㄜ | theme=actions | stage=3 [有易混提示]
 7235 | cord                           | 細繩，粗線                          | 🔨        | chunks=['c', 'ord'] | py=ㄒㄧ-ㄎㄜㄉ | theme=tools | stage=3 [有易混提示]
 7236 | cork                           | 軟木                             | 🏃        | chunks=['c', 'ork'] | py=ㄒㄧ-ㄛㄜㄎ | theme=actions | stage=3 [有易混提示]
 7237 | cottage                        | 農舍，小屋                          | 🏃        | chunks=['cot', 'ta', 'ge'] | py=ㄎㄚ-ㄊㄝ-ㄐㄧ | theme=actions | stage=3
 7238 | council                        | 會議                             | 🏢        | chunks=['coun', 'cil'] | py=ㄎㄠㄣ-ㄙㄜ | theme=office | stage=3 [有易混提示]
 7239 | courageous                     | 英勇的，勇敢的                        | 🤔        | chunks=['cou', 'ra', 'geous'] | py=ㄎㄚ-ㄌㄚ-ㄐㄚㄙ | theme=personality | stage=3 base=courage
 7240 | courteous                      | 殷勤的，謙恭的                        | 🎨        | chunks=['cour', 'teous'] | py=ㄎㄠㄖ-ㄊㄝㄜㄙ | theme=adjectives | stage=3
 7241 | courtesy                       | 禮貌                             | 🏃        | chunks=['cour', 'te', 'sy'] | py=ㄎㄠㄖ-ㄊㄧ-ㄗㄧ | theme=actions | stage=3
 7242 | crack                          | 爆裂、裂縫                          | 🏃        | chunks=['cr', 'ack'] | py=ㄎㄖ-ㄚ | theme=actions | stage=3 [有易混提示]
 7243 | craft                          | 工藝，手藝                          | 🏃        | chunks=['cr', 'aft'] | py=ㄎㄖ-ㄚㄈㄊ | theme=actions | stage=3 [有易混提示]
 7244 | cram                           | 把…塞進                           | 🏃        | chunks=['cr', 'am'] | py=ㄎㄖ-ㄚㄇ | theme=actions | stage=3
 7245 | creation                       | 創造                             | 🎓        | chunks=['crea', 'tion'] | py=ㄎㄖㄧ-ㄒㄣ | theme=academic-words | stage=3 base=create
 7246 | creativity                     | 創造力                            | 🎓        | chunks=['crea', 'ti', 'vi', 'ty'] | py=ㄎㄖㄧ-ㄊㄜ-ㄈㄞ-ㄊㄧ | theme=academic-words | stage=3
 7247 | cripple                        | 跛子                             | 🏃        | chunks=['crip', 'ple'] | py=ㄎㄖㄧㄆ-ㄆㄜ | theme=actions | stage=3
 7248 | criticism                      | 批評                             | 🎓        | chunks=['cri', 'ti', 'cism'] | py=ㄎㄌㄞ-ㄊㄜ-ㄒㄧㄗㄣ | theme=academic-words | stage=3
 7249 | criticize                      | 批評                             | 🏃        | chunks=['cri', 'ti', 'ci', 'ze'] | py=ㄎㄌㄞ-ㄊㄜ-ㄙㄜ-ㄗㄧ | theme=actions | stage=3 base=critic
 7250 | cruelty                        | 殘酷，殘忍                          | 🏃        | chunks=['cruel', 'ty'] | py=ㄎㄖㄩㄌ-ㄊㄧ | theme=actions | stage=3 base=cruel
 7251 | cue                            | 提示                             | 🏃        | chunks=['c', 'ue'] | py=ㄒㄧ-ㄑㄨ | theme=actions | stage=3 [有易混提示]
 7252 | cunning                        | 狡猾的，奸詐的                        | 🎨        | chunks=['cun', 'ning'] | py=ㄎㄚㄋ-ㄋㄧㄥ | theme=adjectives | stage=3
 7253 | curiosity                      | 好奇心                            | 🎓        | chunks=['cu', 'rio', 'si', 'ty'] | py=ㄎㄧㄨ-ㄖㄧㄛ-ㄗㄜ-ㄊㄧ | theme=academic-words | stage=3
 7254 | curse                          | 詛咒，咒罵                          | 🏃        | chunks=['cur', 'se'] | py=ㄎㄜ-ㄙㄜ | theme=actions | stage=3 [有易混提示]
 7255 | damn                           | 罵…該死，咒罵                        | 🏃        | chunks=['d', 'amn'] | py=ㄉㄧ-ㄚㄇㄋ | theme=actions | stage=3 [有易混提示]
 7256 | damp                           | 有濕氣的                           | 🎨        | chunks=['d', 'amp'] | py=ㄉㄧ-ㄚㄇㄆ | theme=adjectives | stage=3 [有易混提示]
 7257 | declare                        | 宣布，宣告                          | 📢        | chunks=['dec', 'la', 're'] | py=ㄉㄜ-ㄎㄌㄝㄜ | theme=materials | stage=3
 7258 | decrease                       | 減                              | 🏃        | chunks=['dec', 'rea', 'se'] | py=ㄉㄧ-ㄎㄖㄧㄙ | theme=numbers | stage=3 [有易混提示]
 7259 | defend                         | 防禦                             | 🏃        | chunks=['de', 'fend'] | py=ㄉㄜ-ㄈㄝㄋㄉ | theme=actions | stage=3 [有易混提示]
 7260 | defensible                     | 可防禦的                           | 🎨        | chunks=['de', 'fen', 'sib', 'le'] | py=ㄉㄧ-ㄈㄣ-ㄒㄧㄅ-ㄌㄧ | theme=adjectives | stage=3 base=defense
 7261 | defensive                      | 防禦的                            | 🎨        | chunks=['de', 'fen', 'si', 've'] | py=ㄉㄧ-ㄈㄣ-ㄗㄜ-ㄈㄜ | theme=adjectives | stage=3 base=defense
 7262 | delight                        | 欣喜                             | 🏃        | chunks=['de', 'light'] | py=ㄉㄧ-ㄌㄞㄊ | theme=actions | stage=3
 7263 | delightful                     | 令人愉快的、令人高興的                    | 💁        | chunks=['de', 'ligh', 'tful'] | py=ㄉㄧ-ㄌㄞ-ㄊㄈㄚㄛ | theme=appearance | stage=3 base=delight
 7264 | depart                         | 起程，出發                          | 🏃        | chunks=['de', 'part'] | py=ㄉㄜ-ㄆㄚㄦㄊ | theme=actions | stage=3 [有易混提示]
 7265 | dependent                      | 依靠的                            | 🎨        | chunks=['de', 'pen', 'dent'] | py=ㄉㄧ-ㄆㄣ-ㄉㄣㄊ | theme=adjectives | stage=3 base=depend
 7266 | depress                        | 使…沮喪，使…消沉                      | 😊        | chunks=['dep', 'ress'] | py=ㄉㄜ-ㄆㄌㄝㄙ | theme=emotions | stage=3 base=press
 7267 | desperate                      | 情急拼命的                          | 🎨        | chunks=['des', 'pe', 'ra', 'te'] | py=ㄉㄧ-ㄆㄜ-ㄌㄚ-ㄊㄧ | theme=adjectives | stage=3
 7268 | destruction                    | 破壞                             | 🎓        | chunks=['des', 'truc', 'tion'] | py=ㄉㄧ-ㄊㄖㄚㄎ-ㄒㄣ | theme=academic-words | stage=3 base=destroy
 7269 | determination                  | 堅定                             | 🎓        | chunks=['de', 'ter', 'mi', 'na', 'tion'] | py=ㄉㄧ-ㄊㄜ-ㄇㄞ-ㄋㄚ-ㄒㄣ | theme=academic-words | stage=3 base=determine
 7270 | devise                         | 設計                             | 🏃        | chunks=['de', 'vi', 'se'] | py=ㄉㄧ-ㄈㄞ-ㄙㄜ | theme=actions | stage=3
 7271 | differ                         | 不同，相異                          | 🏃        | chunks=['dif', 'fer'] | py=ㄉㄧ-ㄈㄜ | theme=actions | stage=3
 7272 | digestion                      | 消化                             | 🎓        | chunks=['di', 'ges', 'tion'] | py=ㄉㄧ-ㄐㄝㄙ-ㄒㄣ | theme=academic-words | stage=3
 7273 | dignity                        | 尊嚴                             | 🎓        | chunks=['dig', 'ni', 'ty'] | py=ㄉㄧㄍ-ㄋㄜ-ㄊㄧ | theme=academic-words | stage=3
 7274 | diligence                      | 勤勉，勤奮                          | 🤔        | chunks=['di', 'li', 'gen', 'ce'] | py=ㄉㄧ-ㄌㄜ-ㄐㄜㄣㄙ | theme=personality | stage=3
 7275 | disadvantage                   | 不利                             | 🏃        | chunks=['di', 'sad', 'van', 'ta', 'ge'] | py=ㄉㄧ-ㄙㄚㄉ-ㄈㄚㄣ-ㄊㄝ-ㄐㄧ | theme=actions | stage=3 base=advantage
 7276 | discipline                     | 紀律，風紀                          | 🎨        | chunks=['dis', 'cip', 'li', 'ne'] | py=ㄉㄧㄙ-ㄙㄜ-ㄆㄌㄜㄣ | theme=adjectives | stage=3
 7277 | disconnect                     | 使分離，分開                         | 🏃        | chunks=['dis', 'con', 'nect'] | py=ㄉㄧㄙ-ㄎㄚㄣ-ㄋㄝㄎㄊ | theme=actions | stage=3 base=connect
 7278 | discourage                     | 使洩氣                            | 🏃        | chunks=['dis', 'cou', 'ra', 'ge'] | py=ㄉㄧㄙ-ㄎㄚ-ㄌㄚ-ㄐㄧ | theme=actions | stage=3 base=courage
 7279 | discouragement                 | 沮喪，氣                           | 😊        | chunks=['dis', 'cou', 'ra', 'ge', 'ment'] | py=ㄉㄧㄙ-ㄎㄚ-ㄌㄚ-ㄐㄧ-ㄇㄣㄊ | theme=emotions | stage=3 base=discourage
 7280 | disguise                       | 假扮，偽裝                          | 🏃        | chunks=['dis', 'gui', 'se'] | py=ㄉㄧㄙ-ㄍㄧ-ㄙㄜ | theme=actions | stage=3
 7281 | disgust                        | 作嘔                             | 💊        | chunks=['dis', 'gust'] | py=ㄉㄧㄙ-ㄍㄚㄙㄊ | theme=health | stage=3
 7282 | distinguish                    | 區別                             | 🎨        | chunks=['dis', 'tin', 'guish'] | py=ㄉㄧㄙ-ㄊㄧㄥ-ㄍㄨㄧㄒ | theme=adjectives | stage=3
 7283 | distinguished                  | 卓越的                            | 🎨        | chunks=['dis', 'tin', 'guis', 'hed'] | py=ㄉㄧㄙ-ㄊㄧㄣ-ㄍㄨㄙ-ㄏㄝㄉ | theme=adjectives | stage=3
 7284 | disturb                        | 妨礙，打擾                          | 🏃        | chunks=['dis', 'turb'] | py=ㄉㄧㄙ-ㄊㄜㄅ | theme=actions | stage=3
 7285 | dominant                       | 佔優勢的，支配的                       | 🎨        | chunks=['do', 'mi', 'nant'] | py=ㄉㄛ-ㄇㄞ-ㄋㄣㄊ | theme=adjectives | stage=3
 7286 | dormitory                      | 學生宿舍                           | 🎨        | chunks=['dor', 'mi', 'to', 'ry'] | py=ㄉㄜ-ㄇㄞ-ㄊㄛ-ㄌㄧ | theme=adjectives | stage=3
 7287 | doze                           | 打瞌睡，打盹                         | 🏃        | chunks=['do', 'ze'] | py=ㄉㄛ-ㄗㄧ | theme=actions | stage=3
 7288 | dread                          | 懼怕                             | 🏃        | chunks=['dr', 'ead'] | py=ㄉㄖ-ㄧㄉ | theme=actions | stage=3 [有易混提示]
 7289 | drift                          | 漂，漂流                           | 🏃        | chunks=['dr', 'ift'] | py=ㄉㄖ-ㄧㄈㄊ | theme=actions | stage=3 [有易混提示]
 7290 | durable                        | 經久的，耐用的                        | 🎨        | chunks=['du', 'rab', 'le'] | py=ㄉㄨ-ㄖㄝ-ㄌㄧ | theme=adjectives | stage=3
 7291 | dusty                          | 滿是灰塵的，灰塵覆蓋                     | 🏃        | chunks=['dus', 'ty'] | py=ㄉㄚㄙ-ㄊㄧ | theme=actions | stage=3 base=dust
 7292 | dye                            | 染料、染                           | 🏃        | chunks=['d', 'ye'] | py=ㄉㄧ-ㄧㄝ | theme=actions | stage=3 [有易混提示]
 7293 | earnest                        | 認真的                            | 🎨        | chunks=['ear', 'nest'] | py=ㄦ-ㄋㄝㄙㄊ | theme=adjectives | stage=3
 7294 | earphone                       | 耳機                             | 🏃        | chunks=['ear', 'pho', 'ne'] | py=ㄦ-ㄈㄛ-ㄋㄧ | theme=actions | stage=3
 7295 | economic                       | 經濟上的                           | 📈        | chunks=['e', 'co', 'no', 'mic'] | py=ㄝ-ㄎㄜ-ㄋㄚ-ㄇㄧㄎ | theme=economy | stage=3 [有易混提示]
 7296 | economical                     | 經濟的，節約的                        | 📈        | chunks=['e', 'co', 'no', 'mi', 'cal'] | py=ㄝ-ㄎㄜ-ㄋㄚ-ㄇㄧ-ㄎㄜ | theme=economy | stage=3 base=economic [有易混提示]
 7297 | elastic                        | 有彈性的                           | 🎨        | chunks=['e', 'las', 'tic'] | py=ㄧ-ㄌㄚㄙ-ㄊㄧㄎ | theme=adjectives | stage=3
 7298 | electronics                    | 電子學                            | 🔬        | chunks=['e', 'lec', 'tro', 'nics'] | py=ㄧ-ㄌㄝㄎ-ㄊㄌㄛ-ㄋㄧㄎㄙ | theme=science | stage=3 base=electronic
 7299 | elementary                     | 基本的                            | 🎨        | chunks=['e', 'le', 'men', 'ta', 'ry'] | py=ㄝ-ㄌㄜ-ㄇㄝㄣ-ㄊㄜ-ㄌㄧ | theme=adjectives | stage=3
 7300 | e-mail                         | 電子郵件                           | 🔬        | chunks=['e', 'mail'] | py=ㄧ-ㄇㄝㄦ | theme=science | stage=2
 7301 | embarrass                      | 使窘                             | 🏃        | chunks=['em', 'bar', 'rass'] | py=ㄝㄇ-ㄅㄚㄦ-ㄌㄚㄙ | theme=actions | stage=3
 7302 | embarrassment                  | 窘                              | 🎨        | chunks=['em', 'bar', 'ras', 'sment'] | py=ㄝㄇ-ㄅㄚㄦ-ㄖㄚㄙ-ㄙㄇㄣㄊ | theme=adjectives | stage=3 base=embarrass
 7303 | enclose                        | 圍住                             | 🏃        | chunks=['en', 'clo', 'se'] | py=ㄣ-ㄎㄌㄛ-ㄙㄜ | theme=actions | stage=3
 7304 | encounter                      | 遭遇                             | 🏃        | chunks=['en', 'coun', 'ter'] | py=ㄣ-ㄎㄠㄣ-ㄊㄜ | theme=actions | stage=3
 7305 | endanger                       | 危及                             | 🏃        | chunks=['en', 'dan', 'ger'] | py=ㄣ-ㄉㄢ-ㄍㄜ | theme=actions | stage=3
 7306 | enforcement                    | 實施，執行                          | 🎨        | chunks=['en', 'for', 'ce', 'ment'] | py=ㄣ-ㄈㄛ-ㄙㄜ-ㄇㄣㄊ | theme=adjectives | stage=3 base=enforce
 7307 | engineering                    | 工程                             | 🧑‍💼      | chunks=['en', 'gi', 'nee', 'ring'] | py=ㄝㄣ-ㄐㄜ-ㄋㄧㄦ-ㄌㄧㄥ | theme=jobs-advanced | stage=3
 7308 | enlarge                        | 放大                             | 🏃        | chunks=['en', 'lar', 'ge'] | py=ㄣ-ㄌㄜ-ㄐㄧ | theme=actions | stage=3
 7309 | enlargement                    | 放大                             | 🎨        | chunks=['en', 'lar', 'ge', 'ment'] | py=ㄣ-ㄌㄜ-ㄐㄧ-ㄇㄣㄊ | theme=adjectives | stage=3 base=enlarge
 7310 | enormous                       | 巨大的，龐大的                        | 🎨        | chunks=['e', 'nor', 'mous'] | py=ㄧ-ㄋㄛㄦ-ㄇㄜㄙ | theme=adjectives | stage=3
 7311 | entertain                      | 娛樂                             | 🏃        | chunks=['en', 'ter', 'tain'] | py=ㄝㄣ-ㄊㄜ-ㄊㄟㄣ | theme=actions | stage=3
 7312 | entertainment                  | 娛樂                             | 🎨        | chunks=['en', 'ter', 'tain', 'ment'] | py=ㄣ-ㄊㄜ-ㄊㄣ-ㄇㄣㄊ | theme=adjectives | stage=3 base=entertain
 7313 | enthusiasm                     | 熱情，熱忱                          | 🏃        | chunks=['en', 'thu', 'siasm'] | py=ㄣ-ㄒㄨ-ㄗㄧ-ㄚㄗㄜㄇ | theme=actions | stage=3
 7314 | envious                        | 嫉妒的                            | 😊        | chunks=['en', 'vious'] | py=ㄣ-ㄨㄧㄜㄙ | theme=emotions | stage=3 base=envy
