# 字 8000-8499
 8000 | mansion                        | 大廈                             | 🏛️       | chunks=['man', 'sion'] | py=ㄇㄢ-ㄒㄣ | theme=academic-words | stage=3
 8171 | sheriff                        | 警長                             | 🏃        | chunks=['she', 'riff'] | py=ㄒㄝ-ㄖㄧㄈㄈ | theme=jobs | stage=3
 8172 | shiver                         | 打顫                             | 🏃        | chunks=['shi', 'ver'] | py=ㄒㄧ-ㄈㄜ | theme=actions | stage=3
 8173 | shortage                       | 短缺                             | 🏃        | chunks=['shor', 'ta', 'ge'] | py=ㄒㄛㄜ-ㄊㄝ-ㄐㄧ | theme=actions | stage=3 base=short
 8174 | shortcoming                    | 缺點                             | 🏃        | chunks=['shor', 'tco', 'ming'] | py=ㄒㄛㄜ-ㄊㄎㄛ-ㄇㄧㄥ | theme=actions | stage=3
 8175 | shove                          | 推                              | 🏃        | chunks=['sho', 've'] | py=ㄒㄛ-ㄈㄜ | theme=actions | stage=3
 8176 | shred                          | 碎片切成條狀                         | 🎨        | chunks=['shr', 'ed'] | py=ㄒㄖ-ㄝㄉ | theme=adjectives | stage=3
 8177 | shriek                         | 尖叫                             | 🏃        | chunks=['shr', 'iek'] | py=ㄒㄖ-ㄞㄎ | theme=actions | stage=3
 8178 | shrub                          | 灌木                             | 🏃        | chunks=['shr', 'ub'] | py=ㄒㄖ-ㄚㄅ | theme=actions | stage=3
 8179 | shudder                        | 發抖                             | 🏃        | chunks=['shud', 'der'] | py=ㄒㄚㄉ-ㄉㄜ | theme=actions | stage=3
 8180 | shutter                        | 百葉窗                            | 🪟        | chunks=['shut', 'ter'] | py=ㄒㄚㄊ-ㄊㄜ | theme=numbers | stage=3
 8181 | silkworm                       | 蠶                              | 🏃        | chunks=['sil', 'kworm'] | py=ㄗㄦ-ㄎㄨㄛㄜㄇ | theme=actions | stage=3
 8182 | simmer                         | 燉                              | 🍲        | chunks=['sim', 'mer'] | py=ㄒㄧ-ㄇㄜ | theme=food | stage=3
 8183 | skeleton                       | 骨骸                             | 🏃        | chunks=['ske', 'le', 'ton'] | py=ㄙㄎㄝ-ㄌㄧ-ㄉㄣ | theme=actions | stage=3
 8184 | slap                           | 摑                              | 🏃        | chunks=['sl', 'ap'] | py=ㄙㄌ-ㄚ | theme=actions | stage=3
 8185 | slaughter                      | 屠宰                             | 🏃        | chunks=['slaug', 'hter'] | py=ㄙㄌㄛㄍ-ㄏㄊㄜ | theme=actions | stage=3
 8186 | slay                           | 殺害                             | 🏃        | chunks=['sl', 'ay'] | py=ㄙㄌ-ㄟ | theme=crime | stage=3 [有易混提示]
 8187 | sloppy                         | 草率的                            | 🎨        | chunks=['slop', 'py'] | py=ㄙㄌㄛㄆ-ㄆㄧ | theme=adjectives | stage=3
 8188 | slump                          | 衰落                             | 🏃        | chunks=['sl', 'ump'] | py=ㄙㄌ-ㄚㄇㄆ | theme=actions | stage=3
 8189 | sly                            | 狡猾的                            | 🎨        | chunks=['sl', 'y'] | py=ㄙㄌ-ㄌㄧ | theme=adjectives | stage=3
 8190 | smash                          | 粉碎                             | 🏃        | chunks=['sm', 'ash'] | py=ㄙㄇ-ㄚㄒ | theme=actions | stage=3
 8191 | snarl                          | 咆哮、齜牙怒吼                        | 🏃        | chunks=['sn', 'arl'] | py=ㄙㄋ-ㄚㄜㄌ | theme=actions | stage=3
 8192 | snatch                         | 奪走                             | 🏃        | chunks=['sn', 'atch'] | py=ㄙㄋ-ㄚㄊㄔ | theme=actions | stage=3
 8193 | sneak                          | 偷偷地走、溜                         | ⚖️       | chunks=['sn', 'eak'] | py=ㄙㄋ-ㄧㄎ | theme=crime | stage=3
 8194 | sniff                          | 嗅                              | 🏃        | chunks=['sn', 'iff'] | py=ㄙㄋ-ㄌㄜㄈ | theme=actions | stage=3
 8195 | snore                          | 打呼                             | 🏃        | chunks=['sno', 're'] | py=ㄙㄋㄛ-ㄌㄧ | theme=actions | stage=3
 8196 | snort                          | 噴鼻息                            | 🏃        | chunks=['sn', 'ort'] | py=ㄙㄋ-ㄛㄜㄊ | theme=actions | stage=3
 8197 | soak                           | 浸泡                             | 🏃        | chunks=['s', 'oak'] | py=ㄝㄙ-ㄛㄎ | theme=actions | stage=3
 8198 | sober                          | 清醒的                            | 🧠        | chunks=['so', 'ber'] | py=ㄙㄛ-ㄅㄜ | theme=adjectives | stage=3
 8199 | soften                         | 變柔軟                            | 🏃        | chunks=['sof', 'ten'] | py=ㄙㄛㄈ-ㄊㄣ | theme=actions | stage=3 base=soft
 8200 | solitary                       | 獨自的                            | 🎨        | chunks=['so', 'li', 'ta', 'ry'] | py=ㄙㄛ-ㄌㄧ-ㄊㄝ-ㄌㄧ | theme=adjectives | stage=3
 8201 | sow                            | 播種、母豬                          | 🐾        | chunks=['s', 'ow'] | py=ㄝㄙ-ㄛ | theme=animals | stage=3 [有易混提示]
 8202 | spacecraft                     | 太空船                            | 🚗        | chunks=['spa', 'cec', 'raft'] | py=ㄙㄆㄚ-ㄎㄝㄎ-ㄖㄚㄈㄊ | theme=transportation | stage=3
 8203 | specialist                     | 專家                             | 👨‍⚕️     | chunks=['spe', 'cia', 'list'] | py=ㄙㄆㄝ-ㄎㄧㄚ-ㄌㄧㄙㄊ | theme=jobs | stage=3 base=special
 8204 | specimen                       | 標本                             | 🏃        | chunks=['spe', 'ci', 'men'] | py=ㄙㄆㄝ-ㄙㄜ-ㄇㄣ | theme=actions | stage=3
 8205 | spectacle                      | 奇觀                             | 🏃        | chunks=['spec', 'tac', 'le'] | py=ㄙㄆㄝ-ㄊㄚㄎ-ㄌㄧ | theme=actions | stage=3
 8206 | spectator                      | 觀眾                             | 🏃        | chunks=['spec', 'ta', 'tor'] | py=ㄙㄆㄝ-ㄊㄝ-ㄊㄜ | theme=actions | stage=3 base=spectate
 8207 | splendor                       | 壯麗                             | 🏃        | chunks=['splen', 'dor'] | py=ㄙㄆㄌㄣ-ㄉㄜ | theme=actions | stage=3
 8208 | spotlight                      | 聚光燈                            | 💡        | chunks=['spot', 'light'] | py=ㄙㄆㄚ-ㄌㄞㄊ | theme=home-items | stage=3
 8209 | sprint                         | 衝刺                             | 🏃        | chunks=['spr', 'int'] | py=ㄙㄆㄖ-ㄧㄋㄊ | theme=actions | stage=3
 8210 | spur                           | 靴刺、激勵                          | 🥾        | chunks=['sp', 'ur'] | py=ㄙㄆ-ㄜ | theme=clothing | stage=3
 8211 | stack                          | 堆                              | 🏃        | chunks=['st', 'ack'] | py=ㄙㄊ-ㄚ | theme=actions | stage=3
 8212 | slam                           | 猛地關上                           | 🏃        | chunks=['sl', 'am'] | py=ㄙㄌ-ㄚㄇ | theme=directions | stage=3
 8213 | stagger                        | 蹣跚                             | 🏃        | chunks=['stag', 'ger'] | py=ㄙㄉㄚㄍ-ㄍㄜ | theme=actions | stage=3
 8214 | stain                          | 沾汙                             | 🏃        | chunks=['st', 'ain'] | py=ㄙㄊ-ㄟㄋ | theme=actions | stage=3
 8215 | stake                          | 樁                              | 🏃        | chunks=['sta', 'ke'] | py=ㄙㄉㄝ-ㄎㄟ | theme=actions | stage=3 [有易混提示]
 8216 | stalk                          | 莖                              | 🏃        | chunks=['st', 'alk'] | py=ㄙㄊ-ㄚㄌㄎ | theme=actions | stage=3 [有易混提示]
 8217 | startle                        | 驚嚇                             | 😱        | chunks=['star', 'tle'] | py=ㄙㄉㄚㄦ-ㄉㄜ | theme=emotions | stage=3
 8218 | statistical                    | 統計數字的                          | 🔢        | chunks=['sta', 'tis', 'ti', 'cal'] | py=ㄙㄉㄝ-ㄊㄜㄙ-ㄊㄜ-ㄎㄜ | theme=numbers | stage=3
 8219 | steamer                        | 汽船                             | 🚗        | chunks=['stea', 'mer'] | py=ㄙㄊㄧ-ㄇㄜ | theme=transportation | stage=3 base=steam
 8220 | steer                          | 駕駛                             | 🚗        | chunks=['st', 'eer'] | py=ㄙㄊ-ㄧㄦ | theme=transportation | stage=3
 8221 | stereotype                     | 刻板印象                           | 🧩        | chunks=['ste', 'reo', 'ty', 'pe'] | py=ㄙㄊㄝ-ㄖㄝㄛ-ㄊㄧ-ㄆㄜ | theme=animals | stage=3
 8222 | stew                           | 燉、燉肉                           | 🍲        | chunks=['st', 'ew'] | py=ㄙㄊ-ㄩ | theme=food | stage=3 [有易混提示]
 8223 | steward                        | 男服務員                           | 👨‍⚕️     | chunks=['ste', 'ward'] | py=ㄙㄊㄝ-ㄨㄜㄉ | theme=jobs | stage=3
 8224 | stewardess                     | 女服務員                           | 👨‍⚕️     | chunks=['ste', 'war', 'dess'] | py=ㄙㄊㄝ-ㄨㄛ-ㄉㄝㄙ | theme=jobs | stage=3 base=steward
 8225 | attendant                      | 服務員                            | 👨‍⚕️     | chunks=['at', 'ten', 'dant'] | py=ㄚ-ㄊㄣ-ㄉㄣㄊ | theme=jobs | stage=3 base=attend
 8226 | stink                          | 發臭                             | 🏃        | chunks=['st', 'ink'] | py=ㄙㄊ-ㄧㄋㄎ | theme=actions | stage=3
 8227 | stoop                          | 俯身                             | 🏃        | chunks=['st', 'oop'] | py=ㄙㄊ-ㄨㄆ | theme=actions | stage=3
 8228 | straighten                     | 弄直                             | 🏃        | chunks=['straig', 'hten'] | py=ㄙㄊㄖㄟㄍ-ㄏㄊㄝㄋ | theme=actions | stage=3 base=straight
 8229 | strain                         | 拉緊                             | 🏃        | chunks=['str', 'ain'] | py=ㄙㄊㄖ-ㄟㄋ | theme=actions | stage=3
 8230 | strand                         | 線                              | 🏃        | chunks=['str', 'and'] | py=ㄙㄊㄖ-ㄢㄉ | theme=actions | stage=3
 8231 | strap                          | 帶子                             | 🏃        | chunks=['str', 'ap'] | py=ㄙㄊㄖ-ㄚ | theme=actions | stage=3
 8232 | stray                          | 迷路                             | 🏃        | chunks=['str', 'ay'] | py=ㄙㄊㄖ-ㄟ | theme=actions | stage=3
 8233 | streak                         | 條紋                             | 🏃        | chunks=['str', 'eak'] | py=ㄙㄊㄖ-ㄧㄎ | theme=actions | stage=3
 8234 | stride                         | 大步走                            | 🏃        | chunks=['stri', 'de'] | py=ㄙㄊㄖㄧ-ㄉㄧ | theme=actions | stage=3
 8235 | stripe                         | 條紋                             | 🏃        | chunks=['stri', 'pe'] | py=ㄙㄊㄖㄧ-ㄆㄜ | theme=actions | stage=3
 8236 | stroll                         | 閒逛                             | 🏃        | chunks=['str', 'oll'] | py=ㄙㄊㄖ-ㄛㄌㄌ | theme=actions | stage=3
 8237 | structural                     | 結構的                            | 🎨        | chunks=['struc', 'tu', 'ral'] | py=ㄙㄉㄌㄚㄎ-ㄑㄨ-ㄦ | theme=adjectives | stage=3
 8238 | stumble                        | 絆倒                             | 🏃        | chunks=['stum', 'ble'] | py=ㄙㄊㄚㄇ-ㄅㄜ | theme=actions | stage=3
 8239 | stump                          | 殘幹                             | 🏃        | chunks=['st', 'ump'] | py=ㄙㄊ-ㄚㄇㄆ | theme=actions | stage=3
 8240 | stun                           | 使昏厥                            | 🏃        | chunks=['st', 'un'] | py=ㄙㄊ-ㄚㄣ | theme=actions | stage=3
 8241 | stutter                        | 結巴                             | 🏃        | chunks=['stut', 'ter'] | py=ㄙㄊㄚㄊ-ㄊㄜ | theme=actions | stage=3
 8242 | stylish                        | 流行的                            | 👗        | chunks=['sty', 'lish'] | py=ㄙㄊㄧ-ㄅㄌㄧㄒ | theme=music | stage=3
 8243 | substantial                    | 真實的                            | 🎨        | chunks=['sub', 'stan', 'tial'] | py=ㄙㄚㄅ-ㄙㄊㄢ-ㄒㄦ | theme=adjectives | stage=3
 8244 | sulfur                         | 硫磺                             | 🏃        | chunks=['sul', 'fur'] | py=ㄙㄜ-ㄈㄦ | theme=actions | stage=3
 8245 | summon                         | 召喚                             | 🏃        | chunks=['sum', 'mon'] | py=ㄙㄚ-ㄇㄚ | theme=actions | stage=3
 8246 | superficial                    | 膚淺的                            | 🎨        | chunks=['su', 'per', 'fi', 'cial'] | py=ㄙㄨ-ㄆㄜ-ㄈㄜ-ㄒㄦ | theme=adjectives | stage=3
 8247 | superstition                   | 迷信                             | 🎓        | chunks=['su', 'per', 'sti', 'tion'] | py=ㄙㄨ-ㄆㄜ-ㄙㄊㄜ-ㄒㄣ | theme=academic-words | stage=3
 8248 | suppress                       | 鎮壓                             | 🏃        | chunks=['sup', 'press'] | py=ㄙㄜ-ㄆㄌㄝㄙ | theme=actions | stage=3
 8249 | supreme                        | 最高的                            | 💁        | chunks=['sup', 're', 'me'] | py=ㄙㄜ-ㄌㄧ-ㄇㄝ | theme=appearance | stage=3
 8250 | swarm                          | 群                              | 🏃        | chunks=['sw', 'arm'] | py=ㄙㄨ-ㄚㄦㄇ | theme=actions | stage=3
 8251 | sympathize                     | 同情                             | 🏃        | chunks=['sym', 'pat', 'hi', 'ze'] | py=ㄒㄧㄇ-ㄆㄚ-ㄏㄞ-ㄗㄧ | theme=actions | stage=3 base=sympathy
 8252 | tackle                         | 解決                             | 🏃        | chunks=['tac', 'kle'] | py=ㄊㄚㄎ-ㄎㄜ | theme=actions | stage=3
 8253 | tangle                         | 纏繞                             | 🏃        | chunks=['tan', 'gle'] | py=ㄊㄢ-ㄍㄜ | theme=actions | stage=3
 8254 | tar                            | 焦油                             | 🏃        | chunks=['t', 'ar'] | py=ㄊㄧ-ㄚㄦ | theme=actions | stage=3
 8255 | taunt                          | 嘲弄                             | 🏃        | chunks=['t', 'aunt'] | py=ㄊㄧ-ㄛㄋㄊ | theme=actions | stage=3
 8256 | tavern                         | 酒館                             | 🏃        | chunks=['ta', 'vern'] | py=ㄊㄝ-ㄨㄜㄋ | theme=actions | stage=3
 8257 | teller                         | 敘述者                            | 👨‍⚕️     | chunks=['tel', 'ler'] | py=ㄊㄝㄦ-ㄌㄜ | theme=jobs | stage=3 base=tell
 8258 | tempt                          | 誘惑                             | 🏃        | chunks=['t', 'empt'] | py=ㄊㄧ-ㄝㄇㄆㄊ | theme=actions | stage=3
 8259 | temptation                     | 誘惑                             | 🎓        | chunks=['tem', 'pta', 'tion'] | py=ㄊㄣ-ㄆㄊㄚ-ㄒㄣ | theme=academic-words | stage=3 base=tempt
 8260 | tenant                         | 租戶                             | 🎨        | chunks=['te', 'nant'] | py=ㄊㄧ-ㄋㄣㄊ | theme=adjectives | stage=3
 8261 | tentative                      | 暫時的                            | 🎨        | chunks=['ten', 'ta', 'ti', 've'] | py=ㄊㄣ-ㄊㄝ-ㄊㄜ-ㄈㄜ | theme=adjectives | stage=3
 8262 | terrace                        | 露臺                             | 🏃        | chunks=['ter', 'ra', 'ce'] | py=ㄊㄜ-ㄌㄚ-ㄙㄜ | theme=actions | stage=3
 8263 | thorn                          | 刺                              | 🏃        | chunks=['th', 'orn'] | py=ㄒ-ㄛㄜㄋ | theme=actions | stage=3
 8264 | thrill                         | 激動                             | 🏃        | chunks=['thr', 'ill'] | py=ㄒㄖ-ㄧㄦ | theme=actions | stage=3
 8265 | throne                         | 王位                             | 🏃        | chunks=['thro', 'ne'] | py=ㄙㄌㄛ-ㄋㄧ | theme=actions | stage=3
 8266 | throng                         | 群眾                             | 🏃        | chunks=['thr', 'ong'] | py=ㄒㄖ-ㄛㄥ | theme=actions | stage=3
 8267 | thrust                         | 猛推                             | 🏃        | chunks=['thr', 'ust'] | py=ㄒㄖ-ㄚㄙㄊ | theme=actions | stage=3 base=thrust
 8268 | tick                           | 滴答聲                            | 🏃        | chunks=['t', 'ick'] | py=ㄊㄧ-ㄧㄎ | theme=actions | stage=3
 8269 | tile                           | 磁磚，瓦片                          | 🏃        | chunks=['ti', 'le'] | py=ㄊㄜ-ㄌㄧ | theme=actions | stage=3
 8270 | tiptoe                         | 腳尖踮腳走                          | 🏃        | chunks=['tip', 'toe'] | py=ㄊㄧㄆ-ㄊㄛ | theme=actions | stage=3
 8271 | toil                           | 辛勞苦幹                           | 🏃        | chunks=['t', 'oil'] | py=ㄊㄧ-ㄛㄧㄦ | theme=actions | stage=3
 8272 | token                          | 象徵                             | 🎟️       | chunks=['to', 'ken'] | py=ㄊㄛ-ㄎㄣ | theme=animals | stage=3
 8273 | torch                          | 火炬                             | 🏃        | chunks=['t', 'orch'] | py=ㄊㄧ-ㄛㄜㄔ | theme=actions | stage=3
 8274 | torment                        | 折磨、使痛苦                         | 🎨        | chunks=['tor', 'ment'] | py=ㄊㄜ-ㄇㄣㄊ | theme=adjectives | stage=3
 8275 | torrent                        | 急流                             | 🎨        | chunks=['tor', 'rent'] | py=ㄊㄜ-ㄣㄊ | theme=adjectives | stage=3
 8276 | torture                        | 折磨、拷打                          | 🎓        | chunks=['tor', 'tu', 're'] | py=ㄊㄜ-ㄑㄨ-ㄌㄧ | theme=academic-words | stage=3
 8277 | traitor                        | 叛逆者                            | 👨‍⚕️     | chunks=['trai', 'tor'] | py=ㄊㄌㄝ-ㄊㄜ | theme=jobs | stage=3
 8278 | tramp                          | 流浪漢沉重的走                        | 🏃        | chunks=['tr', 'amp'] | py=ㄊㄖ-ㄚㄇㄆ | theme=actions | stage=3
 8279 | trample                        | 踐踏                             | 🏃        | chunks=['tram', 'ple'] | py=ㄊㄌㄚㄇ-ㄆㄜ | theme=actions | stage=3
 8280 | treasury                       | 寶庫                             | 🏃        | chunks=['trea', 'su', 'ry'] | py=ㄊㄌㄧ-ㄙㄨ-ㄌㄧ | theme=actions | stage=3
 8281 | trench                         | 壕溝                             | 🏃        | chunks=['tr', 'ench'] | py=ㄊㄖ-ㄝㄋㄔ | theme=actions | stage=3
 8282 | tribute                        | 貢品                             | 🎨        | chunks=['tri', 'bu', 'te'] | py=ㄊㄌㄧ-ㄅㄧㄨ-ㄊㄧ | theme=adjectives | stage=3
 8283 | trifle                         | 瑣事                             | 🏃        | chunks=['trif', 'le'] | py=ㄊㄖㄧㄈ-ㄌㄧ | theme=actions | stage=3
 8284 | trim                           | 修剪                             | 🏃        | chunks=['tr', 'im'] | py=ㄊㄖ-ㄧㄇ | theme=actions | stage=2
 8285 | trot                           | 快步走                            | 🏃        | chunks=['tr', 'ot'] | py=ㄊㄖ-ㄚ | theme=actions | stage=3
 8286 | trout                          | 鱒魚                             | 🐟        | chunks=['tr', 'out'] | py=ㄊㄖ-ㄠㄊ | theme=animals | stage=3
 8287 | tuck                           | 塞                              | 🏃        | chunks=['t', 'uck'] | py=ㄊㄧ-ㄚㄎ | theme=actions | stage=3
 8288 | tuna                           | 鮪魚                             | 🐟        | chunks=['tu', 'na'] | py=ㄑㄨ-ㄋㄚ | theme=animals | stage=3
 8289 | tyrant                         | 暴君                             | 🎨        | chunks=['ty', 'rant'] | py=ㄊㄧ-ㄌㄣㄊ | theme=adjectives | stage=3
 8290 | umpire                         | 裁判                             | 🏃        | chunks=['um', 'pi', 're'] | py=ㄜㄇ-ㄆㄧ-ㄌㄧ | theme=sports | stage=3
 8291 | undergraduate                  | 大學生                            | 📚        | chunks=['un', 'der', 'gra', 'dua', 'te'] | py=ㄚㄣ-ㄉㄜ-ㄍㄌㄝ-ㄉㄚㄚ-ㄊㄧ | theme=school | stage=3
 8292 | understandable                 | 可理解的                           | 🎨        | chunks=['un', 'der', 'stan', 'dab', 'le'] | py=ㄚㄣ-ㄉㄜ-ㄙㄊㄢ-ㄉㄚㄅ-ㄌㄧ | theme=adjectives | stage=3 base=understand
 8293 | upright                        | 直立的                            | 🎨        | chunks=['up', 'right'] | py=ㄚㄆ-ㄌㄞㄊ | theme=adjectives | stage=3
 8294 | utter                          | 全然的、說出                         | 🏃        | chunks=['ut', 'ter'] | py=ㄚ-ㄊㄜ | theme=actions | stage=3
 8295 | vacancy                        | 空缺                             | 🏃        | chunks=['va', 'can', 'cy'] | py=ㄈㄚ-ㄎㄢ-ㄒㄧ | theme=actions | stage=3
 8296 | vanity                         | 虛榮                             | 🎓        | chunks=['va', 'ni', 'ty'] | py=ㄈㄚ-ㄋㄜ-ㄊㄧ | theme=academic-words | stage=3
 8297 | veil                           | 面紗                             | 🏃        | chunks=['v', 'eil'] | py=ㄈㄧ-ㄝㄌ | theme=actions | stage=3
 8298 | venture                        | 冒險                             | 🎓        | chunks=['ven', 'tu', 're'] | py=ㄈㄣ-ㄑㄨ-ㄌㄧ | theme=academic-words | stage=3
 8299 | verbal                         | 口頭的                            | 🗣️       | chunks=['ver', 'bal'] | py=ㄈㄜ-ㄅㄚ | theme=body | stage=3 base=verb
 8300 | versus                         | 與…相對                           | 🏃        | chunks=['ver', 'sus'] | py=ㄈㄜ-ㄙㄜ | theme=actions | stage=3
 8301 | vibrate                        | 震動                             | 🏃        | chunks=['vib', 'ra', 'te'] | py=ㄨㄧㄅ-ㄌㄚ-ㄊㄧ | theme=actions | stage=3
 8302 | videotape                      | 錄影帶                            | 🏃        | chunks=['vi', 'deo', 'ta', 'pe'] | py=ㄈㄞ-ㄉㄝㄛ-ㄊㄝ-ㄆㄜ | theme=actions | stage=3
 8303 | vigor                          | 活力                             | 🏃        | chunks=['vi', 'gor'] | py=ㄈㄞ-ㄍㄛㄦ | theme=actions | stage=3
 8304 | vigorous                       | 有活力的                           | 🎨        | chunks=['vi', 'go', 'rous'] | py=ㄈㄞ-ㄍㄛ-ㄌㄨ | theme=adjectives | stage=3 base=vigor
 8305 | villain                        | 惡徒                             | 🏃        | chunks=['vil', 'lain'] | py=ㄈㄧ-ㄌㄧㄣ | theme=actions | stage=3
 8306 | violinist                      | 小提琴家                           | 🎵        | chunks=['vio', 'li', 'nist'] | py=ㄨㄧㄛ-ㄌㄧ-ㄋㄧㄙㄊ | theme=music | stage=3 base=violin
 8307 | vow                            | 誓言、發誓                          | 🏃        | chunks=['v', 'ow'] | py=ㄈㄧ-ㄛ | theme=actions | stage=3
 8308 | wade                           | 涉水                             | 💧        | chunks=['wa', 'de'] | py=ㄨㄛ-ㄉㄧ | theme=drinks | stage=3
 8309 | wail                           | 慟哭                             | 🏃        | chunks=['w', 'ail'] | py=ㄨ-ㄝㄦ | theme=actions | stage=3 [有易混提示]
 8310 | ware                           | 器物、製品                          | 🏃        | chunks=['wa', 're'] | py=ㄨㄛ-ㄌㄧ | theme=actions | stage=3 [有易混提示]
 8311 | wary                           | 小心的                            | 🎨        | chunks=['wa', 'ry'] | py=ㄨㄛ-ㄌㄧ | theme=adjectives | stage=3 [有易混提示]
 8312 | wharf                          | 碼頭                             | ⚓        | chunks=['wh', 'arf'] | py=ㄨ-ㄚㄜㄈ | theme=body | stage=3
 8313 | whereabouts                    | 哪處                             | 🏃        | chunks=['whe', 'rea', 'bouts'] | py=ㄨㄝ-ㄌㄝ-ㄅㄠㄊㄙ | theme=actions | stage=3
 8314 | whine                          | 發牢騷                            | 🎨        | chunks=['whi', 'ne'] | py=ㄨㄧ-ㄋㄧ | theme=adjectives | stage=3 [有易混提示]
 8315 | whirl                          | 旋轉                             | 🏃        | chunks=['wh', 'irl'] | py=ㄨ-ㄜㄌ | theme=actions | stage=3
 8316 | whisky                         | 威士忌                            | 🥤        | chunks=['whis', 'ky'] | py=ㄨㄧㄙ-ㄎㄧ | theme=drinks | stage=3
 8317 | wig                            | 假髮                             | 🏃        | chunks=['w', 'ig'] | py=ㄨ-ㄧㄍ | theme=actions | stage=3
 8318 | wilderness                     | 荒地                             | 🎨        | chunks=['wil', 'der', 'ness'] | py=ㄨㄧㄌ-ㄉㄜ-ㄋㄝㄙ | theme=adjectives | stage=3
 8319 | woe                            | 悲痛、哎喲                          | 🏃        | chunks=['w', 'oe'] | py=ㄨ-ㄛ | theme=actions | stage=3
 8320 | woodpecker                     | 啄木鳥                            | 🐦        | chunks=['wood', 'pec', 'ker'] | py=ㄨㄨㄉ-ㄆㄝㄎ-ㄎㄜ | theme=animals | stage=3
 8321 | worthwhile                     | 值得做的                           | 🎨        | chunks=['wort', 'hwhi', 'le'] | py=ㄨㄛㄜㄊ-ㄏㄨㄧ-ㄌㄧ | theme=adjectives | stage=3
 8322 | worthy                         | 值得的                            | 🎨        | chunks=['wor', 'thy'] | py=ㄨㄜ-ㄒㄧ | theme=adjectives | stage=3
 8323 | wreath                         | 花環                             | 🌳        | chunks=['wr', 'eath'] | py=ㄨㄖ-ㄧㄒ | theme=nature | stage=3 [有易混提示]
 8324 | wring                          | 擰蠕動                            | 🏃        | chunks=['wr', 'ing'] | py=ㄨㄖ-ㄧㄥ | theme=actions | stage=3
 8325 | yeast                          | 酵母菌                            | 🏃        | chunks=['y', 'east'] | py=ㄌㄧ-ㄧㄙㄊ | theme=actions | stage=3
 8326 | zip                            | 拉鍊拉開拉鍊                         | 🏃        | chunks=['z', 'ip'] | py=ㄗ-ㄌㄧㄆ | theme=actions | stage=3
 8327 | zip code                       | 郵遞區號                           | 🔗        | chunks=['zip', 'code'] | py=ㄗㄧㄆ-ㄎㄛㄉ | theme=phrasal-verbs | stage=3
 8328 | abbreviate                     | 縮寫                             | 🏃        | chunks=['ab', 'bre', 'via', 'te'] | py=ㄚㄅ-ㄅㄖㄝ-ㄨㄧㄚ-ㄊㄧ | theme=actions | stage=4
 8329 | abbreviation                   | 縮寫                             | 🎓        | chunks=['ab', 'bre', 'via', 'tion'] | py=ㄚㄅ-ㄅㄖㄝ-ㄨㄧㄚ-ㄒㄣ | theme=academic-words | stage=4 base=abbreviate
 8330 | abnormal                       | 異常的                            | 🎨        | chunks=['ab', 'nor', 'mal'] | py=ㄚㄅ-ㄋㄜ-ㄇㄜ | theme=adjectives | stage=4
 8331 | aboriginal                     | 原生的                            | 🎨        | chunks=['a', 'bo', 'ri', 'gi', 'nal'] | py=ㄜ-ㄅㄛ-ㄌㄧ-ㄐㄜ-ㄋㄦ | theme=adjectives | stage=4
 8332 | aborigine                      | 原住民                            | 🎨        | chunks=['a', 'bo', 'ri', 'gi', 'ne'] | py=ㄜ-ㄅㄛ-ㄌㄧ-ㄐㄜ-ㄋㄧ | theme=adjectives | stage=4
 8333 | abound                         | 充滿                             | 🏃        | chunks=['a', 'bound'] | py=ㄜ-ㄅㄠㄣㄉ | theme=actions | stage=4
 8334 | absentminded                   | 心不在焉的                          | 🎨        | chunks=['ab', 'sen', 'tmin', 'ded'] | py=ㄚㄅ-ㄙㄝㄣ-ㄊㄇㄧㄋ-ㄉㄝㄉ | theme=adjectives | stage=4
 8335 | abstraction                    | 抽象概念                           | 💭        | chunks=['abs', 'trac', 'tion'] | py=ㄚㄅㄙ-ㄊㄌㄚㄎ-ㄒㄣ | theme=animals | stage=4
 8336 | abundance                      | 充裕                             | 🎓        | chunks=['a', 'bun', 'dan', 'ce'] | py=ㄜ-ㄅㄚㄋ-ㄉㄢ-ㄙㄜ | theme=academic-words | stage=4
 8337 | accelerate                     | 加速                             | ⚡        | chunks=['ac', 'ce', 'le', 'ra', 'te'] | py=ㄚㄎ-ㄙㄜ-ㄌㄧ-ㄌㄚ-ㄊㄧ | theme=numbers | stage=4
 8338 | accessible                     | 易接近的                           | 🎨        | chunks=['ac', 'ces', 'sib', 'le'] | py=ㄚㄎ-ㄙㄝ-ㄒㄧㄅ-ㄌㄧ | theme=adjectives | stage=4 base=access
 8339 | accessory                      | 配件                             | 🎨        | chunks=['ac', 'ces', 'so', 'ry'] | py=ㄚㄎ-ㄙㄝ-ㄙㄛ-ㄌㄧ | theme=adjectives | stage=4
 8340 | accommodation                  | 住宿                             | 🎓        | chunks=['ac', 'com', 'mo', 'da', 'tion'] | py=ㄚㄎ-ㄎㄚㄇ-ㄇㄛ-ㄉㄚ-ㄒㄣ | theme=academic-words | stage=4
 8341 | accordance                     | 一致                             | 🔢        | chunks=['ac', 'cor', 'dan', 'ce'] | py=ㄚㄎ-ㄎㄛ-ㄉㄢ-ㄙㄜ | theme=numbers | stage=4
