# 字 9500-9999
 9500 | dividend                       | 股息                             | 💼        | chunks=['di', 'vi', 'dend'] | py=ㄉㄧ-ㄈㄞ-ㄉㄝㄋㄉ | theme=business | stage=3
 9653 | legible                        | 可讀的                            | 🎨        | chunks=['le', 'gib', 'le'] | py=ㄌㄧ-ㄍㄧㄅ-ㄌㄧ | theme=adjectives | stage=3
 9654 | likeable                       | 討人喜歡的                          | 🎨        | chunks=['li', 'keab', 'le'] | py=ㄌㄧ-ㄎㄧㄅ-ㄌㄧ | theme=adjectives | stage=3 base=like
 9655 | lovable                        | 可愛的                            | 💁        | chunks=['lo', 'vab', 'le'] | py=ㄌㄛ-ㄨㄚㄅ-ㄌㄧ | theme=appearance | stage=3 base=love
 9656 | obtainable                     | 可獲得的                           | 🎨        | chunks=['ob', 'tai', 'nab', 'le'] | py=ㄚㄅ-ㄊㄞ-ㄋㄚㄅ-ㄌㄧ | theme=adjectives | stage=3 base=obtain
 9657 | passable                       | 可通行的                           | 🎨        | chunks=['pas', 'sab', 'le'] | py=ㄆㄚㄙ-ㄙㄚㄅ-ㄌㄧ | theme=adjectives | stage=3 base=pass
 9658 | perishable                     | 易腐壞的                           | 🎨        | chunks=['pe', 'ris', 'hab', 'le'] | py=ㄆㄜ-ㄌㄧㄙ-ㄏㄚㄅ-ㄌㄧ | theme=adjectives | stage=3 base=perish
 9659 | plausible                      | 可信的                            | 🎨        | chunks=['plau', 'sib', 'le'] | py=ㄆㄌㄛ-ㄒㄧㄅ-ㄌㄧ | theme=adjectives | stage=3
 9660 | predictable                    | 可預測的                           | 🎨        | chunks=['pre', 'dic', 'tab', 'le'] | py=ㄆㄌㄧ-ㄉㄧㄎ-ㄊㄚ-ㄌㄧ | theme=adjectives | stage=3 base=predict
 9661 | preventable                    | 可預防的                           | 🎨        | chunks=['pre', 'ven', 'tab', 'le'] | py=ㄆㄌㄧ-ㄈㄣ-ㄊㄚ-ㄌㄧ | theme=adjectives | stage=3 base=prevent
 9662 | printable                      | 可列印的                           | 🎨        | chunks=['prin', 'tab', 'le'] | py=ㄆㄌㄧㄣ-ㄊㄚ-ㄌㄧ | theme=adjectives | stage=3 base=print
 9663 | punishable                     | 可懲罰的                           | 🎨        | chunks=['pu', 'nis', 'hab', 'le'] | py=ㄆㄧㄨ-ㄋㄧㄙ-ㄏㄚㄅ-ㄌㄧ | theme=adjectives | stage=3 base=punish
 9664 | reachable                      | 可達到的                           | 🎨        | chunks=['reac', 'hab', 'le'] | py=ㄖㄧㄎ-ㄏㄚㄅ-ㄌㄧ | theme=adjectives | stage=3 base=reach
 9665 | readable                       | 可讀的                            | 🎨        | chunks=['rea', 'dab', 'le'] | py=ㄌㄝ-ㄉㄚㄅ-ㄌㄧ | theme=adjectives | stage=3 base=read
 9666 | recoverable                    | 可恢復的                           | 🎨        | chunks=['re', 'co', 've', 'rab', 'le'] | py=ㄌㄧ-ㄎㄛ-ㄈㄜ-ㄖㄝ-ㄌㄧ | theme=adjectives | stage=3 base=recover
 9667 | regrettable                    | 令人遺憾的                          | 🎨        | chunks=['reg', 'ret', 'tab', 'le'] | py=ㄌㄝ-ㄌㄝㄊ-ㄊㄚ-ㄌㄧ | theme=adjectives | stage=3 base=regret
 9668 | reusable                       | 可重複使用的                         | 🎨        | chunks=['reu', 'sab', 'le'] | py=ㄖㄝㄚ-ㄙㄚㄅ-ㄌㄧ | theme=adjectives | stage=3 base=reuse
 9669 | returnable                     | 可退回的                           | 🎨        | chunks=['re', 'tur', 'nab', 'le'] | py=ㄌㄧ-ㄊㄜ-ㄋㄚㄅ-ㄌㄧ | theme=adjectives | stage=3 base=return
 9670 | reversible                     | 可逆的                            | 🎨        | chunks=['re', 'ver', 'sib', 'le'] | py=ㄌㄧ-ㄈㄜ-ㄒㄧㄅ-ㄌㄧ | theme=adjectives | stage=3 base=reverse
 9671 | searchable                     | 可搜尋的                           | 🎨        | chunks=['sear', 'chab', 'le'] | py=ㄙㄧㄜ-ㄔㄚㄅ-ㄌㄧ | theme=adjectives | stage=3 base=search
 9672 | serviceable                    | 可使用的                           | 🎨        | chunks=['ser', 'vi', 'ceab', 'le'] | py=ㄗㄜ-ㄈㄞ-ㄎㄧㄅ-ㄌㄧ | theme=adjectives | stage=3 base=service
 9673 | sizeable                       | 相當大的                           | 🎨        | chunks=['si', 'zeab', 'le'] | py=ㄗㄜ-ㄗㄧㄅ-ㄌㄧ | theme=adjectives | stage=3 base=size
 9674 | solvable                       | 可解決的                           | 🎨        | chunks=['sol', 'vab', 'le'] | py=ㄙㄚ-ㄨㄚㄅ-ㄌㄧ | theme=adjectives | stage=3 base=solve
 9675 | traceable                      | 可追蹤的                           | 🌐        | chunks=['tra', 'ceab', 'le'] | py=ㄊㄌㄚ-ㄎㄧㄅ-ㄌㄧ | theme=internet | stage=3 base=trace
 9676 | treatable                      | 可治療的                           | 🎨        | chunks=['trea', 'tab', 'le'] | py=ㄊㄌㄧ-ㄊㄚ-ㄌㄧ | theme=adjectives | stage=3 base=treat
 9677 | unable                         | 不能的                            | 🎨        | chunks=['u', 'nab', 'le'] | py=ㄧㄨ-ㄋㄚㄅ-ㄌㄧ | theme=adjectives | stage=3
 9678 | unbearable                     | 無法忍受的                          | 😣        | chunks=['un', 'bea', 'rab', 'le'] | py=ㄚㄣ-ㄅㄧ-ㄖㄝ-ㄌㄧ | theme=law | stage=3
 9679 | unbelievable                   | 難以置信的                          | 🎨        | chunks=['un', 'be', 'lie', 'vab', 'le'] | py=ㄚㄣ-ㄅㄧ-ㄌㄞ-ㄨㄚㄅ-ㄌㄧ | theme=adjectives | stage=3
 9680 | uncomfortable                  | 不舒服的                           | 🎨        | chunks=['un', 'com', 'for', 'tab', 'le'] | py=ㄚㄣ-ㄎㄚㄇ-ㄈㄛ-ㄊㄚ-ㄌㄧ | theme=adjectives | stage=3
 9681 | unforgettable                  | 難忘的                            | 🎨        | chunks=['un', 'for', 'get', 'tab', 'le'] | py=ㄚㄣ-ㄈㄛ-ㄍㄝㄊ-ㄊㄚ-ㄌㄧ | theme=adjectives | stage=3
 9682 | unforgivable                   | 不可原諒的                          | 🎨        | chunks=['un', 'for', 'gi', 'vab', 'le'] | py=ㄚㄣ-ㄈㄛ-ㄐㄜ-ㄨㄚㄅ-ㄌㄧ | theme=adjectives | stage=3
 9683 | unreliable                     | 不可靠的                           | 🎨        | chunks=['un', 're', 'liab', 'le'] | py=ㄚㄣ-ㄌㄧ-ㄌㄧㄚㄅ-ㄌㄧ | theme=adjectives | stage=3
 9684 | unstable                       | 不穩定的                           | 🎨        | chunks=['un', 'stab', 'le'] | py=ㄚㄣ-ㄙㄊㄚㄅ-ㄌㄧ | theme=adjectives | stage=3
 9685 | viable                         | 可行的                            | 🎨        | chunks=['viab', 'le'] | py=ㄨㄧㄚㄅ-ㄌㄧ | theme=adjectives | stage=3
 9686 | washable                       | 可洗的                            | 🎨        | chunks=['was', 'hab', 'le'] | py=ㄨㄚㄙ-ㄏㄚㄅ-ㄌㄧ | theme=adjectives | stage=3 base=wash
 9687 | alleviate                      | 減輕                             | 🏃        | chunks=['al', 'le', 'via', 'te'] | py=ㄦ-ㄌㄧ-ㄨㄧㄚ-ㄊㄧ | theme=numbers | stage=3
 9688 | appease                        | 安撫                             | 🏃        | chunks=['ap', 'pea', 'se'] | py=ㄚ-ㄆㄧ-ㄙㄜ | theme=actions | stage=3
 9689 | aspire                         | 嚮往                             | 🏃        | chunks=['as', 'pi', 're'] | py=ㄚ-ㄆㄧ-ㄌㄧ | theme=actions | stage=3
 9690 | assail                         | 攻擊                             | 🏃        | chunks=['as', 'sail'] | py=ㄚ-ㄙㄟㄛ | theme=actions | stage=3
 9691 | astound                        | 使震驚                            | 🏃        | chunks=['as', 'tound'] | py=ㄚ-ㄊㄠㄋㄉ | theme=actions | stage=3
 9692 | augment                        | 增加、增強(原本的東西)                   | 🎨        | chunks=['aug', 'ment'] | py=ㄛㄍ-ㄇㄣㄊ | theme=adjectives | stage=3
 9693 | avert                          | 避免                             | 🏃        | chunks=['a', 'vert'] | py=ㄜ-ㄈㄜㄊ | theme=actions | stage=3
 9694 | beam                           | 光束、照射、露齒笑                      | 🏃        | chunks=['be', 'am'] | py=ㄅㄧ-ㄚㄇ | theme=actions | stage=3
 9695 | beguile                        | 欺騙                             | 🎨        | chunks=['be', 'gui', 'le'] | py=ㄅㄧ-ㄍㄧ-ㄌㄧ | theme=adjectives | stage=3
 9696 | belittle                       | 輕視                             | 🏃        | chunks=['be', 'lit', 'tle'] | py=ㄅㄧ-ㄌㄧ-ㄉㄜ | theme=actions | stage=3
 9697 | berate                         | 痛斥                             | 🏃        | chunks=['be', 'ra', 'te'] | py=ㄅㄧ-ㄌㄚ-ㄊㄧ | theme=actions | stage=3
 9698 | bestow                         | 贈與                             | 🏃        | chunks=['bes', 'tow'] | py=ㄅㄝㄙ-ㄊㄠ | theme=actions | stage=3
 9699 | bewilder                       | 使困惑                            | 🏃        | chunks=['be', 'wil', 'der'] | py=ㄅㄧ-ㄨㄧㄌ-ㄉㄜ | theme=actions | stage=3
 9700 | bolster                        | 增強                             | 🏃        | chunks=['bol', 'ster'] | py=ㄅㄛ-ㄙㄉㄜ | theme=actions | stage=3
 9701 | chastise                       | 責罰                             | 🏃        | chunks=['chas', 'ti', 'se'] | py=ㄔㄚㄙ-ㄊㄜ-ㄙㄜ | theme=actions | stage=3
 9702 | clamor                         | 喧囂                             | 🏃        | chunks=['cla', 'mor'] | py=ㄎㄌㄝ-ㄇㄜ | theme=actions | stage=3
 9703 | coerce                         | 強迫                             | 🏃        | chunks=['coer', 'ce'] | py=ㄎㄛㄖ-ㄙㄜ | theme=actions | stage=3
 9704 | concur                         | 同意                             | 🏃        | chunks=['con', 'cur'] | py=ㄎㄚㄣ-ㄎㄜ | theme=actions | stage=3
 9705 | confide                        | 吐露(秘密)、信賴                      | 🤫        | chunks=['con', 'fi', 'de'] | py=ㄎㄚㄣ-ㄈㄜ-ㄉㄧ | theme=emotions | stage=3
 9706 | confiscate                     | 沒收                             | 🏃        | chunks=['con', 'fis', 'ca', 'te'] | py=ㄎㄚㄣ-ㄈㄧㄙ-ㄎㄚ-ㄊㄧ | theme=actions | stage=3
 9707 | construe                       | 解讀、理解為                         | 🏃        | chunks=['cons', 'true'] | py=ㄎㄛㄋㄙ-ㄊㄖㄩ | theme=actions | stage=3
 9708 | converge                       | 聚集                             | 🏃        | chunks=['con', 'ver', 'ge'] | py=ㄎㄚㄣ-ㄈㄜ-ㄐㄧ | theme=actions | stage=3
 9709 | corroborate                    | 證實                             | 🏃        | chunks=['cor', 'ro', 'bo', 'ra', 'te'] | py=ㄎㄛ-ㄌㄛ-ㄅㄛ-ㄌㄚ-ㄊㄧ | theme=actions | stage=4
 9710 | curtail                        | 縮短                             | 🏃        | chunks=['cur', 'tail'] | py=ㄎㄜ-ㄊㄟㄦ | theme=actions | stage=3
 9711 | dampen                         | 使潮濕                            | 🏃        | chunks=['dam', 'pen'] | py=ㄉㄣ-ㄆㄣ | theme=weather | stage=3
 9712 | dawdle                         | 磨蹭                             | 🏃        | chunks=['daw', 'dle'] | py=ㄉㄛ-ㄉㄜ | theme=actions | stage=3
 9713 | decipher                       | 破譯                             | 🏃        | chunks=['de', 'cip', 'her'] | py=ㄉㄧ-ㄎㄧㄆ-ㄏㄜ | theme=actions | stage=3
 9714 | declaim                        | 宣稱                             | 🏃        | chunks=['dec', 'laim'] | py=ㄉㄝ-ㄌㄟㄇ | theme=actions | stage=3
 9715 | delineate                      | 描繪                             | 🏃        | chunks=['de', 'li', 'nea', 'te'] | py=ㄉㄧ-ㄌㄧ-ㄋㄧ-ㄊㄧ | theme=actions | stage=3
 9716 | deplete                        | 耗盡                             | 🏃        | chunks=['dep', 'le', 'te'] | py=ㄉㄝ-ㄌㄧ-ㄊㄧ | theme=actions | stage=3
 9717 | deplore                        | 哀嘆                             | 😢        | chunks=['dep', 'lo', 're'] | py=ㄉㄝ-ㄌㄛ-ㄌㄧ | theme=emotions | stage=3
 9718 | deport                         | 驅逐                             | 🏃        | chunks=['de', 'port'] | py=ㄉㄧ-ㄆㄛㄦㄊ | theme=actions | stage=3
 9719 | desecrate                      | 褻瀆                             | 🏃        | chunks=['de', 'sec', 'ra', 'te'] | py=ㄉㄧ-ㄙㄝㄎ-ㄌㄚ-ㄊㄧ | theme=actions | stage=3
 9720 | devastate                      | 摧毀                             | 🏃        | chunks=['de', 'vas', 'ta', 'te'] | py=ㄉㄧ-ㄈㄜㄙ-ㄊㄝ-ㄊㄧ | theme=actions | stage=3
 9721 | digress                        | 離題                             | 🏃        | chunks=['dig', 'ress'] | py=ㄉㄧ-ㄖㄝㄙㄙ | theme=actions | stage=3
 9722 | disdain                        | 輕視                             | 🏃        | chunks=['dis', 'dain'] | py=ㄉㄧㄙ-ㄉㄟㄋ | theme=actions | stage=3
 9723 | dispel                         | 驅散                             | 🏃        | chunks=['dis', 'pel'] | py=ㄉㄧㄙ-ㄆㄦ | theme=actions | stage=3
 9724 | dissect                        | 解剖                             | 🏃        | chunks=['dis', 'sect'] | py=ㄉㄧㄙ-ㄙㄝㄎㄊ | theme=actions | stage=3
 9725 | disseminate                    | 散布                             | 📡        | chunks=['dis', 'se', 'mi', 'na', 'te'] | py=ㄉㄧㄙ-ㄙㄜ-ㄇㄞ-ㄋㄚ-ㄊㄧ | theme=materials | stage=4
 9726 | dissipate                      | 驅散                             | 🏃        | chunks=['dis', 'si', 'pa', 'te'] | py=ㄉㄧㄙ-ㄗㄜ-ㄆㄜ-ㄊㄧ | theme=actions | stage=3
 9727 | divulge                        | 洩漏                             | 🏃        | chunks=['di', 'vul', 'ge'] | py=ㄉㄧ-ㄈㄚㄦ-ㄐㄧ | theme=actions | stage=3
 9728 | elicit                         | 引出                             | 🏃        | chunks=['e', 'li', 'cit'] | py=ㄧ-ㄌㄧ-ㄒㄧ | theme=actions | stage=3
 9729 | elude                          | 逃避                             | 🏃        | chunks=['e', 'lu', 'de'] | py=ㄧ-ㄌㄨ-ㄉㄧ | theme=actions | stage=3
 9730 | embezzle                       | 侵占                             | 🏃        | chunks=['em', 'bez', 'zle'] | py=ㄝㄇ-ㄅㄝ-ㄗㄜ | theme=actions | stage=3
 9731 | embody                         | 體現                             | 🏃        | chunks=['em', 'bo', 'dy'] | py=ㄝㄇ-ㄅㄛ-ㄉㄧ | theme=actions | stage=3
 9732 | emit                           | 發射                             | 🏃        | chunks=['e', 'mit'] | py=ㄧ-ㄇㄧㄊ | theme=actions | stage=3
 9733 | encompass                      | 包含                             | 🏃        | chunks=['en', 'com', 'pass'] | py=ㄣ-ㄎㄚㄇ-ㄆㄚㄙ | theme=actions | stage=3
 9734 | engulf                         | 吞沒                             | 🏃        | chunks=['en', 'gulf'] | py=ㄣ-ㄍㄚㄌㄈ | theme=actions | stage=3
 9735 | enrage                         | 激怒                             | 🏃        | chunks=['en', 'ra', 'ge'] | py=ㄣ-ㄌㄚ-ㄐㄧ | theme=actions | stage=3
 9736 | ensue                          | 接著發生                           | 🏃        | chunks=['en', 'sue'] | py=ㄣ-ㄒㄩ | theme=actions | stage=3
 9737 | entail                         | 需要                             | 🏃        | chunks=['en', 'tail'] | py=ㄣ-ㄊㄟㄦ | theme=actions | stage=3
 9738 | entangle                       | 糾纏                             | 🏃        | chunks=['en', 'tan', 'gle'] | py=ㄣ-ㄊㄢ-ㄍㄜ | theme=actions | stage=3
 9739 | entice                         | 誘惑                             | 🏃        | chunks=['en', 'ti', 'ce'] | py=ㄣ-ㄊㄜ-ㄙㄜ | theme=actions | stage=3
 9740 | entrust                        | 託付                             | 🏃        | chunks=['en', 'trust'] | py=ㄣ-ㄊㄌㄚㄙㄊ | theme=actions | stage=3
 9741 | envelop                        | 包圍                             | 🏃        | chunks=['en', 've', 'lop'] | py=ㄣ-ㄈㄜ-ㄌㄛㄆ | theme=actions | stage=3
 9742 | envision                       | 想像                             | 🎓        | chunks=['en', 'vi', 'sion'] | py=ㄣ-ㄈㄞ-ㄒㄣ | theme=academic-words | stage=3
 9743 | evade                          | 逃避                             | 🏃        | chunks=['e', 'va', 'de'] | py=ㄧ-ㄈㄚ-ㄉㄧ | theme=actions | stage=3
 9744 | exacerbate                     | 加劇                             | 🏃        | chunks=['e', 'xa', 'cer', 'ba', 'te'] | py=ㄧ-ㄎㄙㄚ-ㄙㄜ-ㄅㄟ-ㄊㄧ | theme=numbers | stage=4
 9745 | exalt                          | 讚美                             | 🙌        | chunks=['e', 'xalt'] | py=ㄧ-ㄎㄙㄚㄌㄊ | theme=appearance | stage=3
 9746 | exasperate                     | 激怒                             | 🏃        | chunks=['e', 'xas', 'pe', 'ra', 'te'] | py=ㄧ-ㄎㄙㄚㄙ-ㄆㄜ-ㄌㄚ-ㄊㄧ | theme=actions | stage=3
 9747 | exempt                         | 免除                             | 🏃        | chunks=['e', 'xempt'] | py=ㄧ-ㄎㄙㄝㄇㄆㄊ | theme=numbers | stage=3
 9748 | exhale                         | 呼氣                             | 🏃        | chunks=['ex', 'ha', 'le'] | py=ㄝㄎㄙ-ㄏㄜ-ㄌㄧ | theme=actions | stage=3
 9749 | exhilarate                     | 使興奮                            | 🤩        | chunks=['ex', 'hi', 'la', 'ra', 'te'] | py=ㄝㄎㄙ-ㄏㄞ-ㄌㄚ-ㄌㄚ-ㄊㄧ | theme=emotions | stage=3
 9750 | exonerate                      | 免除                             | 🏃        | chunks=['e', 'xo', 'ne', 'ra', 'te'] | py=ㄧ-ㄎㄙㄛ-ㄋㄧ-ㄌㄚ-ㄊㄧ | theme=numbers | stage=4
 9751 | expedite                       | 加速                             | 🏃        | chunks=['ex', 'pe', 'di', 'te'] | py=ㄝㄎㄙ-ㄆㄜ-ㄉㄧ-ㄊㄧ | theme=numbers | stage=3
 9752 | extinguish                     | 熄滅                             | 🎨        | chunks=['ex', 'tin', 'guish'] | py=ㄝㄎㄙ-ㄊㄧㄣ-ㄍㄨㄧㄒ | theme=adjectives | stage=3
 9753 | extricate                      | 解救                             | 🏃        | chunks=['ex', 'tri', 'ca', 'te'] | py=ㄝㄎㄙ-ㄊㄌㄧ-ㄎㄚ-ㄊㄧ | theme=actions | stage=3
 9754 | exude                          | 流露                             | 🏃        | chunks=['e', 'xu', 'de'] | py=ㄧ-ㄎㄙㄚ-ㄉㄧ | theme=actions | stage=3
 9755 | fabricate                      | 編造                             | 🏃        | chunks=['fab', 'ri', 'ca', 'te'] | py=ㄈㄚ-ㄌㄧ-ㄎㄚ-ㄊㄧ | theme=actions | stage=3
 9756 | fathom                         | 理解                             | 🏃        | chunks=['fat', 'hom'] | py=ㄈㄚ-ㄏㄚ | theme=actions | stage=3
 9757 | fend                           | 抵擋                             | 🏃        | chunks=['fe', 'nd'] | py=ㄈㄧ-ㄋㄉ | theme=actions | stage=3
 9758 | flinch                         | 畏縮                             | 🏃        | chunks=['fli', 'nch'] | py=ㄈㄌㄧ-ㄋㄔ | theme=actions | stage=3
 9759 | forbear                        | 克制                             | 🏃        | chunks=['for', 'bear'] | py=ㄈㄛ-ㄅㄧㄦ | theme=actions | stage=3
 9760 | forfeit                        | 喪失                             | 🏃        | chunks=['for', 'feit'] | py=ㄈㄛ-ㄈㄝㄊ | theme=actions | stage=3
 9761 | forge                          | 偽造                             | 🏃        | chunks=['for', 'ge'] | py=ㄈㄛ-ㄐㄧ | theme=actions | stage=3 [有易混提示]
 9762 | fumble                         | 摸索                             | 🏃        | chunks=['fum', 'ble'] | py=ㄈㄚㄇ-ㄅㄜ | theme=actions | stage=3
 9763 | gauge                          | 測量                             | 🏃        | chunks=['gau', 'ge'] | py=ㄍㄛ-ㄐㄧ | theme=actions | stage=3 [有易混提示]
 9764 | glorify                        | 頌揚                             | 🏃        | chunks=['glo', 'ri', 'fy'] | py=ㄍㄌㄛ-ㄌㄧ-ㄈㄞ | theme=actions | stage=3 base=glory
 9765 | grapple                        | 抓住                             | 🏃        | chunks=['grap', 'ple'] | py=ㄍㄖㄚㄆ-ㄆㄜ | theme=actions | stage=3
 9766 | hoard                          | 囤積                             | 🏃        | chunks=['hoa', 'rd'] | py=ㄏㄛ-ㄖㄉ | theme=actions | stage=3
 9767 | idolize                        | 崇拜                             | 🏃        | chunks=['i', 'do', 'li', 'ze'] | py=ㄞ-ㄉㄜ-ㄌㄞㄗ | theme=actions | stage=3 base=idol
 9768 | ignite                         | 點燃                             | 🏃        | chunks=['ig', 'ni', 'te'] | py=ㄧㄍ-ㄋㄜ-ㄊㄧ | theme=actions | stage=3
 9769 | immobilize                     | 使不能動                           | 🏃        | chunks=['im', 'mo', 'bi', 'li', 'ze'] | py=ㄧㄇ-ㄇㄛ-ㄅㄞ-ㄌㄧ-ㄗㄧ | theme=actions | stage=3
 9770 | impair                         | 損害                             | 🏃        | chunks=['im', 'pair'] | py=ㄧㄇ-ㄆㄝㄜ | theme=actions | stage=3
 9771 | impart                         | 傳授                             | 🏃        | chunks=['im', 'part'] | py=ㄧㄇ-ㄆㄚㄦㄊ | theme=actions | stage=3
 9772 | impede                         | 阻礙                             | 🏃        | chunks=['im', 'pe', 'de'] | py=ㄧㄇ-ㄆㄜ-ㄉㄧ | theme=actions | stage=3
 9773 | implore                        | 懇求                             | 🏃        | chunks=['im', 'plo', 're'] | py=ㄧㄇ-ㄆㄌㄛ-ㄌㄧ | theme=actions | stage=3
 9774 | improvise                      | 即興                             | 🏃        | chunks=['im', 'pro', 'vi', 'se'] | py=ㄧㄇ-ㄆㄜ-ㄈㄞ-ㄙㄜ | theme=actions | stage=3
 9775 | inaugurate                     | 就職                             | 🏃        | chunks=['i', 'nau', 'gu', 'ra', 'te'] | py=ㄧ-ㄋㄛ-ㄍㄧㄨ-ㄖㄟㄊ | theme=actions | stage=3
 9776 | incite                         | 煽動                             | 🏃        | chunks=['in', 'ci', 'te'] | py=ㄧㄣ-ㄙㄜ-ㄊㄧ | theme=actions | stage=3
 9777 | infiltrate                     | 滲透                             | 🏃        | chunks=['in', 'fil', 'tra', 'te'] | py=ㄧㄣ-ㄈㄜ-ㄊㄌㄚ-ㄊㄧ | theme=actions | stage=3
 9778 | inflate                        | 膨脹                             | 🏃        | chunks=['in', 'fla', 'te'] | py=ㄧㄣ-ㄈㄌㄝ-ㄊㄧ | theme=actions | stage=3
 9779 | infringe                       | 侵犯                             | 🏃        | chunks=['in', 'frin', 'ge'] | py=ㄧㄣ-ㄈㄖㄧㄋ-ㄐㄧ | theme=crime | stage=3
 9780 | inscribe                       | 銘刻                             | 🏃        | chunks=['ins', 'cri', 'be'] | py=ㄧㄋㄙ-ㄎㄌㄞ-ㄅㄧ | theme=actions | stage=3
 9781 | intercept                      | 攔截                             | 🏃        | chunks=['in', 'ter', 'cept'] | py=ㄧㄣ-ㄊㄜ-ㄙㄝㄆㄊ | theme=actions | stage=3
 9782 | intermingle                    | 混合                             | 🏃        | chunks=['in', 'ter', 'min', 'gle'] | py=ㄧㄣ-ㄊㄜ-ㄇㄧ-ㄍㄜ | theme=actions | stage=3
 9783 | intrigue                       | 吸引                             | 🏃        | chunks=['in', 'tri', 'gue'] | py=ㄧㄣ-ㄊㄌㄧ-ㄍㄝ | theme=actions | stage=3
 9784 | inundate                       | 淹沒                             | 🏃        | chunks=['i', 'nun', 'da', 'te'] | py=ㄧ-ㄋㄚㄋ-ㄉㄟㄊ | theme=actions | stage=3
 9785 | jeopardize                     | 危及                             | 🏃        | chunks=['jeo', 'par', 'di', 'ze'] | py=ㄐㄝㄛ-ㄆㄚㄦ-ㄉㄧ-ㄗㄧ | theme=actions | stage=3
 9786 | juxtapose                      | 並置                             | 🏃        | chunks=['jux', 'ta', 'po', 'se'] | py=ㄐㄚㄎㄙ-ㄊㄝ-ㄆㄛ-ㄙㄜ | theme=actions | stage=4
 9787 | languish                       | 變憔悴、凋零                         | 🎨        | chunks=['lan', 'guish'] | py=ㄌㄢ-ㄍㄨㄧㄒ | theme=adjectives | stage=3
 9788 | lavish                         | 奢華的、揮霍                         | 🎨        | chunks=['la', 'vish'] | py=ㄌㄚ-ㄨㄧㄒ | theme=adjectives | stage=3
 9789 | leash                          | 牽繩、用繩拴住                        | 🏃        | chunks=['lea', 'sh'] | py=ㄌㄝ-ㄒ | theme=actions | stage=3
 9790 | loom                           | 隱現                             | 🏃        | chunks=['lo', 'om'] | py=ㄌㄛ-ㄚㄇ | theme=actions | stage=3 [有易混提示]
 9791 | meander                        | 蜿蜒                             | 🏃        | chunks=['mean', 'der'] | py=ㄇㄧㄣ-ㄉㄜ | theme=actions | stage=3
 9792 | mortify                        | 使羞愧                            | 😳        | chunks=['mor', 'ti', 'fy'] | py=ㄇㄜ-ㄊㄜ-ㄈㄞ | theme=emotions | stage=3
 9793 | nudge                          | 輕推                             | 🏃        | chunks=['nud', 'ge'] | py=ㄋㄚㄉ-ㄐㄧ | theme=actions | stage=3
 9794 | nullify                        | 使無效                            | 🏃        | chunks=['nul', 'li', 'fy'] | py=ㄋㄚㄌ-ㄌㄧ-ㄈㄞ | theme=actions | stage=3
 9795 | obstruct                       | 阻礙                             | 🏃        | chunks=['obs', 'truct'] | py=ㄛㄅㄙ-ㄊㄖㄚㄎㄊ | theme=actions | stage=3
 9796 | orchestrate                    | 安排                             | 🏃        | chunks=['or', 'ches', 'tra', 'te'] | py=ㄛㄦ-ㄎㄝㄙ-ㄊㄌㄚ-ㄊㄧ | theme=actions | stage=3
 9797 | outwit                         | 智勝                             | 🏃        | chunks=['out', 'wit'] | py=ㄠㄊ-ㄨㄧ | theme=actions | stage=3
 9798 | overhaul                       | 大修                             | 🏃        | chunks=['o', 'ver', 'haul'] | py=ㄛ-ㄈㄜ-ㄏㄛㄌ | theme=actions | stage=3
 9799 | overpower                      | 制服                             | 💪        | chunks=['o', 'ver', 'po', 'wer'] | py=ㄛ-ㄈㄜ-ㄆㄛ-ㄜ | theme=clothing | stage=3
 9800 | overrule                       | 駁回                             | 🏃        | chunks=['o', 'ver', 'ru', 'le'] | py=ㄛ-ㄈㄜ-ㄌㄨ-ㄌㄧ | theme=actions | stage=3
 9801 | overrun                        | 蔓延                             | 🏃        | chunks=['o', 'ver', 'run'] | py=ㄛ-ㄈㄜ-ㄌㄚㄣ | theme=actions | stage=3
 9802 | overshadow                     | 使黯然失色                          | 🏃        | chunks=['o', 'ver', 'sha', 'dow'] | py=ㄛ-ㄈㄜ-ㄒㄚ-ㄉㄛ | theme=actions | stage=3
 9803 | overstate                      | 誇大                             | 🏃        | chunks=['o', 'ver', 'sta', 'te'] | py=ㄛ-ㄈㄜ-ㄙㄉㄝ-ㄊㄧ | theme=actions | stage=3
 9804 | paraphrase                     | 改寫                             | 🏃        | chunks=['pa', 'rap', 'hra', 'se'] | py=ㄆㄜ-ㄌㄚ-ㄏㄖㄚ-ㄙㄜ | theme=actions | stage=3
 9805 | peruse                         | 閱讀                             | 📖        | chunks=['pe', 'ru', 'se'] | py=ㄆㄜ-ㄌㄨ-ㄙㄜ | theme=hobbies | stage=3
 9806 | petition                       | 請願                             | 🎓        | chunks=['pe', 'ti', 'tion'] | py=ㄆㄜ-ㄊㄜ-ㄒㄣ | theme=academic-words | stage=3
 9807 | placate                        | 撫慰                             | 🏃        | chunks=['pla', 'ca', 'te'] | py=ㄆㄌㄚ-ㄎㄚ-ㄊㄧ | theme=actions | stage=3
 9808 | plagiarize                     | 剽竊                             | 🏃        | chunks=['pla', 'gia', 'ri', 'ze'] | py=ㄆㄌㄚ-ㄐㄧㄚ-ㄌㄧ-ㄗㄧ | theme=actions | stage=4
 9809 | plunder                        | 掠奪                             | 🏃        | chunks=['plun', 'der'] | py=ㄆㄌㄚㄣ-ㄉㄜ | theme=actions | stage=3
