# 字 1000-1499
 1000 | mosquito                       | 蚊子                             | 🦟        | chunks=['mos', 'qui', 'to'] | py=ㄇㄚㄙ-ㄎㄧ-ㄊㄛ | theme=animals | stage=1
 1186 | professor                      | 教授                             | 👨‍🏫      | chunks=['pro', 'fes', 'sor'] | py=ㄆㄜ-ㄈㄝ-ㄙㄜ | theme=school | stage=2 base=profess
 1187 | kindergarten                   | 幼稚園                            | 🏫        | chunks=['kin', 'der', 'gar', 'ten'] | py=ㄎㄧㄣ-ㄉㄜ-ㄍㄚㄦ-ㄉㄣ | theme=school | stage=2
 1188 | preschool                      | 學前                             | 🏫        | chunks=['pre', 'school'] | py=ㄆㄌㄧ-ㄙㄎㄨㄦ | theme=school | stage=2
 1189 | scholarship                    | 獎學金                            | 💰        | chunks=['scho', 'lar', 'ship'] | py=ㄙㄎㄚ-ㄌㄜ-ㄒㄧㄆ | theme=school | stage=3
 1190 | tuition                        | 學費                             | 💵        | chunks=['tu', 'i', 'tion'] | py=ㄊㄧㄨ-ㄧ-ㄒㄣ | theme=school | stage=3
 1191 | course                         | 課程                             | 📚        | chunks=['c', 'ourse'] | py=ㄎㄛㄦㄙ | theme=school | stage=1 [有易混提示]
 1192 | lecture                        | 講課                             | 🎤        | chunks=['lec', 'ture'] | py=ㄌㄝㄎ-ㄑㄜ | theme=school | stage=2
 1193 | essay                          | 作文                             | 📝        | chunks=['es', 'say'] | py=ㄝ-ㄙㄟ | theme=school | stage=2 [有易混提示]
 1194 | project                        | 專題                             | 📊        | chunks=['pro', 'ject'] | py=ㄆㄌㄚ-ㄐㄝㄎㄊ | theme=school | stage=1 [有易混提示]
 1195 | presentation                   | 簡報、口頭報告                        | 📊        | chunks=['pre', 'sen', 'ta', 'tion'] | py=ㄆㄌㄝ-ㄗㄣ-ㄊㄟ-ㄒㄣ | theme=school | stage=2 base=present
 1196 | report                         | 報告                             | 📄        | chunks=['re', 'port'] | py=ㄌㄧ-ㄆㄛㄦㄊ | theme=school | stage=1 [有易混提示]
 1197 | assignment                     | 指派作業、任務                        | 📝        | chunks=['as', 'sign', 'ment'] | py=ㄚ-ㄙㄞㄣ-ㄇㄣㄊ | theme=school | stage=2 base=assign
 1198 | grammar                        | 文法                             | 📖        | chunks=['gram', 'mar'] | py=ㄍㄌㄚ-ㄇㄜ | theme=school | stage=2
 1199 | alphabet                       | 字母                             | 🔤        | chunks=['al', 'pha', 'bet'] | py=ㄚㄦ-ㄈㄚ-ㄅㄝㄊ | theme=school | stage=1
 1200 | sentence                       | 句子                             | 📝        | chunks=['sen', 'tence'] | py=ㄙㄣ-ㄊㄣㄙ | theme=school | stage=1 [有易混提示]
 1201 | roof                           | 屋頂                             | 🏠        | chunks=['r', 'oof'] | py=ㄌㄨㄈ | theme=home-items | stage=0
 1202 | wall                           | 牆                              | 🧱        | chunks=['w', 'all'] | py=ㄨㄛㄦ | theme=home-items | stage=0
 1203 | floor                          | 地板                             | 🪵        | chunks=['fl', 'oor'] | py=ㄈㄌㄛㄦ | theme=home-items | stage=0 [有易混提示]
 1204 | ceiling                        | 天花板                            | ⬜        | chunks=['cei', 'ling'] | py=ㄒㄧ-ㄌㄧㄥ | theme=home-items | stage=1
 1205 | stairs                         | 樓梯                             | 🪜        | chunks=['st', 'airs'] | py=ㄙㄉㄝㄗ | theme=home-items | stage=0
 1206 | staircase                      | 階梯                             | 🪜        | chunks=['stair', 'case'] | py=ㄙㄉㄝ-ㄎㄝㄙ | theme=home-items | stage=1
 1207 | carpet                         | 地毯                             | 🟫        | chunks=['car', 'pet'] | py=ㄎㄚㄦ-ㄆㄜㄊ | theme=home-items | stage=1
 1208 | rug                            | 小地毯                            | 🟫        | chunks=['r', 'ug'] | py=ㄌㄚㄍ | theme=home-items | stage=1
 1209 | curtain                        | 窗簾                             | 🪟        | chunks=['cur', 'tain'] | py=ㄎㄜ-ㄊㄣ | theme=home-items | stage=1
 1210 | blanket                        | 毯子                             | 🛏️       | chunks=['blan', 'ket'] | py=ㄅㄌㄢ-ㄎㄝㄊ | theme=home-items | stage=1
 1211 | sheet                          | 床單                             | 🛏️       | chunks=['sh', 'eet'] | py=ㄒㄧㄊ | theme=home-items | stage=1 [有易混提示]
 1212 | mattress                       | 床墊                             | 🛏️       | chunks=['mat', 'tress'] | py=ㄇㄚ-ㄊㄌㄝㄙ | theme=home-items | stage=2
 1213 | fan                            | 電風扇                            | 💨        | chunks=['f', 'an'] | py=ㄈㄚㄣ | theme=home-items | stage=0 [有易混提示]
 1214 | heater                         | 暖氣                             | ♨️       | chunks=['hea', 'ter'] | py=ㄏㄧ-ㄊㄜ | theme=home-items | stage=1 base=heat
 1215 | radiator                       | 散熱器                            | ♨️       | chunks=['ra', 'di', 'a', 'tor'] | py=ㄌㄟ-ㄉㄧ-ㄝ-ㄊㄜ | theme=home-items | stage=3 base=radiate
 1216 | cushion                        | 椅墊                             | 🛋️       | chunks=['cu', 'shion'] | py=ㄎㄨ-ㄒㄣ | theme=home-items | stage=1
 1217 | closet                         | 衣櫥                             | 🚪        | chunks=['clo', 'set'] | py=ㄎㄌㄚ-ㄗㄝㄊ | theme=home-items | stage=1
 1218 | wardrobe                       | 衣櫃                             | 🚪        | chunks=['ward', 'robe'] | py=ㄨㄛㄦ-ㄉㄌㄛㄅ | theme=home-items | stage=2
 1219 | drawer                         | 抽屜                             | 🗄️       | chunks=['dr', 'awer'] | py=ㄉㄌㄛㄜ | theme=home-items | stage=1 base=draw
 1220 | shelf                          | 架子                             | 🪑        | chunks=['sh', 'elf'] | py=ㄒㄝㄦㄈ | theme=home-items | stage=1
 1221 | bookshelf                      | 書架                             | 📚        | chunks=['book', 'shelf'] | py=ㄅㄨㄎ-ㄒㄝㄦㄈ | theme=home-items | stage=1
 1222 | cabinet                        | 櫥櫃                             | 🗄️       | chunks=['ca', 'bi', 'net'] | py=ㄎㄚ-ㄅㄧ-ㄋㄝㄊ | theme=home-items | stage=2
 1223 | cupboard                       | 碗櫃                             | 🗄️       | chunks=['cup', 'board'] | py=ㄎㄚ-ㄅㄜㄉ | theme=home-items | stage=2
 1224 | dresser                        | 梳妝台                            | 🪞        | chunks=['dres', 'ser'] | py=ㄉㄌㄝ-ㄙㄜ | theme=home-items | stage=2
 1225 | nightstand                     | 床頭櫃                            | 🛏️       | chunks=['night', 'stand'] | py=ㄋㄞㄊ-ㄙㄉㄢㄉ | theme=home-items | stage=2
 1226 | fireplace                      | 壁爐                             | 🔥        | chunks=['fire', 'place'] | py=ㄈㄞㄜ-ㄆㄌㄝㄙ | theme=home-items | stage=1
 1227 | chimney                        | 煙囪                             | 🏭        | chunks=['chim', 'ney'] | py=ㄑㄧㄇ-ㄋㄧ | theme=home-items | stage=2
 1228 | doorbell                       | 門鈴                             | 🔔        | chunks=['door', 'bell'] | py=ㄉㄛㄦ-ㄅㄝㄦ | theme=home-items | stage=1
 1229 | doormat                        | 門墊                             | 🚪        | chunks=['door', 'mat'] | py=ㄉㄛㄦ-ㄇㄚㄊ | theme=home-items | stage=2
 1230 | switch                         | 開關                             | 🎚️       | chunks=['sw', 'itch'] | py=ㄙㄨㄧㄑ | theme=home-items | stage=1
 1231 | socket                         | 插座                             | 🔌        | chunks=['soc', 'ket'] | py=ㄙㄚ-ㄎㄜㄊ | theme=home-items | stage=2
 1232 | plug                           | 插頭                             | 🔌        | chunks=['pl', 'ug'] | py=ㄆㄌㄚㄍ | theme=home-items | stage=1 [有易混提示]
 1233 | wire                           | 電線                             | 🪢        | chunks=['w', 'ire'] | py=ㄨㄞㄜ | theme=home-items | stage=1 [有易混提示]
 1234 | bulb                           | 燈泡                             | 💡        | chunks=['b', 'ulb'] | py=ㄅㄚㄦㄅ | theme=home-items | stage=1
 1235 | candle                         | 蠟燭                             | 🕯️       | chunks=['can', 'dle'] | py=ㄎㄢ-ㄉㄜ | theme=home-items | stage=0
 1236 | vase                           | 花瓶                             | 🏺        | chunks=['v', 'ase'] | py=ㄈㄟㄙ | theme=home-items | stage=1
 1237 | frame                          | 相框                             | 🖼️       | chunks=['fr', 'ame'] | py=ㄈㄌㄟㄇ | theme=home-items | stage=1 [有易混提示]
 1238 | painting                       | 畫                              | 🖼️       | chunks=['paint', 'ing'] | py=ㄆㄟㄣ-ㄊㄧㄥ | theme=home-items | stage=1 base=paint
 1239 | poster                         | 海報                             | 🖼️       | chunks=['pos', 'ter'] | py=ㄆㄛㄙ-ㄊㄜ | theme=home-items | stage=1
 1240 | broom                          | 掃帚                             | 🧹        | chunks=['br', 'oom'] | py=ㄅㄌㄨㄣ | theme=home-items | stage=1
 1241 | mop                            | 拖把                             | 🧽        | chunks=['m', 'op'] | py=ㄇㄚㄆ | theme=home-items | stage=1
 1242 | dustpan                        | 畚箕                             | 🧹        | chunks=['dust', 'pan'] | py=ㄉㄚㄙㄊ-ㄆㄢ | theme=home-items | stage=2
 1243 | vacuum                         | 吸塵器                            | 🧹        | chunks=['va', 'cu', 'um'] | py=ㄈㄚ-ㄎㄧㄨ-ㄦㄇ | theme=home-items | stage=2
 1244 | hanger                         | 衣架                             | 🧥        | chunks=['han', 'ger'] | py=ㄏㄢ-ㄍㄜ | theme=home-items | stage=1 base=hang
 1245 | hall                           | 大廳                             | 🏛️       | chunks=['h', 'all'] | py=ㄏㄛㄦ | theme=home-items | stage=1 [有易混提示]
 1246 | hallway                        | 走廊                             | 🚪        | chunks=['hall', 'way'] | py=ㄏㄛㄦ-ㄨㄝ | theme=home-items | stage=1
 1247 | garage                         | 車庫                             | 🏠        | chunks=['ga', 'rage'] | py=ㄍㄜ-ㄌㄚㄐ | theme=home-items | stage=1
 1248 | attic                          | 閣樓                             | 🏠        | chunks=['at', 'tic'] | py=ㄚ-ㄊㄧㄎ | theme=home-items | stage=2
 1249 | basement                       | 地下室                            | 🏠        | chunks=['base', 'ment'] | py=ㄅㄝㄙ-ㄇㄣㄊ | theme=home-items | stage=2 base=base
 1250 | balcony                        | 陽台                             | 🏠        | chunks=['bal', 'co', 'ny'] | py=ㄅㄚㄦ-ㄎㄜ-ㄋㄧ | theme=home-items | stage=2
 1251 | lawyer                         | 律師                             | ⚖️       | chunks=['law', 'yer'] | py=ㄌㄛ-ㄧㄜ | theme=jobs | stage=1
 1252 | engineer                       | 工程師                            | 👷        | chunks=['en', 'gi', 'neer'] | py=ㄝㄣ-ㄐㄜ-ㄋㄧㄦ | theme=jobs | stage=1 base=engine
 1253 | designer                       | 設計師                            | 🎨        | chunks=['de', 'sig', 'ner'] | py=ㄉㄧ-ㄗㄞ-ㄋㄜ | theme=jobs | stage=1 base=design
 1254 | writer                         | 作家                             | ✍️       | chunks=['wri', 'ter'] | py=ㄌㄞ-ㄊㄜ | theme=jobs | stage=1 base=write
 1255 | actor                          | 男演員                            | 🎭        | chunks=['ac', 'tor'] | py=ㄚㄎ-ㄊㄜ | theme=jobs | stage=1 base=act [有易混提示]
 1256 | actress                        | 女演員                            | 🎭        | chunks=['ac', 'tress'] | py=ㄚㄎ-ㄊㄌㄝㄙ | theme=jobs | stage=1 base=act
 1257 | dancer                         | 舞者                             | 💃        | chunks=['dan', 'cer'] | py=ㄉㄢ-ㄙㄜ | theme=jobs | stage=1 base=dance
 1258 | musician                       | 音樂家                            | 🎵        | chunks=['mu', 'si', 'cian'] | py=ㄇㄧㄨ-ㄗㄧ-ㄒㄢ | theme=jobs | stage=1
 1259 | painter                        | 畫家                             | 🎨        | chunks=['pain', 'ter'] | py=ㄆㄟㄣ-ㄊㄜ | theme=jobs | stage=1 base=paint
 1260 | photographer                   | 攝影師                            | 📷        | chunks=['pho', 'tog', 'ra', 'pher'] | py=ㄈㄜ-ㄊㄚ-ㄍㄌㄜ-ㄈㄜ | theme=jobs | stage=2 base=photograph
 1261 | director                       | 導演                             | 🎬        | chunks=['di', 'rec', 'tor'] | py=ㄉㄜ-ㄌㄝㄎ-ㄊㄜ | theme=jobs | stage=2 base=direct [有易混提示]
 1262 | producer                       | 製作人                            | 🎬        | chunks=['pro', 'du', 'cer'] | py=ㄆㄜ-ㄉㄧㄨ-ㄙㄜ | theme=jobs | stage=2 base=produce
 1263 | clerk                          | 店員                             | 🧑‍💼      | chunks=['cl', 'erk'] | py=ㄎㄌㄜㄎ | theme=jobs | stage=1
 1264 | cashier                        | 收銀員                            | 💵        | chunks=['cash', 'ier'] | py=ㄎㄚ-ㄒㄧㄦ | theme=jobs | stage=1 base=cash
 1265 | manager                        | 經理                             | 🧑‍💼      | chunks=['man', 'a', 'ger'] | py=ㄇㄚ-ㄋㄚ-ㄐㄜ | theme=jobs | stage=1 base=manage
 1266 | boss                           | 老闆                             | 🧑‍💼      | chunks=['b', 'oss'] | py=ㄅㄚㄙ | theme=jobs | stage=1 [有易混提示]
 1267 | owner                          | 擁有者                            | 🏠        | chunks=['ow', 'ner'] | py=ㄛ-ㄋㄜ | theme=jobs | stage=1 base=own [有易混提示]
 1268 | plumber                        | 水管工                            | 🔧        | chunks=['plum', 'ber'] | py=ㄆㄌㄚ-ㄇㄜ | theme=jobs | stage=2
 1269 | carpenter                      | 木匠                             | 🪚        | chunks=['car', 'pen', 'ter'] | py=ㄎㄚㄦ-ㄆㄣ-ㄊㄜ | theme=jobs | stage=2
 1270 | mechanic                       | 機械工                            | 🔧        | chunks=['me', 'cha', 'nic'] | py=ㄇㄜ-ㄎㄚ-ㄋㄧㄎ | theme=jobs | stage=2
 1271 | electrician                    | 電工                             | ⚡        | chunks=['e', 'lec', 'tri', 'cian'] | py=ㄧ-ㄌㄝㄎ-ㄊㄌㄧ-ㄒㄢ | theme=jobs | stage=2
 1272 | pilot                          | 飛行員                            | ✈️       | chunks=['pi', 'lot'] | py=ㄆㄞ-ㄌㄝㄊ | theme=jobs | stage=1
 1273 | captain                        | 船長                             | ⚓        | chunks=['cap', 'tain'] | py=ㄎㄚㄆ-ㄊㄣ | theme=jobs | stage=1 [有易混提示]
 1274 | soldier                        | 士兵                             | 🪖        | chunks=['sol', 'dier'] | py=ㄙㄛㄦ-ㄐㄜ | theme=jobs | stage=1
 1275 | sailor                         | 水手                             | ⛵        | chunks=['sai', 'lor'] | py=ㄙㄟ-ㄌㄜ | theme=jobs | stage=1 base=sail
 1276 | firefighter                    | 消防員                            | 🚒        | chunks=['fire', 'figh', 'ter'] | py=ㄈㄞㄜ-ㄈㄞ-ㄊㄜ | theme=jobs | stage=1
 1277 | judge                          | 法官                             | ⚖️       | chunks=['j', 'udge'] | py=ㄐㄚㄐ | theme=jobs | stage=2 [有易混提示]
 1278 | mayor                          | 市長                             | 🏛️       | chunks=['may', 'or'] | py=ㄇㄟ-ㄜ | theme=jobs | stage=2
 1279 | president                      | 總統                             | 🇺🇸       | chunks=['pre', 'si', 'dent'] | py=ㄆㄌㄝ-ㄗㄜ-ㄉㄣㄊ | theme=jobs | stage=1 [有易混提示]
 1280 | secretary                      | 秘書                             | 📋        | chunks=['sec', 're', 'ta', 'ry'] | py=ㄙㄝㄎ-ㄌㄜ-ㄊㄝ-ㄌㄧ | theme=jobs | stage=2 [有易混提示]
 1281 | assistant                      | 助理                             | 🧑‍💼      | chunks=['as', 'sis', 'tant'] | py=ㄚ-ㄒㄧㄙ-ㄊㄣㄊ | theme=jobs | stage=2
 1282 | accountant                     | 會計                             | 💼        | chunks=['ac', 'coun', 'tant'] | py=ㄚ-ㄎㄠㄣ-ㄊㄣㄊ | theme=jobs | stage=2
 1283 | banker                         | 銀行家                            | 🏦        | chunks=['ban', 'ker'] | py=ㄅㄢ-ㄎㄜ | theme=jobs | stage=1 base=bank
 1284 | scientist                      | 科學家                            | 🔬        | chunks=['sci', 'en', 'tist'] | py=ㄙㄞ-ㄣ-ㄊㄧㄙㄊ | theme=jobs | stage=1
 1285 | programmer                     | 程式設計師                          | 💻        | chunks=['pro', 'gram', 'mer'] | py=ㄆㄌㄛ-ㄍㄌㄚ-ㄇㄜ | theme=jobs | stage=2 base=program
 1286 | developer                      | 開發者                            | 💻        | chunks=['de', 'vel', 'o', 'per'] | py=ㄉㄧ-ㄈㄝ-ㄌㄜ-ㄆㄜ | theme=jobs | stage=2 base=develop
 1287 | translator                     | 翻譯                             | 🌐        | chunks=['trans', 'la', 'tor'] | py=ㄊㄌㄢㄙ-ㄌㄟ-ㄊㄜ | theme=jobs | stage=2 base=translate
 1288 | tailor                         | 裁縫                             | 🧵        | chunks=['tai', 'lor'] | py=ㄊㄟ-ㄌㄜ | theme=jobs | stage=2
 1289 | barber                         | 理髮師                            | 💈        | chunks=['bar', 'ber'] | py=ㄅㄚㄦ-ㄅㄜ | theme=jobs | stage=1
 1290 | gardener                       | 園丁                             | 🌷        | chunks=['gar', 'de', 'ner'] | py=ㄍㄚㄦ-ㄉㄜ-ㄋㄜ | theme=jobs | stage=1 base=garden
 1291 | receptionist                   | 接待員                            | 🛎️       | chunks=['re', 'cep', 'tion', 'ist'] | py=ㄌㄧ-ㄙㄝㄆ-ㄒㄣ-ㄧㄙㄊ | theme=jobs | stage=2
 1292 | librarian                      | 圖書館員                           | 📚        | chunks=['li', 'brar', 'i', 'an'] | py=ㄌㄞ-ㄅㄌㄝ-ㄌㄧ-ㄢ | theme=jobs | stage=2
 1293 | journalist                     | 記者                             | 📰        | chunks=['jour', 'na', 'list'] | py=ㄐㄜ-ㄋㄜ-ㄌㄧㄙㄊ | theme=jobs | stage=2
 1294 | model                          | 模特兒                            | 👗        | chunks=['mo', 'del'] | py=ㄇㄚ-ㄉㄜ | theme=jobs | stage=1 [有易混提示]
 1295 | athlete                        | 運動員                            | 🏃        | chunks=['ath', 'lete'] | py=ㄚㄙ-ㄌㄧㄊ | theme=jobs | stage=1
 1296 | football                       | 足球                             | ⚽        | chunks=['foot', 'ball'] | py=ㄈㄨㄊ-ㄅㄛㄦ | theme=sports | stage=0 [有易混提示]
 1297 | volleyball                     | 排球                             | 🏐        | chunks=['vol', 'ley', 'ball'] | py=ㄈㄚ-ㄌㄧ-ㄅㄛㄦ | theme=sports | stage=1
 1298 | badminton                      | 羽球                             | 🏸        | chunks=['bad', 'min', 'ton'] | py=ㄅㄚㄉ-ㄇㄧㄣ-ㄉㄣ | theme=sports | stage=1
 1299 | hockey                         | 曲棍球                            | 🏒        | chunks=['hoc', 'key'] | py=ㄏㄚ-ㄎㄧ | theme=sports | stage=1
 1300 | cricket                        | 板球                             | 🏏        | chunks=['crick', 'et'] | py=ㄎㄌㄧ-ㄎㄝㄊ | theme=sports | stage=2
 1301 | rugby                          | 橄欖球                            | 🏉        | chunks=['rug', 'by'] | py=ㄌㄚㄍ-ㄅㄧ | theme=sports | stage=1
 1302 | boxing                         | 拳擊                             | 🥊        | chunks=['box', 'ing'] | py=ㄅㄚㄎㄙ-ㄧㄥ | theme=sports | stage=1 base=box
 1303 | wrestling                      | 摔角                             | 🤼        | chunks=['wrest', 'ling'] | py=ㄌㄝㄙ-ㄌㄧㄥ | theme=sports | stage=2 base=wrestle
 1304 | fencing                        | 擊劍                             | 🤺        | chunks=['fen', 'cing'] | py=ㄈㄣ-ㄒㄧㄥ | theme=sports | stage=2 base=fence
 1305 | judo                           | 柔道                             | 🥋        | chunks=['ju', 'do'] | py=ㄐㄨ-ㄉㄛ | theme=sports | stage=1
 1306 | karate                         | 空手道                            | 🥋        | chunks=['ka', 'ra', 'te'] | py=ㄎㄚ-ㄌㄚ-ㄊㄧ | theme=sports | stage=1
 1307 | jogging                        | 慢跑                             | 🏃        | chunks=['jog', 'ging'] | py=ㄐㄚ-ㄍㄧㄥ | theme=sports | stage=1 base=jog
 1308 | cycling                        | 騎車                             | 🚴        | chunks=['cy', 'cling'] | py=ㄙㄞ-ㄎㄌㄧㄥ | theme=sports | stage=1 base=cycle
 1309 | surfing                        | 衝浪                             | 🏄        | chunks=['surf', 'ing'] | py=ㄙㄜㄈ-ㄧㄥ | theme=sports | stage=1 base=surf
 1310 | diving                         | 潛水                             | 🤿        | chunks=['di', 'ving'] | py=ㄉㄞ-ㄈㄧㄥ | theme=sports | stage=1 base=dive
 1311 | skiing                         | 滑雪                             | ⛷️       | chunks=['ski', 'ing'] | py=ㄙㄎㄧ-ㄧㄥ | theme=sports | stage=1 base=ski
 1312 | snowboarding                   | 滑雪板                            | 🏂        | chunks=['snow', 'boar', 'ding'] | py=ㄙㄋㄛ-ㄅㄛㄦ-ㄉㄧㄥ | theme=sports | stage=2
 1313 | fishing                        | 釣魚                             | 🎣        | chunks=['fish', 'ing'] | py=ㄈㄧ-ㄒㄧㄥ | theme=sports | stage=0 base=fish
 1314 | hiking                         | 健行                             | 🥾        | chunks=['hi', 'king'] | py=ㄏㄞ-ㄎㄧㄥ | theme=sports | stage=1 base=hike
 1315 | camping                        | 露營                             | 🏕️       | chunks=['cam', 'ping'] | py=ㄎㄚㄇ-ㄆㄧㄥ | theme=sports | stage=1 base=camp
 1316 | rowing                         | 划船                             | 🚣        | chunks=['ro', 'wing'] | py=ㄌㄛ-ㄨㄧㄥ | theme=sports | stage=2 base=row
 1317 | sailing                        | 航行                             | ⛵        | chunks=['sai', 'ling'] | py=ㄙㄟ-ㄌㄧㄥ | theme=sports | stage=1 base=sail
 1318 | archery                        | 射箭                             | 🏹        | chunks=['ar', 'che', 'ry'] | py=ㄚㄦ-ㄑㄜ-ㄌㄧ | theme=sports | stage=2
 1319 | bowling                        | 保齡球                            | 🎳        | chunks=['bow', 'ling'] | py=ㄅㄛ-ㄌㄧㄥ | theme=sports | stage=1 base=bowl
 1320 | darts                          | 飛鏢                             | 🎯        | chunks=['d', 'arts'] | py=ㄉㄚㄦㄗ | theme=sports | stage=1
 1321 | chess                          | 西洋棋                            | ♟️       | chunks=['ch', 'ess'] | py=ㄑㄝㄙ | theme=sports | stage=1 [有易混提示]
 1322 | match                          | 比賽、火柴、配對                       | 🏆        | chunks=['m', 'atch'] | py=ㄇㄚㄑ | theme=sports | stage=1 [有易混提示]
 1323 | team                           | 隊伍                             | 👥        | chunks=['t', 'eam'] | py=ㄊㄧㄇ | theme=sports | stage=0 [有易混提示]
 1324 | player                         | 選手                             | 🏃        | chunks=['play', 'er'] | py=ㄆㄌㄟ-ㄜ | theme=sports | stage=0 base=play
 1325 | coach                          | 教練                             | 📣        | chunks=['c', 'oach'] | py=ㄎㄛㄑ | theme=sports | stage=1 [有易混提示]
 1326 | referee                        | 裁判                             | 🦓        | chunks=['ref', 'e', 'ree'] | py=ㄌㄝ-ㄈㄜ-ㄌㄧ | theme=sports | stage=2
 1327 | goal                           | 進球、目標                          | 🥅        | chunks=['g', 'oal'] | py=ㄍㄛㄦ | theme=sports | stage=1 [有易混提示]
 1328 | point                          | 得分、點、指                         | 🎯        | chunks=['p', 'oint'] | py=ㄆㄛㄧㄣㄊ | theme=sports | stage=0 [有易混提示]
 1329 | medal                          | 獎牌                             | 🏅        | chunks=['me', 'dal'] | py=ㄇㄝ-ㄉㄜ | theme=sports | stage=1
 1330 | trophy                         | 獎盃                             | 🏆        | chunks=['tro', 'phy'] | py=ㄊㄌㄛ-ㄈㄧ | theme=sports | stage=1
 1331 | champion                       | 冠軍                             | 🥇        | chunks=['cham', 'pion'] | py=ㄑㄚㄇ-ㄆㄧㄢ | theme=sports | stage=1
 1332 | winner                         | 贏家                             | 🥇        | chunks=['win', 'ner'] | py=ㄨㄧ-ㄋㄜ | theme=sports | stage=1 base=win
 1333 | loser                          | 輸家                             | 😞        | chunks=['lo', 'ser'] | py=ㄌㄨ-ㄗㄜ | theme=sports | stage=1 base=lose
 1334 | gym                            | 健身房                            | 🏋️       | chunks=['g', 'ym'] | py=ㄐㄧㄇ | theme=sports | stage=0
 1335 | field                          | 田、球場、領域                        | 🟩        | chunks=['f', 'ield'] | py=ㄈㄧㄦㄉ | theme=sports | stage=1 [有易混提示]
 1336 | court                          | 球場、法庭                          | 🎾        | chunks=['c', 'ourt'] | py=ㄎㄛㄦㄊ | theme=sports | stage=1 [有易混提示]
 1337 | stadium                        | 體育館                            | 🏟️       | chunks=['sta', 'di', 'um'] | py=ㄙㄉㄟ-ㄉㄧ-ㄜㄇ | theme=sports | stage=2
 1338 | race                           | 賽跑                             | 🏁        | chunks=['r', 'ace'] | py=ㄌㄟㄙ | theme=sports | stage=1 [有易混提示]
 1339 | marathon                       | 馬拉松                            | 🏃        | chunks=['mar', 'a', 'thon'] | py=ㄇㄝ-ㄌㄜ-ㄙㄢ | theme=sports | stage=2
 1340 | note                           | 音符、筆記                          | 🎵        | chunks=['n', 'ote'] | py=ㄋㄛㄊ | theme=music | stage=1 [有易混提示]
 1341 | melody                         | 旋律                             | 🎶        | chunks=['mel', 'o', 'dy'] | py=ㄇㄝ-ㄌㄜ-ㄉㄧ | theme=music | stage=2
 1342 | rhythm                         | 節奏                             | 🥁        | chunks=['rhy', 'thm'] | py=ㄌㄧ-ㄉㄜㄇ | theme=music | stage=2
 1343 | tune                           | 曲調                             | 🎵        | chunks=['t', 'une'] | py=ㄊㄧㄨㄣ | theme=music | stage=1 [有易混提示]
 1344 | chord                          | 和弦                             | 🎸        | chunks=['ch', 'ord'] | py=ㄎㄛㄦㄉ | theme=music | stage=2 [有易混提示]
 1345 | scale                          | 音階、比例、秤                        | 🎼        | chunks=['sc', 'ale'] | py=ㄙㄎㄟㄦ | theme=music | stage=2 [有易混提示]
 1346 | key                            | 音調                             | 🔑        | chunks=['k', 'ey'] | py=ㄎㄧ | theme=music | stage=1 [有易混提示]
 1347 | tempo                          | 節拍                             | 🎵        | chunks=['tem', 'po'] | py=ㄊㄝㄇ-ㄆㄛ | theme=music | stage=2
 1348 | lyrics                         | 歌詞                             | 📜        | chunks=['lyr', 'ics'] | py=ㄌㄧ-ㄌㄧㄎㄙ | theme=music | stage=2
 1349 | chorus                         | 副歌                             | 🎤        | chunks=['cho', 'rus'] | py=ㄎㄛ-ㄌㄜㄙ | theme=music | stage=2
 1350 | solo                           | 獨奏                             | 🎤        | chunks=['so', 'lo'] | py=ㄙㄛ-ㄌㄛ | theme=music | stage=1 [有易混提示]
 1351 | choir                          | 合唱團                            | 🎤        | chunks=['ch', 'oir'] | py=ㄎㄨㄚㄦ | theme=music | stage=2
 1352 | orchestra                      | 管絃樂團                           | 🎻        | chunks=['or', 'ches', 'tra'] | py=ㄛㄦ-ㄎㄝㄙ-ㄊㄌㄚ | theme=music | stage=2
 1353 | concert                        | 演唱會                            | 🎤        | chunks=['con', 'cert'] | py=ㄎㄚㄣ-ㄙㄜㄊ | theme=music | stage=1
 1354 | opera                          | 歌劇                             | 🎭        | chunks=['o', 'pe', 'ra'] | py=ㄚ-ㄆㄜ-ㄌㄚ | theme=music | stage=2
 1355 | album                          | 專輯                             | 💿        | chunks=['al', 'bum'] | py=ㄚㄦ-ㄅㄜㄇ | theme=music | stage=1 [有易混提示]
 1356 | record                         | 唱片、紀錄                          | 📀        | chunks=['rec', 'ord'] | py=ㄌㄝ-ㄎㄜㄉ | theme=music | stage=1 [有易混提示]
 1357 | radio                          | 收音機                            | 📻        | chunks=['ra', 'di', 'o'] | py=ㄌㄟ-ㄉㄧ-ㄛ | theme=music | stage=0
 1358 | speaker                        | 喇叭                             | 🔊        | chunks=['spea', 'ker'] | py=ㄙㄆㄧ-ㄎㄜ | theme=music | stage=1 base=speak [有易混提示]
 1359 | microphone                     | 麥克風                            | 🎤        | chunks=['mi', 'cro', 'phone'] | py=ㄇㄞ-ㄎㄌㄜ-ㄈㄛㄣ | theme=music | stage=2
 1360 | headphones                     | 耳機                             | 🎧        | chunks=['head', 'phones'] | py=ㄏㄝㄉ-ㄈㄛㄣㄗ | theme=music | stage=1
 1361 | instrument                     | 樂器                             | 🎻        | chunks=['in', 'stru', 'ment'] | py=ㄧㄣ-ㄙㄉㄌㄜ-ㄇㄣㄊ | theme=music | stage=2 [有易混提示]
