# 字 1500-2999
 1500 | both                           | 兩者都                            | ✌️       | chunks=['b', 'oth'] | py=ㄅㄛㄙ | theme=sight-words | stage=1
 1861 | saucer                         | 小碟                             | ☕        | chunks=['sau', 'cer'] | py=ㄙㄛ-ㄙㄜ | theme=kitchen-utensils | stage=2
 1862 | teapot                         | 茶壺                             | 🫖        | chunks=['tea', 'pot'] | py=ㄊㄧ-ㄆㄚㄊ | theme=kitchen-utensils | stage=1
 1863 | pitcher                        | 水壺                             | 🧃        | chunks=['pit', 'cher'] | py=ㄆㄧ-ㄑㄜ | theme=kitchen-utensils | stage=2 base=pitch
 1864 | jug                            | 水罐、大水壺                         | 🍶        | chunks=['j', 'ug'] | py=ㄐㄚㄍ | theme=kitchen-utensils | stage=1
 1865 | thermos                        | 保溫瓶                            | ♨️       | chunks=['ther', 'mos'] | py=ㄙㄜ-ㄇㄚㄙ | theme=kitchen-utensils | stage=2
 1866 | freezer                        | 冷凍庫                            | 🧊        | chunks=['free', 'zer'] | py=ㄈㄌㄧ-ㄗㄜ | theme=kitchen-utensils | stage=1 base=freeze
 1867 | dishwasher                     | 洗碗機                            | 🧽        | chunks=['dish', 'wa', 'sher'] | py=ㄉㄧㄒ-ㄨㄛ-ㄒㄜ | theme=kitchen-utensils | stage=2
 1868 | blender                        | 果汁機                            | 🥤        | chunks=['blen', 'der'] | py=ㄅㄌㄝㄣ-ㄉㄜ | theme=kitchen-utensils | stage=2 base=blend
 1869 | mixer                          | 攪拌機                            | 🥣        | chunks=['mix', 'er'] | py=ㄇㄧㄎㄙ-ㄜ | theme=kitchen-utensils | stage=2 base=mix
 1870 | juicer                         | 榨汁機                            | 🍊        | chunks=['jui', 'cer'] | py=ㄐㄨ-ㄙㄜ | theme=kitchen-utensils | stage=2 base=juice
 1871 | microwave                      | 微波爐                            | ♨️       | chunks=['mi', 'cro', 'wave'] | py=ㄇㄞ-ㄎㄌㄛ-ㄨㄝㄈ | theme=kitchen-utensils | stage=1
 1872 | toaster                        | 烤麵包機                           | 🍞        | chunks=['toas', 'ter'] | py=ㄊㄛㄙ-ㄊㄜ | theme=kitchen-utensils | stage=1 base=toast
 1873 | foil                           | 鋁箔                             | 📜        | chunks=['f', 'oil'] | py=ㄈㄛㄧㄦ | theme=kitchen-utensils | stage=2
 1874 | wrap                           | 保鮮膜                            | 📜        | chunks=['wr', 'ap'] | py=ㄌㄚㄆ | theme=kitchen-utensils | stage=2 [有易混提示]
 1875 | recipe                         | 食譜                             | 📖        | chunks=['rec', 'i', 'pe'] | py=ㄌㄝ-ㄗㄜ-ㄆㄧ | theme=kitchen-utensils | stage=2
 1876 | mat                            | 墊子                             | ⬜        | chunks=['m', 'at'] | py=ㄇㄚㄊ | theme=kitchen-utensils | stage=1
 1877 | hood                           | 抽油煙機                           | 💨        | chunks=['h', 'ood'] | py=ㄏㄨㄉ | theme=kitchen-utensils | stage=2
 1878 | faucet                         | 水龍頭                            | 🚰        | chunks=['fau', 'cet'] | py=ㄈㄛ-ㄙㄝㄊ | theme=kitchen-utensils | stage=2
 1879 | skillet                        | 煎鍋                             | 🍳        | chunks=['skil', 'let'] | py=ㄙㄎㄧ-ㄌㄝㄊ | theme=kitchen-utensils | stage=3
 1880 | wok                            | 炒鍋                             | 🥘        | chunks=['w', 'ok'] | py=ㄨㄚㄎ | theme=kitchen-utensils | stage=2
 1881 | casserole                      | 砂鍋                             | 🍲        | chunks=['cas', 'se', 'role'] | py=ㄎㄚ-ㄙㄜ-ㄌㄛㄦ | theme=kitchen-utensils | stage=3
 1882 | cookware                       | 廚具                             | 🍳        | chunks=['cook', 'ware'] | py=ㄎㄨㄎ-ㄨㄝㄜ | theme=kitchen-utensils | stage=2
 1883 | tablecloth                     | 桌巾                             | 🍽️       | chunks=['table', 'cloth'] | py=ㄊㄟ-ㄅㄜ-ㄎㄌㄚㄙ | theme=kitchen-utensils | stage=2
 1884 | placemat                       | 餐墊                             | 🍽️       | chunks=['place', 'mat'] | py=ㄆㄌㄝㄙ-ㄇㄚㄊ | theme=kitchen-utensils | stage=2
 1885 | deodorant                      | 體香劑                            | 🧴        | chunks=['de', 'o', 'do', 'rant'] | py=ㄉㄧ-ㄛ-ㄉㄜ-ㄌㄣㄊ | theme=bathroom | stage=2
 1886 | perfume                        | 香水                             | 🌸        | chunks=['per', 'fume'] | py=ㄆㄜ-ㄈㄧㄨㄇ | theme=bathroom | stage=1
 1887 | cologne                        | 古龍水                            | 🌸        | chunks=['co', 'logne'] | py=ㄎㄜ-ㄌㄛㄣ | theme=bathroom | stage=3
 1888 | lotion                         | 乳液                             | 🧴        | chunks=['lo', 'tion'] | py=ㄌㄛ-ㄒㄣ | theme=bathroom | stage=1
 1889 | conditioner                    | 潤髮乳                            | 🧴        | chunks=['con', 'di', 'tion', 'er'] | py=ㄎㄢ-ㄉㄧ-ㄒㄣ-ㄜ | theme=bathroom | stage=2 base=condition
 1890 | hairdryer                      | 吹風機                            | 💨        | chunks=['hair', 'dry', 'er'] | py=ㄏㄝㄜ-ㄉㄌㄞ-ㄜ | theme=bathroom | stage=1
 1891 | bathmat                        | 浴室墊                            | 🛁        | chunks=['bath', 'mat'] | py=ㄅㄚㄙ-ㄇㄚㄊ | theme=bathroom | stage=1
 1892 | hamper                         | 洗衣籃                            | 🧺        | chunks=['ham', 'per'] | py=ㄏㄚㄇ-ㄆㄜ | theme=bathroom | stage=2
 1893 | bidet                          | 坐浴盆                            | 🚽        | chunks=['bi', 'det'] | py=ㄅㄧ-ㄉㄟ | theme=bathroom | stage=3
 1894 | urinal                         | 小便斗                            | 🚹        | chunks=['u', 'ri', 'nal'] | py=ㄧㄨ-ㄌㄜ-ㄋㄜ | theme=bathroom | stage=3
 1895 | plunger                        | 通管器                            | 🪠        | chunks=['plun', 'ger'] | py=ㄆㄌㄚㄣ-ㄐㄜ | theme=bathroom | stage=2 base=plunge
 1896 | washcloth                      | 洗臉巾                            | 🧼        | chunks=['wash', 'cloth'] | py=ㄨㄚㄒ-ㄎㄌㄚㄙ | theme=bathroom | stage=1
 1897 | sanitizer                      | 乾洗手                            | 🧴        | chunks=['san', 'i', 'ti', 'zer'] | py=ㄙㄚ-ㄋㄜ-ㄊㄞ-ㄗㄜ | theme=bathroom | stage=2
 1898 | mouthwash                      | 漱口水                            | 👄        | chunks=['mouth', 'wash'] | py=ㄇㄠㄙ-ㄨㄚㄒ | theme=bathroom | stage=1
 1899 | floss                          | 牙線                             | 🦷        | chunks=['fl', 'oss'] | py=ㄈㄌㄚㄙ | theme=bathroom | stage=1
 1900 | tampon                         | 衛生棉條                           | 🧻        | chunks=['tam', 'pon'] | py=ㄊㄚㄇ-ㄆㄚㄣ | theme=bathroom | stage=2
 1901 | pad                            | 衛生棉                            | 🩸        | chunks=['p', 'ad'] | py=ㄆㄚㄉ | theme=bathroom | stage=1
 1902 | diaper                         | 尿布                             | 👶        | chunks=['di', 'a', 'per'] | py=ㄉㄞ-ㄜ-ㄆㄜ | theme=bathroom | stage=1
 1903 | makeup                         | 化妝品                            | 💄        | chunks=['make', 'up'] | py=ㄇㄟㄎ-ㄚㄆ | theme=bathroom | stage=1
 1904 | mascara                        | 睫毛膏                            | 👁️       | chunks=['mas', 'ca', 'ra'] | py=ㄇㄚ-ㄙㄎㄝ-ㄌㄚ | theme=bathroom | stage=2
 1905 | lipstick                       | 口紅                             | 💄        | chunks=['lip', 'stick'] | py=ㄌㄧㄆ-ㄙㄉㄧㄎ | theme=bathroom | stage=1
 1906 | eyeliner                       | 眼線                             | 👁️       | chunks=['eye', 'li', 'ner'] | py=ㄞ-ㄌㄞ-ㄋㄜ | theme=bathroom | stage=2
 1907 | foundation                     | 粉底液                            | 🧴        | chunks=['foun', 'da', 'tion'] | py=ㄈㄠㄣ-ㄉㄟ-ㄒㄣ | theme=bathroom | stage=2 base=found
 1908 | hairbrush                      | 髮梳                             | 🪮        | chunks=['hair', 'brush'] | py=ㄏㄝㄜ-ㄅㄌㄚㄒ | theme=bathroom | stage=1
 1909 | tweezer                        | 鑷子                             | 🤏        | chunks=['twee', 'zer'] | py=ㄊㄨㄧ-ㄗㄜ | theme=bathroom | stage=2
 1910 | sunscreen                      | 防曬乳                            | ☀️       | chunks=['sun', 'screen'] | py=ㄙㄚㄣ-ㄙㄎㄌㄧㄣ | theme=bathroom | stage=1
 1911 | moisturizer                    | 保濕霜                            | 🧴        | chunks=['mois', 'tu', 'ri', 'zer'] | py=ㄇㄛㄧㄙ-ㄑㄜ-ㄌㄞ-ㄗㄜ | theme=bathroom | stage=2
 1912 | ointment                       | 藥膏                             | 💊        | chunks=['oint', 'ment'] | py=ㄛㄧㄣㄊ-ㄇㄣㄊ | theme=bathroom | stage=2
 1913 | bandage                        | 繃帶                             | 🩹        | chunks=['ban', 'dage'] | py=ㄅㄢ-ㄉㄧㄐ | theme=bathroom | stage=1
 1914 | bandaid                        | OK繃                            | 🩹        | chunks=['band', 'aid'] | py=ㄅㄢㄉ-ㄝㄉ | theme=bathroom | stage=1
 1915 | gauze                          | 紗布                             | 🩹        | chunks=['g', 'auze'] | py=ㄍㄛㄗ | theme=bathroom | stage=3
 1916 | alcohol                        | 酒精                             | 🍶        | chunks=['al', 'co', 'hol'] | py=ㄚㄦ-ㄎㄜ-ㄏㄛㄦ | theme=bathroom | stage=2
 1917 | gel                            | 凝膠                             | 🧴        | chunks=['g', 'el'] | py=ㄐㄝㄦ | theme=bathroom | stage=1
 1918 | hairspray                      | 髮膠                             | 💨        | chunks=['hair', 'spray'] | py=ㄏㄝㄜ-ㄙㄆㄌㄟ | theme=bathroom | stage=2
 1919 | dispenser                      | 分裝器                            | 🧴        | chunks=['dis', 'pen', 'ser'] | py=ㄉㄧㄙ-ㄆㄣ-ㄙㄜ | theme=bathroom | stage=2 base=dispense
 1920 | guava                          | 芭樂                             | 🍐        | chunks=['gua', 'va'] | py=ㄍㄨㄚ-ㄈㄚ | theme=fruits | stage=1
 1921 | lychee                         | 荔枝                             | 🍒        | chunks=['ly', 'chee'] | py=ㄌㄞ-ㄑㄧ | theme=fruits | stage=2
 1922 | longan                         | 龍眼                             | 🍒        | chunks=['lon', 'gan'] | py=ㄌㄚㄥ-ㄍㄢ | theme=fruits | stage=2
 1923 | persimmon                      | 柿子                             | 🍊        | chunks=['per', 'sim', 'mon'] | py=ㄆㄜ-ㄒㄧ-ㄇㄢ | theme=fruits | stage=2
 1924 | kumquat                        | 金桔                             | 🍊        | chunks=['kum', 'quat'] | py=ㄎㄚㄇ-ㄎㄨㄛㄊ | theme=fruits | stage=3
 1925 | fig                            | 無花果                            | 🍇        | chunks=['f', 'ig'] | py=ㄈㄧㄍ | theme=fruits | stage=2
 1926 | pomegranate                    | 石榴                             | 🍎        | chunks=['pom', 'e', 'gran', 'ate'] | py=ㄆㄚ-ㄇㄜ-ㄍㄌㄚ-ㄋㄝㄊ | theme=fruits | stage=2
 1927 | apricot                        | 杏桃                             | 🍑        | chunks=['ap', 'ri', 'cot'] | py=ㄝㄆ-ㄌㄜ-ㄎㄚㄊ | theme=fruits | stage=2
 1928 | nectarine                      | 油桃                             | 🍑        | chunks=['nec', 'ta', 'rine'] | py=ㄋㄝㄎ-ㄊㄜ-ㄌㄧㄣ | theme=fruits | stage=3
 1929 | tangerine                      | 橘子                             | 🍊        | chunks=['tan', 'ger', 'ine'] | py=ㄊㄢ-ㄐㄜ-ㄌㄧㄣ | theme=fruits | stage=2
 1930 | mandarin                       | 柑橘                             | 🍊        | chunks=['man', 'da', 'rin'] | py=ㄇㄢ-ㄉㄜ-ㄌㄧㄣ | theme=fruits | stage=2
 1931 | grapefruit                     | 葡萄柚                            | 🍊        | chunks=['grape', 'fruit'] | py=ㄍㄌㄝㄆ-ㄈㄌㄨㄊ | theme=fruits | stage=1
 1932 | clementine                     | 小柑橘                            | 🍊        | chunks=['clem', 'en', 'tine'] | py=ㄎㄌㄝㄇ-ㄣ-ㄊㄞㄣ | theme=fruits | stage=3
 1933 | blackberry                     | 黑莓                             | 🫐        | chunks=['black', 'ber', 'ry'] | py=ㄅㄌㄚㄎ-ㄅㄜ-ㄌㄧ | theme=fruits | stage=1
 1934 | raspberry                      | 覆盆子                            | 🍓        | chunks=['rasp', 'ber', 'ry'] | py=ㄌㄚㄗㄆ-ㄅㄜ-ㄌㄧ | theme=fruits | stage=1
 1935 | cranberry                      | 蔓越莓                            | 🫐        | chunks=['cran', 'ber', 'ry'] | py=ㄎㄌㄚㄣ-ㄅㄜ-ㄌㄧ | theme=fruits | stage=2
 1936 | gooseberry                     | 鵝莓                             | 🫐        | chunks=['goose', 'ber', 'ry'] | py=ㄍㄨㄙ-ㄅㄜ-ㄌㄧ | theme=fruits | stage=3
 1937 | currant                        | 醋栗                             | 🍇        | chunks=['cur', 'rant'] | py=ㄎㄜ-ㄌㄣㄊ | theme=fruits | stage=3
 1938 | elderberry                     | 接骨木莓                           | 🫐        | chunks=['el', 'der', 'ber', 'ry'] | py=ㄝㄦ-ㄉㄜ-ㄅㄜ-ㄌㄧ | theme=fruits | stage=3
 1939 | mulberry                       | 桑椹                             | 🫐        | chunks=['mul', 'ber', 'ry'] | py=ㄇㄚㄦ-ㄅㄜ-ㄌㄧ | theme=fruits | stage=2
 1940 | dragonfruit                    | 火龍果                            | 🐉        | chunks=['dra', 'gon', 'fruit'] | py=ㄉㄌㄚ-ㄍㄢ-ㄈㄌㄨㄊ | theme=fruits | stage=1
 1941 | durian                         | 榴槤                             | 🤢        | chunks=['du', 'ri', 'an'] | py=ㄉㄨ-ㄌㄧ-ㄢ | theme=fruits | stage=2
 1942 | jackfruit                      | 波羅蜜                            | 🥭        | chunks=['jack', 'fruit'] | py=ㄐㄚㄎ-ㄈㄌㄨㄊ | theme=fruits | stage=2
 1943 | starfruit                      | 楊桃                             | ⭐        | chunks=['star', 'fruit'] | py=ㄙㄉㄚㄦ-ㄈㄌㄨㄊ | theme=fruits | stage=2
 1944 | passionfruit                   | 百香果                            | 🥥        | chunks=['pas', 'sion', 'fruit'] | py=ㄆㄚ-ㄒㄣ-ㄈㄌㄨㄊ | theme=fruits | stage=2
 1945 | rambutan                       | 紅毛丹                            | 🍓        | chunks=['ram', 'bu', 'tan'] | py=ㄌㄚㄇ-ㄅㄨ-ㄊㄢ | theme=fruits | stage=3
 1946 | mangosteen                     | 山竹                             | 🍇        | chunks=['man', 'go', 'steen'] | py=ㄇㄢ-ㄍㄛ-ㄙㄉㄧㄣ | theme=fruits | stage=3
 1947 | soursop                        | 刺果番荔枝                          | 🍈        | chunks=['sour', 'sop'] | py=ㄙㄠㄜ-ㄙㄚㄆ | theme=fruits | stage=3
 1948 | plantain                       | 大蕉                             | 🍌        | chunks=['plan', 'tain'] | py=ㄆㄌㄢ-ㄊㄣ | theme=fruits | stage=3
 1949 | cantaloupe                     | 哈密瓜                            | 🍈        | chunks=['can', 'ta', 'loupe'] | py=ㄎㄢ-ㄊㄜ-ㄌㄨㄆ | theme=fruits | stage=2
 1950 | honeydew                       | 白蘭瓜、蜜瓜                         | 🍈        | chunks=['ho', 'ney', 'dew'] | py=ㄏㄚ-ㄋㄧ-ㄉㄧㄨ | theme=fruits | stage=2
 1951 | jujube                         | 棗                              | 🍒        | chunks=['ju', 'jube'] | py=ㄐㄨ-ㄐㄨㄅ | theme=fruits | stage=3
 1952 | cherimoya                      | 釋迦                             | 🍐        | chunks=['cher', 'i', 'mo', 'ya'] | py=ㄑㄝ-ㄌㄜ-ㄇㄛ-ㄧㄚ | theme=fruits | stage=3
 1953 | sapote                         | 人心果                            | 🍐        | chunks=['sa', 'pote'] | py=ㄙㄚ-ㄆㄛㄊ | theme=fruits | stage=3
 1954 | quince                         | 榲桲                             | 🍐        | chunks=['qu', 'ince'] | py=ㄎㄨㄧㄣㄙ | theme=fruits | stage=3
 1955 | loquat                         | 枇杷                             | 🍐        | chunks=['lo', 'quat'] | py=ㄌㄛ-ㄎㄨㄚㄊ | theme=fruits | stage=3
 1956 | pomelo                         | 柚子                             | 🍈        | chunks=['po', 'me', 'lo'] | py=ㄆㄚ-ㄇㄜ-ㄌㄛ | theme=fruits | stage=2
 1957 | tamarind                       | 羅望子                            | 🟫        | chunks=['tam', 'a', 'rind'] | py=ㄊㄚ-ㄇㄜ-ㄌㄧㄣㄉ | theme=fruits | stage=3
 1958 | lingonberry                    | 越橘                             | 🍒        | chunks=['lin', 'gon', 'ber', 'ry'] | py=ㄌㄧㄥ-ㄍㄢ-ㄅㄜ-ㄌㄧ | theme=fruits | stage=3
 1959 | yuzu                           | 日本柚子                           | 🍋        | chunks=['yu', 'zu'] | py=ㄧㄨ-ㄗㄨ | theme=fruits | stage=3
 1960 | calamansi                      | 四季桔                            | 🍋        | chunks=['cal', 'a', 'man', 'si'] | py=ㄎㄚ-ㄌㄜ-ㄇㄢ-ㄒㄧ | theme=fruits | stage=3
 1961 | satsuma                        | 溫州蜜柑                           | 🍊        | chunks=['sat', 'su', 'ma'] | py=ㄙㄚㄊ-ㄙㄨ-ㄇㄚ | theme=fruits | stage=3
 1962 | tangelo                        | 橘柚                             | 🍊        | chunks=['tan', 'ge', 'lo'] | py=ㄊㄢ-ㄐㄜ-ㄌㄛ | theme=fruits | stage=3
 1963 | blackcurrant                   | 黑加侖                            | 🫐        | chunks=['black', 'cur', 'rant'] | py=ㄅㄌㄚㄎ-ㄎㄜ-ㄌㄣㄊ | theme=fruits | stage=3
 1964 | redcurrant                     | 紅加侖                            | 🍒        | chunks=['red', 'cur', 'rant'] | py=ㄌㄝㄉ-ㄎㄜ-ㄌㄣㄊ | theme=fruits | stage=3
 1965 | ackee                          | 阿開木果                           | 🍐        | chunks=['ack', 'ee'] | py=ㄚ-ㄎㄧ | theme=fruits | stage=3
 1966 | gala                           | 嘎拉蘋果                           | 🍎        | chunks=['ga', 'la'] | py=ㄍㄚ-ㄌㄚ | theme=fruits | stage=3
 1967 | fuji                           | 富士蘋果                           | 🍎        | chunks=['fu', 'ji'] | py=ㄈㄨ-ㄐㄧ | theme=fruits | stage=3
 1968 | pawpaw                         | 巴婆果                            | 🥭        | chunks=['paw', 'paw'] | py=ㄆㄛ-ㄆㄛ | theme=fruits | stage=3
 1969 | breadfruit                     | 麵包果                            | 🍞        | chunks=['bread', 'fruit'] | py=ㄅㄌㄝㄉ-ㄈㄌㄨㄊ | theme=fruits | stage=3
 1970 | cauliflower                    | 花椰菜                            | 🥦        | chunks=['cau', 'li', 'flow', 'er'] | py=ㄎㄛ-ㄌㄜ-ㄈㄌㄠ-ㄜ | theme=vegetables | stage=1
 1971 | eggplant                       | 茄子                             | 🍆        | chunks=['egg', 'plant'] | py=ㄝㄍ-ㄆㄌㄚㄣㄊ | theme=vegetables | stage=1
 1972 | zucchini                       | 櫛瓜                             | 🥒        | chunks=['zuc', 'chi', 'ni'] | py=ㄗㄨ-ㄎㄧ-ㄋㄧ | theme=vegetables | stage=2
 1973 | squash                         | 南瓜類蔬菜                          | 🎃        | chunks=['sq', 'uash'] | py=ㄙㄎㄨㄚㄒ | theme=vegetables | stage=2
 1974 | asparagus                      | 蘆筍                             | 🟢        | chunks=['as', 'par', 'a', 'gus'] | py=ㄚ-ㄙㄆㄝ-ㄌㄜ-ㄍㄚㄙ | theme=vegetables | stage=2
 1975 | kale                           | 羽衣甘藍                           | 🥬        | chunks=['k', 'ale'] | py=ㄎㄝㄦ | theme=vegetables | stage=2
 1976 | arugula                        | 芝麻菜                            | 🥬        | chunks=['a', 'ru', 'gu', 'la'] | py=ㄚ-ㄌㄨ-ㄍㄜ-ㄌㄚ | theme=vegetables | stage=3
 1977 | radish                         | 小蘿蔔                            | 🟥        | chunks=['rad', 'ish'] | py=ㄌㄚ-ㄉㄧㄒ | theme=vegetables | stage=1
 1978 | beet                           | 甜菜                             | 🟥        | chunks=['b', 'eet'] | py=ㄅㄧㄊ | theme=vegetables | stage=2 [有易混提示]
 1979 | turnip                         | 蕪菁                             | 🟣        | chunks=['tur', 'nip'] | py=ㄊㄜ-ㄋㄧㄆ | theme=vegetables | stage=2
 1980 | parsnip                        | 歐防風                            | 🟫        | chunks=['pars', 'nip'] | py=ㄆㄚㄦㄙ-ㄋㄧㄆ | theme=vegetables | stage=3
 1981 | leek                           | 韭蔥                             | 🟢        | chunks=['l', 'eek'] | py=ㄌㄧㄎ | theme=vegetables | stage=2
 1982 | scallion                       | 青蔥                             | 🟢        | chunks=['scal', 'lion'] | py=ㄙㄎㄚ-ㄌㄧㄢ | theme=vegetables | stage=2
 1983 | chive                          | 細香蔥                            | 🟢        | chunks=['ch', 'ive'] | py=ㄑㄞㄈ | theme=vegetables | stage=3
 1984 | shallot                        | 紅蔥頭                            | 🟫        | chunks=['shal', 'lot'] | py=ㄒㄚ-ㄌㄚㄊ | theme=vegetables | stage=2
 1985 | fennel                         | 茴香                             | 🌿        | chunks=['fen', 'nel'] | py=ㄈㄝ-ㄋㄜ | theme=vegetables | stage=3
 1986 | artichoke                      | 朝鮮薊                            | 🌿        | chunks=['ar', 'ti', 'choke'] | py=ㄚㄦ-ㄊㄧ-ㄑㄛㄎ | theme=vegetables | stage=3
 1987 | chard                          | 莙薘菜                            | 🥬        | chunks=['ch', 'ard'] | py=ㄑㄚㄦㄉ | theme=vegetables | stage=3
 1988 | watercress                     | 水芹                             | 🌿        | chunks=['wa', 'ter', 'cress'] | py=ㄨㄛ-ㄊㄜ-ㄎㄌㄝㄙ | theme=vegetables | stage=3
 1989 | endive                         | 苦苣                             | 🥬        | chunks=['en', 'dive'] | py=ㄝㄣ-ㄉㄞㄈ | theme=vegetables | stage=3 base=end
 1990 | romaine                        | 蘿蔓萵苣                           | 🥬        | chunks=['ro', 'maine'] | py=ㄌㄛ-ㄇㄟㄣ | theme=vegetables | stage=3
 1991 | bokchoy                        | 小白菜                            | 🥬        | chunks=['bok', 'choy'] | py=ㄅㄚㄎ-ㄑㄛㄧ | theme=vegetables | stage=2
 1992 | taro                           | 芋頭                             | 🟫        | chunks=['ta', 'ro'] | py=ㄊㄚ-ㄌㄛ | theme=vegetables | stage=2
 1993 | yam                            | 山藥                             | 🟫        | chunks=['y', 'am'] | py=ㄧㄚㄇ | theme=vegetables | stage=2
 1994 | sweetpotato                    | 地瓜                             | 🍠        | chunks=['sweet', 'po', 'ta', 'to'] | py=ㄙㄨㄧㄊ-ㄆㄜ-ㄊㄟ-ㄊㄛ | theme=vegetables | stage=1
 1995 | cassava                        | 木薯                             | 🟫        | chunks=['cas', 'sa', 'va'] | py=ㄎㄜ-ㄙㄚ-ㄈㄚ | theme=vegetables | stage=3
 1996 | jicama                         | 涼薯                             | 🟫        | chunks=['ji', 'ca', 'ma'] | py=ㄏㄧ-ㄎㄚ-ㄇㄚ | theme=vegetables | stage=3
 1997 | kohlrabi                       | 球莖甘藍                           | 🥬        | chunks=['kohl', 'ra', 'bi'] | py=ㄎㄛㄦ-ㄌㄚ-ㄅㄧ | theme=vegetables | stage=3
 1998 | okra                           | 秋葵                             | 🟢        | chunks=['o', 'kra'] | py=ㄛ-ㄎㄌㄚ | theme=vegetables | stage=2
 1999 | sprout                         | 芽                              | 🌱        | chunks=['spr', 'out'] | py=ㄙㄆㄌㄠㄊ | theme=vegetables | stage=2
 2000 | brusselsprout                  | 球芽甘藍                           | 🥬        | chunks=['brus', 'sels', 'sprout'] | py=ㄅㄌㄚ-ㄙㄜㄗ-ㄙㄆㄌㄠㄊ | theme=vegetables | stage=3
 2001 | snowpea                        | 豌豆莢                            | 🟢        | chunks=['snow', 'pea'] | py=ㄙㄋㄛ-ㄆㄧ | theme=vegetables | stage=2
 2002 | chickpea                       | 鷹嘴豆                            | 🟡        | chunks=['chick', 'pea'] | py=ㄑㄧㄎ-ㄆㄧ | theme=vegetables | stage=2
 2003 | lentil                         | 扁豆                             | 🟫        | chunks=['len', 'til'] | py=ㄌㄝㄣ-ㄊㄜ | theme=vegetables | stage=2
 2004 | soybean                        | 黃豆                             | 🟡        | chunks=['soy', 'bean'] | py=ㄙㄛㄧ-ㄅㄧㄣ | theme=vegetables | stage=1
 2005 | edamame                        | 毛豆                             | 🟢        | chunks=['e', 'da', 'ma', 'me'] | py=ㄝ-ㄉㄚ-ㄇㄚ-ㄇㄝ | theme=vegetables | stage=2
 2006 | tomatillo                      | 墨西哥番茄                          | 🟢        | chunks=['to', 'ma', 'til', 'lo'] | py=ㄊㄛ-ㄇㄚ-ㄊㄧ-ㄌㄛ | theme=vegetables | stage=3
 2007 | daikon                         | 白蘿蔔                            | ⬜        | chunks=['dai', 'kon'] | py=ㄉㄞ-ㄎㄢ | theme=vegetables | stage=2
 2008 | lotusroot                      | 蓮藕                             | ⚪        | chunks=['lo', 'tus', 'root'] | py=ㄌㄛ-ㄊㄜㄗ-ㄌㄨㄊ | theme=vegetables | stage=2
 2009 | bambooshoot                    | 竹筍                             | 🎋        | chunks=['bam', 'boo', 'shoot'] | py=ㄅㄚㄇ-ㄅㄨ-ㄒㄨㄊ | theme=vegetables | stage=2
 2010 | cilantro                       | 香菜                             | 🌿        | chunks=['ci', 'lan', 'tro'] | py=ㄒㄜ-ㄌㄢ-ㄊㄌㄛ | theme=vegetables | stage=2
 2011 | parsley                        | 巴西利                            | 🌿        | chunks=['pars', 'ley'] | py=ㄆㄚㄦㄙ-ㄌㄧ | theme=vegetables | stage=2
 2012 | basil                          | 羅勒                             | 🌿        | chunks=['ba', 'sil'] | py=ㄅㄝ-ㄗㄜ | theme=vegetables | stage=2
 2013 | rosemary                       | 迷迭香                            | 🌿        | chunks=['rose', 'ma', 'ry'] | py=ㄌㄛㄗ-ㄇㄝ-ㄌㄧ | theme=vegetables | stage=2
 2014 | thyme                          | 百里香                            | 🌿        | chunks=['th', 'yme'] | py=ㄊㄞㄇ | theme=vegetables | stage=3
 2015 | oregano                        | 奧勒岡                            | 🌿        | chunks=['o', 'reg', 'a', 'no'] | py=ㄛ-ㄌㄝ-ㄍㄜ-ㄋㄛ | theme=vegetables | stage=3
 2016 | dill                           | 蒔蘿                             | 🌿        | chunks=['d', 'ill'] | py=ㄉㄧㄦ | theme=vegetables | stage=3
 2017 | sage                           | 鼠尾草                            | 🌿        | chunks=['s', 'age'] | py=ㄙㄟㄐ | theme=vegetables | stage=3
 2018 | coriander                      | 芫荽                             | 🌿        | chunks=['co', 'ri', 'an', 'der'] | py=ㄎㄛ-ㄌㄧ-ㄢ-ㄉㄜ | theme=vegetables | stage=3
 2019 | tarragon                       | 龍蒿                             | 🌿        | chunks=['tar', 'ra', 'gon'] | py=ㄊㄝ-ㄌㄜ-ㄍㄢ | theme=vegetables | stage=3
 2020 | champagne                      | 香檳                             | 🍾        | chunks=['cham', 'pagne'] | py=ㄒㄚㄇ-ㄆㄟㄣ | theme=drinks | stage=2
 2021 | vodka                          | 伏特加                            | 🍸        | chunks=['vod', 'ka'] | py=ㄈㄚㄉ-ㄎㄚ | theme=drinks | stage=2
 2022 | whiskey                        | 威士忌                            | 🥃        | chunks=['whis', 'key'] | py=ㄨㄧㄙ-ㄎㄧ | theme=drinks | stage=2
 2023 | rum                            | 蘭姆酒                            | 🥃        | chunks=['r', 'um'] | py=ㄌㄚㄇ | theme=drinks | stage=2
 2024 | gin                            | 琴酒                             | 🍸        | chunks=['g', 'in'] | py=ㄐㄧㄣ | theme=drinks | stage=2
 2025 | tequila                        | 龍舌蘭                            | 🍸        | chunks=['te', 'qui', 'la'] | py=ㄊㄜ-ㄎㄧ-ㄌㄚ | theme=drinks | stage=3
 2026 | brandy                         | 白蘭地                            | 🥃        | chunks=['bran', 'dy'] | py=ㄅㄌㄢ-ㄉㄧ | theme=drinks | stage=3
 2027 | sake                           | 清酒                             | 🍶        | chunks=['sa', 'ke'] | py=ㄙㄚ-ㄎㄟ | theme=drinks | stage=2
