# 字 6500-6999
 6500 | shoot                          | 發射                             | 🏃        | chunks=['sh', 'oot'] | py=ㄒ-ㄨㄊ | theme=actions | stage=2 [有易混提示]
 6670 | connect                        | 連接，連結                          | 🏃        | chunks=['con', 'nect'] | py=ㄎㄜ-ㄋㄝㄎㄊ | theme=actions | stage=2
 6671 | conscious                      | 神志清醒的，有知覺的                     | 🎨        | chunks=['con', 'scious'] | py=ㄎㄚㄣ-ㄒㄚㄙ | theme=adjectives | stage=2 [有易混提示]
 6672 | consideration                  | 考慮                             | 🎓        | chunks=['con', 'si', 'de', 'ra', 'tion'] | py=ㄎㄚㄣ-ㄗㄜ-ㄉㄧ-ㄌㄚ-ㄒㄣ | theme=academic-words | stage=2 base=consider
 6673 | couch                          | 長沙發                            | 🛋️       | chunks=['c', 'ouch'] | py=ㄒㄧ-ㄠㄔ | theme=home-items | stage=2 [有易混提示]
 6674 | countable                      | 可計算的                           | 🎨        | chunks=['coun', 'tab', 'le'] | py=ㄎㄠㄣ-ㄊㄚ-ㄌㄧ | theme=adjectives | stage=2 base=count
 6675 | coward                         | 懦夫，膽怯者                         | 🏃        | chunks=['co', 'ward'] | py=ㄎㄛ-ㄨㄜㄉ | theme=actions | stage=2
 6676 | cradle                         | 搖籃                             | 🏃        | chunks=['crad', 'le'] | py=ㄎㄖㄚㄉ-ㄌㄧ | theme=home-items | stage=2
 6677 | crawl                          | 爬                              | 🏃        | chunks=['cr', 'awl'] | py=ㄎㄖ-ㄛㄌ | theme=actions | stage=2 [有易混提示]
 6678 | creator                        | 創造者                            | 👨‍⚕️     | chunks=['crea', 'tor'] | py=ㄎㄖㄧ-ㄊㄜ | theme=jobs | stage=2 base=create
 6679 | creature                       | 生物                             | 🔬        | chunks=['crea', 'tu', 're'] | py=ㄎㄖㄧ-ㄑㄨ-ㄌㄧ | theme=science | stage=2
 6680 | creep                          | 躡手躡足地走                         | 🏃        | chunks=['cr', 'eep'] | py=ㄎㄖ-ㄧㄆ | theme=actions | stage=2 [有易混提示]
 6681 | crown                          | 王冠                             | 👑        | chunks=['cr', 'own'] | py=ㄎㄖ-ㄠㄋ | theme=actions | stage=2
 6682 | crunchy                        | 發嘎吱嘎吱聲的                        | 🎨        | chunks=['crun', 'chy'] | py=ㄎㄖㄚㄋ-ㄎㄧ | theme=adjectives | stage=2 base=crunch
 6683 | crutch                         | 撐拐                             | 🏃        | chunks=['cr', 'utch'] | py=ㄎㄖ-ㄚㄊㄔ | theme=actions | stage=3
 6684 | cultural                       | 文化的                            | 🎨        | chunks=['cul', 'tu', 'ral'] | py=ㄎㄦ-ㄑㄨ-ㄦ | theme=adjectives | stage=2 base=culture
 6685 | dairy                          | 乳品場                            | 🏃        | chunks=['dai', 'ry'] | py=ㄉㄟ-ㄌㄧ | theme=actions | stage=2
 6686 | dam                            | 水壩                             | 🌊        | chunks=['d', 'am'] | py=ㄉㄧ-ㄚㄇ | theme=nature | stage=2 [有易混提示]
 6687 | dare                           | 敢                              | 🏃        | chunks=['da', 're'] | py=ㄉㄚ-ㄌㄧ | theme=actions | stage=2 [有易混提示]
 6688 | darling                        | 心愛的人                           | 🏃        | chunks=['dar', 'ling'] | py=ㄉㄜ-ㄌㄧㄥ | theme=actions | stage=2
 6689 | dash                           | 猛撞                             | 🏃        | chunks=['d', 'ash'] | py=ㄉㄧ-ㄚㄒ | theme=actions | stage=2 [有易混提示]
 6690 | deafen                         | 使聾                             | 🏃        | chunks=['dea', 'fen'] | py=ㄉㄧ-ㄈㄣ | theme=actions | stage=2 base=deaf
 6691 | deed                           | 行為                             | 🏃        | chunks=['d', 'eed'] | py=ㄉㄧ-ㄧㄉ | theme=actions | stage=2 [有易混提示]
 6692 | deepen                         | 使變深                            | 🏃        | chunks=['dee', 'pen'] | py=ㄉㄧ-ㄆㄣ | theme=actions | stage=2 base=deep
 6693 | definition                     | 定義                             | 🎓        | chunks=['de', 'fi', 'ni', 'tion'] | py=ㄉㄝ-ㄈㄜ-ㄋㄧ-ㄒㄣ | theme=academic-words | stage=2 base=define
 6694 | democratic                     | 民主的                            | 🎨        | chunks=['de', 'moc', 'ra', 'tic'] | py=ㄉㄧ-ㄇㄚ-ㄌㄚ-ㄊㄧㄎ | theme=adjectives | stage=2
 6695 | description                    | 描寫                             | 🎓        | chunks=['des', 'crip', 'tion'] | py=ㄉㄜ-ㄙㄎㄖㄧㄆ-ㄒㄣ | theme=academic-words | stage=2 base=describe
 6696 | desirable                      | 值得嚮往的                          | 🎨        | chunks=['de', 'si', 'rab', 'le'] | py=ㄉㄧ-ㄗㄜ-ㄖㄝ-ㄌㄧ | theme=adjectives | stage=2 base=desire
 6697 | destroy                        | 毀壞，破壞                          | 🏃        | chunks=['des', 'troy'] | py=ㄉㄧ-ㄊㄖㄛㄧ | theme=actions | stage=2
 6698 | determine                      | 決定                             | 🎨        | chunks=['de', 'ter', 'mi', 'ne'] | py=ㄉㄜ-ㄊㄜ-ㄇㄜㄣ | theme=adjectives | stage=2
 6699 | dime                           | 一角                             | 🪙        | chunks=['di', 'me'] | py=ㄉㄧ-ㄇㄝ | theme=money | stage=2 [有易混提示]
 6700 | dip                            | 浸                              | 🏃        | chunks=['d', 'ip'] | py=ㄉㄧ-ㄌㄧㄆ | theme=actions | stage=2 [有易混提示]
 6701 | disappoint                     | 使…失望                           | 😞        | chunks=['di', 'sap', 'point'] | py=ㄉㄧ-ㄙㄚ-ㄆㄛㄧㄣㄊ | theme=emotions | stage=2
 6702 | disappointment                 | 失望                             | 😞        | chunks=['di', 'sap', 'poin', 'tment'] | py=ㄉㄧ-ㄙㄚ-ㄆㄛㄧㄣ-ㄊㄇㄣㄊ | theme=emotions | stage=2 base=disappoint
 6703 | disco                          | 迪斯可舞廳                          | 🏃        | chunks=['dis', 'co'] | py=ㄉㄧㄙ-ㄎㄛ | theme=actions | stage=3
 6704 | disk                           | 圓盤                             | 🏃        | chunks=['d', 'isk'] | py=ㄉㄧ-ㄧㄙㄎ | theme=actions | stage=2 [有易混提示]
 6705 | disc                           | 圓盤                             | 🏃        | chunks=['d', 'isc'] | py=ㄉㄧ-ㄧㄙㄎ | theme=actions | stage=2 [有易混提示]
 6706 | ditch                          | 水溝                             | 🕳️       | chunks=['d', 'itch'] | py=ㄉㄧ-ㄧㄊㄔ | theme=places | stage=2
 6707 | dive                           | 跳水                             | 🥤        | chunks=['di', 've'] | py=ㄉㄧ-ㄈㄜ | theme=sports | stage=2 [有易混提示]
 6708 | dodge                          | 閃開，躲開                          | 🏃        | chunks=['dod', 'ge'] | py=ㄉㄛㄉ-ㄐㄧ | theme=actions | stage=2
 6709 | doubtful                       | 懷疑的，疑惑的                        | 🤔        | chunks=['doub', 'tful'] | py=ㄉㄠㄅ-ㄊㄈㄚㄛ | theme=emotions | stage=2 base=doubt
 6710 | drain                          | 排出                             | 🏃        | chunks=['dr', 'ain'] | py=ㄉㄖ-ㄟㄋ | theme=actions | stage=2
 6711 | dramatic                       | 戲劇的                            | 🎬        | chunks=['dra', 'ma', 'tic'] | py=ㄉㄌㄚ-ㄇㄚ-ㄊㄧㄎ | theme=movies-tv | stage=2
 6712 | drip                           | 滴                              | 🏃        | chunks=['dr', 'ip'] | py=ㄉㄖ-ㄌㄧㄆ | theme=actions | stage=2
 6713 | drunk                          | 喝醉的                            | 🎨        | chunks=['dr', 'unk'] | py=ㄉㄖ-ㄚㄋㄎ | theme=adjectives | stage=2 base=drink
 6714 | due                            | 到期的                            | 🎨        | chunks=['d', 'ue'] | py=ㄉㄧ-ㄑㄨ | theme=adjectives | stage=2 [有易混提示]
 6715 | dust                           | 灰塵，塵土                          | 🏃        | chunks=['d', 'ust'] | py=ㄉㄧ-ㄚㄙㄊ | theme=actions | stage=2
 6716 | earnings                       | 收入，工資                          | 🏃        | chunks=['ear', 'nings'] | py=ㄦ-ㄋㄧㄥㄙ | theme=actions | stage=2 base=earn
 6717 | echo                           | 回聲                             | 🏃        | chunks=['ec', 'ho'] | py=ㄝㄎ-ㄏㄚ | theme=actions | stage=2 [有易混提示]
 6718 | edit                           | 編輯                             | 📰        | chunks=['e', 'dit'] | py=ㄧ-ㄉㄜㄊ | theme=media | stage=2 [有易混提示]
 6719 | educate                        | 教育                             | 🏃        | chunks=['e', 'du', 'ca', 'te'] | py=ㄝ-ㄐㄜ-ㄎㄟㄊ | theme=actions | stage=2
 6720 | educational                    | 教育的                            | 🎨        | chunks=['e', 'du', 'ca', 'tio', 'nal'] | py=ㄝ-ㄐㄜ-ㄎㄟ-ㄒㄜ-ㄋㄜ | theme=adjectives | stage=2 base=education
 6721 | efficient                      | 效率高的                           | ⚡        | chunks=['ef', 'fi', 'cient'] | py=ㄧ-ㄈㄜ-ㄒㄣㄊ | theme=appearance | stage=2
 6722 | elderly                        | 年長的                            | 🎨        | chunks=['el', 'der', 'ly'] | py=ㄝ-ㄉㄜ-ㄌㄧ | theme=adjectives | stage=2
 6723 | electric                       | 電的                             | 🎨        | chunks=['e', 'lec', 'tric'] | py=ㄧ-ㄌㄝㄎ-ㄊㄖㄧㄎ | theme=adjectives | stage=2 [有易混提示]
 6724 | electricity                    | 電                              | 🎓        | chunks=['e', 'lec', 'tri', 'ci', 'ty'] | py=ㄧ-ㄌㄝㄎ-ㄊㄌㄧ-ㄙㄜ-ㄊㄧ | theme=academic-words | stage=2 base=electric
 6725 | electronic                     | 電子的                            | 🔬        | chunks=['e', 'lec', 'tro', 'nic'] | py=ㄧ-ㄌㄝㄎ-ㄊㄌㄚ-ㄋㄧㄎ | theme=science | stage=2
 6726 | emphasize                      | 強調                             | 🏃        | chunks=['em', 'pha', 'si', 'ze'] | py=ㄝㄇ-ㄈㄜ-ㄙㄞㄗ | theme=actions | stage=2
 6727 | employ                         | 僱用                             | 🏃        | chunks=['em', 'ploy'] | py=ㄝㄇ-ㄆㄌㄛㄧ | theme=actions | stage=2
 6728 | energetic                      | 精力旺盛的                          | 🎨        | chunks=['e', 'ner', 'ge', 'tic'] | py=ㄧ-ㄋㄜ-ㄐㄧ-ㄊㄧㄎ | theme=adjectives | stage=2
 6729 | engage                         | 吸引                             | 🏃        | chunks=['en', 'ga', 'ge'] | py=ㄣ-ㄍㄚ-ㄐㄧ | theme=actions | stage=2 [有易混提示]
 6730 | engine                         | 引擎                             | 🎨        | chunks=['en', 'gi', 'ne'] | py=ㄝㄣ-ㄐㄜㄣ | theme=adjectives | stage=2 [有易混提示]
 6731 | enjoyable                      | 快樂的                            | 😊        | chunks=['en', 'joyab', 'le'] | py=ㄣ-ㄐㄛㄧㄚㄅ-ㄌㄧ | theme=emotions | stage=2 base=enjoy
 6732 | entry                          | 進入                             | 🏃        | chunks=['en', 'try'] | py=ㄣ-ㄊㄌㄧ | theme=actions | stage=2
 6733 | environmental                  | 環境的                            | 🌍        | chunks=['en', 'vi', 'ron', 'men', 'tal'] | py=ㄣ-ㄈㄞ-ㄖㄜㄣ-ㄇㄣ-ㄊㄜ | theme=environment | stage=2 base=environment
 6734 | erase                          | 擦掉，抹去                          | 🏃        | chunks=['e', 'ra', 'se'] | py=ㄧ-ㄌㄚ-ㄙㄜ | theme=actions | stage=2
 6735 | escape                         | 逃跑                             | 🏃        | chunks=['es', 'ca', 'pe'] | py=ㄝ-ㄙㄎㄟㄆ | theme=actions | stage=2
 6736 | excellence                     | 優秀                             | 🎓        | chunks=['ex', 'cel', 'len', 'ce'] | py=ㄝㄎㄙ-ㄙㄝ-ㄌㄝㄣ-ㄙㄜ | theme=academic-words | stage=2 base=excellent
 6737 | expectation                    | 期待                             | 🎓        | chunks=['ex', 'pec', 'ta', 'tion'] | py=ㄝㄎㄙ-ㄆㄝㄎ-ㄊㄝ-ㄒㄣ | theme=academic-words | stage=2 base=expect
 6738 | explode                        | 使爆炸爆炸                          | 🏃        | chunks=['ex', 'plo', 'de'] | py=ㄝㄎㄙ-ㄆㄌㄛㄉ | theme=actions | stage=2
 6739 | expression                     | 表達                             | 🎓        | chunks=['ex', 'pres', 'sion'] | py=ㄝㄎㄙ-ㄆㄌㄝ-ㄒㄣ | theme=academic-words | stage=2 base=express
 6740 | expressive                     | 表現的                            | 🎨        | chunks=['ex', 'pres', 'si', 've'] | py=ㄝㄎㄙ-ㄆㄌㄝ-ㄗㄜ-ㄈㄜ | theme=adjectives | stage=2 base=express
 6741 | extreme                        | 極端，末端極端的                       | 🎨        | chunks=['ex', 'tre', 'me'] | py=ㄝㄎㄙ-ㄊㄌㄧㄇ | theme=adjectives | stage=2
 6742 | fade                           | 凋謝，枯萎                          | 🏃        | chunks=['fa', 'de'] | py=ㄈㄚ-ㄉㄧ | theme=actions | stage=2 [有易混提示]
 6743 | fairy                          | 小妖精                            | 🏃        | chunks=['fai', 'ry'] | py=ㄈㄟ-ㄌㄧ | theme=actions | stage=2 [有易混提示]
 6744 | familiar                       | 熟悉的                            | 🎨        | chunks=['fa', 'mi', 'liar'] | py=ㄈㄜ-ㄇㄧ-ㄌㄧㄜ | theme=adjectives | stage=2
 6745 | fancy                          | 愛好                             | 🏃        | chunks=['fan', 'cy'] | py=ㄈㄚㄣ-ㄒㄧ | theme=actions | stage=2
 6746 | fare                           | 票價，車費                          | 🏃        | chunks=['fa', 're'] | py=ㄈㄚ-ㄌㄧ | theme=actions | stage=2 [有易混提示]
 6747 | fashion                        | 流行式樣                           | 👗        | chunks=['fas', 'hion'] | py=ㄈㄚㄙ-ㄏㄧㄛㄋ | theme=music | stage=2
 6748 | fashionable                    | 流行的                            | 👗        | chunks=['fas', 'hio', 'nab', 'le'] | py=ㄈㄚㄙ-ㄏㄧㄛ-ㄋㄚㄅ-ㄌㄧ | theme=music | stage=2 base=fashion
 6749 | fasten                         | 紮牢                             | 🏃        | chunks=['fas', 'ten'] | py=ㄈㄚㄙ-ㄊㄣ | theme=actions | stage=2 [有易混提示]
 6750 | feather                        | 羽毛                             | 🏃        | chunks=['feat', 'her'] | py=ㄈㄧㄊ-ㄏㄜ | theme=actions | stage=2 [有易混提示]
 6751 | fist                           | 拳頭                             | ✊        | chunks=['f', 'ist'] | py=ㄝㄈ-ㄧㄙㄊ | theme=body | stage=2
 6752 | flavor                         | 味道                             | 🏃        | chunks=['fla', 'vor'] | py=ㄈㄌㄝ-ㄈㄜ | theme=actions | stage=2
 6753 | flea                           | 跳蚤                             | 🏃        | chunks=['fl', 'ea'] | py=ㄈㄌ-ㄧ | theme=actions | stage=2 [有易混提示]
 6754 | flesh                          | 肉，肌肉                           | 🥩        | chunks=['fl', 'esh'] | py=ㄈㄌ-ㄝㄒ | theme=food | stage=2 [有易混提示]
 6755 | float                          | 浮                              | 🏃        | chunks=['fl', 'oat'] | py=ㄈㄌ-ㄛㄊ | theme=actions | stage=2 [有易混提示]
 6756 | flock                          | 群聚集                            | 🏃        | chunks=['fl', 'ock'] | py=ㄈㄌ-ㄛㄎ | theme=actions | stage=2 [有易混提示]
 6757 | fold                           | 摺疊                             | 🏃        | chunks=['f', 'old'] | py=ㄝㄈ-ㄛㄌㄉ | theme=actions | stage=2 [有易混提示]
 6758 | forth                          | 向前                             | ➡️       | chunks=['f', 'orth'] | py=ㄝㄈ-ㄛㄜㄒ | theme=directions | stage=2 [有易混提示]
 6759 | fortune                        | 財富                             | 🏃        | chunks=['for', 'tu', 'ne'] | py=ㄈㄛㄦ-ㄑㄜㄣ | theme=actions | stage=2
 6760 | fountain                       | 泉水                             | ⛲        | chunks=['foun', 'tain'] | py=ㄈㄠㄣ-ㄊㄣ | theme=drinks | stage=2
 6761 | freeze                         | 結冰                             | 🏃        | chunks=['free', 'ze'] | py=ㄈㄌㄧ-ㄗㄧ | theme=actions | stage=2 [有易混提示]
 6762 | frequent                       | 時常發生的，頻繁的                      | 🎨        | chunks=['fre', 'quent'] | py=ㄈㄖㄧ-ㄎㄨㄜㄣㄊ | theme=adjectives | stage=2 [有易混提示]
 6763 | frustrate                      | 挫敗                             | 🏃        | chunks=['frus', 'tra', 'te'] | py=ㄈㄌㄚㄙ-ㄊㄌㄚ-ㄊㄧ | theme=actions | stage=2
 6764 | fry                            | 油炸，油炒炒菜                        | 🍎        | chunks=['fr', 'y'] | py=ㄈㄖ-ㄌㄧ | theme=food | stage=2 [有易混提示]
 6765 | fur                            | 毛皮                             | 🏃        | chunks=['f', 'ur'] | py=ㄝㄈ-ㄜ | theme=actions | stage=2 [有易混提示]
 6766 | furniture                      | 傢俱                             | 🎓        | chunks=['fur', 'ni', 'tu', 're'] | py=ㄈㄜ-ㄋㄜ-ㄑㄜㄦ | theme=academic-words | stage=2
 6767 | gallon                         | 加侖                             | 🏃        | chunks=['gal', 'lon'] | py=ㄍㄚ-ㄌㄚㄣ | theme=numbers | stage=2
 6768 | gamble                         | 賭博                             | 🏃        | chunks=['gam', 'ble'] | py=ㄍㄝ-ㄅㄜ | theme=actions | stage=2
 6769 | gap                            | 裂口，缺口                          | 🏃        | chunks=['g', 'ap'] | py=ㄐㄧ-ㄚ | theme=actions | stage=2 [有易混提示]
 6770 | gasoline                       | 汽油                             | 🎨        | chunks=['ga', 'so', 'li', 'ne'] | py=ㄍㄚ-ㄙㄜ-ㄌㄧㄋ | theme=adjectives | stage=2
 6771 | gesture                        | 姿勢                             | 🎓        | chunks=['ges', 'tu', 're'] | py=ㄐㄝㄙ-ㄑㄨ-ㄌㄧ | theme=academic-words | stage=2
 6772 | glance                         | 一瞥                             | 👀        | chunks=['glan', 'ce'] | py=ㄍㄌㄚㄋ-ㄙㄜ | theme=actions | stage=2
 6773 | global                         | 球狀的                            | 🎨        | chunks=['glo', 'bal'] | py=ㄍㄌㄛ-ㄅㄚ | theme=adjectives | stage=2 base=globe
 6774 | glory                          | 光榮，榮譽                          | 🎨        | chunks=['glo', 'ry'] | py=ㄍㄌㄛ-ㄌㄧ | theme=adjectives | stage=2
 6775 | glow                           | 發光                             | 🏃        | chunks=['gl', 'ow'] | py=ㄍㄌ-ㄛ | theme=actions | stage=2 [有易混提示]
 6776 | gown                           | 長禮服                            | 👗        | chunks=['g', 'own'] | py=ㄐㄧ-ㄠㄋ | theme=clothing | stage=2
 6777 | grab                           | 攫取，抓取                          | 🏃        | chunks=['gr', 'ab'] | py=ㄍㄖ-ㄚㄅ | theme=actions | stage=2 [有易混提示]
 6778 | gradual                        | 逐漸的，逐步的                        | 🎨        | chunks=['gra', 'dual'] | py=ㄍㄌㄝ-ㄉㄚㄚㄌ | theme=adjectives | stage=2
 6779 | graduate                       | 准…畢業畢業畢業生                      | 📚        | chunks=['gra', 'dua', 'te'] | py=ㄍㄌㄝ-ㄉㄚㄚ-ㄊㄧ | theme=school | stage=2
 6780 | gram                           | 克                              | 🏃        | chunks=['gr', 'am'] | py=ㄍㄖ-ㄚㄇ | theme=actions | stage=2
 6781 | grasshopper                    | 蚱蜢                             | 🏃        | chunks=['gras', 'shop', 'per'] | py=ㄍㄖㄚㄙ-ㄒㄚㄆ-ㄆㄜ | theme=actions | stage=2
 6782 | grin                           | 露齒而笑                           | 🏃        | chunks=['gr', 'in'] | py=ㄍㄖ-ㄧㄣ | theme=actions | stage=2 [有易混提示]
 6783 | guardian                       | 保護者                            | 👨‍⚕️     | chunks=['guar', 'dian'] | py=ㄍㄚ-ㄉㄧㄚㄋ | theme=jobs | stage=2
 6784 | guidance                       | 指導                             | 🎓        | chunks=['gui', 'dan', 'ce'] | py=ㄍㄧ-ㄉㄢ-ㄙㄜ | theme=academic-words | stage=2
 6785 | gymnasium                      | 體育館                            | ⚽        | chunks=['gym', 'na', 'sium'] | py=ㄐㄧㄇ-ㄋㄚ-ㄙㄧㄚㄇ | theme=sports | stage=2
 6786 | hairdresser                    | 美髮師                            | 💇        | chunks=['hair', 'dres', 'ser'] | py=ㄏㄝㄜ-ㄉㄌㄝ-ㄗㄜ | theme=appearance | stage=2
 6787 | handful                        | 一把、一握                          | 🔢        | chunks=['han', 'dful'] | py=ㄏㄢ-ㄉㄈㄚㄛ | theme=numbers | stage=2 base=hand
 6788 | handy                          | 手邊的                            | 🎨        | chunks=['han', 'dy'] | py=ㄏㄢ-ㄉㄧ | theme=adjectives | stage=2
 6789 | harm                           | 損傷，傷害                          | 🏃        | chunks=['h', 'arm'] | py=ㄝㄑ-ㄚㄦㄇ | theme=actions | stage=2 [有易混提示]
 6790 | harmful                        | 有害的                            | 🎨        | chunks=['har', 'mful'] | py=ㄏㄚㄦ-ㄇㄈㄚㄛ | theme=adjectives | stage=2 base=harm
 6791 | harvest                        | 收穫                             | 🏃        | chunks=['har', 'vest'] | py=ㄏㄚㄦ-ㄈㄝㄙㄊ | theme=actions | stage=2
 6792 | hasty                          | 匆忙的，急忙的                        | 🎨        | chunks=['has', 'ty'] | py=ㄏㄚㄙ-ㄊㄧ | theme=adjectives | stage=2
 6793 | hatch                          | 孵出                             | 🏃        | chunks=['h', 'atch'] | py=ㄝㄑ-ㄚㄊㄔ | theme=actions | stage=2
 6794 | hay                            | 乾草                             | 🏃        | chunks=['h', 'ay'] | py=ㄝㄑ-ㄟ | theme=actions | stage=2 [有易混提示]
 6795 | heap                           | 堆、堆積                           | 🏃        | chunks=['h', 'eap'] | py=ㄝㄑ-ㄧㄆ | theme=actions | stage=2 [有易混提示]
 6796 | hike                           | 遠足                             | 🏃        | chunks=['hi', 'ke'] | py=ㄏㄞ-ㄎㄟ | theme=actions | stage=2
 6797 | hint                           | 暗示                             | 🏃        | chunks=['h', 'int'] | py=ㄝㄑ-ㄧㄋㄊ | theme=actions | stage=2 [有易混提示]
 6798 | historic                       | 歷史上著名的                         | 📜        | chunks=['his', 'to', 'ric'] | py=ㄏㄧㄙ-ㄊㄛ-ㄌㄧㄎ | theme=history | stage=2 [有易混提示]
 6799 | hive                           | 蜂房                             | 🐾        | chunks=['hi', 've'] | py=ㄏㄞ-ㄈㄜ | theme=animals | stage=2 [有易混提示]
 6800 | honesty                        | 誠實                             | 🤔        | chunks=['ho', 'nes', 'ty'] | py=ㄚ-ㄋㄜㄙ-ㄊㄧ | theme=personality | stage=2 base=honest
 6801 | honor                          | 榮譽                             | 🏃        | chunks=['ho', 'nor'] | py=ㄚ-ㄋㄜ | theme=actions | stage=2
 6802 | horrible                       | 可怕的                            | 🎨        | chunks=['hor', 'rib', 'le'] | py=ㄏㄛ-ㄌㄜ-ㄅㄜ | theme=adjectives | stage=2 base=horror
 6803 | housekeeper                    | 管家                             | 👨‍⚕️     | chunks=['hou', 'se', 'kee', 'per'] | py=ㄏㄠㄙ-ㄎㄧ-ㄆㄜ | theme=jobs | stage=2
 6804 | hush                           | 靜寂、使…沉默                        | 🏃        | chunks=['h', 'ush'] | py=ㄝㄑ-ㄚㄒ | theme=actions | stage=2
 6805 | hut                            | 小屋                             | 🏃        | chunks=['h', 'ut'] | py=ㄝㄑ-ㄚ | theme=actions | stage=2 [有易混提示]
 6806 | icy                            | 多冰的                            | 🎨        | chunks=['i', 'cy'] | py=ㄌㄜ-ㄒㄧ | theme=adjectives | stage=2 base=ice
 6807 | ideal                          | 理想的理想                          | 🏃        | chunks=['i', 'deal'] | py=ㄌㄜ-ㄉㄧ | theme=actions | stage=2
 6808 | image                          | 形象、影像                          | 🖼️       | chunks=['i', 'ma', 'ge'] | py=ㄧ-ㄇㄜㄐ | theme=academic-words | stage=2 [有易混提示]
 6809 | imagination                    | 想像力                            | 🎓        | chunks=['i', 'ma', 'gi', 'na', 'tion'] | py=ㄧ-ㄇㄚ-ㄐㄜ-ㄋㄟ-ㄒㄣ | theme=academic-words | stage=2 base=imagine
 6810 | immediate                      | 立即的，即刻的                        | 🎨        | chunks=['im', 'me', 'dia', 'te'] | py=ㄧㄇ-ㄇㄧ-ㄉㄧ-ㄜㄊ | theme=adjectives | stage=2
 6811 | impress                        | 給…極深的印象                        | ✨        | chunks=['im', 'press'] | py=ㄧㄇ-ㄆㄌㄝㄙ | theme=actions | stage=2
 6812 | impressive                     | 予人深刻印象的                        | ✨        | chunks=['im', 'pres', 'si', 've'] | py=ㄧㄇ-ㄆㄌㄝ-ㄗㄜ-ㄈㄜ | theme=animals | stage=2 base=impress
 6813 | indoor                         | 室內的，戶內的                        | 🎨        | chunks=['in', 'door'] | py=ㄧㄣ-ㄉㄛㄦ | theme=adjectives | stage=2
 6814 | indoors                        | 在室內                            | 🏃        | chunks=['in', 'doors'] | py=ㄧㄣ-ㄉㄨㄖㄙ | theme=actions | stage=2
 6815 | industrial                     | 工業的                            | 🎨        | chunks=['in', 'dus', 'trial'] | py=ㄧㄣ-ㄉㄚㄙ-ㄊㄖㄧㄚㄌ | theme=adjectives | stage=2 base=industry
 6816 | inferior                       | 較差的                            | 🎨        | chunks=['in', 'fe', 'rior'] | py=ㄧㄣ-ㄈㄧ-ㄖㄧㄛㄜ | theme=adjectives | stage=2
 6817 | inform                         | 通知，告知                          | 🏃        | chunks=['in', 'form'] | py=ㄧㄣ-ㄈㄛㄦㄇ | theme=actions | stage=2
 6818 | inner                          | 內部的，裡面的                        | 🎨        | chunks=['in', 'ner'] | py=ㄧㄣ-ㄋㄜ | theme=adjectives | stage=2
 6819 | inspector                      | 檢查員                            | 👨‍⚕️     | chunks=['in', 'spec', 'tor'] | py=ㄧㄣ-ㄙㄆㄝㄎ-ㄊㄜ | theme=jobs | stage=2 base=inspect
 6820 | instruction                    | 教學                             | 🎓        | chunks=['ins', 'truc', 'tion'] | py=ㄧㄣ-ㄙㄊㄖㄚㄎ-ㄒㄣ | theme=academic-words | stage=2 base=instruct
 6821 | interrupt                      | 打斷                             | 🏃        | chunks=['in', 'ter', 'rupt'] | py=ㄧㄣ-ㄊㄜ-ㄌㄚㄆㄊ | theme=actions | stage=2
 6822 | introduction                   | 介紹                             | 🎓        | chunks=['in', 'tro', 'duc', 'tion'] | py=ㄧㄣ-ㄊㄌㄜ-ㄉㄚㄎ-ㄒㄣ | theme=academic-words | stage=2 base=introduce
 6823 | inventor                       | 發明家                            | 👨‍⚕️     | chunks=['in', 'ven', 'tor'] | py=ㄧㄣ-ㄈㄣ-ㄊㄜ | theme=jobs | stage=2 base=invent
 6824 | jewel                          | 寶石                             | 🏃        | chunks=['je', 'wel'] | py=ㄐㄩ-ㄜㄦ | theme=actions | stage=2 [有易混提示]
 6825 | jewelry                        | 珠寶                             | 🏃        | chunks=['je', 'wel', 'ry'] | py=ㄐㄩ-ㄜㄦ-ㄌㄧ | theme=actions | stage=2 base=jewel
 6826 | joyful                         | 高興的，充滿喜悅的                      | 💁        | chunks=['joy', 'ful'] | py=ㄐㄛㄧ-ㄈㄜ | theme=appearance | stage=2 base=joy
 6827 | kilogram                       | 公斤                             | 🏃        | chunks=['ki', 'log', 'ram'] | py=ㄎㄧ-ㄌㄜ-ㄍㄌㄚㄇ | theme=actions | stage=2
 6828 | kilometer                      | 公里                             | 🏃        | chunks=['ki', 'lo', 'me', 'ter'] | py=ㄎㄜ-ㄌㄚ-ㄇㄜ-ㄊㄜ | theme=actions | stage=2
 6829 | kit                            | 成套工具                           | 🔨        | chunks=['k', 'it'] | py=ㄎㄟ-ㄧㄊ | theme=tools | stage=2
 6830 | kneel                          | 跪                              | 🏃        | chunks=['kn', 'eel'] | py=ㄎㄋ-ㄧㄌ | theme=actions | stage=2
 6831 | knit                           | 編織                             | 🎮        | chunks=['kn', 'it'] | py=ㄎㄋ-ㄧㄊ | theme=hobbies | stage=2 [有易混提示]
 6832 | knob                           | 球形把手                           | 🏃        | chunks=['kn', 'ob'] | py=ㄎㄋ-ㄚㄅ | theme=actions | stage=2 [有易混提示]
 6833 | knot                           | 結                              | 🏃        | chunks=['kn', 'ot'] | py=ㄎㄋ-ㄚ | theme=actions | stage=2 [有易混提示]
 6834 | latter                         | 後面的                            | 🧭        | chunks=['lat', 'ter'] | py=ㄌㄚ-ㄊㄜ | theme=directions | stage=2
