# 字 7500-7999
 7500 | overtake                       | 追上                             | 🏃        | chunks=['o', 'ver', 'ta', 'ke'] | py=ㄛ-ㄈㄜ-ㄊㄝㄎ | theme=directions | stage=3
 7652 | urge                           | 催促                             | 🏃        | chunks=['ur', 'ge'] | py=ㄜㄐ | theme=actions | stage=3
 7653 | usage                          | 使用，用法                          | 📖        | chunks=['u', 'sa', 'ge'] | py=ㄧㄨ-ㄙㄚ-ㄐㄧ | theme=law | stage=3
 7654 | verb                           | 動詞                             | 🏃        | chunks=['verb'] | py=ㄈㄜㄅ | theme=actions | stage=3
 7655 | vessel                         | 船，艦                            | 🚢        | chunks=['ves', 'sel'] | py=ㄈㄝㄙ-ㄙㄝ | theme=transportation | stage=3
 7656 | vinegar                        | 醋                              | 🏃        | chunks=['vi', 'ne', 'gar'] | py=ㄈㄞ-ㄋㄧ-ㄍㄚㄦ | theme=actions | stage=3
 7657 | violation                      | 違反                             | 🎓        | chunks=['vio', 'la', 'tion'] | py=ㄨㄧㄛ-ㄌㄚ-ㄒㄣ | theme=academic-words | stage=3
 7658 | virgin                         | 處女,未婚女子處女的                     | 👰        | chunks=['vir', 'gin'] | py=ㄈㄜ-ㄐㄧㄣ | theme=relationships | stage=3
 7659 | volunteer                      | 志願者，義工自願                       | 👨‍⚕️     | chunks=['vo', 'lun', 'teer'] | py=ㄈㄛ-ㄌㄚㄋ-ㄊㄧㄖ | theme=jobs | stage=3
 7660 | vowel                          | 母音                             | 🏃        | chunks=['vo', 'wel'] | py=ㄈㄛ-ㄨㄝㄦ | theme=actions | stage=3
 7661 | wit                            | 機智                             | 🏃        | chunks=['wit'] | py=ㄨㄧㄊ | theme=actions | stage=3
 7662 | witch                          | 女巫，巫婆                          | 🏃        | chunks=['witch'] | py=ㄨㄧㄊㄔ | theme=actions | stage=3 [有易混提示]
 7663 | wizard                         | 男巫                             | 🏃        | chunks=['wi', 'zard'] | py=ㄨㄧ-ㄗㄜㄉ | theme=actions | stage=3
 7664 | abide                          | 遵守                             | 🏃        | chunks=['a', 'bi', 'de'] | py=ㄜ-ㄅㄞ-ㄉㄧ | theme=actions | stage=3
 7665 | abolish                        | 廢止                             | 🎨        | chunks=['a', 'bo', 'lish'] | py=ㄜ-ㄅㄚ-ㄌㄧㄒ | theme=adjectives | stage=3
 7666 | abortion                       | 墮胎                             | 🎓        | chunks=['a', 'bor', 'tion'] | py=ㄜ-ㄅㄛㄜ-ㄒㄜㄣ | theme=academic-words | stage=3
 7667 | abrupt                         | 突然的                            | 🎨        | chunks=['ab', 'rupt'] | py=ㄚㄅ-ㄌㄚㄆㄊ | theme=adjectives | stage=3
 7668 | abundant                       | 豐富的                            | 🎨        | chunks=['a', 'bun', 'dant'] | py=ㄜ-ㄅㄚㄋ-ㄉㄣㄊ | theme=adjectives | stage=3
 7669 | accustom                       | 使…習慣                           | 🏃        | chunks=['ac', 'cus', 'tom'] | py=ㄜ-ㄎㄚㄙ-ㄊㄜㄇ | theme=actions | stage=3
 7670 | ace                            | 么點                             | 🏃        | chunks=['a', 'ce'] | py=ㄜ-ㄙㄜ | theme=actions | stage=3 [有易混提示]
 7671 | acknowledgement                | 承認                             | 🎨        | chunks=['ack', 'now', 'ledge', 'ment'] | py=ㄜㄎ-ㄋㄚ-ㄌㄝㄐ-ㄇㄜㄣㄊ | theme=adjectives | stage=3 base=acknowledge
 7672 | adolescence                    | 青春期                            | 🎓        | chunks=['a', 'do', 'les', 'cen', 'ce'] | py=ㄚ-ㄉㄜ-ㄌㄝ-ㄙㄜㄣㄙ | theme=academic-words | stage=3
 7673 | adolescent                     | 青春期的                           | 🎨        | chunks=['a', 'do', 'les', 'cent'] | py=ㄜ-ㄉㄛ-ㄌㄝ-ㄙㄣㄊ | theme=adjectives | stage=3 base=adolescence
 7674 | adulthood                      | 成年時期                           | 🎓        | chunks=['a', 'dul', 'thood'] | py=ㄜ-ㄉㄚㄌ-ㄒㄨㄉ | theme=academic-words | stage=3
 7675 | advertiser                     | 登廣告者                           | 📰        | chunks=['ad', 'ver', 'ti', 'ser'] | py=ㄚㄉ-ㄈㄜ-ㄊㄜ-ㄗㄜ | theme=media | stage=3 base=advertise
 7676 | agony                          | 痛苦                             | 🏃        | chunks=['a', 'go', 'ny'] | py=ㄚ-ㄍㄜ-ㄋㄧ | theme=actions | stage=3
 7677 | agricultural                   | 農業的                            | 🎨        | chunks=['ag', 'ri', 'cul', 'tu', 'ral'] | py=ㄚㄍ-ㄌㄧ-ㄎㄦ-ㄑㄨ-ㄦ | theme=adjectives | stage=3 base=agriculture
 7678 | artificial intelligence        | 人工智慧                           | 💻        | chunks=['ar', 'ti', 'fi', 'cial', 'in', 'tel', 'li', 'gen', 'ce'] | py=ㄚㄜㄊㄧㄈㄧㄎㄧㄚㄌ-ㄧㄋㄊㄝㄌㄌㄧㄍㄣㄙ | theme=technology | stage=3
 7679 | airtight                       | 密閉的                            | 🎨        | chunks=['air', 'tight'] | py=ㄟㄦ-ㄊㄞㄊ | theme=adjectives | stage=3
 7680 | airway                         | 呼吸道                            | 🏃        | chunks=['air', 'way'] | py=ㄟㄦ-ㄨㄝ | theme=actions | stage=3
 7681 | algebra                        | 代數                             | 🏃        | chunks=['al', 'geb', 'ra'] | py=ㄦ-ㄍㄝㄅ-ㄌㄚ | theme=actions | stage=3
 7682 | alien                          | 外國人                            | 👽        | chunks=['a', 'lien'] | py=ㄝ-ㄌㄧㄜㄣ | theme=countries | stage=2 [有易混提示]
 7683 | alternate                      | 替換                             | 🏃        | chunks=['al', 'ter', 'na', 'te'] | py=ㄦ-ㄊㄜ-ㄋㄚ-ㄊㄧ | theme=actions | stage=3 [有易混提示]
 7684 | anthem                         | 讚美詩                            | 📖        | chunks=['an', 'them'] | py=ㄢ-ㄒㄜㄇ | theme=literature | stage=3
 7685 | antique                        | 骨董                             | 🏃        | chunks=['an', 'ti', 'que'] | py=ㄢ-ㄊㄧㄎ | theme=actions | stage=3
 7686 | applaud                        | 鼓掌                             | 🎵        | chunks=['ap', 'plaud'] | py=ㄚ-ㄆㄌㄛㄉ | theme=music | stage=3
 7687 | applause                       | 掌聲                             | 🏃        | chunks=['ap', 'plau', 'se'] | py=ㄚ-ㄆㄌㄛ-ㄙㄜ | theme=actions | stage=3 base=applaud
 7688 | apt                            | 有…傾向的                          | 🎨        | chunks=['apt'] | py=ㄚㄆㄊ | theme=adjectives | stage=3
 7689 | architecture                   | 建築                             | 🎓        | chunks=['ar', 'chi', 'tec', 'tu', 're'] | py=ㄚㄦ-ㄑㄧ-ㄊㄝㄎ-ㄑㄨ-ㄌㄧ | theme=academic-words | stage=3
 7690 | arena                          | 競技場                            | 🏃        | chunks=['a', 're', 'na'] | py=ㄜ-ㄌㄧ-ㄋㄚ | theme=actions | stage=3
 7691 | ascend                         | 上升                             | 🏃        | chunks=['as', 'cend'] | py=ㄜ-ㄙㄝㄣㄉ | theme=directions | stage=3
 7692 | ass                            | 驢子、(粗)屁股                       | 🏃        | chunks=['ass'] | py=ㄚㄙ | theme=actions | stage=3
 7693 | astonish                       | 使震驚、使吃驚                        | 🎨        | chunks=['as', 'to', 'nish'] | py=ㄜ-ㄙㄊㄚ-ㄋㄧㄒ | theme=adjectives | stage=3
 7694 | astonishment                   | 震驚                             | 🎨        | chunks=['as', 'ton', 'ish', 'ment'] | py=ㄚ-ㄊㄛ-ㄋㄧㄙ-ㄏㄇㄣㄊ | theme=adjectives | stage=3 base=astonish
 7695 | astray                         | 迷途地、離開正道地                      | 🎨        | chunks=['as', 'tray'] | py=ㄚ-ㄊㄌㄝ | theme=adjectives | stage=3
 7696 | astronaut                      | 太空人                            | 🏃        | chunks=['as', 'tro', 'naut'] | py=ㄚ-ㄊㄌㄛ-ㄋㄛㄊ | theme=actions | stage=3
 7697 | attendance                     | 出席                             | 🎓        | chunks=['at', 'ten', 'dan', 'ce'] | py=ㄜ-ㄊㄝㄣ-ㄉㄜㄣㄙ | theme=academic-words | stage=3
 7698 | auxiliary                      | 輔助的輔助者                         | 🎨        | chunks=['au', 'xi', 'lia', 'ry'] | py=ㄛ-ㄎㄙㄧ-ㄌㄧㄚ-ㄌㄧ | theme=adjectives | stage=3
 7699 | awe                            | 敬畏、使敬畏                         | 🏃        | chunks=['a', 'we'] | py=ㄜ-ㄨㄝ | theme=actions | stage=3
 7700 | awhile                         | 片刻                             | 🎨        | chunks=['aw', 'hi', 'le'] | py=ㄜ-ㄏㄨㄞㄦ | theme=adjectives | stage=3
 7701 | backbone                       | 脊椎                             | 🏃        | chunks=['back', 'bone'] | py=ㄅㄚㄎ-ㄅㄛㄣ | theme=actions | stage=3
 7702 | ban                            | 禁止                             | 🏃        | chunks=['ban'] | py=ㄅㄢ | theme=actions | stage=2
 7703 | bandit                         | 土匪                             | 🏃        | chunks=['ban', 'dit'] | py=ㄅㄢ-ㄉㄧㄊ | theme=actions | stage=3
 7704 | banner                         | 旗幟                             | 🏃        | chunks=['ban', 'ner'] | py=ㄅㄢ-ㄋㄜ | theme=actions | stage=3 base=ban
 7705 | barbarian                      | 野蠻人、野蠻的                        | 🎨        | chunks=['bar', 'ba', 'rian'] | py=ㄅㄚㄦ-ㄅㄝ-ㄖㄧㄚㄣ | theme=adjectives | stage=3
 7706 | barbershop                     | 理髮廳                            | 🏃        | chunks=['bar', 'ber', 'shop'] | py=ㄅㄚㄦ-ㄅㄜ-ㄒㄚㄆ | theme=actions | stage=3
 7707 | barefoot                       | 赤腳的                            | 🎨        | chunks=['ba', 're', 'foot'] | py=ㄅㄝㄜ-ㄈㄨㄊ | theme=adjectives | stage=3
 7708 | barren                         | 貧瘠的                            | 🎨        | chunks=['bar', 'ren'] | py=ㄅㄝ-ㄖㄣ | theme=adjectives | stage=3
 7709 | bass                           | 低音樂器                           | 🎸        | chunks=['bass'] | py=ㄅㄝㄙ | theme=music | stage=3 [有易混提示]
 7710 | batch                          | 一批                             | 🔢        | chunks=['batch'] | py=ㄅㄚㄊㄔ | theme=numbers | stage=3
 7711 | batter                         | 猛擊                             | 🏃        | chunks=['bat', 'ter'] | py=ㄅㄚ-ㄊㄜ | theme=actions | stage=3 base=bat
 7712 | bazaar                         | 市場                             | 🛒        | chunks=['ba', 'zaar'] | py=ㄅㄜ-ㄗㄚㄦ | theme=shopping | stage=3
 7713 | beautify                       | 美化                             | 💁        | chunks=['beau', 'ti', 'fy'] | py=ㄅㄧㄨ-ㄊㄜ-ㄈㄞ | theme=appearance | stage=3 base=beauty
 7714 | belongings                     | 財產                             | 🏃        | chunks=['be', 'lon', 'gings'] | py=ㄅㄧ-ㄌㄛㄥ-ㄧㄥㄗ | theme=actions | stage=3
 7715 | beloved                        | 心愛的                            | 🎨        | chunks=['be', 'lo', 'ved'] | py=ㄅㄧ-ㄌㄚ-ㄈㄜㄉ | theme=adjectives | stage=3
 7716 | beneficial                     | 有益的                            | 🎨        | chunks=['be', 'ne', 'fi', 'cial'] | py=ㄅㄝ-ㄋㄜ-ㄈㄧ-ㄒㄜ | theme=adjectives | stage=3
 7717 | beware                         | 當心                             | 🏃        | chunks=['be', 'wa', 're'] | py=ㄅㄧ-ㄨㄝㄜ | theme=actions | stage=3
 7718 | blacksmith                     | 鐵匠                             | 🪨        | chunks=['black', 'smith'] | py=ㄅㄌㄚㄎ-ㄙㄇㄧㄙ | theme=materials | stage=3
 7719 | bleach                         | 漂白                             | 🏃        | chunks=['bleach'] | py=ㄅㄌㄧㄔ | theme=actions | stage=3
 7720 | blond                          | 金髮的、金髮人                        | 🏃        | chunks=['blond'] | py=ㄅㄌㄚㄋㄉ | theme=actions | stage=3
 7721 | blot                           | 汙漬                             | 🏃        | chunks=['blot'] | py=ㄅㄌㄚㄊ | theme=actions | stage=3
 7722 | blur                           | 模糊、使…模糊                        | 🏃        | chunks=['blur'] | py=ㄅㄌㄜ | theme=actions | stage=3
 7723 | bodily                         | 身體的                            | 🦵        | chunks=['bo', 'di', 'ly'] | py=ㄅㄛ-ㄉㄧ-ㄌㄧ | theme=body | stage=3
 7724 | bodyguard                      | 保鑣                             | 🏃        | chunks=['bo', 'dy', 'guard'] | py=ㄅㄚ-ㄉㄧ-ㄍㄚㄜㄉ | theme=actions | stage=3
 7725 | bog                            | 沼澤、陷入泥淖                        | 🏃        | chunks=['bog'] | py=ㄅㄚㄍ | theme=actions | stage=3
 7726 | boredom                        | 無聊                             | 🎓        | chunks=['bo', 're', 'dom'] | py=ㄅㄛㄜ-ㄉㄜㄇ | theme=academic-words | stage=3
 7727 | bosom                          | 胸                              | 🏃        | chunks=['bo', 'som'] | py=ㄅㄨ-ㄗㄜㄇ | theme=actions | stage=3
 7728 | bowel                          | 腸                              | 🫃        | chunks=['bo', 'wel'] | py=ㄅㄠ-ㄜㄦ | theme=body | stage=3 [有易混提示]
 7729 | boxer                          | 拳擊手                            | ⚽        | chunks=['bo', 'xer'] | py=ㄅㄛ-ㄎㄙㄜ | theme=sports | stage=3 base=box
 7730 | boyhood                        | 少年時期                           | 🎓        | chunks=['boy', 'hood'] | py=ㄅㄛㄧ-ㄏㄨㄉ | theme=academic-words | stage=3
 7731 | brace                          | 支撐物                            | 🏃        | chunks=['bra', 'ce'] | py=ㄅㄖㄝㄙ | theme=actions | stage=3
 7732 | braid                          | 辮子                             | 🏃        | chunks=['braid'] | py=ㄅㄖㄝㄉ | theme=actions | stage=3
 7733 | breadth                        | 寬度                             | 🏃        | chunks=['breadth'] | py=ㄅㄖㄝㄉㄒ | theme=actions | stage=3
 7734 | bribe                          | 賄賂                             | ⚖️       | chunks=['bri', 'be'] | py=ㄅㄖㄞㄅ | theme=crime | stage=3
 7735 | broaden                        | 拓寬                             | 🏃        | chunks=['broa', 'den'] | py=ㄅㄖㄛ-ㄉㄣ | theme=actions | stage=3
 7736 | brooch                         | 胸針                             | 🏃        | chunks=['brooch'] | py=ㄅㄖㄛㄔ | theme=actions | stage=3
 7737 | brood                          | 一窩、孵蛋、沉思                       | 🔢        | chunks=['brood'] | py=ㄅㄖㄨㄉ | theme=numbers | stage=3
 7738 | browse                         | 瀏覽                             | 🏃        | chunks=['brow', 'se'] | py=ㄅㄌㄠ-ㄙㄜ | theme=actions | stage=3
 7739 | bulge                          | 腫脹                             | 🏃        | chunks=['bul', 'ge'] | py=ㄅㄚㄦㄐ | theme=actions | stage=3
 7740 | bully                          | 霸凌                             | ⭐        | chunks=['bul', 'ly'] | py=ㄅㄨ-ㄌㄧ | theme=sight-words | stage=3
 7741 | bureau                         | 局                              | 🏃        | chunks=['bu', 'reau'] | py=ㄅㄧㄨ-ㄖㄛ | theme=actions | stage=3
 7742 | butcher                        | 肉販                             | 🔪        | chunks=['but', 'cher'] | py=ㄅㄚ-ㄑㄜ | theme=food | stage=3
 7743 | cactus                         | 仙人掌                            | 🏃        | chunks=['cac', 'tus'] | py=ㄎㄚㄎ-ㄊㄜㄙ | theme=actions | stage=3
 7744 | canal                          | 運河                             | 🌳        | chunks=['ca', 'nal'] | py=ㄎㄚ-ㄋㄦ | theme=nature | stage=3
 7745 | carefree                       | 無憂無慮的                          | 🎨        | chunks=['care', 'free'] | py=ㄎㄝㄜ-ㄈㄖㄧ | theme=adjectives | stage=3
 7746 | caretaker                      | 照顧者                            | 👨‍⚕️     | chunks=['ca', 're', 'ta', 'ker'] | py=ㄎㄚ-ㄌㄧ-ㄊㄝ-ㄎㄜ | theme=jobs | stage=3
 7747 | carnation                      | 康乃馨                            | 🌷        | chunks=['car', 'na', 'tion'] | py=ㄎㄚㄦ-ㄋㄚ-ㄒㄣ | theme=academic-words | stage=3
 7748 | carp                           | 鯉魚                             | 🐾        | chunks=['carp'] | py=ㄎㄚㄜㄆ | theme=animals | stage=3
 7749 | carton                         | 紙盒                             | 🪨        | chunks=['car', 'ton'] | py=ㄎㄚㄦ-ㄉㄣ | theme=materials | stage=3
 7750 | caution                        | 小心                             | 🎓        | chunks=['cau', 'tion'] | py=ㄎㄛ-ㄒㄜㄣ | theme=academic-words | stage=3
 7751 | celebrity                      | 名人                             | 🎓        | chunks=['ce', 'leb', 'ri', 'ty'] | py=ㄙㄜ-ㄌㄝ-ㄅㄖㄜ-ㄊㄧ | theme=academic-words | stage=3
 7752 | cellar                         | 地窖                             | 🏃        | chunks=['cel', 'lar'] | py=ㄙㄝ-ㄌㄜ | theme=actions | stage=3
 7753 | celsius                        | 攝氏、攝氏的                         | 🎨        | chunks=['cel', 'sius'] | py=ㄙㄝ-ㄙㄧㄚㄙ | theme=adjectives | stage=3
 7754 | centigrade                     | 攝氏、攝氏的                         | 🎨        | chunks=['cen', 'tig', 'ra', 'de'] | py=ㄙㄝㄣ-ㄊㄧㄍ-ㄌㄚ-ㄉㄧ | theme=adjectives | stage=3
 7755 | certificate                    | 證書                             | 🏃        | chunks=['cer', 'ti', 'fi', 'ca', 'te'] | py=ㄙㄜ-ㄊㄜ-ㄈㄜ-ㄎㄚ-ㄊㄧ | theme=actions | stage=3
 7756 | chairperson                    | 議長                             | 🏃        | chunks=['chair', 'per', 'son'] | py=ㄑㄝㄜ-ㄆㄜ-ㄗㄣ | theme=actions | stage=3 [有易混提示]
 7757 | chairman                       | 主席                             | 🏃        | chunks=['chair', 'man'] | py=ㄑㄝㄜ-ㄇㄣ | theme=actions | stage=3
 7758 | chairwoman                     | 女主席                            | 🏃        | chunks=['chair', 'wo', 'man'] | py=ㄑㄝㄜ-ㄨㄨ-ㄇㄣ | theme=actions | stage=3
 7759 | chatter                        | 喋喋不休、閒談                        | 🏃        | chunks=['chat', 'ter'] | py=ㄑㄚ-ㄊㄜ | theme=actions | stage=3 base=chat
 7760 | checkbook                      | 支票簿                            | 🏃        | chunks=['chec', 'kbook'] | py=ㄑㄝㄎ-ㄅㄨㄎ | theme=actions | stage=3
 7761 | check-in                       | 到達登記                           | 🏃        | chunks=['check', 'in'] | py=ㄑㄝㄎ-ㄧㄣ | theme=actions | stage=3
 7762 | check-out                      | 退房結帳、檢查                        | 🏃        | chunks=['check', 'out'] | py=ㄑㄝㄎ-ㄠㄊ | theme=actions | stage=3
 7763 | chestnut                       | 栗子                             | 🏃        | chunks=['ches', 'tnut'] | py=ㄑㄝㄙ-ㄋㄚㄊ | theme=actions | stage=3
 7764 | chili                          | 辣椒                             | 🏃        | chunks=['chi', 'li'] | py=ㄑㄧ-ㄌㄧ | theme=actions | stage=3
 7765 | chimpanzee                     | 黑猩猩                            | 🐒        | chunks=['chim', 'pan', 'zee'] | py=ㄑㄧㄇ-ㄆㄢ-ㄗㄧ | theme=actions | stage=3
 7766 | civic                          | 公民的                            | 🎨        | chunks=['ci', 'vic'] | py=ㄙㄜ-ㄈㄧㄎ | theme=adjectives | stage=3
 7767 | clam                           | 蛤                              | 🦪        | chunks=['cl', 'am'] | py=ㄎㄌㄚㄇ | theme=animals | stage=3
 7768 | clan                           | 氏族                             | 🏃        | chunks=['cl', 'an'] | py=ㄎㄌㄢ | theme=actions | stage=3
 7769 | clasp                          | 緊握                             | 🏃        | chunks=['cl', 'asp'] | py=ㄎㄌㄚㄙㄆ | theme=actions | stage=3
 7770 | cling                          | 黏著                             | 🏃        | chunks=['cl', 'ing'] | py=ㄎㄌㄧㄥ | theme=actions | stage=3
 7771 | clover                         | 苜蓿                             | 🏃        | chunks=['clo', 'ver'] | py=ㄎㄌㄛ-ㄈㄜ | theme=actions | stage=3
 7772 | cluster                        | 群                              | 🏃        | chunks=['clus', 'ter'] | py=ㄎㄌㄚㄙ-ㄊㄜ | theme=actions | stage=3
 7773 | clutch                         | 抓住、離合器                         | 🏃        | chunks=['cl', 'utch'] | py=ㄎㄌㄚㄊㄔ | theme=actions | stage=3
 7774 | coastline                      | 海岸線                            | 🌳        | chunks=['coas', 'tli', 'ne'] | py=ㄎㄛㄙ-ㄊㄌㄧ-ㄋㄧ | theme=nature | stage=3
 7775 | cocoon                         | 繭                              | 🏃        | chunks=['co', 'coon'] | py=ㄎㄛ-ㄎㄨㄣ | theme=actions | stage=3
 7776 | coil                           | 線圈                             | 🏃        | chunks=['c', 'oil'] | py=ㄎㄛㄧㄦ | theme=actions | stage=3
 7777 | colonel                        | 陸軍上校                           | 🏃        | chunks=['co', 'lo', 'nel'] | py=ㄎㄜㄦ-ㄋㄜ | theme=directions | stage=3
 7778 | colonial                       | 殖民的                            | 🎨        | chunks=['co', 'lo', 'nial'] | py=ㄎㄛ-ㄌㄛ-ㄋㄧㄚㄌ | theme=adjectives | stage=3
 7779 | combat                         | 戰鬥                             | 🏃        | chunks=['com', 'bat'] | py=ㄎㄚㄇ-ㄅㄚㄊ | theme=actions | stage=3 [有易混提示]
 7780 | comedian                       | 喜劇演員                           | 👨‍⚕️     | chunks=['co', 'me', 'dian'] | py=ㄎㄛ-ㄇㄝ-ㄉㄧㄚㄋ | theme=jobs | stage=3
 7781 | commentator                    | 評論家                            | 👨‍⚕️     | chunks=['com', 'men', 'ta', 'tor'] | py=ㄎㄚㄇ-ㄇㄣ-ㄊㄝ-ㄊㄜ | theme=jobs | stage=3
 7782 | commonplace                    | 平凡的                            | 🎨        | chunks=['com', 'mon', 'pla', 'ce'] | py=ㄎㄚ-ㄇㄜㄣ-ㄆㄌㄝㄙ | theme=adjectives | stage=3
 7783 | communist                      | 共產主義者、共產主義的                    | 🎨        | chunks=['com', 'mu', 'nist'] | py=ㄎㄚㄇ-ㄇㄧㄨ-ㄋㄧㄙㄊ | theme=adjectives | stage=3
 7784 | commute                        | 通勤                             | 🎨        | chunks=['com', 'mu', 'te'] | py=ㄎㄚㄇ-ㄇㄧㄨ-ㄊㄧ | theme=actions | stage=3
 7785 | commuter                       | 通勤者                            | 👨‍⚕️     | chunks=['com', 'mu', 'ter'] | py=ㄎㄚㄇ-ㄇㄧㄨ-ㄊㄜ | theme=jobs | stage=3 base=commute
 7786 | compact                        | 緊密的                            | 🎨        | chunks=['com', 'pact'] | py=ㄎㄚㄇ-ㄆㄚㄎㄊ | theme=adjectives | stage=3 [有易混提示]
 7787 | compassionate                  | 有同情心的                          | 🎨        | chunks=['com', 'pas', 'sio', 'na', 'te'] | py=ㄎㄚㄇ-ㄆㄚㄙ-ㄙㄧㄛ-ㄋㄚ-ㄊㄧ | theme=adjectives | stage=3
 7788 | compel                         | 強迫                             | 🏃        | chunks=['com', 'pel'] | py=ㄎㄚㄇ-ㄆㄦ | theme=actions | stage=3
 7789 | compliment                     | 恭維                             | 🎨        | chunks=['com', 'pli', 'ment'] | py=ㄎㄚㄇ-ㄆㄌㄜ-ㄇㄣㄊ | theme=adjectives | stage=3 [有易混提示]
 7790 | comprehension                  | 理解力                            | 🎓        | chunks=['com', 'pre', 'hen', 'sion'] | py=ㄎㄚㄇ-ㄆㄌㄧ-ㄏㄣ-ㄒㄣ | theme=academic-words | stage=3 base=comprehend
 7791 | compromise                     | 妥協                             | 🏃        | chunks=['com', 'pro', 'mi', 'se'] | py=ㄎㄚㄇ-ㄆㄜ-ㄇㄞㄗ | theme=actions | stage=3
 7792 | computerize                    | 使電腦化                           | 💻        | chunks=['com', 'pu', 'te', 'ri', 'ze'] | py=ㄎㄚㄇ-ㄆㄧㄨ-ㄊㄧ-ㄌㄧ-ㄗㄧ | theme=technology | stage=3 base=computer
 7793 | comrade                        | 夥伴                             | 🏃        | chunks=['com', 'ra', 'de'] | py=ㄎㄚㄇ-ㄌㄚ-ㄉㄧ | theme=actions | stage=3
 7794 | conceal                        | 隱藏                             | 🏃        | chunks=['con', 'ceal'] | py=ㄎㄜㄣ-ㄙㄧㄦ | theme=actions | stage=3
 7795 | condemn                        | 譴責                             | 🏃        | chunks=['con', 'demn'] | py=ㄎㄚㄣ-ㄉㄝㄇㄋ | theme=actions | stage=3
 7796 | confront                       | 面臨                             | 🏃        | chunks=['con', 'front'] | py=ㄎㄚㄣ-ㄈㄌㄚㄣㄊ | theme=actions | stage=3
 7797 | considerate                    | 體諒的                            | 🎨        | chunks=['con', 'si', 'de', 'ra', 'te'] | py=ㄎㄚㄣ-ㄗㄜ-ㄉㄧ-ㄌㄚ-ㄊㄧ | theme=adjectives | stage=3
 7798 | console                        | 安慰                             | 🏃        | chunks=['con', 'so', 'le'] | py=ㄎㄜㄣ-ㄙㄛㄦ | theme=emotions | stage=3 [有易混提示]
 7799 | constitutional                 | 憲法的                            | ⚖️       | chunks=['con', 'sti', 'tu', 'tio', 'nal'] | py=ㄎㄚㄣ-ㄙㄊㄜ-ㄑㄨ-ㄒㄛ-ㄋㄦ | theme=law | stage=3
 7800 | contaminate                    | 汙染                             | 🏃        | chunks=['con', 'ta', 'mi', 'na', 'te'] | py=ㄎㄚㄣ-ㄊㄝ-ㄇㄞ-ㄋㄚ-ㄊㄧ | theme=actions | stage=3
 7801 | contempt                       | 輕視                             | 🏃        | chunks=['con', 'tempt'] | py=ㄎㄚㄣ-ㄊㄝㄇㄆㄊ | theme=actions | stage=3
 7802 | contend                        | 爭論                             | 🏃        | chunks=['con', 'tend'] | py=ㄎㄚㄣ-ㄊㄝㄋㄉ | theme=actions | stage=3
 7803 | continental                    | 洲的                             | 🗺️       | chunks=['con', 'ti', 'nen', 'tal'] | py=ㄎㄚㄣ-ㄊㄜ-ㄋㄝㄋ-ㄉㄜ | theme=geography | stage=3
 7804 | continuity                     | 連貫性                            | 🎓        | chunks=['con', 'ti', 'nui', 'ty'] | py=ㄎㄚㄣ-ㄊㄜ-ㄋㄨ-ㄜ-ㄊㄧ | theme=academic-words | stage=3
 7805 | convict                        | 判...有罪                         | 🏃        | chunks=['con', 'vict'] | py=ㄎㄚㄣ-ㄨㄧㄎㄊ | theme=actions | stage=3 [有易混提示]
 7806 | correspondence                 | 通信                             | 🎓        | chunks=['cor', 'res', 'pon', 'den', 'ce'] | py=ㄎㄛ-ㄌㄝㄙ-ㄆㄚㄣ-ㄉㄣ-ㄙㄜ | theme=academic-words | stage=3
 7807 | corridor                       | 走廊                             | 🏃        | chunks=['cor', 'ri', 'dor'] | py=ㄎㄛ-ㄌㄧ-ㄉㄜ | theme=actions | stage=3
 7808 | corrupt                        | 腐敗                             | 🏃        | chunks=['cor', 'rupt'] | py=ㄎㄛ-ㄌㄚㄆㄊ | theme=actions | stage=3
 7809 | courtyard                      | 庭院                             | 🏃        | chunks=['cour', 'tyard'] | py=ㄎㄠㄖ-ㄊㄧㄚㄜㄉ | theme=actions | stage=3
 7810 | cracker                        | 脆餅                             | 🏃        | chunks=['crac', 'ker'] | py=ㄎㄖㄚㄎ-ㄎㄜ | theme=food | stage=3
 7811 | crater                         | 火山口                            | 🌳        | chunks=['cra', 'ter'] | py=ㄎㄖㄝ-ㄊㄜ | theme=nature | stage=3
 7812 | creak                          | 發出喀吱聲                          | 🏃        | chunks=['cr', 'eak'] | py=ㄎㄖㄧㄎ | theme=actions | stage=3
 7813 | crossing                       | 交叉點                            | 🚦        | chunks=['cros', 'sing'] | py=ㄎㄖㄛ-ㄒㄧㄥ | theme=kitchen-utensils | stage=3
 7814 | crouch                         | 蹲伏                             | 🏃        | chunks=['cr', 'ouch'] | py=ㄎㄖㄠㄔ | theme=actions | stage=3
 7815 | curb                           | 路邊                             | 🏃        | chunks=['c', 'urb'] | py=ㄎㄜㄅ | theme=actions | stage=3
 7816 | curriculum                     | 課程                             | 🏃        | chunks=['cur', 'ri', 'cu', 'lum'] | py=ㄎㄜ-ㄌㄧ-ㄎㄧㄨ-ㄌㄣ | theme=school | stage=3
 7817 | curry                          | 咖哩                             | 🍛        | chunks=['cur', 'ry'] | py=ㄎㄜ-ㄌㄧ | theme=actions | stage=3
 7818 | dazzle                         | 使…目眩                           | 🏃        | chunks=['daz', 'zle'] | py=ㄉㄚ-ㄗㄜ | theme=actions | stage=3
