# 字 9000-9499
 9000 | vaccine                        | 疫苗                             | 🎨        | chunks=['vac', 'ci', 'ne'] | py=ㄈㄚㄎ-ㄙㄧㄣ | theme=adjectives | stage=3
 9154 | look down on                   | 輕視                             | 💬        | chunks=['look', 'down', 'on'] | py=ㄌㄨㄎ-ㄉㄠㄋ-ㄛㄋ | theme=idioms | stage=3
 9155 | lose out                       | 錯失                             | 🔗        | chunks=['lose', 'out'] | py=ㄌㄨㄗ-ㄠㄊ | theme=phrasal-verbs | stage=3 [有易混提示]
 9156 | make for                       | 前往                             | 🔗        | chunks=['make', 'for'] | py=ㄇㄚㄎ-ㄈㄛㄜ | theme=phrasal-verbs | stage=3
 9157 | make out                       | 辨認出、親熱                         | 🔗        | chunks=['make', 'out'] | py=ㄇㄚㄎ-ㄠㄊ | theme=phrasal-verbs | stage=3
 9158 | mess up                        | 搞砸                             | 🔗        | chunks=['mess', 'up'] | py=ㄇㄝㄙ-ㄚㄆ | theme=phrasal-verbs | stage=2
 9159 | mix up                         | 搞混                             | 🔗        | chunks=['mix', 'up'] | py=ㄇㄧㄎㄙ-ㄚㄆ | theme=phrasal-verbs | stage=2
 9160 | opt out                        | 選擇退出                           | 🔗        | chunks=['opt', 'out'] | py=ㄚㄆㄊ-ㄠㄊ | theme=phrasal-verbs | stage=2
 9161 | pay attention                  | 注意                             | 🔗        | chunks=['pay', 'at', 'ten', 'tion'] | py=ㄆㄟ-ㄜ-ㄊㄝㄣ-ㄒㄣ | theme=phrasal-verbs | stage=3
 9162 | pick up on                     | 察覺                             | 💬        | chunks=['pick', 'up', 'on'] | py=ㄆㄧㄎ-ㄚㄆ-ㄛㄋ | theme=idioms | stage=3
 9163 | pile up                        | 堆積                             | 🔗        | chunks=['pile', 'up'] | py=ㄆㄧㄌ-ㄚㄆ | theme=phrasal-verbs | stage=2
 9164 | pin down                       | 確定                             | 🔗        | chunks=['pin', 'down'] | py=ㄆㄧㄋ-ㄉㄠㄋ | theme=phrasal-verbs | stage=3
 9165 | plug into                      | 插入                             | 🔗        | chunks=['plug', 'into'] | py=ㄆㄌㄚㄍ-ㄧㄋㄊㄛ | theme=phrasal-verbs | stage=3
 9166 | point at                       | 指向                             | 🔗        | chunks=['poi', 'nt', 'at'] | py=ㄆㄛㄧㄋㄊ-ㄚㄊ | theme=phrasal-verbs | stage=3
 9167 | pop in                         | 突然出現                           | 🔗        | chunks=['pop', 'in'] | py=ㄆㄚㄆ-ㄧㄣ | theme=phrasal-verbs | stage=2
 9168 | pop up                         | 彈出                             | 🔗        | chunks=['pop', 'up'] | py=ㄆㄚㄆ-ㄚㄆ | theme=phrasal-verbs | stage=2
 9169 | pour out                       | 傾訴                             | 🔗        | chunks=['pour', 'out'] | py=ㄆㄠㄖ-ㄠㄊ | theme=phrasal-verbs | stage=3
 9170 | prop up                        | 支撐                             | 🔗        | chunks=['prop', 'up'] | py=ㄆㄖㄚㄆ-ㄚㄆ | theme=phrasal-verbs | stage=2
 9171 | puff up                        | 腫脹                             | 🔗        | chunks=['puff', 'up'] | py=ㄆㄚㄈ-ㄚㄆ | theme=phrasal-verbs | stage=2
 9172 | punch in                       | 打卡                             | 🔗        | chunks=['pun', 'ch', 'in'] | py=ㄆㄚㄋㄔ-ㄧㄋ | theme=phrasal-verbs | stage=3
 9173 | push for                       | 力爭                             | 🔗        | chunks=['push', 'for'] | py=ㄆㄚㄒ-ㄈㄛㄜ | theme=phrasal-verbs | stage=3
 9174 | quiet down                     | 安靜                             | 🔗        | chunks=['qui', 'et', 'down'] | py=ㄎㄨㄞ-ㄝㄊ-ㄉㄠㄣ | theme=phrasal-verbs | stage=3
 9175 | rack up                        | 累積                             | 🔗        | chunks=['rack', 'up'] | py=ㄖㄚㄎ-ㄚㄆ | theme=phrasal-verbs | stage=2
 9176 | rake in                        | 大撈                             | 🔗        | chunks=['rake', 'in'] | py=ㄖㄚㄎ-ㄧㄋ | theme=phrasal-verbs | stage=2
 9177 | reach out                      | 聯絡                             | 🔗        | chunks=['rea', 'ch', 'out'] | py=ㄖㄧㄔ-ㄠㄊ | theme=phrasal-verbs | stage=3
 9178 | rely on                        | 依賴                             | 🔗        | chunks=['rely', 'on'] | py=ㄖㄧ-ㄌㄞ-ㄛㄣ | theme=phrasal-verbs | stage=2
 9179 | rest on                        | 依靠                             | 🔗        | chunks=['rest', 'on'] | py=ㄖㄝㄙㄊ-ㄛㄋ | theme=phrasal-verbs | stage=2
 9180 | rise above                     | 克服                             | 🔗        | chunks=['rise', 'a', 'bo', 've'] | py=ㄖㄞㄗ-ㄜ-ㄅㄚㄈ | theme=phrasal-verbs | stage=3 [有易混提示]
 9181 | rise up                        | 起義                             | 🔗        | chunks=['rise', 'up'] | py=ㄖㄞㄗ-ㄚㄆ | theme=phrasal-verbs | stage=2 [有易混提示]
 9182 | rope in                        | 拉攏                             | 🔗        | chunks=['rope', 'in'] | py=ㄖㄛㄆ-ㄧㄋ | theme=phrasal-verbs | stage=2
 9183 | rub off                        | 沾染                             | 🔗        | chunks=['rub', 'off'] | py=ㄖㄚㄅ-ㄛㄈ | theme=phrasal-verbs | stage=2
 9184 | rush in                        | 衝進                             | 🔗        | chunks=['rush', 'in'] | py=ㄖㄚㄒ-ㄧㄋ | theme=phrasal-verbs | stage=2
 9185 | save face                      | 保住面子                           | 🔗        | chunks=['save', 'face'] | py=ㄙㄟㄈ-ㄈㄟㄙ | theme=phrasal-verbs | stage=3
 9186 | scrape by                      | 勉強度日                           | 🔗        | chunks=['scra', 'pe', 'by'] | py=ㄙㄎㄖㄚㄆ-ㄅㄧ | theme=phrasal-verbs | stage=3
 9187 | scrap with                     | 爭吵                             | 🔗        | chunks=['scr', 'ap', 'with'] | py=ㄙㄎㄖㄚㄆ-ㄨㄧㄒ | theme=phrasal-verbs | stage=3
 9188 | seal off                       | 封鎖                             | 🔗        | chunks=['seal', 'off'] | py=ㄙㄧㄦ-ㄛㄈ | theme=phrasal-verbs | stage=3 [有易混提示]
 9189 | see through                    | 看穿                             | 🔗        | chunks=['see', 'thro', 'ugh'] | py=ㄙㄧ-ㄒㄖㄨ | theme=phrasal-verbs | stage=3 [有易混提示]
 9190 | settle for                     | 將就                             | 🔗        | chunks=['set', 'tle', 'for'] | py=ㄙㄝㄊㄊㄌㄝ-ㄈㄛㄜ | theme=phrasal-verbs | stage=3
 9191 | shake off                      | 擺脫                             | 🔗        | chunks=['sha', 'ke', 'off'] | py=ㄒㄟㄎ-ㄛㄈ | theme=phrasal-verbs | stage=3
 9192 | shed light on                  | 闡明                             | 💬        | chunks=['shed', 'lig', 'ht', 'on'] | py=ㄒㄝㄉ-ㄌㄧㄊ-ㄛㄋ | theme=idioms | stage=3
 9193 | shore up                       | 加強                             | 🔗        | chunks=['sho', 're', 'up'] | py=ㄒㄛㄜ-ㄚㄆ | theme=phrasal-verbs | stage=3
 9194 | shrug off                      | 置之不理                           | 🔗        | chunks=['shr', 'ug', 'off'] | py=ㄒㄖㄚㄍ-ㄛㄈ | theme=phrasal-verbs | stage=3
 9195 | shut out                       | 排除                             | 🔗        | chunks=['shut', 'out'] | py=ㄒㄚㄊ-ㄠㄊ | theme=phrasal-verbs | stage=3
 9196 | sift through                   | 篩選                             | 🔗        | chunks=['sift', 'thro', 'ugh'] | py=ㄙㄧㄈㄊ-ㄒㄖㄨ | theme=phrasal-verbs | stage=3
 9197 | size up                        | 打量                             | 🔗        | chunks=['size', 'up'] | py=ㄙㄧㄗ-ㄚㄆ | theme=phrasal-verbs | stage=2
 9198 | skim through                   | 瀏覽                             | 🔗        | chunks=['skim', 'thro', 'ugh'] | py=ㄙㄎㄧㄇ-ㄒㄖㄨ | theme=phrasal-verbs | stage=3
 9199 | slip away                      | 溜走                             | 🔗        | chunks=['slip', 'away'] | py=ㄙㄌㄧㄆ-ㄜ-ㄨㄟ | theme=phrasal-verbs | stage=3
 9200 | snap out                       | 猛然回神(snap out of it)           | 🔗        | chunks=['snap', 'out'] | py=ㄙㄋㄚㄆ-ㄠㄊ | theme=phrasal-verbs | stage=3
 9201 | soak up                        | 吸收                             | 🔗        | chunks=['soak', 'up'] | py=ㄙㄛㄎ-ㄚㄆ | theme=phrasal-verbs | stage=2
 9202 | spell out                      | 說明白                            | 🔗        | chunks=['spe', 'll', 'out'] | py=ㄙㄆㄝㄦ-ㄠㄊ | theme=phrasal-verbs | stage=3
 9203 | spread out                     | 展開                             | 🔗        | chunks=['spr', 'ead', 'out'] | py=ㄙㄆㄖㄧㄉ-ㄠㄊ | theme=phrasal-verbs | stage=3
 9204 | square off                     | 對峙                             | 🔗        | chunks=['squa', 're', 'off'] | py=ㄙㄎㄨㄚㄜ-ㄛㄈㄈ | theme=phrasal-verbs | stage=3
 9205 | stack up                       | 疊起                             | 🔗        | chunks=['sta', 'ck', 'up'] | py=ㄙㄊㄚㄎ-ㄚㄆ | theme=phrasal-verbs | stage=3
 9206 | stand up for                   | 維護                             | 💬        | chunks=['sta', 'nd', 'up', 'for'] | py=ㄙㄊㄚㄣㄉ-ㄚㄆ-ㄈㄛㄦ | theme=idioms | stage=3
 9207 | stem from                      | 源於                             | 🔗        | chunks=['stem', 'from'] | py=ㄙㄊㄝㄇ-ㄈㄖㄚㄇ | theme=phrasal-verbs | stage=3
 9208 | step down                      | 下台                             | 🔗        | chunks=['step', 'down'] | py=ㄙㄊㄝㄆ-ㄉㄠㄋ | theme=phrasal-verbs | stage=3
 9209 | step up                        | 加緊                             | 🔗        | chunks=['step', 'up'] | py=ㄙㄊㄝㄆ-ㄚㄆ | theme=phrasal-verbs | stage=2
 9210 | stick around                   | 逗留                             | 🔗        | chunks=['sti', 'ck', 'a', 'round'] | py=ㄙㄊㄧㄎ-ㄚㄜㄠㄋㄉ | theme=phrasal-verbs | stage=3
 9211 | stick out                      | 突出                             | 🔗        | chunks=['sti', 'ck', 'out'] | py=ㄙㄊㄧㄎ-ㄠㄊ | theme=phrasal-verbs | stage=3
 9212 | stir up                        | 激起                             | 🔗        | chunks=['stir', 'up'] | py=ㄙㄊㄜ-ㄚㄆ | theme=phrasal-verbs | stage=2
 9213 | strike out                     | 打擊                             | 🔗        | chunks=['stri', 'ke', 'out'] | py=ㄙㄊㄖㄧㄎ-ㄠㄊ | theme=phrasal-verbs | stage=3
 9214 | sum up                         | 總結                             | 🔗        | chunks=['sum', 'up'] | py=ㄙㄚㄇ-ㄚㄆ | theme=phrasal-verbs | stage=2
 9215 | swing by                       | 順道                             | 🔗        | chunks=['swi', 'ng', 'by'] | py=ㄙㄨㄧㄥ-ㄅㄧ | theme=phrasal-verbs | stage=3
 9216 | tag along                      | 跟著                             | 🔗        | chunks=['tag', 'a', 'long'] | py=ㄊㄚㄍ-ㄜ-ㄌㄛㄥ | theme=phrasal-verbs | stage=3
 9217 | take after                     | 像                              | 🔗        | chunks=['take', 'af', 'ter'] | py=ㄊㄟㄎ-ㄚㄈ-ㄊㄜㄦ | theme=phrasal-verbs | stage=3
 9218 | take apart                     | 拆開                             | 🔗        | chunks=['take', 'a', 'part'] | py=ㄊㄟㄎ-ㄜ-ㄆㄚㄦㄊ | theme=phrasal-verbs | stage=3
 9219 | take charge                    | 負責                             | 🔗        | chunks=['take', 'char', 'ge'] | py=ㄊㄟㄎ-ㄔㄚㄦㄐ | theme=phrasal-verbs | stage=3
 9220 | talk back                      | 頂嘴                             | 🔗        | chunks=['talk', 'back'] | py=ㄊㄛㄎ-ㄅㄚㄎ | theme=phrasal-verbs | stage=3
 9221 | tear down                      | 拆毀                             | 🔗        | chunks=['tear', 'down'] | py=ㄊㄝㄦ-ㄉㄠㄣ | theme=phrasal-verbs | stage=3
 9222 | tear up                        | 撕碎                             | 🔗        | chunks=['tear', 'up'] | py=ㄊㄝㄦ-ㄚㄆ | theme=phrasal-verbs | stage=2
 9223 | throw in                       | 加入                             | 🔗        | chunks=['thr', 'ow', 'in'] | py=ㄒㄖㄛ-ㄧㄣ | theme=phrasal-verbs | stage=3
 9224 | tide over                      | 幫助渡過                           | 🔗        | chunks=['tide', 'over'] | py=ㄊㄧㄉ-ㄛㄨㄜ | theme=phrasal-verbs | stage=3 [有易混提示]
 9225 | toss out                       | 丟棄                             | 🔗        | chunks=['toss', 'out'] | py=ㄊㄛㄙ-ㄠㄊ | theme=phrasal-verbs | stage=3
 9226 | touch on                       | 觸及                             | 🔗        | chunks=['tou', 'ch', 'on'] | py=ㄊㄠㄔ-ㄛㄋ | theme=phrasal-verbs | stage=3
 9227 | track down                     | 追蹤                             | 🔗        | chunks=['tra', 'ck', 'down'] | py=ㄊㄖㄚㄎ-ㄉㄠㄋ | theme=phrasal-verbs | stage=3
 9228 | trade in                       | 以舊換新                           | 🔗        | chunks=['tra', 'de', 'in'] | py=ㄊㄖㄟㄉ-ㄧㄣ | theme=phrasal-verbs | stage=3
 9229 | trip over                      | 絆倒                             | 🔗        | chunks=['trip', 'over'] | py=ㄊㄖㄧㄆ-ㄛㄨㄜ | theme=phrasal-verbs | stage=3
 9230 | tune in                        | 收聽                             | 🔗        | chunks=['tune', 'in'] | py=ㄊㄚㄋ-ㄧㄋ | theme=phrasal-verbs | stage=2
 9231 | tune out                       | 不理會                            | 🔗        | chunks=['tune', 'out'] | py=ㄊㄚㄋ-ㄠㄊ | theme=phrasal-verbs | stage=3
 9232 | turn against                   | 背叛                             | 🔗        | chunks=['turn', 'a', 'gainst'] | py=ㄊㄜㄋ-ㄚㄍㄟㄋㄙㄊ | theme=phrasal-verbs | stage=3
 9233 | turn in                        | 繳交                             | 🔗        | chunks=['turn', 'in'] | py=ㄊㄜㄋ-ㄧㄋ | theme=phrasal-verbs | stage=2
 9234 | turn into                      | 變成                             | 🔗        | chunks=['turn', 'into'] | py=ㄊㄜㄋ-ㄧㄋㄊㄛ | theme=phrasal-verbs | stage=3
 9235 | uproot                         | 根除                             | 🏃        | chunks=['up', 'root'] | py=ㄚㄆ-ㄌㄨㄊ | theme=numbers | stage=2
 9236 | vouch for                      | 擔保                             | 🔗        | chunks=['vou', 'ch', 'for'] | py=ㄨㄠㄔ-ㄈㄛㄜ | theme=phrasal-verbs | stage=3
 9237 | walk back                      | 收回                             | 🔗        | chunks=['walk', 'back'] | py=ㄨㄛㄎ-ㄅㄚㄎ | theme=phrasal-verbs | stage=3
 9238 | ward off                       | 避開                             | 🔗        | chunks=['ward', 'off'] | py=ㄨㄛㄦㄉ-ㄛㄈ | theme=phrasal-verbs | stage=3
 9239 | warm up                        | 熱身                             | 🔗        | chunks=['warm', 'up'] | py=ㄨㄛㄦㄇ-ㄚㄆ | theme=phrasal-verbs | stage=2
 9240 | wash up                        | 洗手                             | 🔗        | chunks=['wash', 'up'] | py=ㄨㄚㄒ-ㄚㄆ | theme=phrasal-verbs | stage=2
 9241 | water down                     | 稀釋                             | 🔗        | chunks=['wa', 'ter', 'down'] | py=ㄨㄚㄊㄜ-ㄉㄠㄋ | theme=phrasal-verbs | stage=3
 9242 | wear off                       | 消退                             | 🔗        | chunks=['wear', 'off'] | py=ㄨㄝㄦ-ㄛㄈ | theme=phrasal-verbs | stage=3 [有易混提示]
 9243 | weigh in                       | 發表意見                           | 🔗        | chunks=['wei', 'gh', 'in'] | py=ㄨㄝ-ㄧㄋ | theme=phrasal-verbs | stage=3 [有易混提示]
 9244 | whisk away                     | 迅速帶走                           | 🔗        | chunks=['whi', 'sk', 'away'] | py=ㄨㄧㄙㄎ-ㄜ-ㄨㄟ | theme=phrasal-verbs | stage=3
 9245 | win over                       | 說服                             | 🔗        | chunks=['win', 'over'] | py=ㄨㄧㄋ-ㄛㄨㄜ | theme=phrasal-verbs | stage=3
 9246 | wipe out                       | 消滅                             | 🔗        | chunks=['wipe', 'out'] | py=ㄨㄧㄆ-ㄠㄊ | theme=phrasal-verbs | stage=3
 9247 | work in                        | 加入                             | 🔗        | chunks=['work', 'in'] | py=ㄨㄜㄦㄎ-ㄧㄣ | theme=phrasal-verbs | stage=2
 9248 | work over                      | 痛打                             | 🔗        | chunks=['work', 'over'] | py=ㄨㄜㄦㄎ-ㄛㄨㄜㄦ | theme=phrasal-verbs | stage=3
 9249 | wrap up                        | 結束                             | 🔗        | chunks=['wrap', 'up'] | py=ㄨㄖㄚㄆ-ㄚㄆ | theme=phrasal-verbs | stage=2
 9250 | write off                      | 註銷                             | 🔗        | chunks=['wri', 'te', 'off'] | py=ㄖㄞㄊ-ㄛㄈ | theme=phrasal-verbs | stage=3
 9251 | yield to                       | 讓步於                            | 🔗        | chunks=['yie', 'ld', 'to'] | py=ㄧㄦㄉ-ㄊㄜ | theme=phrasal-verbs | stage=3
 9252 | zero in                        | 聚焦                             | 🔗        | chunks=['zero', 'in'] | py=ㄗㄧ-ㄖㄛ-ㄧㄣ | theme=phrasal-verbs | stage=2
 9253 | zone out                       | 發呆                             | 🔗        | chunks=['zone', 'out'] | py=ㄗㄛㄣ-ㄠㄊ | theme=phrasal-verbs | stage=3
 9254 | calmness                       | 平靜                             | 🎓        | chunks=['cal', 'mness'] | py=ㄎㄚㄇ-ㄋㄜㄙ | theme=academic-words | stage=3 base=calm
 9255 | elegance                       | 優雅                             | 🎓        | chunks=['e', 'le', 'gan', 'ce'] | py=ㄧ-ㄌㄧ-ㄍㄢ-ㄙㄜ | theme=academic-words | stage=3
 9256 | flair                          | 才華                             | 🏃        | chunks=['fla', 'ir'] | py=ㄈㄌㄝㄦ | theme=actions | stage=2 [有易混提示]
 9257 | fondness                       | 喜愛                             | 🎓        | chunks=['fon', 'dness'] | py=ㄈㄚㄣ-ㄉㄋㄝㄙ | theme=academic-words | stage=3 base=fond
 9258 | humility                       | 謙遜                             | 🎓        | chunks=['hu', 'mi', 'li', 'ty'] | py=ㄏㄧㄨ-ㄇㄧ-ㄌㄧ-ㄊㄧ | theme=academic-words | stage=3 base=humble
 9259 | legacy                         | 遺產                             | 🏃        | chunks=['le', 'ga', 'cy'] | py=ㄌㄧ-ㄍㄚ-ㄒㄧ | theme=actions | stage=2
 9260 | nostalgia                      | 懷舊                             | 🏃        | chunks=['nos', 'tal', 'gia'] | py=ㄋㄚㄙ-ㄉㄜ-ㄐㄧㄚ | theme=actions | stage=3
 9261 | overview                       | 概述                             | 🏃        | chunks=['o', 'ver', 'view'] | py=ㄛ-ㄈㄜ-ㄈㄧㄨ | theme=actions | stage=3
 9262 | poise                          | 沉著                             | 🏃        | chunks=['poi', 'se'] | py=ㄆㄛㄧㄗ | theme=actions | stage=2
 9263 | remorse                        | 悔恨                             | 🏃        | chunks=['re', 'mor', 'se'] | py=ㄌㄧ-ㄇㄜ-ㄙㄜ | theme=actions | stage=2
 9264 | reverence                      | 敬畏                             | 🎓        | chunks=['re', 've', 'ren', 'ce'] | py=ㄌㄧ-ㄈㄜ-ㄌㄣ-ㄙㄜ | theme=academic-words | stage=3
 9265 | stigma                         | 汙名                             | 🏃        | chunks=['stig', 'ma'] | py=ㄙㄊㄧㄍ-ㄇㄚ | theme=actions | stage=2
 9266 | trance                         | 恍惚                             | 🎓        | chunks=['tran', 'ce'] | py=ㄊㄌㄚㄣ-ㄙㄜ | theme=academic-words | stage=2
 9267 | whim                           | 一時興起                           | 💭        | chunks=['wh', 'im'] | py=ㄨㄧㄇ | theme=numbers | stage=2
 9268 | fisher                         | 漁夫                             | 🎣        | chunks=['fis', 'her'] | py=ㄈㄧㄙ-ㄏㄜ | theme=jobs | stage=2
 9269 | rider                          | 騎乘者                            | 🏃        | chunks=['ri', 'der'] | py=ㄌㄧ-ㄉㄜ | theme=actions | stage=2 base=ride
 9270 | helper                         | 幫手                             | 🏃        | chunks=['hel', 'per'] | py=ㄏㄝ-ㄆㄜ | theme=actions | stage=2 base=help
 9271 | learner                        | 學習者                            | 🧑‍🎓      | chunks=['lear', 'ner'] | py=ㄌㄧㄜ-ㄋㄜ | theme=jobs | stage=2 base=learn
 9272 | killer                         | 殺手                             | 🏃        | chunks=['kil', 'ler'] | py=ㄎㄧ-ㄌㄜㄦ | theme=actions | stage=2 base=kill
 9273 | thinker                        | 思考者                            | 🤔        | chunks=['thin', 'ker'] | py=ㄒㄧㄋ-ㄎㄜ | theme=jobs | stage=2 base=think
 9274 | maker                          | 製造者                            | 🔨        | chunks=['ma', 'ker'] | py=ㄇㄚ-ㄎㄜ | theme=jobs | stage=2 base=make
 9275 | villager                       | 村民                             | 🏃        | chunks=['vil', 'la', 'ger'] | py=ㄈㄧ-ㄌㄚ-ㄐㄜㄦ | theme=actions | stage=3
 9276 | washer                         | 洗衣機                            | 🔨        | chunks=['was', 'her'] | py=ㄨㄚㄙ-ㄏㄜ | theme=tools | stage=2 base=wash
 9277 | cooler                         | 冷卻器                            | 🔨        | chunks=['coo', 'ler'] | py=ㄎㄨ-ㄌㄜ | theme=tools | stage=2 base=cool
 9278 | navigator                      | 導航員                            | 🧭        | chunks=['na', 'vi', 'ga', 'tor'] | py=ㄋㄚ-ㄈㄞ-ㄍㄚ-ㄊㄜ | theme=jobs | stage=3 base=navigate
 9279 | mediator                       | 調解者                            | 👨‍⚕️     | chunks=['me', 'dia', 'tor'] | py=ㄇㄝ-ㄉㄞ-ㄊㄜ | theme=jobs | stage=3 base=mediate
 9280 | cyclist                        | 騎腳踏車的人                         | 🚴        | chunks=['cyc', 'list'] | py=ㄙㄞ-ㄎㄌㄧㄙㄊ | theme=transportation | stage=2
 9281 | terrorist                      | 恐怖份子                           | 🏃        | chunks=['ter', 'ro', 'rist'] | py=ㄊㄜ-ㄌㄛ-ㄌㄧㄙㄊ | theme=actions | stage=3
 9282 | optimist                       | 樂觀者                            | 😊        | chunks=['op', 'ti', 'mist'] | py=ㄚㄆ-ㄊㄜ-ㄇㄧㄙㄊ | theme=jobs | stage=3
 9283 | pessimist                      | 悲觀者                            | 😔        | chunks=['pes', 'si', 'mist'] | py=ㄆㄝ-ㄗㄜ-ㄇㄧㄙㄊ | theme=jobs | stage=3
 9284 | idealist                       | 理想主義者                          | 👨‍⚕️     | chunks=['i', 'dea', 'list'] | py=ㄞ-ㄉㄧ-ㄜ-ㄌㄧㄙㄊ | theme=jobs | stage=3
 9285 | formality                      | 形式、正式手續                        | 🎓        | chunks=['for', 'ma', 'li', 'ty'] | py=ㄈㄛ-ㄇㄚ-ㄌㄧ-ㄊㄧ | theme=academic-words | stage=3 base=formal
 9286 | immunity                       | 免疫                             | 🎓        | chunks=['im', 'mu', 'ni', 'ty'] | py=ㄧㄇ-ㄇㄧㄨ-ㄋㄜ-ㄊㄧ | theme=academic-words | stage=3 base=immune
 9287 | individuality                  | 個性                             | 🤔        | chunks=['in', 'di', 'vi', 'dua', 'li', 'ty'] | py=ㄧㄣ-ㄉㄜ-ㄈㄧ-ㄐㄨ-ㄚ-ㄌㄧ-ㄊㄧ | theme=personality | stage=3
 9288 | inferiority                    | 自卑                             | 🎓        | chunks=['in', 'fe', 'rio', 'ri', 'ty'] | py=ㄧㄣ-ㄈㄧ-ㄖㄧㄛ-ㄌㄧ-ㄊㄧ | theme=academic-words | stage=3
 9289 | insanity                       | 瘋狂                             | 🎓        | chunks=['in', 'sa', 'ni', 'ty'] | py=ㄧㄣ-ㄙㄚ-ㄋㄜ-ㄊㄧ | theme=academic-words | stage=3
 9290 | locality                       | 地方                             | 🎓        | chunks=['lo', 'ca', 'li', 'ty'] | py=ㄌㄛ-ㄎㄚ-ㄌㄧ-ㄊㄧ | theme=academic-words | stage=3 base=local
 9291 | mortality                      | 死亡率                            | 🎓        | chunks=['mor', 'ta', 'li', 'ty'] | py=ㄇㄜ-ㄊㄝ-ㄌㄧ-ㄊㄧ | theme=academic-words | stage=3 base=mortal
 9292 | nobility                       | 貴族                             | 🎓        | chunks=['no', 'bi', 'li', 'ty'] | py=ㄋㄜ-ㄅㄧ-ㄌㄜ-ㄊㄧ | theme=academic-words | stage=3 base=noble
 9293 | subtlety                       | 微妙之處                           | 🏃        | chunks=['sub', 'tle', 'ty'] | py=ㄙㄚㄅ-ㄉㄜ-ㄊㄧ | theme=actions | stage=3
 9294 | totality                       | 全部                             | 🎓        | chunks=['to', 'ta', 'li', 'ty'] | py=ㄊㄛ-ㄊㄝ-ㄌㄧ-ㄊㄧ | theme=academic-words | stage=3 base=total
 9295 | visibility                     | 能見度                            | 🎓        | chunks=['vi', 'si', 'bi', 'li', 'ty'] | py=ㄈㄧ-ㄗㄜ-ㄅㄧ-ㄌㄜ-ㄊㄧ | theme=academic-words | stage=3 base=visible
 9296 | compliance                     | 遵從                             | 🎓        | chunks=['com', 'plian', 'ce'] | py=ㄎㄜㄇ-ㄆㄌㄞ-ㄜㄋㄙ | theme=academic-words | stage=3 base=comply
 9297 | observance                     | 遵守                             | 🎓        | chunks=['ob', 'ser', 'van', 'ce'] | py=ㄜㄅ-ㄗㄜ-ㄈㄜㄋㄙ | theme=academic-words | stage=3 base=observe
 9298 | relevance                      | 相關性、關聯                         | 🎓        | chunks=['re', 'le', 'van', 'ce'] | py=ㄖㄝ-ㄌㄜ-ㄈㄜㄋㄙ | theme=academic-words | stage=3
 9299 | surveillance                   | 監視                             | 🎓        | chunks=['sur', 'veil', 'lan', 'ce'] | py=ㄙㄜ-ㄨㄝㄌ-ㄌㄢ-ㄙㄜ | theme=academic-words | stage=3
 9300 | vigilance                      | 警惕                             | 🎓        | chunks=['vi', 'gi', 'lan', 'ce'] | py=ㄈㄧ-ㄐㄜ-ㄌㄜㄋㄙ | theme=academic-words | stage=3
 9301 | seen                           | 看見                             | 🏃        | chunks=['se', 'en'] | py=ㄙㄧㄣ | theme=actions | stage=2 base=see [有易混提示]
 9302 | given                          | 給過(give 的過去分詞)                 | 🏃        | chunks=['gi', 'ven'] | py=ㄍㄧ-ㄈㄣ | theme=actions | stage=2 base=give
 9303 | known                          | 知道過(know 的過去分詞)                | 🏃        | chunks=['kno', 'wn'] | py=ㄋㄛㄣ | theme=actions | stage=2 base=know
 9304 | grew                           | 長大了(過去)                        | 🏃        | chunks=['gr', 'ew'] | py=ㄍㄖ-ㄩ | theme=actions | stage=2 base=grow
 9305 | grown                          | 長大                             | 🏃        | chunks=['gro', 'wn'] | py=ㄍㄖㄛㄣ | theme=actions | stage=2 base=grow
 9306 | drawn                          | 畫過                             | 🎨        | chunks=['dra', 'wn'] | py=ㄉㄖㄛㄣ | theme=art | stage=2 base=draw
 9307 | flew                           | 飛了                             | 🏃        | chunks=['fl', 'ew'] | py=ㄈㄌ-ㄩ | theme=actions | stage=2 base=fly [有易混提示]
 9308 | flown                          | 飛過                             | 🏃        | chunks=['flo', 'wn'] | py=ㄈㄌㄛㄣ | theme=actions | stage=2 base=fly
 9309 | blown                          | 吹過                             | 🏃        | chunks=['blo', 'wn'] | py=ㄅㄌㄛㄣ | theme=actions | stage=2 base=blow
 9310 | threw                          | 丟了                             | 🏃        | chunks=['thr', 'ew'] | py=ㄒㄖ-ㄩ | theme=actions | stage=2 base=throw [有易混提示]
 9311 | thrown                         | 丟過                             | 🏃        | chunks=['thr', 'own'] | py=ㄒㄖㄛㄣ | theme=actions | stage=2 base=throw
 9312 | risen                          | 上升                             | 🏃        | chunks=['ri', 'sen'] | py=ㄌㄧ-ㄙㄝㄣ | theme=directions | stage=2 base=rise
 9313 | chosen                         | 選過                             | 🏃        | chunks=['cho', 'sen'] | py=ㄎㄛ-ㄙㄝㄣ | theme=actions | stage=2 base=choose
 9314 | spoken                         | 說過                             | 🏃        | chunks=['spo', 'ken'] | py=ㄙㄆㄛ-ㄎㄣ | theme=actions | stage=2 base=speak
 9315 | woken                          | 醒過                             | 🏃        | chunks=['wo', 'ken'] | py=ㄨㄛ-ㄎㄣ | theme=actions | stage=2 base=wake
 9316 | ridden                         | 騎過                             | 🏃        | chunks=['rid', 'den'] | py=ㄌㄧ-ㄉㄣ | theme=actions | stage=2 base=ride
